counter,status,resp_time,value_first
0,Good,2.000,2428.400000
1,Good,2.000,2430.300000
2,Good,2.000,2433.150000
3,Good,2.000,2435.050000
4,Good,2.000,2437.900000
5,Good,2.000,2439.800000
6,Good,2.666,2442.650000
7,Good,2.666,2444.550000
8,Good,1.333,2447.400000
9,Good,2.000,2449.300000
10,Good,2.666,2452.150000
11,Good,1.333,2454.050000
12,Good,2.000,2456.900000
13,Good,1.333,2459.750000
14,Good,2.000,2461.650000
15,Good,2.000,2464.500000
16,Good,2.000,2466.400000
17,Good,2.000,2469.250000
18,Good,2.000,2471.150000
19,Good,2.000,2474.000000
20,Good,2.000,2475.900000
21,Good,1.333,2478.750000
22,Good,1.333,2480.650000
23,Good,2.000,2483.500000
24,Good,1.333,2485.400000
25,Good,1.333,2488.250000
26,Good,2.000,2490.150000
27,Good,1.333,2493.000000
28,Good,2.000,2494.900000
29,Good,2.000,2497.750000
30,Good,2.000,2499.650000
31,Good,2.000,2502.500000
32,Good,2.000,2504.400000
33,Good,2.666,2507.250000
34,Good,2.666,2509.150000
35,Good,1.333,2512.000000
36,Good,2.666,2513.900000
37,Good,2.000,2516.750000
38,Good,1.333,2518.650000
39,Good,2.000,2521.500000
40,Good,1.333,2523.400000
41,Good,2.000,2526.250000
42,Good,2.000,2528.150000
43,Good,2.000,2531.000000
44,Good,2.000,2532.900000
45,Good,2.000,2535.750000
46,Good,3.333,2538.600000
47,Good,2.666,2540.500000
48,Good,1.333,2543.350000
49,Good,1.333,2545.250000
50,Good,2.000,2548.100000
51,Good,1.333,2550.000000
52,Good,2.000,2552.850000
53,Good,2.666,2554.750000
54,Good,1.333,2557.600000
55,Good,2.000,2559.500000
56,Good,2.000,2562.350000
57,Good,1.333,2564.250000
58,Good,2.000,2567.100000
59,Good,2.000,2569.000000
60,Good,2.666,2571.850000
61,Good,1.333,2573.750000
62,Good,1.333,2576.600000
63,Good,2.000,2578.500000
64,Good,1.333,2581.350000
65,Good,1.333,2583.250000
66,Good,2.000,2586.100000
67,Good,1.333,2588.000000
68,Good,2.000,2590.850000
69,Good,2.000,2592.750000
70,Good,1.333,2595.600000
71,Good,2.000,2597.500000
72,Good,2.000,2600.350000
73,Good,2.000,2602.250000
74,Good,2.000,2605.100000
75,Good,1.333,2607.000000
76,Good,2.000,2609.850000
77,Good,2.666,2611.750000
78,Good,1.333,2614.600000
79,Good,2.000,2616.500000
80,Good,1.333,2619.350000
81,Good,2.000,2622.200000
82,Good,2.000,2624.100000
83,Good,2.000,2626.950000
84,Good,2.000,2628.850000
85,Good,2.000,2631.700000
86,Good,2.000,2633.600000
87,Good,2.000,2636.450000
88,Good,1.333,2638.350000
89,Good,1.333,2641.200000
90,Good,2.000,2643.100000
91,Good,1.333,2645.950000
92,Good,2.000,2647.850000
93,Good,2.666,2650.700000
94,Good,1.333,2652.600000
95,Good,2.000,2655.450000
96,Good,2.000,2657.350000
97,Good,1.333,2660.200000
98,Good,2.000,2662.100000
99,Good,2.000,2664.950000
100,Good,2.000,2666.850000
101,Good,2.000,2669.700000
102,Good,1.333,2671.600000
103,Good,2.000,2674.450000
104,Good,1.333,2676.350000
105,Good,1.333,2679.200000
106,Good,2.000,2681.100000
107,Good,1.333,2683.950000
108,Good,2.000,2685.850000
109,Good,2.000,2688.700000
110,Good,1.333,2690.600000
111,Good,2.000,2693.450000
112,Good,2.000,2695.350000
113,Good,2.000,2698.200000
114,Good,4.000,2701.050000
115,Good,1.333,2702.950000
116,Good,1.333,2705.800000
117,Good,2.000,2707.700000
118,Good,1.333,2710.550000
119,Good,2.000,2712.450000
120,Good,2.666,2715.300000
121,Good,1.333,2717.200000
122,Good,2.000,2720.050000
123,Good,2.000,2721.950000
124,Good,1.333,2724.800000
125,Good,2.000,2726.700000
126,Good,2.000,2729.550000
127,Good,2.666,2731.450000
128,Good,2.666,2734.300000
129,Good,1.333,2736.200000
130,Good,2.000,2739.050000
131,Good,1.333,2740.950000
132,Good,1.333,2743.800000
133,Good,2.000,2745.700000
134,Good,1.333,2748.550000
135,Good,2.000,2750.450000
136,Good,2.000,2753.300000
137,Good,1.333,2755.200000
138,Good,2.000,2758.050000
139,Good,2.000,2759.950000
140,Good,2.666,2762.800000
141,Good,2.666,2764.700000
142,Good,1.333,2767.550000
143,Good,2.000,2769.450000
144,Good,2.666,2772.300000
145,Good,1.333,2774.200000
146,Good,2.000,2777.050000
147,Good,3.333,2779.900000
148,Good,2.000,2781.800000
149,Good,2.000,2784.650000
150,Good,1.333,2786.550000
151,Good,2.000,2789.400000
152,Good,2.000,2791.300000
153,Good,2.000,2794.150000
154,Good,2.000,2796.050000
155,Good,1.333,2798.900000
156,Good,1.333,2800.800000
157,Good,2.000,2803.650000
158,Good,1.333,2805.550000
159,Good,2.000,2808.400000
160,Good,2.666,2810.300000
161,Good,1.333,2813.150000
162,Good,2.000,2815.050000
163,Good,2.000,2817.900000
164,Good,1.333,2819.800000
165,Good,2.000,2822.650000
166,Good,2.000,2824.550000
167,Good,2.666,2827.400000
168,Good,2.666,2829.300000
169,Good,1.333,2832.150000
170,Good,2.000,2834.050000
171,Good,1.333,2836.900000
172,Good,1.333,2838.800000
173,Good,2.000,2841.650000
174,Good,1.333,2843.550000
175,Good,2.000,2846.400000
176,Good,2.000,2848.300000
177,Good,1.333,2851.150000
178,Good,2.000,2853.050000
179,Good,2.000,2855.900000
180,Good,4.000,2858.750000
181,Good,2.000,2860.650000
182,Good,1.333,2863.500000
183,Good,2.000,2865.400000
184,Good,2.666,2868.250000
185,Good,1.333,2870.150000
186,Good,2.000,2873.000000
187,Good,1.333,2874.900000
188,Good,2.000,2877.750000
189,Good,2.000,2879.650000
190,Good,1.333,2882.500000
191,Good,2.000,2884.400000
192,Good,2.000,2887.250000
193,Good,2.000,2889.150000
194,Good,2.000,2892.000000
195,Good,1.333,2893.900000
196,Good,2.000,2896.750000
197,Good,2.666,2898.650000
198,Good,1.333,2901.500000
199,Good,1.333,2903.400000
200,Good,2.000,2906.250000
201,Good,1.333,2908.150000
202,Good,2.000,2911.000000
203,Good,2.000,2912.900000
204,Good,2.000,2915.750000
205,Good,2.000,2917.650000
206,Good,2.000,2920.500000
207,Good,2.000,2922.400000
208,Good,2.000,2925.250000
209,Good,1.333,2927.150000
210,Good,2.000,2930.000000
211,Good,1.333,2931.900000
212,Good,1.333,2934.750000
213,Good,2.000,2936.650000
214,Good,1.333,2939.500000
215,Good,2.000,2942.350000
216,Good,2.000,2944.250000
217,Good,1.333,2947.100000
218,Good,2.000,2949.000000
219,Good,2.000,2951.850000
220,Good,2.000,2953.750000
221,Good,2.000,2956.600000
222,Good,1.333,2958.500000
223,Good,2.000,2961.350000
224,Good,2.666,2963.250000
225,Good,1.333,2966.100000
226,Good,2.000,2968.000000
227,Good,2.666,2970.850000
228,Good,1.333,2972.750000
229,Good,2.666,2975.600000
230,Good,1.333,2977.500000
231,Good,2.000,2980.350000
232,Good,2.000,2982.250000
233,Good,2.000,2985.100000
234,Good,2.000,2987.000000
235,Good,2.666,2989.850000
236,Good,2.000,2991.750000
237,Good,2.666,2994.600000
238,Good,1.333,2996.500000
239,Good,1.333,2999.350000
240,Good,2.000,3001.250000
241,Good,1.333,3004.100000
242,Good,2.000,3006.000000
243,Good,2.000,3008.850000
244,Good,1.333,3010.750000
245,Good,2.000,3013.600000
246,Good,5.999,3016.450000
247,Good,2.000,3018.350000
248,Good,2.000,3021.200000
249,Good,2.000,3023.100000
250,Good,2.666,3025.950000
251,Good,2.666,3027.850000
252,Good,1.333,3030.700000
253,Good,2.000,3032.600000
254,Good,1.333,3035.450000
255,Good,2.000,3037.350000
256,Good,2.000,3040.200000
257,Good,1.333,3042.100000
258,Good,2.000,3044.950000
259,Good,2.000,3046.850000
260,Good,2.000,3049.700000
261,Good,2.000,3051.600000
262,Good,1.333,3054.450000
263,Good,2.000,3056.350000
264,Good,2.666,3059.200000
265,Good,1.333,3061.100000
266,Good,2.000,3063.950000
267,Good,2.666,3065.850000
268,Good,1.333,3068.700000
269,Good,2.666,3070.600000
270,Good,1.333,3073.450000
271,Good,2.000,3075.350000
272,Good,2.000,3078.200000
273,Good,2.000,3080.100000
274,Good,2.000,3082.950000
275,Good,2.666,3084.850000
276,Good,2.000,3087.700000
277,Good,4.666,3090.550000
278,Good,2.666,3092.450000
279,Good,1.333,3095.300000
280,Good,2.000,3097.200000
281,Good,1.333,3100.050000
282,Good,2.666,3101.950000
283,Good,2.666,3104.800000
284,Good,1.333,3106.700000
285,Good,2.000,3109.550000
286,Good,2.000,3111.450000
287,Good,2.000,3114.300000
288,Good,2.000,3116.200000
289,Good,2.000,3119.050000
290,Good,2.666,3120.950000
291,Good,2.666,3123.800000
292,Good,1.333,3125.700000
293,Good,2.000,3128.550000
294,Good,2.666,3130.450000
295,Good,1.333,3133.300000
296,Good,2.666,3135.200000
297,Good,1.333,3138.050000
298,Good,2.000,3139.950000
299,Good,2.000,3142.800000
300,Good,2.000,3144.700000
301,Good,2.000,3147.550000
302,Good,2.000,3149.450000
303,Good,2.000,3152.300000
304,Good,2.000,3154.200000
305,Good,1.333,3157.050000
306,Good,1.333,3158.950000
307,Good,2.000,3161.800000
308,Good,3.333,3164.650000
309,Good,2.666,3166.550000
310,Good,2.666,3169.400000
311,Good,1.333,3171.300000
312,Good,2.000,3174.150000
313,Good,2.000,3176.050000
314,Good,2.000,3178.900000
315,Good,2.000,3180.800000
316,Good,2.000,3183.650000
317,Good,2.666,3185.550000
318,Good,2.666,3188.400000
319,Good,1.333,3190.300000
320,Good,2.000,3193.150000
321,Good,1.333,3195.050000
322,Good,2.000,3197.900000
323,Good,2.000,3199.800000
324,Good,1.333,3202.650000
325,Good,2.000,3204.550000
326,Good,2.000,3207.400000
327,Good,2.000,3209.300000
328,Good,2.000,3212.150000
329,Good,2.000,3214.050000
