counter,status,resp_time,value_first
0,Good,1.333,15
1,Good,2.000,17
2,Good,2.666,20
3,Good,1.333,22
4,Good,2.000,25
5,Good,1.333,27
6,Good,2.000,30
7,Good,2.000,32
8,Good,1.333,35
9,Good,2.000,37
10,Good,2.000,40
11,Good,2.000,42
12,Good,2.000,45
13,Good,2.000,47
14,Good,2.000,50
15,Good,2.000,52
16,Good,1.333,55
17,Good,2.000,57
18,Good,2.666,60
19,Good,1.333,62
20,Good,2.000,65
21,Good,1.333,67
22,Good,2.000,70
23,Good,2.000,72
24,Good,2.000,75
25,Good,2.000,77
26,Good,2.000,80
27,Good,2.000,82
28,Good,2.000,85
29,Good,1.333,88
30,Good,1.333,90
31,Good,2.000,93
32,Good,1.333,95
33,Good,2.666,98
34,Good,2.666,100
35,Good,1.333,103
36,Good,2.000,105
37,Good,2.000,108
38,Good,2.000,110
39,Good,2.000,113
40,Good,2.000,115
41,Good,2.666,118
42,Good,2.666,120
43,Good,1.333,123
44,Good,2.000,125
45,Good,2.666,128
46,Good,1.333,130
47,Good,2.000,133
48,Good,1.333,135
49,Good,2.000,138
50,Good,2.000,140
51,Good,2.000,143
52,Good,2.000,145
53,Good,2.000,148
54,Good,2.000,150
55,Good,2.000,153
56,Good,1.333,155
57,Good,2.000,158
58,Good,2.666,160
59,Good,1.333,163
60,Good,2.000,165
61,Good,2.666,168
62,Good,1.333,171
63,Good,2.000,173
64,Good,2.000,176
65,Good,2.666,178
66,Good,2.000,181
67,Good,2.000,183
68,Good,2.000,186
69,Good,2.666,188
70,Good,1.333,191
71,Good,2.000,193
72,Good,1.333,196
73,Good,2.000,198
74,Good,2.666,201
75,Good,1.333,203
76,Good,2.000,206
77,Good,2.000,208
78,Good,2.000,211
79,Good,2.000,213
80,Good,2.000,216
81,Good,2.000,218
82,Good,2.000,221
83,Good,1.333,223
84,Good,2.000,226
85,Good,2.666,228
86,Good,1.333,231
87,Good,2.000,233
88,Good,1.333,236
89,Good,2.000,238
90,Good,2.000,241
91,Good,2.000,243
92,Good,2.000,246
93,Good,2.000,249
94,Good,2.000,251
95,Good,2.000,254
96,Good,1.333,256
97,Good,1.333,259
98,Good,2.000,261
99,Good,1.333,264
100,Good,2.000,266
101,Good,2.666,269
102,Good,1.333,271
103,Good,2.000,274
104,Good,2.000,276
105,Good,2.000,279
106,Good,2.000,281
107,Good,2.000,284
108,Good,2.666,286
109,Good,2.666,289
110,Good,1.333,291
111,Good,2.000,294
112,Good,1.333,296
113,Good,1.333,299
114,Good,2.000,301
115,Good,1.333,304
116,Good,2.000,306
117,Good,2.000,309
118,Good,2.000,311
119,Good,2.000,314
120,Good,2.000,316
121,Good,2.000,319
122,Good,2.000,321
123,Good,1.333,324
124,Good,1.333,326
125,Good,2.000,329
126,Good,1.333,331
127,Good,2.000,334
128,Good,2.666,337
129,Good,1.333,339
130,Good,2.000,342
131,Good,2.000,344
132,Good,1.333,347
133,Good,2.000,349
134,Good,2.000,352
135,Good,2.666,354
136,Good,2.666,357
137,Good,1.333,359
138,Good,2.000,362
139,Good,1.333,364
140,Good,1.333,367
141,Good,2.000,369
142,Good,1.333,372
143,Good,2.000,374
144,Good,2.000,377
145,Good,1.333,379
146,Good,2.000,382
147,Good,2.000,384
148,Good,2.666,387
149,Good,2.666,389
150,Good,1.333,392
151,Good,2.000,394
152,Good,2.666,397
153,Good,1.333,399
154,Good,2.000,402
155,Good,1.333,404
156,Good,2.000,407
157,Good,2.000,409
158,Good,2.000,412
159,Good,2.000,414
160,Good,2.000,417
161,Good,2.000,420
162,Good,2.000,422
163,Good,1.333,425
164,Good,1.333,427
165,Good,2.000,430
166,Good,1.333,432
167,Good,2.000,435
168,Good,2.666,437
169,Good,1.333,440
170,Good,2.000,442
171,Good,2.000,445
172,Good,1.333,447
173,Good,2.000,450
174,Good,2.000,452
175,Good,2.666,455
176,Good,2.666,457
177,Good,1.333,460
178,Good,2.000,462
179,Good,1.333,465
180,Good,1.333,467
181,Good,2.000,470
182,Good,1.333,472
183,Good,2.000,475
184,Good,2.000,477
185,Good,1.333,480
186,Good,2.000,482
187,Good,2.000,485
188,Good,2.000,487
189,Good,2.000,490
190,Good,1.333,492
191,Good,1.333,495
192,Good,2.000,497
193,Good,1.333,500
