counter,status,resp_time,value_first
0,Good,1.333,10783
1,Good,2.000,10785
2,Good,2.000,10788
3,Good,2.000,10790
4,Good,2.000,10793
5,Good,1.333,10795
6,Good,2.000,10798
7,Good,2.666,10800
8,Good,1.333,10803
9,Good,2.000,10805
10,Good,2.666,10808
11,Good,1.333,10810
12,Good,2.666,10813
13,Good,1.333,10815
14,Good,2.000,10818
15,Good,2.000,10820
16,Good,2.000,10823
17,Good,2.000,10825
18,Good,2.666,10828
19,Good,2.000,10830
20,Good,2.666,10833
21,Good,2.666,10835
22,Good,1.333,10838
23,Good,2.666,10841
24,Good,2.000,10843
25,Good,1.333,10846
26,Good,2.666,10848
27,Good,1.333,10851
28,Good,2.000,10853
29,Good,2.000,10856
30,Good,2.000,10858
31,Good,2.000,10861
32,Good,2.000,10863
33,Good,2.666,10866
34,Good,2.666,10868
35,Good,1.333,10871
36,Good,2.000,10873
37,Good,2.666,10876
38,Good,2.000,10878
39,Good,2.666,10881
40,Good,1.333,10883
41,Good,2.000,10886
42,Good,2.000,10888
43,Good,2.000,10891
44,Good,2.000,10893
45,Good,2.000,10896
46,Good,2.000,10898
47,Good,2.000,10901
48,Good,1.333,10903
49,Good,1.333,10906
50,Good,2.000,10908
51,Good,1.333,10911
52,Good,2.666,10913
53,Good,2.666,10916
54,Good,2.666,10919
55,Good,2.000,10921
56,Good,2.000,10924
57,Good,2.000,10926
58,Good,2.666,10929
59,Good,2.000,10931
60,Good,2.666,10934
61,Good,2.666,10936
62,Good,1.333,10939
63,Good,2.000,10941
64,Good,1.333,10944
65,Good,2.000,10946
66,Good,2.000,10949
67,Good,1.333,10951
68,Good,2.000,10954
69,Good,2.000,10956
70,Good,2.000,10959
71,Good,2.000,10961
72,Good,2.000,10964
73,Good,2.000,10966
74,Good,2.000,10969
75,Good,1.333,10971
76,Good,2.000,10974
77,Good,2.666,10976
78,Good,1.333,10979
79,Good,2.666,10981
80,Good,1.333,10984
81,Good,2.000,10986
82,Good,2.000,10989
83,Good,2.000,10991
84,Good,2.000,10994
85,Good,4.000,10997
86,Good,2.000,10999
87,Good,2.000,11002
88,Good,1.333,11004
89,Good,1.333,11007
90,Good,2.000,11009
91,Good,1.333,11012
92,Good,2.666,11014
93,Good,2.666,11017
94,Good,1.333,11019
95,Good,2.000,11022
96,Good,2.000,11024
97,Good,2.000,11027
98,Good,2.000,11029
99,Good,2.000,11032
100,Good,2.000,11034
101,Good,2.000,11037
102,Good,1.333,11039
103,Good,2.000,11042
104,Good,2.666,11044
105,Good,1.333,11047
106,Good,2.000,11049
107,Good,1.333,11052
108,Good,2.000,11054
109,Good,2.000,11057
110,Good,2.000,11059
111,Good,2.000,11062
112,Good,2.000,11064
113,Good,3.333,11067
114,Good,2.666,11069
115,Good,1.333,11072
116,Good,1.333,11074
117,Good,2.000,11077
118,Good,2.666,11080
119,Good,2.000,11082
120,Good,2.666,11085
121,Good,1.333,11087
122,Good,2.000,11090
123,Good,2.000,11092
124,Good,2.000,11095
125,Good,2.000,11097
126,Good,2.000,11100
127,Good,2.666,11102
128,Good,2.666,11105
129,Good,1.333,11107
130,Good,2.000,11110
131,Good,1.333,11112
132,Good,2.000,11115
133,Good,2.000,11117
134,Good,1.333,11120
135,Good,2.000,11122
136,Good,2.000,11125
137,Good,2.000,11127
138,Good,2.000,11130
139,Good,2.000,11132
140,Good,2.666,11135
141,Good,2.666,11137
142,Good,1.333,11140
143,Good,2.000,11142
144,Good,2.666,11145
145,Good,1.333,11147
146,Good,2.000,11150
147,Good,1.333,11152
148,Good,2.000,11155
149,Good,4.000,11158
150,Good,2.000,11160
151,Good,2.000,11163
152,Good,2.000,11165
153,Good,2.000,11168
154,Good,2.000,11170
155,Good,1.333,11173
156,Good,1.333,11175
157,Good,2.000,11178
158,Good,1.333,11180
159,Good,2.000,11183
160,Good,2.666,11185
161,Good,1.333,11188
162,Good,2.000,11190
163,Good,2.000,11193
164,Good,2.000,11195
165,Good,2.000,11198
166,Good,2.000,11200
167,Good,2.666,11203
168,Good,2.666,11205
169,Good,1.333,11208
170,Good,2.000,11210
171,Good,2.666,11213
172,Good,1.333,11215
173,Good,2.000,11218
174,Good,1.333,11220
175,Good,2.000,11223
176,Good,2.000,11225
177,Good,2.000,11228
178,Good,2.000,11230
179,Good,2.000,11233
180,Good,2.000,11235
181,Good,2.000,11238
182,Good,2.666,11241
183,Good,1.333,11243
184,Good,2.000,11246
185,Good,1.333,11248
186,Good,2.000,11251
187,Good,2.666,11253
188,Good,1.333,11256
189,Good,2.000,11258
190,Good,2.000,11261
191,Good,1.333,11263
192,Good,2.000,11266
193,Good,2.000,11268
194,Good,2.666,11271
195,Good,2.666,11273
196,Good,1.333,11276
197,Good,2.000,11278
198,Good,1.333,11281
199,Good,1.333,11283
200,Good,2.000,11286
201,Good,1.333,11288
202,Good,2.000,11291
203,Good,2.000,11293
204,Good,1.333,11296
205,Good,2.000,11298
206,Good,2.000,11301
207,Good,2.000,11303
208,Good,2.000,11306
209,Good,1.333,11308
210,Good,2.000,11311
211,Good,2.666,11313
212,Good,1.333,11316
213,Good,2.000,11318
214,Good,1.333,11321
215,Good,4.000,11324
216,Good,2.000,11326
217,Good,2.000,11329
218,Good,2.000,11331
219,Good,2.000,11334
220,Good,2.000,11336
221,Good,2.000,11339
222,Good,1.333,11341
223,Good,1.333,11344
224,Good,2.000,11346
225,Good,1.333,11349
226,Good,2.000,11351
227,Good,2.666,11354
228,Good,1.333,11356
229,Good,2.000,11359
230,Good,2.000,11361
231,Good,1.333,11364
232,Good,2.000,11366
233,Good,2.000,11369
234,Good,2.000,11371
235,Good,2.000,11374
236,Good,1.333,11376
237,Good,2.000,11379
238,Good,1.333,11381
239,Good,1.333,11384
240,Good,2.000,11386
241,Good,1.333,11389
242,Good,2.000,11391
243,Good,2.000,11394
244,Good,1.333,11396
245,Good,2.000,11399
246,Good,2.000,11401
247,Good,2.000,11404
248,Good,2.000,11406
249,Good,1.333,11409
250,Good,1.333,11412
251,Good,2.000,11414
252,Good,1.333,11417
253,Good,2.000,11419
254,Good,2.666,11422
255,Good,1.333,11424
256,Good,2.000,11427
257,Good,2.000,11429
258,Good,1.333,11432
