counter,status,resp_time,value_first
0,Good,1.333,294
1,Good,1.333,297
2,Good,1.333,299
3,Good,1.333,302
4,Good,0.667,304
5,Good,0.667,307
6,Good,0.667,309
7,Good,1.333,312
8,Good,0.667,314
9,Good,1.333,317
10,Good,1.333,320
11,Good,1.333,322
12,Good,1.333,325
13,Good,1.333,327
14,Good,0.667,330
15,Good,1.333,332
16,Good,1.333,335
17,Good,0.667,337
18,Good,0.667,340
19,Good,0.667,342
20,Good,1.333,345
21,Good,0.667,347
22,Good,0.667,350
23,Good,1.333,352
24,Good,1.333,355
25,Good,1.333,357
26,Good,1.333,360
27,Good,0.667,362
28,Good,1.333,365
29,Good,1.333,367
30,Good,1.333,370
31,Good,0.667,372
32,Good,0.667,375
33,Good,1.333,377
34,Good,1.333,380
35,Good,0.667,382
36,Good,1.333,385
37,Good,1.333,387
38,Good,1.333,390
39,Good,1.333,392
40,Good,0.667,395
41,Good,1.333,397
42,Good,1.333,400
43,Good,1.333,402
44,Good,0.667,405
45,Good,0.667,407
46,Good,0.667,410
47,Good,1.333,412
48,Good,0.667,415
49,Good,1.333,417
50,Good,1.333,420
51,Good,1.333,422
52,Good,1.333,425
53,Good,1.333,427
54,Good,0.667,430
55,Good,1.333,432
56,Good,1.333,435
57,Good,1.333,438
58,Good,0.667,440
59,Good,0.667,443
60,Good,1.333,445
61,Good,0.667,448
62,Good,0.667,450
63,Good,1.333,453
64,Good,1.333,455
65,Good,1.333,458
66,Good,1.333,460
67,Good,0.667,463
68,Good,1.333,465
69,Good,1.333,468
70,Good,1.333,470
71,Good,0.667,473
72,Good,0.667,475
73,Good,1.333,478
74,Good,0.667,480
75,Good,0.667,483
76,Good,1.333,485
77,Good,1.333,488
78,Good,1.333,490
79,Good,1.333,493
80,Good,0.667,495
81,Good,0.667,498
82,Good,1.333,500
83,Good,2.000,503
84,Good,1.333,505
85,Good,0.667,508
86,Good,0.667,510
87,Good,1.333,513
88,Good,0.667,515
89,Good,0.667,518
90,Good,1.333,520
91,Good,1.333,523
92,Good,1.333,525
93,Good,0.667,528
94,Good,0.667,530
95,Good,1.333,533
