counter,status,resp_time,value_first
0,Good,0.667,16358
1,Good,1.333,16362
2,Good,1.333,16368
3,Good,0.667,16372
4,Good,0.667,16378
5,Good,0.667,16382
6,Good,1.333,16388
7,Good,0.667,16392
8,Good,0.667,16398
9,Good,1.333,16402
10,Good,1.333,16408
11,Good,1.333,16412
12,Good,0.667,16418
13,Good,2.000,16424
14,Good,1.333,16428
15,Good,1.333,16434
16,Good,1.333,16438
17,Good,0.667,16444
18,Good,0.667,16448
19,Good,1.333,16454
20,Good,0.667,16458
21,Good,0.667,16464
22,Good,1.333,16468
23,Good,1.333,16474
24,Good,1.333,16478
25,Good,0.667,16484
26,Good,0.667,16488
27,Good,0.667,16494
28,Good,1.333,16498
29,Good,1.333,16504
30,Good,0.667,16508
31,Good,0.667,16514
32,Good,1.333,16518
33,Good,0.667,16524
34,Good,0.667,16528
35,Good,0.667,16534
36,Good,1.333,16538
37,Good,1.333,16544
38,Good,1.333,16548
39,Good,0.667,16554
40,Good,0.667,16558
41,Good,1.333,16564
42,Good,1.333,16568
43,Good,1.333,16574
44,Good,0.667,16578
45,Good,1.333,16584
46,Good,0.667,16588
47,Good,0.667,16594
48,Good,0.667,16598
49,Good,1.333,16604
50,Good,1.333,16608
51,Good,1.333,16614
52,Good,0.667,16618
53,Good,0.667,16624
54,Good,0.667,16628
55,Good,1.333,16634
56,Good,1.333,16638
57,Good,0.667,16644
58,Good,0.667,16648
59,Good,1.333,16654
60,Good,0.667,16658
61,Good,0.667,16664
62,Good,0.667,16670
63,Good,1.333,16674
64,Good,1.333,16680
65,Good,0.667,16684
66,Good,0.667,16690
67,Good,0.667,16694
68,Good,1.333,16700
69,Good,1.333,16704
70,Good,1.333,16710
71,Good,0.667,16714
72,Good,1.333,16720
73,Good,0.667,16724
74,Good,0.667,16730
75,Good,0.667,16734
76,Good,1.333,16740
77,Good,1.333,16744
78,Good,1.333,16750
79,Good,0.667,16754
80,Good,0.667,16760
81,Good,1.333,16764
82,Good,1.333,16770
83,Good,1.333,16774
84,Good,0.667,16780
85,Good,1.333,16784
86,Good,2.000,16790
87,Good,1.333,16794
88,Good,0.667,16800
89,Good,0.667,16804
90,Good,1.333,16810
91,Good,1.333,16814
92,Good,0.667,16820
93,Good,0.667,16824
94,Good,0.667,16830
95,Good,1.333,16834
96,Good,1.333,16840
97,Good,0.667,16844
98,Good,0.667,16850
99,Good,1.333,16854
100,Good,0.667,16860
101,Good,0.667,16864
102,Good,0.667,16870
103,Good,1.333,16874
104,Good,1.333,16880
105,Good,0.667,16884
106,Good,0.667,16890
107,Good,0.667,16894
108,Good,1.333,16900
109,Good,1.333,16906
110,Good,1.333,16910
111,Good,0.667,16916
112,Good,1.333,16920
113,Good,0.667,16926
114,Good,0.667,16930
115,Good,0.667,16936
116,Good,0.667,16940
117,Good,1.333,16946
118,Good,1.333,16950
119,Good,1.333,16956
120,Good,1.333,16960
121,Good,1.333,16966
122,Good,1.333,16970
123,Good,1.333,16976
124,Good,0.667,16980
125,Good,1.333,16986
126,Good,1.333,16990
127,Good,0.667,16996
128,Good,0.667,17000
129,Good,0.667,17006
130,Good,1.333,17010
131,Good,1.333,17016
132,Good,0.667,17020
133,Good,0.667,17026
134,Good,0.667,17030
135,Good,1.333,17036
136,Good,1.333,17040
137,Good,1.333,17046
138,Good,1.333,17050
139,Good,1.333,17056
140,Good,0.667,17060
141,Good,0.667,17066
142,Good,0.667,17070
143,Good,1.333,17076
144,Good,1.333,17080
145,Good,1.333,17086
146,Good,1.333,17090
147,Good,1.333,17096
148,Good,1.333,17100
149,Good,1.333,17106
150,Good,1.333,17110
151,Good,0.667,17116
152,Good,1.333,17120
153,Good,1.333,17126
154,Good,0.667,17130
155,Good,0.667,17136
156,Good,0.667,17142
157,Good,1.333,17146
158,Good,1.333,17152
159,Good,1.333,17156
160,Good,1.333,17162
161,Good,1.333,17166
162,Good,1.333,17172
163,Good,1.333,17176
164,Good,0.667,17182
165,Good,1.333,17186
166,Good,1.333,17192
167,Good,0.667,17196
168,Good,0.667,17202
169,Good,0.667,17206
170,Good,1.333,17212
171,Good,1.333,17216
172,Good,0.667,17222
173,Good,0.667,17226
174,Good,0.667,17232
175,Good,1.333,17236
176,Good,1.333,17242
177,Good,1.333,17246
178,Good,1.333,17252
179,Good,1.333,17256
180,Good,1.333,17262
181,Good,0.667,17266
182,Good,0.667,17272
183,Good,0.667,17276
184,Good,1.333,17282
185,Good,1.333,17286
186,Good,1.333,17292
187,Good,1.333,17296
188,Good,1.333,17302
189,Good,1.333,17306
190,Good,1.333,17312
191,Good,0.667,17316
192,Good,1.333,17322
193,Good,1.333,17326
194,Good,0.667,17332
195,Good,0.667,17336
196,Good,0.667,17342
197,Good,1.333,17346
198,Good,1.333,17352
199,Good,1.333,17356
200,Good,1.333,17362
201,Good,1.333,17366
202,Good,1.333,17372
203,Good,1.333,17378
204,Good,1.333,17382
205,Good,1.333,17388
206,Good,1.333,17392
207,Good,0.667,17398
208,Good,0.667,17402
209,Good,0.667,17408
210,Good,1.333,17412
211,Good,1.333,17418
212,Good,0.667,17422
213,Good,1.333,17428
214,Good,1.333,17432
215,Good,1.333,17438
216,Good,1.333,17442
217,Good,1.333,17448
218,Good,1.333,17452
219,Good,2.000,17458
220,Good,1.333,17462
221,Good,0.667,17468
222,Good,0.667,17472
223,Good,1.333,17478
224,Good,1.333,17482
225,Good,1.333,17488
226,Good,1.333,17492
227,Good,1.333,17498
228,Good,1.333,17502
229,Good,1.333,17508
230,Good,1.333,17512
231,Good,0.667,17518
232,Good,1.333,17522
233,Good,1.333,17528
234,Good,0.667,17532
235,Good,0.667,17538
236,Good,0.667,17542
237,Good,1.333,17548
238,Good,1.333,17552
239,Good,0.667,17558
240,Good,1.333,17562
241,Good,1.333,17568
242,Good,1.333,17572
243,Good,1.333,17578
244,Good,1.333,17582
245,Good,1.333,17588
246,Good,1.333,17592
247,Good,1.333,17598
248,Good,0.667,17602
249,Good,0.667,17608
250,Good,1.333,17614
251,Good,2.000,17618
252,Good,0.667,17624
253,Good,1.333,17628
254,Good,1.333,17634
255,Good,1.333,17638
256,Good,1.333,17644
257,Good,1.333,17648
258,Good,0.667,17654
259,Good,1.333,17658
260,Good,1.333,17664
261,Good,0.667,17668
262,Good,0.667,17674
263,Good,0.667,17678
264,Good,1.333,17684
265,Good,0.667,17688
266,Good,0.667,17694
267,Good,1.333,17698
268,Good,1.333,17704
269,Good,1.333,17708
270,Good,1.333,17714
271,Good,0.667,17718
272,Good,1.333,17724
273,Good,1.333,17728
274,Good,0.667,17734
275,Good,0.667,17738
276,Good,0.667,17744
277,Good,1.333,17748
278,Good,1.333,17754
279,Good,0.667,17758
280,Good,1.333,17764
281,Good,1.333,17768
282,Good,1.333,17774
283,Good,1.333,17778
284,Good,0.667,17784
285,Good,1.333,17788
286,Good,1.333,17794
287,Good,1.333,17798
288,Good,0.667,17804
289,Good,0.667,17808
290,Good,0.667,17814
291,Good,1.333,17818
292,Good,0.667,17824
293,Good,1.333,17828
294,Good,1.333,17834
295,Good,1.333,17838
296,Good,1.333,17844
297,Good,2.666,17850
298,Good,0.667,17854
299,Good,1.333,17860
300,Good,1.333,17864
301,Good,0.667,17870
302,Good,0.667,17874
303,Good,0.667,17880
304,Good,1.333,17884
305,Good,0.667,17890
306,Good,0.667,17894
307,Good,1.333,17900
308,Good,1.333,17904
309,Good,2.000,17910
310,Good,1.333,17914
311,Good,0.667,17920
312,Good,1.333,17924
313,Good,1.333,17930
314,Good,1.333,17934
315,Good,0.667,17940
316,Good,0.667,17944
317,Good,0.667,17950
318,Good,1.333,17954
319,Good,0.667,17960
320,Good,1.333,17964
321,Good,1.333,17970
322,Good,1.333,17974
323,Good,1.333,17980
324,Good,0.667,17984
325,Good,0.667,17990
326,Good,1.333,17994
327,Good,1.333,18000
328,Good,0.667,18004
329,Good,0.667,18010
330,Good,0.667,18014
331,Good,1.333,18020
332,Good,0.667,18024
333,Good,0.667,18030
334,Good,1.333,18034
335,Good,1.333,18040
336,Good,1.333,18044
337,Good,0.667,18050
338,Good,0.667,18054
339,Good,1.333,18060
340,Good,1.333,18064
341,Good,1.333,18070
342,Good,0.667,18074
343,Good,0.667,18080
344,Good,1.333,18086
345,Good,0.667,18090
346,Good,0.667,18096
347,Good,1.333,18100
348,Good,1.333,18106
349,Good,1.333,18110
350,Good,1.333,18116
351,Good,0.667,18120
352,Good,0.667,18126
353,Good,1.333,18130
354,Good,1.333,18136
355,Good,0.667,18140
356,Good,0.667,18146
357,Good,1.333,18150
358,Good,0.667,18156
359,Good,0.667,18160
360,Good,1.333,18166
361,Good,1.333,18170
362,Good,1.333,18176
363,Good,1.333,18180
364,Good,0.667,18186
365,Good,0.667,18190
366,Good,1.333,18196
367,Good,1.333,18200
368,Good,0.667,18206
369,Good,0.667,18210
370,Good,0.667,18216
371,Good,1.333,18220
372,Good,0.667,18226
373,Good,0.667,18230
374,Good,1.333,18236
375,Good,1.333,18240
376,Good,1.333,18246
377,Good,0.667,18250
378,Good,0.667,18256
379,Good,1.333,18260
380,Good,1.333,18266
381,Good,1.333,18270
382,Good,0.667,18276
383,Good,0.667,18280
384,Good,1.333,18286
385,Good,0.667,18290
386,Good,0.667,18296
387,Good,1.333,18300
388,Good,1.333,18306
389,Good,1.333,18310
390,Good,1.333,18316
391,Good,0.667,18322
392,Good,0.667,18326
393,Good,1.333,18332
394,Good,1.333,18336
395,Good,0.667,18342
396,Good,0.667,18346
397,Good,1.333,18352
398,Good,0.667,18356
399,Good,1.333,18362
400,Good,0.667,18366
401,Good,1.333,18372
402,Good,1.333,18376
403,Good,1.333,18382
404,Good,0.667,18386
405,Good,0.667,18392
406,Good,1.333,18396
407,Good,1.333,18402
408,Good,1.333,18406
409,Good,0.667,18412
410,Good,1.333,18416
411,Good,0.667,18422
412,Good,0.667,18426
413,Good,0.667,18432
414,Good,1.333,18436
415,Good,1.333,18442
416,Good,1.333,18446
417,Good,0.667,18452
418,Good,0.667,18456
419,Good,0.667,18462
420,Good,1.333,18466
421,Good,1.333,18472
422,Good,0.667,18476
423,Good,0.667,18482
424,Good,1.333,18486
425,Good,0.667,18492
426,Good,0.667,18496
427,Good,0.667,18502
428,Good,1.333,18506
429,Good,1.333,18512
430,Good,0.667,18516
431,Good,0.667,18522
432,Good,0.667,18526
433,Good,1.333,18532
434,Good,1.333,18536
435,Good,0.667,18542
436,Good,0.667,18546
437,Good,1.333,18552
438,Good,1.333,18558
439,Good,0.667,18562
440,Good,0.667,18568
441,Good,1.333,18572
442,Good,1.333,18578
443,Good,1.333,18582
444,Good,0.667,18588
445,Good,0.667,18592
446,Good,1.333,18598
447,Good,1.333,18602
448,Good,1.333,18608
449,Good,0.667,18612
450,Good,1.333,18618
451,Good,1.333,18622
452,Good,0.667,18628
453,Good,0.667,18632
454,Good,1.333,18638
455,Good,1.333,18642
456,Good,1.333,18648
457,Good,0.667,18652
458,Good,0.667,18658
459,Good,0.667,18662
460,Good,1.333,18668
461,Good,1.333,18672
462,Good,0.667,18678
463,Good,0.667,18682
464,Good,1.333,18688
465,Good,0.667,18692
466,Good,0.667,18698
467,Good,0.667,18702
468,Good,1.333,18708
469,Good,1.333,18712
470,Good,0.667,18718
471,Good,0.667,18722
472,Good,0.667,18728
473,Good,1.333,18732
474,Good,1.333,18738
475,Good,1.333,18742
476,Good,0.667,18748
477,Good,1.333,18752
478,Good,0.667,18758
479,Good,0.667,18762
480,Good,0.667,18768
481,Good,1.333,18772
482,Good,1.333,18778
483,Good,1.333,18782
484,Good,1.333,18788
485,Good,1.333,18792
486,Good,1.333,18798
487,Good,1.333,18804
488,Good,1.333,18808
489,Good,0.667,18814
490,Good,1.333,18818
491,Good,1.333,18824
492,Good,0.667,18828
493,Good,0.667,18834
494,Good,0.667,18838
495,Good,1.333,18844
496,Good,1.333,18848
497,Good,0.667,18854
498,Good,0.667,18858
499,Good,0.667,18864
500,Good,1.333,18868
501,Good,1.333,18874
502,Good,1.333,18878
503,Good,1.333,18884
504,Good,1.333,18888
505,Good,0.667,18894
506,Good,0.667,18898
507,Good,0.667,18904
508,Good,1.333,18908
509,Good,1.333,18914
510,Good,1.333,18918
511,Good,1.333,18924
512,Good,1.333,18928
513,Good,1.333,18934
514,Good,1.333,18938
515,Good,1.333,18944
516,Good,0.667,18948
517,Good,1.333,18954
518,Good,1.333,18958
519,Good,0.667,18964
520,Good,0.667,18968
521,Good,1.333,18974
522,Good,1.333,18978
523,Good,1.333,18984
524,Good,1.333,18988
525,Good,1.333,18994
526,Good,1.333,18998
527,Good,1.333,19004
528,Good,1.333,19008
529,Good,0.667,19014
530,Good,1.333,19018
531,Good,1.333,19024
532,Good,0.667,19028
533,Good,0.667,19034
534,Good,0.667,19040
535,Good,1.333,19044
536,Good,1.333,19050
537,Good,0.667,19054
538,Good,0.667,19060
539,Good,0.667,19064
540,Good,1.333,19070
541,Good,1.333,19074
542,Good,1.333,19080
543,Good,1.333,19084
544,Good,1.333,19090
545,Good,0.667,19094
546,Good,0.667,19100
547,Good,0.667,19104
548,Good,1.333,19110
549,Good,1.333,19114
550,Good,1.333,19120
551,Good,1.333,19124
552,Good,1.333,19130
553,Good,1.333,19134
554,Good,1.333,19140
555,Good,1.333,19144
556,Good,1.333,19150
557,Good,1.333,19154
558,Good,1.333,19160
559,Good,0.667,19164
560,Good,0.667,19170
561,Good,0.667,19174
562,Good,1.333,19180
563,Good,1.333,19184
564,Good,0.667,19190
565,Good,1.333,19194
566,Good,1.333,19200
567,Good,1.333,19204
568,Good,1.333,19210
569,Good,1.333,19214
570,Good,1.333,19220
571,Good,1.333,19224
572,Good,0.667,19230
573,Good,0.667,19234
574,Good,0.667,19240
575,Good,1.333,19244
576,Good,1.333,19250
577,Good,0.667,19254
578,Good,1.333,19260
579,Good,1.333,19264
580,Good,1.333,19270
581,Good,2.000,19276
582,Good,1.333,19280
583,Good,1.333,19286
584,Good,1.333,19290
585,Good,1.333,19296
586,Good,0.667,19300
587,Good,0.667,19306
588,Good,1.333,19310
589,Good,1.333,19316
590,Good,1.333,19320
591,Good,1.333,19326
592,Good,1.333,19330
593,Good,1.333,19336
594,Good,1.333,19340
595,Good,1.333,19346
596,Good,0.667,19350
597,Good,1.333,19356
598,Good,1.333,19360
599,Good,0.667,19366
600,Good,0.667,19370
601,Good,0.667,19376
602,Good,1.333,19380
603,Good,1.333,19386
604,Good,1.333,19390
605,Good,1.333,19396
606,Good,1.333,19400
607,Good,1.333,19406
608,Good,1.333,19410
609,Good,1.333,19416
610,Good,1.333,19420
611,Good,1.333,19426
612,Good,1.333,19430
613,Good,0.667,19436
614,Good,0.667,19440
615,Good,1.333,19446
616,Good,1.333,19450
617,Good,0.667,19456
618,Good,1.333,19460
619,Good,1.333,19466
620,Good,1.333,19470
621,Good,1.333,19476
622,Good,1.333,19480
623,Good,0.667,19486
624,Good,1.333,19490
625,Good,1.333,19496
626,Good,0.667,19500
627,Good,0.667,19506
628,Good,2.000,19512
629,Good,0.667,19516
630,Good,0.667,19522
631,Good,0.667,19526
632,Good,1.333,19532
633,Good,1.333,19536
634,Good,1.333,19542
635,Good,1.333,19546
636,Good,0.667,19552
637,Good,1.333,19556
638,Good,1.333,19562
639,Good,0.667,19566
640,Good,0.667,19572
641,Good,0.667,19576
642,Good,1.333,19582
643,Good,1.333,19586
644,Good,0.667,19592
645,Good,1.333,19596
646,Good,1.333,19602
647,Good,1.333,19606
648,Good,1.333,19612
649,Good,0.667,19616
650,Good,0.667,19622
651,Good,1.333,19626
652,Good,1.333,19632
653,Good,0.667,19636
654,Good,0.667,19642
655,Good,0.667,19646
656,Good,1.333,19652
657,Good,0.667,19656
658,Good,0.667,19662
659,Good,1.333,19666
660,Good,1.333,19672
661,Good,1.333,19676
662,Good,1.333,19682
663,Good,0.667,19686
664,Good,1.333,19692
665,Good,1.333,19696
666,Good,0.667,19702
667,Good,0.667,19706
668,Good,0.667,19712
669,Good,1.333,19716
670,Good,0.667,19722
671,Good,1.333,19726
672,Good,1.333,19732
673,Good,1.333,19736
674,Good,1.333,19742
675,Good,1.333,19746
676,Good,0.667,19752
677,Good,1.333,19758
678,Good,1.333,19762
679,Good,1.333,19768
680,Good,0.667,19772
681,Good,0.667,19778
682,Good,0.667,19782
683,Good,1.333,19788
684,Good,0.667,19792
685,Good,1.333,19798
686,Good,1.333,19802
687,Good,1.333,19808
688,Good,1.333,19812
689,Good,0.667,19818
690,Good,0.667,19822
691,Good,1.333,19828
692,Good,1.333,19832
693,Good,0.667,19838
694,Good,0.667,19842
695,Good,1.333,19848
696,Good,1.333,19852
697,Good,0.667,19858
698,Good,0.667,19862
699,Good,1.333,19868
700,Good,1.333,19872
701,Good,1.333,19878
702,Good,0.667,19882
703,Good,0.667,19888
704,Good,1.333,19892
705,Good,1.333,19898
706,Good,0.667,19902
707,Good,0.667,19908
708,Good,0.667,19912
709,Good,1.333,19918
710,Good,0.667,19922
711,Good,0.667,19928
712,Good,1.333,19932
713,Good,1.333,19938
714,Good,1.333,19942
715,Good,1.333,19948
716,Good,0.667,19952
717,Good,1.333,19958
718,Good,1.333,19962
719,Good,1.333,19968
720,Good,0.667,19972
721,Good,0.667,19978
722,Good,1.333,19982
723,Good,0.667,19988
724,Good,1.333,19994
725,Good,1.333,19998
726,Good,1.333,20004
727,Good,1.333,20008
728,Good,1.333,20014
729,Good,0.667,20018
730,Good,0.667,20024
731,Good,1.333,20028
732,Good,1.333,20034
733,Good,0.667,20038
734,Good,0.667,20044
735,Good,0.667,20048
736,Good,1.333,20054
737,Good,0.667,20058
738,Good,0.667,20064
739,Good,1.333,20068
740,Good,1.333,20074
741,Good,1.333,20078
742,Good,0.667,20084
743,Good,0.667,20088
744,Good,1.333,20094
745,Good,1.333,20098
746,Good,1.333,20104
747,Good,0.667,20108
748,Good,0.667,20114
749,Good,1.333,20118
750,Good,0.667,20124
