counter,status,resp_time,value_first
0,Good,1.333,2692.499967
1,Good,1.333,2694.399967
2,Good,1.333,2697.249967
3,Good,1.333,2699.149967
4,Good,0.667,2701.999967
5,Good,0.667,2703.899967
6,Good,0.667,2706.749967
7,Good,1.333,2708.649967
8,Good,1.333,2711.499967
9,Good,2.000,2713.399967
10,Good,1.333,2716.249967
11,Good,1.333,2718.149967
12,Good,1.333,2720.999967
13,Good,1.333,2722.899967
14,Good,1.333,2725.749967
15,Good,0.667,2727.649967
16,Good,1.333,2730.499967
17,Good,1.333,2732.399967
18,Good,0.667,2735.249967
19,Good,0.667,2737.149967
20,Good,0.667,2739.999967
21,Good,1.333,2741.899967
22,Good,1.333,2744.749967
23,Good,1.333,2746.649967
24,Good,1.333,2749.499967
25,Good,1.333,2751.399967
26,Good,1.333,2754.249967
27,Good,2.666,2757.099967
28,Good,0.667,2758.999967
29,Good,1.333,2761.849967
30,Good,1.333,2763.749967
31,Good,0.667,2766.599967
32,Good,0.667,2768.499967
33,Good,0.667,2771.349966
34,Good,1.333,2773.249966
35,Good,1.333,2776.099966
36,Good,0.667,2777.999966
37,Good,0.667,2780.849966
38,Good,0.667,2782.749966
39,Good,1.333,2785.599966
40,Good,1.333,2787.499966
41,Good,1.333,2790.349966
42,Good,1.333,2792.249966
43,Good,1.333,2795.099966
44,Good,1.333,2796.999966
45,Good,0.667,2799.849966
46,Good,0.667,2801.749966
47,Good,0.667,2804.599966
48,Good,1.333,2806.499966
49,Good,1.333,2809.349966
50,Good,1.333,2811.249966
51,Good,1.333,2814.099966
52,Good,1.333,2815.999966
53,Good,1.333,2818.849966
54,Good,1.333,2820.749966
55,Good,1.333,2823.599966
56,Good,1.333,2825.499966
57,Good,1.333,2828.349966
58,Good,0.667,2830.249966
59,Good,0.667,2833.099966
60,Good,0.667,2834.999966
61,Good,1.333,2837.849966
62,Good,1.333,2839.749966
63,Good,1.333,2842.599966
64,Good,1.333,2844.499966
65,Good,1.333,2847.349966
66,Good,1.333,2849.249965
67,Good,1.333,2852.099965
68,Good,1.333,2853.999965
69,Good,1.333,2856.849965
