counter,status,resp_time,value_first
0,Good,1.333,2843.550000
1,Good,2.000,2845.450000
2,Good,0.667,2848.300000
3,Good,1.333,2850.200000
4,Good,1.333,2853.050000
5,Good,2.000,2854.950000
6,Good,1.333,2857.800000
7,Good,1.333,2859.700000
8,Good,1.333,2861.600000
9,Good,1.333,2864.450000
10,Good,2.000,2866.350000
11,Good,1.333,2869.200000
12,Good,2.000,2871.100000
13,Good,1.333,2873.950000
14,Good,0.667,2875.850000
15,Good,1.333,2878.700000
16,Good,1.333,2880.600000
17,Good,1.333,2882.500000
18,Good,2.000,2885.350000
19,Good,1.333,2887.250000
20,Good,2.000,2890.100000
21,Good,1.333,2892.000000
22,Good,2.000,2894.850000
23,Good,1.333,2896.750000
24,Good,0.667,2898.650000
25,Good,1.333,2901.500000
26,Good,2.000,2903.400000
27,Good,1.333,2906.250000
28,Good,1.333,2908.150000
29,Good,1.333,2911.000000
30,Good,1.333,2912.900000
31,Good,2.000,2915.750000
32,Good,1.333,2917.650000
33,Good,1.333,2919.550000
34,Good,1.333,2922.400000
35,Good,1.333,2924.300000
36,Good,2.000,2927.150000
37,Good,1.333,2929.050000
38,Good,1.333,2931.900000
39,Good,2.000,2933.800000
40,Good,1.333,2936.650000
41,Good,1.333,2938.550000
42,Good,1.333,2940.450000
43,Good,1.333,2943.300000
44,Good,1.333,2945.200000
45,Good,2.000,2948.050000
46,Good,1.333,2949.950000
47,Good,1.333,2952.800000
48,Good,1.333,2954.700000
49,Good,6.666,2957.550000
50,Good,2.000,2959.450000
51,Good,1.333,2961.350000
52,Good,2.000,2964.200000
53,Good,1.333,2966.100000
54,Good,0.667,2968.950000
55,Good,1.333,2970.850000
56,Good,1.333,2973.700000
57,Good,1.333,2975.600000
58,Good,2.000,2977.500000
59,Good,1.333,2980.350000
60,Good,1.333,2982.250000
61,Good,1.333,2985.100000
62,Good,1.333,2987.000000
63,Good,2.000,2989.850000
64,Good,1.333,2991.750000
65,Good,2.000,2994.600000
66,Good,1.333,2996.500000
67,Good,0.667,2998.400000
68,Good,1.333,3001.250000
69,Good,1.333,3003.150000
70,Good,1.333,3006.000000
71,Good,2.000,3007.900000
72,Good,1.333,3010.750000
73,Good,1.333,3012.650000
74,Good,4.666,3015.500000
75,Good,1.333,3017.400000
76,Good,2.000,3019.300000
77,Good,1.333,3022.150000
78,Good,1.333,3024.050000
79,Good,2.000,3026.900000
80,Good,1.333,3028.800000
81,Good,1.333,3031.650000
82,Good,1.333,3033.550000
83,Good,6.666,3036.400000
84,Good,1.333,3038.300000
85,Good,1.333,3040.200000
86,Good,1.333,3043.050000
87,Good,1.333,3044.950000
88,Good,1.333,3047.800000
89,Good,1.333,3049.700000
90,Good,2.000,3052.550000
91,Good,1.333,3054.450000
92,Good,2.000,3056.350000
93,Good,1.333,3059.200000
94,Good,0.667,3061.100000
95,Good,1.333,3063.950000
96,Good,1.333,3065.850000
97,Good,1.333,3068.700000
98,Good,2.000,3070.600000
99,Good,1.333,3073.450000
100,Good,1.333,3075.350000
101,Good,1.333,3077.250000
102,Good,1.333,3080.100000
103,Good,2.000,3082.000000
104,Good,1.333,3084.850000
105,Good,1.333,3086.750000
106,Good,2.000,3089.600000
107,Good,1.333,3091.500000
108,Good,1.333,3094.350000
109,Good,1.333,3096.250000
110,Good,1.333,3098.150000
111,Good,2.000,3101.000000
112,Good,1.333,3102.900000
113,Good,1.333,3105.750000
114,Good,1.333,3107.650000
115,Good,1.333,3110.500000
116,Good,2.000,3112.400000
117,Good,1.333,3114.300000
118,Good,1.333,3117.150000
119,Good,2.000,3119.050000
120,Good,1.333,3121.900000
121,Good,0.667,3123.800000
122,Good,1.333,3126.650000
123,Good,1.333,3128.550000
124,Good,2.000,3131.400000
125,Good,1.333,3133.300000
126,Good,1.333,3135.200000
127,Good,1.333,3138.050000
128,Good,1.333,3139.950000
129,Good,1.333,3142.800000
130,Good,2.000,3144.700000
131,Good,1.333,3147.550000
132,Good,1.333,3149.450000
133,Good,4.000,3152.300000
134,Good,1.333,3154.200000
135,Good,0.667,3156.100000
136,Good,1.333,3158.950000
137,Good,2.000,3160.850000
138,Good,1.333,3163.700000
139,Good,1.333,3165.600000
140,Good,1.333,3168.450000
141,Good,1.333,3170.350000
142,Good,1.333,3172.250000
143,Good,1.333,3175.100000
144,Good,1.333,3177.000000
145,Good,1.333,3179.850000
146,Good,2.000,3181.750000
147,Good,1.333,3184.600000
148,Good,0.667,3186.500000
149,Good,1.333,3189.350000
150,Good,1.333,3191.250000
151,Good,1.333,3193.150000
152,Good,1.333,3196.000000
153,Good,1.333,3197.900000
154,Good,1.333,3200.750000
155,Good,1.333,3202.650000
156,Good,1.333,3205.500000
157,Good,1.333,3207.400000
158,Good,2.666,3210.250000
159,Good,2.000,3212.150000
160,Good,1.333,3214.050000
161,Good,0.667,3216.900000
162,Good,1.333,3218.800000
163,Good,1.333,3221.650000
164,Good,2.000,3223.550000
165,Good,1.333,3226.400000
166,Good,1.333,3228.300000
167,Good,1.333,3230.200000
168,Good,1.333,3233.050000
169,Good,1.333,3234.950000
170,Good,2.000,3237.800000
171,Good,1.333,3239.700000
172,Good,2.000,3242.550000
173,Good,1.333,3244.450000
174,Good,2.000,3247.300000
175,Good,1.333,3249.200000
176,Good,1.333,3251.100000
177,Good,1.333,3253.950000
178,Good,1.333,3255.850000
179,Good,1.333,3258.700000
180,Good,1.333,3260.600000
181,Good,1.333,3263.450000
182,Good,1.333,3265.350000
183,Good,2.000,3268.200000
184,Good,1.333,3270.100000
185,Good,1.333,3272.000000
186,Good,2.000,3274.850000
187,Good,1.333,3276.750000
188,Good,1.333,3279.600000
189,Good,1.333,3281.500000
190,Good,1.333,3284.350000
191,Good,0.667,3286.250000
192,Good,1.333,3288.150000
193,Good,1.333,3291.000000
194,Good,1.333,3292.900000
195,Good,1.333,3295.750000
196,Good,1.333,3297.650000
197,Good,1.333,3300.500000
198,Good,1.333,3302.400000
199,Good,2.000,3305.250000
200,Good,1.333,3307.150000
201,Good,2.000,3309.050000
202,Good,1.333,3311.900000
203,Good,1.333,3313.800000
204,Good,1.333,3316.650000
205,Good,1.333,3318.550000
206,Good,1.333,3321.400000
207,Good,1.333,3323.300000
208,Good,1.333,3326.150000
209,Good,1.333,3328.050000
210,Good,0.667,3329.950000
211,Good,1.333,3332.800000
212,Good,1.333,3334.700000
213,Good,2.000,3337.550000
214,Good,1.333,3339.450000
215,Good,0.667,3342.300000
216,Good,1.333,3344.200000
217,Good,1.333,3346.100000
218,Good,0.667,3348.950000
219,Good,1.333,3350.850000
220,Good,1.333,3353.700000
221,Good,1.333,3355.600000
222,Good,1.333,3358.450000
223,Good,1.333,3360.350000
224,Good,1.333,3363.200000
225,Good,1.333,3365.100000
226,Good,1.333,3367.000000
227,Good,2.000,3369.850000
228,Good,1.333,3371.750000
229,Good,1.333,3374.600000
230,Good,1.333,3376.500000
231,Good,0.667,3379.350000
232,Good,1.333,3381.250000
233,Good,1.333,3384.100000
234,Good,1.333,3386.000000
235,Good,1.333,3387.900000
236,Good,1.333,3390.750000
237,Good,1.333,3392.650000
238,Good,1.333,3395.500000
239,Good,1.333,3397.400000
240,Good,2.000,3400.250000
241,Good,1.333,3402.150000
242,Good,0.667,3404.050000
243,Good,1.333,3406.900000
244,Good,1.333,3408.800000
245,Good,1.333,3411.650000
246,Good,1.333,3413.550000
247,Good,1.333,3416.400000
248,Good,1.333,3418.300000
249,Good,1.333,3421.150000
250,Good,0.667,3423.050000
251,Good,1.333,3424.950000
252,Good,1.333,3427.800000
253,Good,1.333,3429.700000
254,Good,2.000,3432.550000
255,Good,1.333,3434.450000
256,Good,1.333,3437.300000
257,Good,1.333,3439.200000
258,Good,2.666,3442.050000
259,Good,1.333,3443.950000
260,Good,1.333,3445.850000
261,Good,1.333,3448.700000
262,Good,2.000,3450.600000
263,Good,1.333,3453.450000
264,Good,1.333,3455.350000
265,Good,1.333,3458.200000
266,Good,1.333,3460.100000
267,Good,2.000,3462.000000
268,Good,1.333,3464.850000
269,Good,1.333,3466.750000
270,Good,1.333,3469.600000
271,Good,0.667,3471.500000
272,Good,1.333,3474.350000
273,Good,1.333,3476.250000
274,Good,1.333,3479.100000
275,Good,1.333,3481.000000
276,Good,1.333,3482.900000
277,Good,1.333,3485.750000
278,Good,1.333,3487.650000
279,Good,1.333,3490.500000
280,Good,2.000,3492.400000
281,Good,1.333,3495.250000
282,Good,0.667,3497.150000
283,Good,2.666,3500.000000
284,Good,1.333,3501.900000
285,Good,1.333,3503.800000
286,Good,1.333,3506.650000
287,Good,1.333,3508.550000
288,Good,1.333,3511.400000
289,Good,1.333,3513.300000
290,Good,1.333,3516.150000
291,Good,1.333,3518.050000
292,Good,1.333,3519.950000
293,Good,1.333,3522.800000
294,Good,2.000,3524.700000
295,Good,1.333,3527.550000
296,Good,1.333,3529.450000
297,Good,1.333,3532.300000
298,Good,0.667,3534.200000
299,Good,1.333,3537.050000
300,Good,1.333,3538.950000
301,Good,1.333,3540.850000
302,Good,1.333,3543.700000
303,Good,1.333,3545.600000
304,Good,1.333,3548.450000
305,Good,1.333,3550.350000
306,Good,1.333,3553.200000
307,Good,2.000,3555.100000
308,Good,2.666,3557.950000
309,Good,2.000,3559.850000
310,Good,1.333,3561.750000
311,Good,0.667,3564.600000
312,Good,1.333,3566.500000
313,Good,1.333,3569.350000
314,Good,1.333,3571.250000
315,Good,1.333,3574.100000
316,Good,1.333,3576.000000
317,Good,0.667,3577.900000
318,Good,1.333,3580.750000
319,Good,2.000,3582.650000
320,Good,1.333,3585.500000
321,Good,2.000,3587.400000
322,Good,1.333,3590.250000
323,Good,1.333,3592.150000
324,Good,2.000,3595.000000
325,Good,1.333,3596.900000
326,Good,1.333,3598.800000
327,Good,1.333,3601.650000
328,Good,1.333,3603.550000
329,Good,1.333,3606.400000
330,Good,0.667,3608.300000
331,Good,1.333,3611.150000
332,Good,1.333,3613.050000
333,Good,2.000,3615.900000
334,Good,1.333,3617.800000
335,Good,2.000,3619.700000
336,Good,2.000,3622.550000
337,Good,1.333,3624.450000
338,Good,0.667,3627.300000
339,Good,1.333,3629.200000
340,Good,1.333,3632.050000
341,Good,1.333,3633.950000
342,Good,5.999,3636.800000
343,Good,1.333,3638.700000
344,Good,1.333,3640.600000
345,Good,1.333,3643.450000
346,Good,1.333,3645.350000
347,Good,2.000,3648.200000
348,Good,1.333,3650.100000
349,Good,1.333,3652.950000
350,Good,1.333,3654.850000
351,Good,2.000,3656.750000
352,Good,2.000,3659.600000
353,Good,1.333,3661.500000
354,Good,1.333,3664.350000
355,Good,1.333,3666.250000
356,Good,2.000,3669.100000
357,Good,1.333,3671.000000
358,Good,1.333,3673.850000
359,Good,1.333,3675.750000
360,Good,1.333,3677.650000
361,Good,2.000,3680.500000
362,Good,1.333,3682.400000
363,Good,1.333,3685.250000
364,Good,2.000,3687.150000
365,Good,1.333,3690.000000
366,Good,1.333,3691.900000
367,Good,1.333,3694.750000
368,Good,1.333,3696.650000
369,Good,1.333,3698.550000
370,Good,0.667,3701.400000
371,Good,0.667,3703.300000
372,Good,1.333,3706.150000
373,Good,1.333,3708.050000
374,Good,2.000,3710.900000
375,Good,1.333,3712.800000
376,Good,1.333,3714.700000
377,Good,2.000,3717.550000
378,Good,1.333,3719.450000
379,Good,0.667,3722.300000
380,Good,1.333,3724.200000
381,Good,1.333,3727.050000
382,Good,1.333,3728.950000
383,Good,2.000,3731.800000
384,Good,1.333,3733.700000
385,Good,1.333,3735.600000
386,Good,1.333,3738.450000
387,Good,1.333,3740.350000
388,Good,2.000,3743.200000
389,Good,1.333,3745.100000
390,Good,2.000,3747.950000
391,Good,1.333,3749.850000
392,Good,2.000,3752.700000
393,Good,2.000,3754.600000
394,Good,1.333,3756.500000
395,Good,1.333,3759.350000
396,Good,2.000,3761.250000
397,Good,1.333,3764.100000
398,Good,1.333,3766.000000
399,Good,1.333,3768.850000
400,Good,1.333,3770.750000
401,Good,1.333,3772.650000
402,Good,2.000,3775.500000
403,Good,1.333,3777.400000
404,Good,2.000,3780.250000
405,Good,1.333,3782.150000
406,Good,0.667,3785.000000
407,Good,1.333,3786.900000
408,Good,1.333,3789.750000
409,Good,2.000,3791.650000
410,Good,1.333,3793.550000
411,Good,1.333,3796.400000
412,Good,1.333,3798.300000
413,Good,1.333,3801.150000
414,Good,2.000,3803.050000
415,Good,1.333,3805.900000
416,Good,1.333,3807.800000
417,Good,2.000,3810.650000
418,Good,1.333,3812.550000
