counter,status,resp_time,value_first
0,Good,2.000,526
1,Good,1.333,529
2,Good,0.667,531
3,Good,1.333,534
4,Good,1.333,536
5,Good,2.000,539
6,Good,1.333,541
7,Good,1.333,544
8,Good,1.333,546
9,Good,1.333,548
10,Good,0.667,551
11,Good,1.333,553
12,Good,1.333,556
13,Good,1.333,558
14,Good,1.333,561
15,Good,1.333,563
16,Good,1.333,565
17,Good,1.333,568
18,Good,1.333,570
19,Good,2.000,573
20,Good,0.667,575
21,Good,1.333,578
22,Good,0.667,580
23,Good,2.000,583
24,Good,2.000,585
25,Good,1.333,587
26,Good,0.667,590
27,Good,1.333,592
28,Good,1.333,595
29,Good,1.333,597
30,Good,1.333,600
31,Good,1.333,602
32,Good,1.333,605
33,Good,1.333,607
34,Good,1.333,609
35,Good,1.333,612
36,Good,2.666,614
37,Good,2.000,617
38,Good,1.333,619
39,Good,0.667,622
40,Good,1.333,624
41,Good,5.333,627
42,Good,1.333,629
43,Good,1.333,631
44,Good,1.333,634
45,Good,1.333,636
46,Good,1.333,639
47,Good,1.333,641
48,Good,2.000,644
49,Good,1.333,646
50,Good,1.333,648
51,Good,2.000,651
52,Good,1.333,653
53,Good,0.667,656
54,Good,1.333,658
55,Good,1.333,661
56,Good,1.333,663
57,Good,1.333,666
58,Good,1.333,668
59,Good,1.333,670
60,Good,1.333,673
61,Good,1.333,675
62,Good,1.333,678
63,Good,1.333,680
64,Good,2.000,683
65,Good,1.333,685
66,Good,1.333,688
67,Good,1.333,690
68,Good,1.333,692
69,Good,0.667,695
70,Good,1.333,697
71,Good,1.333,700
72,Good,1.333,702
73,Good,1.333,705
74,Good,1.333,707
75,Good,1.333,709
76,Good,1.333,712
77,Good,2.000,714
78,Good,1.333,717
79,Good,2.000,719
80,Good,2.000,722
81,Good,1.333,724
82,Good,1.333,727
83,Good,1.333,729
84,Good,1.333,731
85,Good,1.333,734
86,Good,1.333,736
87,Good,1.333,739
88,Good,0.667,741
89,Good,1.333,744
90,Good,1.333,746
91,Good,2.000,749
92,Good,1.333,751
93,Good,0.667,753
94,Good,1.333,756
95,Good,1.333,758
96,Good,0.667,761
97,Good,1.333,763
98,Good,1.333,766
99,Good,1.333,768
100,Good,1.333,770
101,Good,1.333,773
102,Good,1.333,775
103,Good,1.333,778
104,Good,1.333,780
105,Good,2.000,783
106,Good,1.333,785
107,Good,1.333,788
108,Good,1.333,790
109,Good,0.667,792
110,Good,1.333,795
111,Good,1.333,797
112,Good,1.333,800
113,Good,1.333,802
114,Good,1.333,805
115,Good,1.333,807
116,Good,1.333,810
117,Good,1.333,812
118,Good,2.666,814
119,Good,2.000,817
120,Good,2.000,819
121,Good,1.333,822
122,Good,1.333,824
123,Good,1.333,827
124,Good,1.333,829
125,Good,5.333,832
126,Good,1.333,834
127,Good,1.333,836
128,Good,1.333,839
129,Good,1.333,841
130,Good,1.333,844
131,Good,2.000,846
132,Good,1.333,849
133,Good,1.333,851
134,Good,1.333,853
135,Good,1.333,856
136,Good,1.333,858
137,Good,1.333,861
138,Good,1.333,863
139,Good,1.333,866
140,Good,1.333,868
141,Good,0.667,871
142,Good,1.333,873
143,Good,1.333,875
144,Good,2.000,878
145,Good,1.333,880
146,Good,2.000,883
147,Good,2.000,885
148,Good,1.333,888
149,Good,0.667,890
150,Good,1.333,893
151,Good,1.333,895
152,Good,1.333,897
153,Good,1.333,900
154,Good,1.333,902
155,Good,1.333,905
156,Good,1.333,907
157,Good,2.000,910
158,Good,1.333,912
159,Good,7.333,915
160,Good,0.667,917
161,Good,1.333,919
162,Good,2.000,922
163,Good,1.333,924
164,Good,1.333,927
165,Good,1.333,929
166,Good,1.333,932
167,Good,1.333,934
168,Good,0.667,936
169,Good,1.333,939
170,Good,1.333,941
171,Good,2.000,944
172,Good,1.333,946
173,Good,0.667,949
174,Good,1.333,951
175,Good,1.333,954
176,Good,0.667,956
177,Good,1.333,958
178,Good,1.333,961
179,Good,1.333,963
180,Good,1.333,966
181,Good,2.000,968
182,Good,1.333,971
183,Good,1.333,973
184,Good,2.000,976
185,Good,1.333,978
186,Good,2.000,980
187,Good,1.333,983
188,Good,1.333,985
189,Good,2.000,988
190,Good,2.000,990
191,Good,1.333,993
192,Good,1.333,995
193,Good,3.333,998
194,Good,2.000,1000
195,Good,1.333,1002
196,Good,1.333,1005
197,Good,1.333,1007
198,Good,2.000,1010
199,Good,1.333,1012
200,Good,1.333,1015
201,Good,1.333,1017
202,Good,7.333,1020
203,Good,0.667,1022
204,Good,1.333,1024
205,Good,1.333,1027
206,Good,1.333,1029
207,Good,1.333,1032
208,Good,1.333,1034
209,Good,1.333,1037
210,Good,1.333,1039
211,Good,1.333,1041
212,Good,2.000,1044
213,Good,1.333,1046
214,Good,1.333,1049
215,Good,2.000,1051
216,Good,1.333,1054
217,Good,1.333,1056
218,Good,1.333,1059
219,Good,1.333,1061
220,Good,1.333,1063
221,Good,2.000,1066
222,Good,1.333,1068
223,Good,1.333,1071
224,Good,1.333,1073
225,Good,2.000,1076
226,Good,1.333,1078
227,Good,1.333,1081
228,Good,1.333,1083
229,Good,2.000,1085
230,Good,1.333,1088
