counter,status,resp_time,value_first
0,Good,0.667,-8849
1,Good,1.333,-8846
2,Good,1.333,-8844
3,Good,2.000,-8841
4,Good,1.333,-8839
5,Good,1.333,-8837
6,Good,1.333,-8834
7,Good,1.333,-8832
8,Good,1.333,-8829
9,Good,2.000,-8827
10,Good,1.333,-8824
11,Good,2.000,-8822
12,Good,1.333,-8819
13,Good,1.333,-8817
14,Good,1.333,-8815
15,Good,1.333,-8812
16,Good,1.333,-8810
17,Good,2.000,-8807
18,Good,1.333,-8805
19,Good,1.333,-8802
20,Good,1.333,-8800
21,Good,1.333,-8798
22,Good,2.000,-8795
23,Good,1.333,-8793
24,Good,1.333,-8790
25,Good,2.000,-8788
26,Good,1.333,-8785
27,Good,1.333,-8783
28,Good,1.333,-8780
29,Good,1.333,-8778
30,Good,2.000,-8776
31,Good,1.333,-8773
32,Good,1.333,-8771
33,Good,1.333,-8768
34,Good,1.333,-8766
35,Good,2.000,-8763
36,Good,1.333,-8761
37,Good,2.000,-8758
38,Good,1.333,-8756
39,Good,2.000,-8754
40,Good,1.333,-8751
41,Good,1.333,-8749
42,Good,1.333,-8746
43,Good,1.333,-8744
44,Good,1.333,-8741
45,Good,1.333,-8739
46,Good,6.666,-8736
47,Good,1.333,-8734
48,Good,1.333,-8732
49,Good,2.000,-8729
50,Good,1.333,-8727
51,Good,1.333,-8724
52,Good,2.000,-8722
53,Good,2.000,-8719
54,Good,1.333,-8717
55,Good,1.333,-8715
56,Good,1.333,-8712
57,Good,1.333,-8710
58,Good,1.333,-8707
59,Good,1.333,-8705
60,Good,1.333,-8702
61,Good,1.333,-8700
62,Good,2.000,-8697
63,Good,1.333,-8695
64,Good,1.333,-8693
65,Good,2.000,-8690
66,Good,1.333,-8688
67,Good,0.667,-8685
68,Good,1.333,-8683
69,Good,1.333,-8680
70,Good,2.000,-8678
71,Good,1.333,-8675
72,Good,1.333,-8673
73,Good,1.333,-8671
74,Good,1.333,-8668
75,Good,1.333,-8666
76,Good,1.333,-8663
77,Good,1.333,-8661
78,Good,2.000,-8658
79,Good,1.333,-8656
80,Good,7.333,-8653
81,Good,1.333,-8651
82,Good,1.333,-8649
83,Good,1.333,-8646
84,Good,1.333,-8644
85,Good,1.333,-8641
86,Good,1.333,-8639
87,Good,1.333,-8636
88,Good,1.333,-8634
89,Good,1.333,-8632
90,Good,1.333,-8629
91,Good,1.333,-8627
92,Good,2.000,-8624
93,Good,1.333,-8622
94,Good,0.667,-8619
95,Good,1.333,-8617
96,Good,1.333,-8614
97,Good,1.333,-8612
98,Good,1.333,-8610
99,Good,1.333,-8607
100,Good,1.333,-8605
101,Good,1.333,-8602
102,Good,1.333,-8600
103,Good,1.333,-8597
104,Good,1.333,-8595
105,Good,2.666,-8592
106,Good,2.000,-8590
107,Good,1.333,-8588
108,Good,1.333,-8585
109,Good,2.000,-8583
110,Good,1.333,-8580
111,Good,1.333,-8578
112,Good,1.333,-8575
113,Good,1.333,-8573
114,Good,1.333,-8571
115,Good,1.333,-8568
116,Good,1.333,-8566
117,Good,1.333,-8563
