counter,status,resp_time,value_first
0,Good,0.667,-18660
1,Good,2.000,-18656
2,Good,2.000,-18650
3,Good,1.333,-18646
4,Good,1.333,-18640
5,Good,2.000,-18636
6,Good,1.333,-18630
7,Good,1.333,-18626
8,Good,1.333,-18620
9,Good,2.000,-18616
10,Good,1.333,-18610
11,Good,1.333,-18606
12,Good,2.000,-18600
13,Good,1.333,-18596
14,Good,2.000,-18590
15,Good,2.000,-18586
16,Good,1.333,-18580
17,Good,1.333,-18576
18,Good,2.000,-18570
19,Good,1.333,-18566
20,Good,1.333,-18560
21,Good,1.333,-18556
22,Good,2.000,-18550
23,Good,1.333,-18544
24,Good,2.000,-18540
25,Good,2.000,-18534
26,Good,1.333,-18530
27,Good,2.000,-18524
28,Good,2.000,-18520
29,Good,1.333,-18514
30,Good,1.333,-18510
31,Good,2.000,-18504
32,Good,1.333,-18500
33,Good,1.333,-18494
34,Good,1.333,-18490
35,Good,2.000,-18484
36,Good,1.333,-18480
37,Good,2.000,-18474
38,Good,2.000,-18470
39,Good,1.333,-18464
40,Good,2.000,-18460
41,Good,2.000,-18454
42,Good,2.000,-18450
43,Good,2.000,-18444
44,Good,1.333,-18440
45,Good,2.000,-18434
46,Good,1.333,-18430
47,Good,1.333,-18424
48,Good,1.333,-18420
49,Good,2.000,-18414
50,Good,1.333,-18410
51,Good,1.333,-18404
52,Good,2.000,-18400
53,Good,1.333,-18394
54,Good,2.000,-18390
55,Good,2.000,-18384
56,Good,1.333,-18380
57,Good,1.333,-18374
58,Good,2.000,-18370
59,Good,1.333,-18364
60,Good,1.333,-18360
61,Good,1.333,-18354
62,Good,1.333,-18348
63,Good,2.000,-18344
64,Good,1.333,-18338
65,Good,1.333,-18334
66,Good,2.000,-18328
67,Good,2.000,-18324
68,Good,2.000,-18318
69,Good,2.000,-18314
70,Good,1.333,-18308
71,Good,2.000,-18304
72,Good,1.333,-18298
73,Good,1.333,-18294
74,Good,1.333,-18288
75,Good,2.000,-18284
76,Good,1.333,-18278
77,Good,2.000,-18274
78,Good,2.000,-18268
79,Good,1.333,-18264
80,Good,2.000,-18258
81,Good,2.000,-18254
82,Good,2.000,-18248
83,Good,2.000,-18244
84,Good,2.000,-18238
85,Good,2.000,-18234
86,Good,2.000,-18228
87,Good,1.333,-18224
88,Good,1.333,-18218
89,Good,2.000,-18214
90,Good,1.333,-18208
91,Good,1.333,-18204
92,Good,2.000,-18198
93,Good,1.333,-18194
94,Good,2.000,-18188
95,Good,2.000,-18184
96,Good,1.333,-18178
97,Good,1.333,-18174
98,Good,2.000,-18168
99,Good,1.333,-18162
100,Good,1.333,-18158
101,Good,1.333,-18152
102,Good,1.333,-18148
103,Good,2.000,-18142
104,Good,1.333,-18138
105,Good,2.000,-18132
106,Good,1.333,-18128
107,Good,2.000,-18122
108,Good,2.000,-18118
109,Good,2.000,-18112
110,Good,2.000,-18108
111,Good,2.000,-18102
112,Good,1.333,-18098
113,Good,1.333,-18092
114,Good,1.333,-18088
115,Good,1.333,-18082
116,Good,2.000,-18078
117,Good,1.333,-18072
118,Good,1.333,-18068
119,Good,2.000,-18062
120,Good,1.333,-18058
121,Good,2.000,-18052
122,Good,2.000,-18048
123,Good,1.333,-18042
124,Good,2.000,-18038
125,Good,2.000,-18032
126,Good,2.000,-18028
127,Good,1.333,-18022
128,Good,1.333,-18018
129,Good,2.000,-18012
130,Good,1.333,-18008
131,Good,1.333,-18002
132,Good,2.000,-17998
133,Good,1.333,-17992
134,Good,2.000,-17988
135,Good,2.000,-17982
136,Good,2.000,-17976
137,Good,2.000,-17972
138,Good,2.000,-17966
139,Good,1.333,-17962
140,Good,1.333,-17956
141,Good,1.333,-17952
142,Good,1.333,-17946
143,Good,2.000,-17942
144,Good,1.333,-17936
145,Good,2.000,-17932
146,Good,1.333,-17926
147,Good,2.000,-17922
148,Good,2.000,-17916
149,Good,2.000,-17912
150,Good,2.000,-17906
151,Good,2.000,-17902
152,Good,2.000,-17896
153,Good,2.000,-17892
154,Good,1.333,-17886
155,Good,1.333,-17882
156,Good,2.000,-17876
157,Good,1.333,-17872
158,Good,1.333,-17866
159,Good,2.000,-17862
160,Good,1.333,-17856
161,Good,2.000,-17852
162,Good,2.000,-17846
163,Good,1.333,-17842
164,Good,2.000,-17836
165,Good,2.000,-17832
166,Good,2.000,-17826
167,Good,1.333,-17822
168,Good,1.333,-17816
169,Good,2.000,-17812
170,Good,1.333,-17806
171,Good,1.333,-17802
172,Good,2.000,-17796
173,Good,1.333,-17792
174,Good,2.000,-17786
175,Good,2.000,-17780
176,Good,2.000,-17776
177,Good,2.000,-17770
178,Good,2.000,-17766
179,Good,1.333,-17760
180,Good,1.333,-17756
181,Good,1.333,-17750
182,Good,1.333,-17746
183,Good,2.000,-17740
184,Good,1.333,-17736
185,Good,1.333,-17730
186,Good,2.000,-17726
187,Good,1.333,-17720
188,Good,2.000,-17716
189,Good,2.000,-17710
190,Good,1.333,-17706
191,Good,2.000,-17700
192,Good,2.000,-17696
193,Good,1.333,-17690
194,Good,1.333,-17686
195,Good,1.333,-17680
196,Good,2.000,-17676
197,Good,1.333,-17670
198,Good,1.333,-17666
199,Good,2.000,-17660
200,Good,1.333,-17656
201,Good,2.000,-17650
202,Good,2.000,-17646
203,Good,2.000,-17640
204,Good,2.666,-17636
205,Good,2.000,-17630
206,Good,2.000,-17626
207,Good,1.333,-17620
208,Good,1.333,-17616
209,Good,1.333,-17610
210,Good,2.000,-17606
211,Good,1.333,-17600
212,Good,2.000,-17594
213,Good,1.333,-17590
214,Good,2.000,-17584
215,Good,2.000,-17580
216,Good,2.000,-17574
217,Good,2.000,-17570
218,Good,2.000,-17564
219,Good,2.000,-17560
220,Good,2.000,-17554
221,Good,1.333,-17550
222,Good,1.333,-17544
223,Good,2.000,-17540
224,Good,1.333,-17534
225,Good,1.333,-17530
226,Good,2.000,-17524
227,Good,1.333,-17520
228,Good,2.000,-17514
229,Good,2.000,-17510
230,Good,1.333,-17504
231,Good,2.000,-17500
232,Good,2.000,-17494
233,Good,1.333,-17490
234,Good,1.333,-17484
235,Good,1.333,-17480
236,Good,2.000,-17474
237,Good,1.333,-17470
238,Good,1.333,-17464
239,Good,1.333,-17460
240,Good,2.000,-17454
241,Good,1.333,-17450
242,Good,2.000,-17444
243,Good,2.000,-17440
244,Good,1.333,-17434
245,Good,2.000,-17430
246,Good,2.000,-17424
247,Good,1.333,-17420
248,Good,1.333,-17414
249,Good,1.333,-17410
250,Good,2.000,-17404
251,Good,1.333,-17398
252,Good,1.333,-17394
253,Good,2.000,-17388
254,Good,1.333,-17384
255,Good,2.000,-17378
256,Good,2.000,-17374
257,Good,1.333,-17368
258,Good,2.000,-17364
259,Good,2.000,-17358
260,Good,1.333,-17354
261,Good,1.333,-17348
262,Good,1.333,-17344
263,Good,2.000,-17338
264,Good,1.333,-17334
265,Good,1.333,-17328
266,Good,2.000,-17324
267,Good,1.333,-17318
268,Good,2.000,-17314
269,Good,2.000,-17308
270,Good,1.333,-17304
271,Good,2.000,-17298
272,Good,2.000,-17294
273,Good,1.333,-17288
274,Good,1.333,-17284
275,Good,1.333,-17278
