counter,status,resp_time,value_first
0,Good,2.000,-17217
1,Good,2.000,-17214
2,Good,1.333,-17212
3,Good,2.000,-17209
4,Good,2.000,-17207
5,Good,1.333,-17204
6,Good,1.333,-17202
7,Good,2.000,-17199
8,Good,1.333,-17197
9,Good,2.000,-17194
10,Good,1.333,-17192
11,Good,2.000,-17189
12,Good,1.333,-17187
13,Good,2.000,-17184
14,Good,1.333,-17182
15,Good,2.000,-17179
16,Good,1.333,-17177
17,Good,1.333,-17174
18,Good,1.333,-17172
19,Good,1.333,-17169
20,Good,1.333,-17167
21,Good,1.333,-17164
22,Good,1.333,-17162
23,Good,2.000,-17159
24,Good,1.333,-17156
25,Good,2.000,-17154
26,Good,1.333,-17151
27,Good,1.333,-17149
28,Good,1.333,-17146
29,Good,3.333,-17144
30,Good,1.333,-17141
31,Good,1.333,-17139
32,Good,1.333,-17136
33,Good,1.333,-17134
34,Good,2.000,-17131
35,Good,1.333,-17129
36,Good,1.333,-17126
37,Good,2.000,-17124
38,Good,1.333,-17121
39,Good,2.000,-17119
40,Good,1.333,-17116
41,Good,2.000,-17114
42,Good,1.333,-17111
43,Good,2.000,-17109
44,Good,1.333,-17106
45,Good,1.333,-17104
46,Good,1.333,-17101
47,Good,2.000,-17099
48,Good,1.333,-17096
49,Good,1.333,-17094
50,Good,1.333,-17091
51,Good,2.000,-17089
52,Good,1.333,-17086
53,Good,2.666,-17084
54,Good,1.333,-17081
55,Good,2.000,-17079
56,Good,1.333,-17076
57,Good,1.333,-17074
58,Good,1.333,-17071
59,Good,1.333,-17069
60,Good,2.000,-17066
61,Good,1.333,-17064
62,Good,1.333,-17061
63,Good,2.000,-17058
64,Good,1.333,-17056
65,Good,2.000,-17053
66,Good,1.333,-17051
67,Good,1.333,-17048
68,Good,1.333,-17046
69,Good,2.000,-17043
70,Good,1.333,-17041
71,Good,1.333,-17038
72,Good,1.333,-17036
73,Good,2.000,-17033
74,Good,1.333,-17031
75,Good,1.333,-17028
76,Good,1.333,-17026
77,Good,2.000,-17023
78,Good,1.333,-17021
79,Good,2.000,-17018
80,Good,1.333,-17016
