counter,status,resp_time,value_first
0,Good,2.000,29466
1,Good,2.000,29470
2,Good,2.000,29476
3,Good,2.000,29480
4,Good,1.333,29486
5,Good,1.333,29490
6,Good,2.000,29496
7,Good,1.333,29500
8,Good,1.333,29506
9,Good,2.000,29510
10,Good,1.333,29516
11,Good,2.000,29520
12,Good,2.000,29526
13,Good,2.000,29530
14,Good,2.000,29536
15,Good,2.000,29540
16,Good,2.000,29546
17,Good,2.000,29550
18,Good,1.333,29556
19,Good,2.000,29560
20,Good,1.333,29566
21,Good,1.333,29570
22,Good,2.000,29576
23,Good,1.333,29580
24,Good,2.000,29586
25,Good,2.000,29590
26,Good,2.000,29596
27,Good,2.000,29602
28,Good,2.000,29606
29,Good,2.000,29612
30,Good,2.000,29616
31,Good,1.333,29622
32,Good,1.333,29626
33,Good,2.000,29632
34,Good,1.333,29636
35,Good,2.000,29642
36,Good,1.333,29646
37,Good,2.000,29652
38,Good,2.000,29656
39,Good,2.000,29662
40,Good,2.000,29666
41,Good,2.000,29672
42,Good,2.000,29676
43,Good,2.000,29682
44,Good,1.333,29686
45,Good,1.333,29692
46,Good,2.000,29696
47,Good,1.333,29702
48,Good,2.000,29706
49,Good,1.333,29712
50,Good,2.000,29716
51,Good,2.000,29722
52,Good,2.000,29726
53,Good,2.000,29732
54,Good,1.333,29736
55,Good,2.000,29742
56,Good,2.000,29746
57,Good,1.333,29752
58,Good,1.333,29756
59,Good,2.000,29762
60,Good,1.333,29766
61,Good,1.333,29772
62,Good,2.000,29776
63,Good,1.333,29782
64,Good,2.000,29788
65,Good,2.000,29792
66,Good,2.000,29798
67,Good,2.000,29802
68,Good,2.000,29808
69,Good,2.000,29812
70,Good,2.000,29818
71,Good,1.333,29822
72,Good,1.333,29828
73,Good,2.000,29832
74,Good,1.333,29838
75,Good,1.333,29842
76,Good,2.000,29848
77,Good,1.333,29852
78,Good,2.000,29858
79,Good,2.000,29862
80,Good,1.333,29868
81,Good,2.000,29872
82,Good,2.000,29878
83,Good,2.666,29882
84,Good,1.333,29888
85,Good,1.333,29892
86,Good,2.000,29898
87,Good,1.333,29902
88,Good,1.333,29908
89,Good,2.000,29912
90,Good,1.333,29918
91,Good,2.000,29922
92,Good,2.000,29928
93,Good,1.333,29932
94,Good,2.000,29938
95,Good,2.000,29942
96,Good,2.000,29948
97,Good,2.000,29952
98,Good,1.333,29958
99,Good,1.333,29964
100,Good,2.000,29968
101,Good,1.333,29974
102,Good,2.000,29978
103,Good,1.333,29984
104,Good,2.000,29988
105,Good,2.000,29994
106,Good,1.333,29998
107,Good,2.000,30004
108,Good,2.000,30008
109,Good,2.000,30014
110,Good,2.000,30018
111,Good,1.333,30024
112,Good,1.333,30028
113,Good,2.000,30034
114,Good,1.333,30038
115,Good,2.000,30044
116,Good,1.333,30048
117,Good,2.000,30054
118,Good,1.333,30058
119,Good,2.000,30064
120,Good,2.000,30068
121,Good,2.000,30074
122,Good,2.000,30078
123,Good,2.000,30084
124,Good,1.333,30088
125,Good,1.333,30094
126,Good,2.000,30098
127,Good,1.333,30104
128,Good,1.333,30108
129,Good,2.000,30114
130,Good,1.333,30118
131,Good,2.000,30124
132,Good,2.000,30128
133,Good,1.333,30134
134,Good,2.000,30138
135,Good,2.000,30144
136,Good,2.000,30150
137,Good,2.000,30154
138,Good,1.333,30160
139,Good,1.333,30164
140,Good,2.000,30170
141,Good,1.333,30174
142,Good,2.000,30180
143,Good,1.333,30184
144,Good,2.000,30190
145,Good,2.000,30194
146,Good,1.333,30200
