counter,status,resp_time,value_first
0,Good,0.667,48315.300000
1,Good,2.000,48318.150000
2,Good,1.333,48320.050000
3,Good,2.000,48322.900000
4,Good,0.667,48324.800000
5,Good,1.333,48327.650000
6,Good,1.333,48329.550000
7,Good,2.000,48332.400000
8,Good,1.333,48334.300000
9,Good,2.666,48337.150000
10,Good,0.667,48339.050000
11,Good,1.333,48341.900000
12,Good,1.333,48343.800000
13,Good,2.000,48346.650000
14,Good,1.333,48348.550000
15,Good,1.333,48351.400000
16,Good,1.333,48353.300000
17,Good,2.000,48356.150000
18,Good,1.333,48358.050000
19,Good,1.333,48360.900000
20,Good,1.333,48362.800000
21,Good,2.000,48365.650000
22,Good,1.333,48367.550000
23,Good,1.333,48370.400000
24,Good,1.333,48372.300000
25,Good,2.000,48375.150000
26,Good,1.333,48377.050000
27,Good,2.000,48379.900000
28,Good,1.333,48381.800000
29,Good,2.000,48384.650000
30,Good,2.000,48386.550000
31,Good,2.000,48389.400000
32,Good,1.333,48391.300000
33,Good,1.333,48394.150000
34,Good,1.333,48396.050000
35,Good,2.000,48398.900000
36,Good,1.333,48400.800000
37,Good,2.000,48403.650000
38,Good,1.333,48406.500000
39,Good,2.000,48408.400000
40,Good,1.333,48411.250000
41,Good,2.000,48413.150000
42,Good,1.333,48416.000000
43,Good,2.000,48417.900000
44,Good,1.333,48420.750000
45,Good,1.333,48422.650000
46,Good,1.333,48425.500000
47,Good,1.333,48427.400000
48,Good,1.333,48430.250000
49,Good,2.000,48432.150000
50,Good,1.333,48435.000000
51,Good,2.000,48436.900000
52,Good,1.333,48439.750000
53,Good,2.000,48441.650000
54,Good,2.000,48444.500000
55,Good,1.333,48446.400000
56,Good,1.333,48449.250000
57,Good,2.000,48451.150000
58,Good,1.333,48454.000000
59,Good,1.333,48455.900000
60,Good,1.333,48458.750000
61,Good,2.000,48460.650000
62,Good,1.333,48463.500000
63,Good,1.333,48465.400000
64,Good,2.000,48468.250000
65,Good,1.333,48470.150000
66,Good,1.333,48473.000000
67,Good,2.000,48474.900000
68,Good,1.333,48477.750000
69,Good,2.000,48479.650000
70,Good,2.000,48482.500000
71,Good,2.000,48484.400000
72,Good,1.333,48487.250000
73,Good,1.333,48489.150000
74,Good,1.333,48492.000000
75,Good,2.000,48493.900000
76,Good,1.333,48496.750000
77,Good,1.333,48499.600000
78,Good,1.333,48501.500000
79,Good,2.000,48504.350000
80,Good,1.333,48506.250000
81,Good,2.000,48509.100000
82,Good,1.333,48511.000000
83,Good,2.000,48513.850000
84,Good,2.000,48515.750000
85,Good,1.333,48518.600000
86,Good,1.333,48520.500000
87,Good,1.333,48523.350000
88,Good,2.000,48525.250000
89,Good,1.333,48528.100000
90,Good,1.333,48530.000000
91,Good,2.000,48532.850000
92,Good,1.333,48534.750000
93,Good,2.000,48537.600000
94,Good,2.000,48539.500000
95,Good,1.333,48542.350000
96,Good,2.000,48544.250000
97,Good,2.000,48547.100000
98,Good,0.667,48549.000000
99,Good,1.333,48551.850000
100,Good,1.333,48553.750000
101,Good,2.000,48556.600000
102,Good,1.333,48558.500000
103,Good,1.333,48561.350000
104,Good,1.333,48563.250000
105,Good,2.000,48566.100000
106,Good,1.333,48568.000000
107,Good,2.000,48570.850000
108,Good,2.000,48572.750000
109,Good,1.333,48575.600000
110,Good,2.000,48577.500000
111,Good,2.000,48580.350000
112,Good,1.333,48582.250000
113,Good,1.333,48585.100000
114,Good,2.000,48587.000000
115,Good,1.333,48589.850000
116,Good,1.333,48591.750000
117,Good,1.333,48594.600000
118,Good,2.000,48597.450000
119,Good,1.333,48599.350000
120,Good,2.000,48602.200000
121,Good,2.000,48604.100000
122,Good,1.333,48606.950000
123,Good,2.000,48608.850000
124,Good,2.000,48611.700000
125,Good,1.333,48613.600000
126,Good,1.333,48616.450000
127,Good,1.333,48618.350000
128,Good,2.000,48621.200000
129,Good,2.000,48623.100000
130,Good,1.333,48625.950000
131,Good,2.000,48627.850000
132,Good,1.333,48630.700000
133,Good,2.000,48632.600000
134,Good,2.000,48635.450000
135,Good,1.333,48637.350000
136,Good,2.000,48640.200000
137,Good,2.000,48642.100000
138,Good,1.333,48644.950000
139,Good,1.333,48646.850000
140,Good,1.333,48649.700000
141,Good,1.333,48651.600000
142,Good,2.000,48654.450000
143,Good,1.333,48656.350000
144,Good,2.000,48659.200000
145,Good,1.333,48661.100000
146,Good,1.333,48663.950000
147,Good,2.000,48665.850000
148,Good,2.000,48668.700000
149,Good,1.333,48670.600000
150,Good,2.000,48673.450000
