counter,status,resp_time,value_first
0,Good,27.331,8428
1,Good,5.999,8434
2,Good,5.999,8438
3,Good,5.999,8444
4,Good,5.333,8448
5,Good,5.999,8454
6,Good,5.999,8458
7,Good,5.333,8464
8,Good,4.666,8468
9,Good,5.999,8474
10,Good,10.666,8480
11,Good,4.666,8484
12,Good,4.666,8490
13,Good,7.999,8494
14,Good,8.666,8500
15,Good,6.666,8504
16,Good,11.999,8510
17,Good,5.999,8514
18,Good,5.333,8520
19,Good,5.333,8524
20,Good,5.999,8530
21,Good,11.999,8534
22,Good,5.999,8540
23,Good,5.999,8546
24,Good,4.666,8550
25,Good,5.999,8556
26,Good,5.333,8560
27,Good,4.666,8566
28,Good,5.999,8570
29,Good,5.333,8576
30,Good,5.333,8580
31,Good,6.666,8586
32,Good,5.999,8590
33,Good,5.333,8596
34,Good,6.666,8600
35,Good,5.333,8606
36,Good,9.332,8612
37,Good,5.333,8616
38,Good,8.666,8622
39,Good,6.666,8626
40,Good,4.666,8632
41,Good,4.666,8636
42,Good,5.999,8642
43,Good,5.333,8646
44,Good,5.999,8652
45,Good,5.999,8656
46,Good,5.333,8662
47,Good,5.333,8666
48,Good,5.333,8672
49,Good,4.666,8676
50,Good,5.999,8682
51,Good,5.333,8688
52,Good,5.999,8692
53,Good,5.333,8698
54,Good,5.333,8702
55,Good,5.333,8708
56,Good,6.666,8712
57,Good,5.999,8718
58,Good,5.999,8722
59,Good,5.999,8728
60,Good,6.666,8732
61,Good,5.999,8738
62,Good,5.333,8742
63,Good,5.999,8748
64,Good,4.666,8752
65,Good,4.666,8758
66,Good,5.999,8764
67,Good,4.666,8768
68,Good,5.333,8774
69,Good,5.333,8778
70,Good,5.333,8784
71,Good,5.333,8788
72,Good,5.333,8794
73,Good,5.333,8798
74,Good,5.999,8804
75,Good,5.333,8808
76,Good,5.333,8814
77,Good,5.999,8818
78,Good,5.333,8824
79,Good,5.333,8828
80,Good,5.333,8834
81,Good,8.666,8840
82,Good,5.333,8844
83,Good,5.999,8850
84,Good,5.333,8854
85,Good,4.666,8860
86,Good,5.999,8864
87,Good,5.999,8870
88,Good,5.333,8874
89,Good,5.999,8880
90,Good,6.666,8884
91,Good,4.666,8890
92,Good,5.999,8894
93,Good,12.665,8900
94,Good,10.666,8906
95,Good,4.666,8910
96,Good,5.999,8916
97,Good,5.999,8920
98,Good,5.333,8926
99,Good,5.999,8930
100,Good,5.999,8936
