counter,status,resp_time,value_first
0,Good,4.666,2617.450000
1,Good,5.333,2619.350000
2,Good,5.333,2622.200000
3,Good,11.999,2624.100000
4,Good,5.333,2626.950000
5,Good,4.666,2629.800000
6,Good,5.999,2631.700000
7,Good,4.666,2634.550000
8,Good,5.333,2636.450000
9,Good,4.666,2639.300000
10,Good,4.666,2641.200000
11,Good,5.999,2644.050000
12,Good,5.333,2645.950000
13,Good,5.333,2648.800000
14,Good,5.999,2650.700000
15,Good,4.666,2653.550000
16,Good,4.666,2655.450000
17,Good,5.333,2658.300000
18,Good,11.332,2660.200000
19,Good,8.666,2663.050000
20,Good,5.333,2665.900000
21,Good,4.666,2667.800000
22,Good,5.333,2670.650000
23,Good,4.666,2672.550000
24,Good,5.333,2675.400000
25,Good,5.333,2677.300000
26,Good,4.000,2680.150000
27,Good,5.333,2682.050000
28,Good,4.666,2684.900000
29,Good,5.999,2686.800000
30,Good,5.333,2689.650000
31,Good,4.666,2691.550000
32,Good,5.333,2694.400000
33,Good,11.332,2697.250000
34,Good,4.666,2699.150000
35,Good,4.666,2702.000000
36,Good,5.333,2703.900000
37,Good,5.333,2706.750000
38,Good,5.333,2708.650000
39,Good,5.333,2711.500000
40,Good,4.666,2713.400000
41,Good,5.999,2716.250000
42,Good,5.999,2718.150000
43,Good,4.666,2721.000000
44,Good,5.333,2722.900000
45,Good,5.333,2725.750000
46,Good,5.333,2727.650000
47,Good,5.333,2730.500000
48,Good,11.332,2733.350000
49,Good,4.666,2735.250000
50,Good,4.666,2738.100000
51,Good,5.999,2740.000000
52,Good,4.666,2742.850000
53,Good,4.666,2744.750000
54,Good,5.999,2747.600000
55,Good,4.666,2749.500000
56,Good,5.333,2752.350000
57,Good,4.666,2754.250000
58,Good,4.666,2757.100000
59,Good,5.333,2759.000000
60,Good,4.000,2761.850000
61,Good,4.000,2763.750000
62,Good,4.666,2766.600000
63,Good,4.666,2768.500000
64,Good,5.333,2771.350000
65,Good,4.666,2774.200000
66,Good,5.999,2776.100000
67,Good,5.333,2778.950000
68,Good,5.333,2780.850000
69,Good,7.999,2783.700000
70,Good,5.999,2785.600000
71,Good,4.666,2788.450000
72,Good,5.333,2790.350000
73,Good,4.666,2793.200000
74,Good,4.666,2795.100000
75,Good,5.333,2797.950000
76,Good,4.666,2799.850000
77,Good,4.666,2802.700000
78,Good,4.000,2804.600000
79,Good,4.666,2807.450000
80,Good,9.332,2810.300000
81,Good,5.999,2812.200000
82,Good,4.666,2815.050000
83,Good,5.333,2816.950000
84,Good,5.333,2819.800000
85,Good,5.333,2821.700000
86,Good,5.333,2824.550000
87,Good,4.666,2826.450000
88,Good,4.666,2829.300000
89,Good,5.333,2831.200000
90,Good,4.666,2834.050000
91,Good,4.666,2835.950000
92,Good,5.999,2838.800000
93,Good,5.333,2840.700000
94,Good,5.999,2843.550000
95,Good,11.332,2846.400000
96,Good,5.333,2848.300000
97,Good,4.666,2851.150000
98,Good,5.333,2853.050000
99,Good,5.333,2855.900000
100,Good,4.666,2857.800000
101,Good,11.332,2860.650000
102,Good,5.333,2862.550000
103,Good,8.666,2865.400000
104,Good,6.666,2867.300000
105,Good,4.666,2870.150000
106,Good,4.666,2872.050000
107,Good,5.333,2874.900000
108,Good,11.332,2877.750000
109,Good,4.666,2879.650000
110,Good,4.000,2882.500000
111,Good,5.333,2884.400000
112,Good,4.000,2887.250000
113,Good,5.999,2889.150000
114,Good,4.666,2892.000000
115,Good,4.666,2893.900000
116,Good,5.333,2896.750000
117,Good,5.333,2898.650000
118,Good,5.333,2901.500000
119,Good,4.666,2903.400000
120,Good,5.333,2906.250000
121,Good,5.999,2908.150000
122,Good,5.333,2911.000000
123,Good,4.666,2912.900000
124,Good,5.999,2915.750000
125,Good,4.666,2918.600000
126,Good,5.333,2920.500000
127,Good,4.666,2923.350000
128,Good,5.333,2925.250000
129,Good,5.999,2928.100000
130,Good,4.666,2930.000000
131,Good,5.333,2932.850000
132,Good,5.333,2934.750000
133,Good,5.333,2937.600000
134,Good,5.999,2939.500000
135,Good,4.666,2942.350000
136,Good,4.666,2944.250000
137,Good,5.999,2947.100000
138,Good,4.666,2949.000000
139,Good,5.333,2951.850000
140,Good,9.332,2954.700000
141,Good,5.999,2956.600000
142,Good,4.666,2959.450000
143,Good,5.333,2961.350000
144,Good,4.666,2964.200000
145,Good,4.666,2966.100000
146,Good,5.333,2968.950000
147,Good,5.333,2970.850000
148,Good,5.333,2973.700000
149,Good,5.999,2975.600000
150,Good,5.333,2978.450000
151,Good,5.333,2980.350000
152,Good,4.666,2983.200000
153,Good,4.666,2985.100000
154,Good,5.333,2987.950000
155,Good,10.666,2990.800000
156,Good,5.999,2992.700000
157,Good,5.333,2995.550000
158,Good,5.333,2997.450000
159,Good,5.999,3000.300000
160,Good,7.333,3002.200000
161,Good,4.666,3005.050000
162,Good,4.666,3006.950000
163,Good,4.000,3009.800000
164,Good,5.333,3011.700000
165,Good,4.000,3014.550000
166,Good,4.666,3016.450000
167,Good,5.333,3019.300000
168,Good,4.666,3021.200000
169,Good,8.666,3024.050000
170,Good,7.999,3026.900000
171,Good,5.333,3028.800000
172,Good,5.333,3031.650000
173,Good,5.333,3033.550000
174,Good,5.333,3036.400000
175,Good,5.333,3038.300000
176,Good,5.333,3041.150000
177,Good,5.333,3043.050000
178,Good,4.666,3045.900000
179,Good,4.666,3047.800000
180,Good,4.666,3050.650000
181,Good,5.333,3052.550000
182,Good,4.666,3055.400000
183,Good,5.333,3057.300000
184,Good,5.999,3060.150000
185,Good,11.332,3063.000000
186,Good,5.999,3064.900000
187,Good,5.333,3067.750000
188,Good,5.333,3069.650000
189,Good,4.666,3072.500000
190,Good,7.999,3074.400000
191,Good,7.999,3077.250000
192,Good,5.333,3079.150000
193,Good,5.333,3082.000000
194,Good,5.333,3083.900000
195,Good,11.332,3086.750000
196,Good,4.666,3088.650000
197,Good,4.666,3091.500000
198,Good,11.332,3094.350000
199,Good,5.333,3096.250000
200,Good,4.666,3099.100000
201,Good,5.999,3101.000000
202,Good,5.333,3103.850000
203,Good,4.666,3105.750000
204,Good,5.999,3108.600000
205,Good,4.666,3110.500000
206,Good,4.666,3113.350000
207,Good,5.333,3115.250000
208,Good,5.333,3118.100000
209,Good,5.333,3120.000000
210,Good,4.666,3122.850000
211,Good,4.666,3124.750000
212,Good,7.999,3127.600000
213,Good,11.332,3130.450000
214,Good,5.999,3132.350000
215,Good,5.333,3135.200000
216,Good,5.333,3137.100000
217,Good,6.666,3139.950000
218,Good,4.666,3141.850000
219,Good,4.666,3144.700000
220,Good,5.333,3146.600000
221,Good,4.666,3149.450000
222,Good,5.333,3151.350000
223,Good,4.000,3154.200000
224,Good,4.000,3156.100000
225,Good,4.666,3158.950000
226,Good,4.000,3160.850000
227,Good,5.333,3163.700000
228,Good,11.999,3165.600000
229,Good,5.333,3168.450000
230,Good,5.333,3171.300000
231,Good,5.333,3173.200000
232,Good,4.666,3176.050000
233,Good,5.333,3177.950000
234,Good,4.666,3180.800000
235,Good,4.666,3182.700000
236,Good,5.999,3185.550000
237,Good,4.666,3187.450000
238,Good,5.333,3190.300000
239,Good,5.333,3192.200000
240,Good,5.333,3195.050000
241,Good,5.999,3196.950000
242,Good,5.333,3199.800000
243,Good,4.666,3201.700000
244,Good,5.999,3204.550000
245,Good,4.666,3207.400000
246,Good,4.666,3209.300000
247,Good,4.666,3212.150000
248,Good,4.666,3214.050000
249,Good,5.333,3216.900000
250,Good,4.666,3218.800000
251,Good,4.666,3221.650000
252,Good,5.999,3223.550000
253,Good,4.666,3226.400000
254,Good,4.666,3228.300000
255,Good,4.666,3231.150000
256,Good,5.333,3233.050000
257,Good,5.999,3235.900000
258,Good,5.333,3237.800000
259,Good,4.666,3240.650000
260,Good,8.666,3243.500000
261,Good,5.333,3245.400000
262,Good,5.333,3248.250000
263,Good,4.666,3250.150000
264,Good,4.666,3253.000000
265,Good,5.333,3254.900000
266,Good,5.999,3257.750000
267,Good,5.333,3259.650000
268,Good,5.333,3262.500000
269,Good,5.333,3264.400000
270,Good,5.333,3267.250000
271,Good,4.666,3269.150000
272,Good,4.666,3272.000000
273,Good,4.666,3273.900000
274,Good,5.333,3276.750000
275,Good,10.666,3279.600000
276,Good,5.999,3281.500000
277,Good,5.333,3284.350000
278,Good,5.333,3286.250000
279,Good,5.333,3289.100000
280,Good,5.333,3291.000000
281,Good,6.666,3293.850000
282,Good,9.999,3295.750000
283,Good,5.333,3298.600000
284,Good,5.333,3300.500000
285,Good,5.333,3303.350000
286,Good,4.666,3305.250000
287,Good,5.333,3308.100000
288,Good,5.333,3310.000000
289,Good,5.333,3312.850000
290,Good,7.999,3315.700000
291,Good,5.333,3317.600000
292,Good,5.333,3320.450000
293,Good,5.333,3322.350000
294,Good,5.999,3325.200000
295,Good,5.333,3327.100000
296,Good,5.999,3329.950000
297,Good,5.999,3331.850000
298,Good,4.666,3334.700000
299,Good,5.333,3336.600000
300,Good,4.666,3339.450000
301,Good,5.333,3341.350000
302,Good,14.665,3344.200000
303,Good,10.666,3347.050000
304,Good,4.666,3348.950000
305,Good,4.666,3351.800000
306,Good,5.333,3353.700000
307,Good,4.666,3356.550000
308,Good,4.666,3358.450000
309,Good,4.666,3361.300000
310,Good,4.666,3363.200000
311,Good,5.333,3366.050000
312,Good,4.666,3367.950000
313,Good,4.666,3370.800000
314,Good,4.666,3372.700000
315,Good,5.333,3375.550000
316,Good,5.333,3377.450000
317,Good,4.666,3380.300000
318,Good,4.666,3382.200000
319,Good,5.999,3385.050000
320,Good,4.666,3387.900000
321,Good,5.333,3389.800000
322,Good,5.333,3392.650000
323,Good,9.332,3394.550000
324,Good,5.333,3397.400000
325,Good,5.333,3399.300000
326,Good,4.666,3402.150000
327,Good,5.333,3404.050000
328,Good,5.999,3406.900000
329,Good,5.333,3408.800000
330,Good,4.666,3411.650000
331,Good,5.333,3413.550000
332,Good,4.666,3416.400000
333,Good,5.333,3418.300000
334,Good,5.333,3421.150000
335,Good,5.333,3424.000000
336,Good,5.999,3425.900000
337,Good,4.666,3428.750000
338,Good,4.666,3430.650000
339,Good,4.666,3433.500000
340,Good,4.666,3435.400000
341,Good,5.333,3438.250000
342,Good,4.666,3440.150000
343,Good,5.333,3443.000000
344,Good,5.333,3444.900000
345,Good,5.333,3447.750000
346,Good,5.999,3449.650000
347,Good,5.333,3452.500000
348,Good,4.666,3454.400000
349,Good,5.333,3457.250000
350,Good,11.999,3460.100000
351,Good,5.999,3462.000000
352,Good,4.666,3464.850000
353,Good,5.333,3466.750000
354,Good,5.999,3469.600000
355,Good,4.666,3471.500000
356,Good,5.333,3474.350000
357,Good,4.666,3476.250000
358,Good,5.333,3479.100000
359,Good,5.333,3481.000000
360,Good,4.666,3483.850000
361,Good,4.666,3485.750000
362,Good,4.666,3488.600000
363,Good,4.666,3490.500000
364,Good,5.333,3493.350000
365,Good,10.666,3495.250000
366,Good,4.666,3498.100000
367,Good,4.666,3500.950000
368,Good,5.999,3502.850000
369,Good,5.333,3505.700000
370,Good,4.666,3507.600000
371,Good,5.333,3510.450000
372,Good,5.333,3512.350000
373,Good,5.999,3515.200000
374,Good,5.333,3517.100000
375,Good,5.333,3519.950000
376,Good,5.999,3521.850000
377,Good,5.333,3524.700000
378,Good,4.666,3526.600000
379,Good,4.666,3529.450000
380,Good,11.332,3531.350000
381,Good,5.333,3534.200000
382,Good,4.666,3537.050000
383,Good,5.999,3538.950000
384,Good,4.666,3541.800000
385,Good,4.666,3543.700000
386,Good,5.333,3546.550000
387,Good,4.666,3548.450000
388,Good,5.333,3551.300000
389,Good,9.332,3553.200000
390,Good,5.999,3556.050000
391,Good,5.333,3557.950000
392,Good,4.666,3560.800000
393,Good,4.666,3562.700000
394,Good,4.666,3565.550000
395,Good,8.666,3568.400000
396,Good,4.666,3570.300000
397,Good,4.000,3573.150000
398,Good,5.333,3575.050000
399,Good,5.333,3577.900000
400,Good,4.666,3579.800000
