counter,status,resp_time,value_first
0,Good,4.666,196
1,Good,4.666,198
2,Good,5.333,201
3,Good,4.666,203
4,Good,5.333,206
5,Good,5.333,208
6,Good,5.333,211
7,Good,5.333,213
8,Good,7.999,216
9,Good,5.333,218
10,Good,5.999,221
11,Good,9.999,224
12,Good,5.333,226
13,Good,5.333,229
14,Good,4.666,231
15,Good,4.666,234
16,Good,4.666,236
17,Good,5.333,239
18,Good,5.333,241
19,Good,4.666,244
20,Good,6.666,246
21,Good,5.333,249
22,Good,5.333,251
23,Good,5.999,254
24,Good,4.666,256
25,Good,5.999,259
26,Good,9.332,262
27,Good,5.333,264
28,Good,4.666,267
29,Good,7.999,269
30,Good,5.333,272
31,Good,5.333,274
32,Good,5.333,277
33,Good,5.333,279
34,Good,4.666,282
35,Good,5.333,284
36,Good,4.666,287
37,Good,4.666,289
38,Good,5.333,292
39,Good,5.333,294
40,Good,5.333,297
41,Good,9.999,300
42,Good,5.999,302
43,Good,5.333,305
44,Good,5.333,307
45,Good,5.999,310
46,Good,5.333,312
47,Good,5.999,315
48,Good,5.333,317
49,Good,5.333,320
50,Good,5.999,322
51,Good,4.666,325
52,Good,5.333,327
53,Good,5.999,330
54,Good,5.333,332
55,Good,4.666,335
56,Good,9.332,338
57,Good,5.333,340
58,Good,5.333,343
59,Good,4.666,345
60,Good,4.666,348
61,Good,4.666,350
62,Good,5.333,353
63,Good,5.333,355
64,Good,4.666,358
65,Good,5.333,360
66,Good,5.333,363
67,Good,5.333,365
68,Good,4.666,368
69,Good,4.666,370
70,Good,5.333,373
71,Good,14.665,376
72,Good,5.999,378
73,Good,4.666,381
74,Good,5.333,383
75,Good,5.999,386
76,Good,5.333,388
77,Good,5.333,391
78,Good,5.333,393
79,Good,5.333,396
80,Good,5.333,398
81,Good,4.666,401
82,Good,4.666,403
83,Good,5.333,406
84,Good,5.333,408
85,Good,4.666,411
86,Good,9.332,414
87,Good,4.666,416
88,Good,4.666,419
89,Good,5.333,421
90,Good,5.333,424
91,Good,4.666,426
92,Good,4.666,429
93,Good,5.333,431
94,Good,5.333,434
95,Good,5.999,436
96,Good,5.999,439
97,Good,9.999,441
98,Good,5.333,444
99,Good,4.666,446
100,Good,4.666,449
101,Good,8.666,452
102,Good,5.999,454
103,Good,5.333,457
104,Good,4.666,459
105,Good,5.333,462
106,Good,5.333,464
107,Good,5.333,467
108,Good,5.333,469
109,Good,4.666,472
110,Good,5.999,474
111,Good,4.666,477
112,Good,5.333,479
113,Good,7.999,482
114,Good,5.333,484
115,Good,4.666,487
116,Good,7.333,490
117,Good,5.333,492
118,Good,5.333,495
119,Good,5.999,497
120,Good,7.333,500
121,Good,11.999,502
122,Good,5.333,505
123,Good,4.666,507
124,Good,5.333,510
125,Good,5.333,512
126,Good,4.666,515
127,Good,4.666,517
128,Good,5.333,520
129,Good,11.999,522
130,Good,5.333,525
131,Good,5.333,528
132,Good,5.999,530
133,Good,5.333,533
134,Good,4.666,535
135,Good,5.333,538
136,Good,4.666,540
137,Good,5.999,543
138,Good,4.666,545
139,Good,5.333,548
140,Good,5.333,550
