counter,status,resp_time,value_first
0,Good,10.666,-8938
1,Good,5.999,-8934
2,Good,5.333,-8928
3,Good,5.999,-8924
4,Good,8.666,-8918
5,Good,5.333,-8914
6,Good,7.333,-8908
7,Good,16.665,-8902
8,Good,9.332,-8898
9,Good,15.332,-8892
10,Good,5.999,-8888
11,Good,5.999,-8882
12,Good,5.999,-8878
13,Good,6.666,-8872
14,Good,5.333,-8868
15,Good,5.999,-8862
16,Good,5.333,-8858
17,Good,5.999,-8852
18,Good,12.665,-8846
19,Good,5.999,-8842
20,Good,5.333,-8836
21,Good,6.666,-8832
22,Good,5.999,-8826
23,Good,5.333,-8822
24,Good,5.999,-8816
25,Good,6.666,-8812
26,Good,6.666,-8806
27,Good,5.333,-8802
28,Good,5.999,-8796
29,Good,7.999,-8792
30,Good,5.999,-8786
31,Good,9.999,-8780
32,Good,5.333,-8776
33,Good,5.999,-8770
34,Good,5.999,-8766
35,Good,5.999,-8760
36,Good,5.999,-8756
37,Good,7.333,-8750
38,Good,5.333,-8746
39,Good,5.999,-8740
40,Good,6.666,-8736
41,Good,5.999,-8730
42,Good,6.666,-8726
43,Good,5.999,-8720
44,Good,11.999,-8714
45,Good,5.999,-8710
46,Good,6.666,-8704
47,Good,5.333,-8700
48,Good,5.999,-8694
49,Good,5.999,-8690
50,Good,7.333,-8684
51,Good,5.333,-8680
52,Good,5.999,-8674
53,Good,7.333,-8670
54,Good,5.333,-8664
55,Good,5.999,-8660
56,Good,6.666,-8654
57,Good,11.999,-8650
58,Good,6.666,-8644
59,Good,5.333,-8638
60,Good,5.999,-8634
61,Good,5.333,-8628
62,Good,6.666,-8624
63,Good,5.999,-8618
64,Good,5.999,-8614
65,Good,5.999,-8608
66,Good,5.999,-8604
67,Good,6.666,-8598
68,Good,5.999,-8594
69,Good,6.666,-8588
70,Good,6.666,-8584
71,Good,5.999,-8578
72,Good,5.999,-8572
73,Good,6.666,-8568
74,Good,5.333,-8562
75,Good,6.666,-8558
76,Good,5.999,-8552
77,Good,7.333,-8548
78,Good,6.666,-8542
79,Good,5.999,-8538
80,Good,5.333,-8532
81,Good,6.666,-8528
82,Good,5.999,-8522
83,Good,5.333,-8518
84,Good,6.666,-8512
85,Good,5.999,-8506
86,Good,5.999,-8502
87,Good,5.333,-8496
88,Good,7.333,-8492
89,Good,5.999,-8486
90,Good,5.333,-8482
91,Good,6.666,-8476
92,Good,5.999,-8472
93,Good,5.333,-8466
94,Good,5.999,-8462
95,Good,6.666,-8456
96,Good,5.333,-8452
97,Good,5.333,-8446
98,Good,12.665,-8440
99,Good,5.333,-8436
100,Good,6.666,-8430
101,Good,6.666,-8426
102,Good,6.666,-8420
103,Good,5.999,-8416
104,Good,6.666,-8410
105,Good,7.333,-8406
106,Good,7.333,-8400
107,Good,5.333,-8396
108,Good,5.999,-8390
109,Good,5.999,-8386
110,Good,5.999,-8380
111,Good,11.332,-8374
112,Good,6.666,-8370
113,Good,5.999,-8364
114,Good,5.999,-8360
115,Good,5.999,-8354
116,Good,8.666,-8350
117,Good,5.999,-8344
118,Good,6.666,-8340
119,Good,6.666,-8334
120,Good,5.999,-8330
121,Good,5.999,-8324
122,Good,7.333,-8320
123,Good,6.666,-8314
124,Good,6.666,-8308
125,Good,5.333,-8304
126,Good,5.999,-8298
127,Good,6.666,-8294
128,Good,5.999,-8288
129,Good,5.999,-8284
130,Good,6.666,-8278
131,Good,7.333,-8274
132,Good,6.666,-8268
133,Good,5.333,-8264
134,Good,6.666,-8258
135,Good,6.666,-8254
136,Good,5.999,-8248
137,Good,10.666,-8242
138,Good,5.333,-8238
139,Good,6.666,-8232
140,Good,6.666,-8228
141,Good,6.666,-8222
142,Good,5.999,-8218
143,Good,6.666,-8212
144,Good,6.666,-8208
145,Good,5.999,-8202
146,Good,5.999,-8198
147,Good,5.999,-8192
148,Good,6.666,-8188
149,Good,5.333,-8182
150,Good,9.999,-8176
151,Good,5.333,-8172
152,Good,6.666,-8166
153,Good,6.666,-8162
154,Good,5.999,-8156
155,Good,5.333,-8152
156,Good,6.666,-8146
157,Good,6.666,-8142
158,Good,5.999,-8136
159,Good,5.999,-8132
160,Good,6.666,-8126
161,Good,6.666,-8122
162,Good,5.333,-8116
163,Good,10.666,-8110
164,Good,5.999,-8106
165,Good,6.666,-8100
166,Good,13.999,-8096
167,Good,5.333,-8090
168,Good,6.666,-8086
169,Good,7.333,-8080
170,Good,5.999,-8076
171,Good,5.999,-8070
172,Good,6.666,-8066
173,Good,6.666,-8060
174,Good,7.333,-8056
175,Good,5.333,-8050
176,Good,6.666,-8044
177,Good,6.666,-8040
178,Good,5.333,-8034
179,Good,5.333,-8030
180,Good,6.666,-8024
181,Good,6.666,-8020
182,Good,5.999,-8014
183,Good,5.999,-8010
184,Good,6.666,-8004
185,Good,6.666,-8000
186,Good,5.999,-7994
187,Good,5.999,-7990
188,Good,6.666,-7984
189,Good,5.333,-7978
190,Good,5.999,-7974
191,Good,5.999,-7968
192,Good,6.666,-7964
193,Good,5.999,-7958
194,Good,5.999,-7954
195,Good,6.666,-7948
196,Good,6.666,-7944
197,Good,5.999,-7938
198,Good,5.999,-7934
199,Good,6.666,-7928
200,Good,5.333,-7924
201,Good,5.333,-7918
202,Good,11.332,-7912
203,Good,5.999,-7908
204,Good,5.333,-7902
205,Good,5.333,-7898
206,Good,5.999,-7892
207,Good,5.999,-7888
208,Good,5.999,-7882
209,Good,6.666,-7878
210,Good,6.666,-7872
211,Good,6.666,-7868
212,Good,5.999,-7862
213,Good,5.999,-7858
214,Good,6.666,-7852
215,Good,5.999,-7848
216,Good,5.333,-7842
217,Good,6.666,-7836
218,Good,5.333,-7832
219,Good,5.999,-7826
220,Good,6.666,-7822
221,Good,6.666,-7816
222,Good,5.999,-7812
223,Good,5.333,-7806
224,Good,6.666,-7802
225,Good,7.333,-7796
226,Good,5.333,-7792
227,Good,6.666,-7786
228,Good,5.999,-7782
229,Good,5.333,-7776
230,Good,13.332,-7770
231,Good,5.333,-7766
232,Good,5.333,-7760
233,Good,7.999,-7756
234,Good,9.332,-7750
235,Good,7.333,-7746
236,Good,5.999,-7740
237,Good,5.999,-7736
238,Good,6.666,-7730
239,Good,6.666,-7726
240,Good,6.666,-7720
241,Good,5.999,-7716
242,Good,6.666,-7710
243,Good,7.333,-7704
244,Good,6.666,-7700
245,Good,5.999,-7694
246,Good,5.333,-7690
247,Good,7.333,-7684
248,Good,6.666,-7680
249,Good,5.999,-7674
250,Good,5.999,-7670
251,Good,6.666,-7664
252,Good,6.666,-7660
253,Good,6.666,-7654
254,Good,5.999,-7650
255,Good,7.333,-7644
256,Good,7.333,-7638
257,Good,5.333,-7634
258,Good,5.333,-7628
259,Good,7.333,-7624
260,Good,5.999,-7618
261,Good,10.666,-7614
262,Good,5.999,-7608
263,Good,7.999,-7604
264,Good,5.999,-7598
265,Good,6.666,-7594
266,Good,5.999,-7588
267,Good,5.333,-7584
268,Good,6.666,-7578
269,Good,7.333,-7572
270,Good,5.999,-7568
271,Good,5.333,-7562
272,Good,6.666,-7558
273,Good,6.666,-7552
274,Good,5.999,-7548
275,Good,5.333,-7542
276,Good,6.666,-7538
277,Good,5.999,-7532
278,Good,5.999,-7528
279,Good,5.999,-7522
280,Good,7.333,-7518
281,Good,5.999,-7512
282,Good,8.666,-7506
283,Good,5.333,-7502
284,Good,5.999,-7496
285,Good,5.333,-7492
286,Good,5.333,-7486
287,Good,6.666,-7482
288,Good,5.999,-7476
289,Good,5.333,-7472
290,Good,5.999,-7466
291,Good,6.666,-7462
292,Good,5.333,-7456
293,Good,5.999,-7452
294,Good,7.333,-7446
295,Good,12.665,-7440
296,Good,6.666,-7436
297,Good,7.333,-7430
298,Good,6.666,-7426
299,Good,6.666,-7420
300,Good,5.999,-7416
301,Good,5.999,-7410
302,Good,5.999,-7406
303,Good,5.999,-7400
304,Good,5.999,-7396
