counter,status,resp_time,value_first
0,Good,6.401,-24814
1,Good,4.001,-24811
2,Good,4.000,-24809
3,Good,10.801,-24806
4,Good,4.001,-24804
5,Good,2.802,-24801
6,Good,3.201,-24799
7,Good,7.201,-24796
8,Good,11.201,-24793
9,Good,7.201,-24791
10,Good,3.201,-24788
11,Good,6.002,-24786
12,Good,7.201,-24783
13,Good,11.201,-24781
14,Good,10.002,-24778
15,Good,3.202,-24776
16,Good,7.201,-24773
17,Good,2.401,-24771
18,Good,11.202,-24768
19,Good,4.401,-24766
20,Good,6.402,-24763
21,Good,5.202,-24761
22,Good,8.401,-24758
23,Good,2.401,-24756
24,Good,11.601,-24753
25,Good,4.401,-24751
26,Good,5.601,-24748
27,Good,1.601,-24746
28,Good,11.601,-24743
29,Good,3.601,-24741
30,Good,1.601,-24738
31,Good,1.601,-24736
32,Good,4.402,-24733
33,Good,3.602,-24731
34,Good,7.602,-24728
35,Good,4.000,-24726
36,Good,7.602,-24723
37,Good,5.602,-24721
38,Good,2.801,-24718
39,Good,6.802,-24716
40,Good,9.606,-24713
41,Good,4.801,-24711
42,Good,8.801,-24708
43,Good,4.802,-24706
44,Good,8.803,-24703
45,Good,4.802,-24701
46,Good,10.001,-24698
47,Good,6.001,-24696
48,Good,4.001,-24693
49,Good,2.802,-24691
50,Good,10.001,-24688
51,Good,4.802,-24686
52,Good,5.200,-24683
53,Good,3.201,-24681
54,Good,2.001,-24678
55,Good,4.002,-24676
56,Good,3.201,-24673
57,Good,8.002,-24671
58,Good,11.201,-24668
59,Good,7.201,-24665
60,Good,3.201,-24663
61,Good,6.402,-24660
62,Good,2.401,-24658
63,Good,10.401,-24655
64,Good,6.402,-24653
65,Good,4.401,-24650
66,Good,2.401,-24648
67,Good,2.401,-24645
68,Good,8.401,-24643
69,Good,2.401,-24640
70,Good,2.401,-24638
71,Good,4.401,-24635
72,Good,1.601,-24633
73,Good,5.601,-24630
74,Good,8.401,-24628
75,Good,8.401,-24625
76,Good,3.601,-24623
77,Good,2.402,-24620
78,Good,5.601,-24618
79,Good,11.601,-24615
80,Good,4.801,-24613
81,Good,1.601,-24610
82,Good,3.602,-24608
83,Good,6.802,-24605
84,Good,7.602,-24603
85,Good,2.801,-24600
86,Good,1.601,-24598
87,Good,4.801,-24595
88,Good,3.602,-24593
89,Good,4.801,-24590
90,Good,4.001,-24588
91,Good,12.001,-24585
92,Good,10.001,-24583
93,Good,6.001,-24580
94,Good,10.001,-24578
95,Good,7.602,-24575
96,Good,2.001,-24573
97,Good,2.001,-24570
98,Good,8.001,-24568
99,Good,7.601,-24565
100,Good,3.201,-24563
101,Good,5.201,-24560
102,Good,5.201,-24558
103,Good,3.201,-24555
104,Good,10.001,-24553
105,Good,5.201,-24550
106,Good,4.001,-24548
107,Good,3.201,-24545
108,Good,4.401,-24543
109,Good,7.201,-24540
110,Good,2.401,-24538
111,Good,4.401,-24535
112,Good,2.401,-24533
113,Good,2.401,-24530
114,Good,8.401,-24528
115,Good,4.401,-24525
116,Good,8.401,-24523
117,Good,4.401,-24520
118,Good,3.601,-24518
119,Good,3.601,-24515
120,Good,1.601,-24513
121,Good,2.402,-24510
122,Good,4.402,-24508
123,Good,7.601,-24505
124,Good,3.601,-24503
125,Good,4.402,-24500
126,Good,3.601,-24498
127,Good,6.802,-24495
128,Good,9.606,-24493
129,Good,7.602,-24490
130,Good,1.602,-24488
131,Good,8.801,-24485
132,Good,4.801,-24483
133,Good,5.602,-24480
134,Good,4.801,-24478
135,Good,4.001,-24475
136,Good,2.001,-24473
137,Good,6.802,-24470
138,Good,2.001,-24468
