counter,status,resp_time,value_first
0,Good,6.800,29964
1,Good,9.202,29967
2,Good,4.401,29969
3,Good,2.401,29972
4,Good,10.401,29974
5,Good,5.202,29977
6,Good,4.401,29979
7,Good,9.202,29982
8,Good,4.401,29984
9,Good,6.401,29987
10,Good,6.400,29989
11,Good,11.601,29992
12,Good,4.402,29994
13,Good,7.601,29997
14,Good,4.402,29999
15,Good,11.601,30002
16,Good,8.401,30004
17,Good,5.601,30007
18,Good,5.601,30009
19,Good,5.602,30012
20,Good,9.606,30014
21,Good,3.602,30017
22,Good,10.801,30019
23,Good,6.801,30022
24,Good,6.801,30025
25,Good,8.801,30027
26,Good,2.001,30030
27,Good,4.801,30032
28,Good,4.801,30035
29,Good,2.001,30037
30,Good,4.001,30040
31,Good,8.802,30042
32,Good,2.001,30045
33,Good,10.801,30047
34,Good,6.001,30050
35,Good,10.802,30052
36,Good,6.801,30055
37,Good,2.803,30057
38,Good,2.000,30060
39,Good,7.201,30062
40,Good,7.201,30065
41,Good,3.201,30067
42,Good,5.201,30070
43,Good,6.003,30072
44,Good,2.001,30075
45,Good,6.001,30077
46,Good,6.401,30080
47,Good,3.201,30082
48,Good,3.202,30085
49,Good,6.401,30087
50,Good,2.401,30090
51,Good,3.202,30092
52,Good,3.202,30095
53,Good,2.401,30097
54,Good,6.400,30100
55,Good,2.402,30102
56,Good,6.401,30105
57,Good,12.401,30107
58,Good,6.403,30110
59,Good,3.601,30112
60,Good,8.402,30115
61,Good,8.402,30117
62,Good,10.401,30120
63,Good,5.601,30122
64,Good,4.400,30125
65,Good,1.601,30127
66,Good,3.601,30130
67,Good,3.601,30132
68,Good,2.801,30135
69,Good,3.601,30137
70,Good,5.602,30140
71,Good,10.801,30142
72,Good,4.801,30145
73,Good,6.001,30147
74,Good,4.801,30150
75,Good,2.802,30152
76,Good,8.001,30155
77,Good,2.802,30157
78,Good,2.001,30160
79,Good,2.802,30162
80,Good,4.801,30165
81,Good,6.803,30167
82,Good,10.001,30170
83,Good,2.801,30172
84,Good,2.801,30175
85,Good,7.201,30177
86,Good,6.001,30180
87,Good,9.201,30182
88,Good,10.002,30185
89,Good,5.201,30187
90,Good,6.001,30190
91,Good,10.001,30192
92,Good,3.201,30195
93,Good,1.201,30197
94,Good,1.202,30200
95,Good,5.601,30203
96,Good,2.401,30205
97,Good,6.402,30208
98,Good,8.401,30210
99,Good,2.401,30212
100,Good,6.402,30215
101,Good,2.401,30217
102,Good,8.401,30220
103,Good,2.401,30222
104,Good,9.606,30225
105,Good,1.601,30228
106,Good,5.601,30230
107,Good,5.601,30233
108,Good,2.402,30235
109,Good,1.601,30238
110,Good,1.601,30240
111,Good,3.601,30243
112,Good,2.401,30245
113,Good,4.801,30248
114,Good,1.602,30250
115,Good,5.602,30253
116,Good,9.606,30255
117,Good,3.602,30258
118,Good,1.601,30260
119,Good,4.801,30263
120,Good,3.602,30265
121,Good,4.001,30268
122,Good,6.802,30270
123,Good,6.802,30273
124,Good,6.001,30275
125,Good,6.803,30278
126,Good,8.801,30280
127,Good,6.803,30283
128,Good,2.001,30285
129,Good,3.200,30288
130,Good,8.801,30290
131,Good,3.201,30293
132,Good,2.002,30295
133,Good,2.002,30298
134,Good,3.201,30300
135,Good,5.201,30303
136,Good,9.202,30305
137,Good,2.001,30308
138,Good,7.201,30310
139,Good,5.201,30313
140,Good,11.201,30315
141,Good,6.402,30318
142,Good,1.202,30320
143,Good,7.201,30323
144,Good,6.402,30325
145,Good,1.202,30328
146,Good,9.202,30330
147,Good,9.205,30333
148,Good,3.201,30335
149,Good,1.206,30338
150,Good,10.401,30340
151,Good,7.601,30343
152,Good,8.400,30345
153,Good,3.601,30348
154,Good,3.601,30350
155,Good,1.601,30353
156,Good,1.601,30355
157,Good,2.402,30358
158,Good,5.601,30360
159,Good,3.601,30363
160,Good,7.601,30365
161,Good,3.601,30368
162,Good,2.801,30370
163,Good,5.602,30373
164,Good,4.801,30375
165,Good,1.602,30378
166,Good,1.602,30380
167,Good,2.801,30383
168,Good,12.001,30385
169,Good,4.801,30388
170,Good,2.802,30390
171,Good,2.001,30393
172,Good,4.801,30395
173,Good,8.801,30398
174,Good,8.001,30400
175,Good,2.802,30403
176,Good,2.001,30405
177,Good,2.001,30408
178,Good,6.001,30410
179,Good,2.002,30413
180,Good,4.001,30415
181,Good,3.201,30418
182,Good,1.201,30420
183,Good,2.002,30423
184,Good,10.002,30425
185,Good,3.201,30428
186,Good,6.001,30431
187,Good,11.201,30433
188,Good,2.401,30436
189,Good,4.401,30438
190,Good,8.401,30441
191,Good,6.402,30443
192,Good,1.202,30446
193,Good,1.202,30448
194,Good,1.202,30451
195,Good,4.401,30453
196,Good,6.402,30456
197,Good,3.601,30458
198,Good,9.606,30461
199,Good,2.402,30463
200,Good,2.402,30466
201,Good,3.601,30468
202,Good,2.402,30471
203,Good,2.402,30473
204,Good,1.601,30476
205,Good,4.801,30478
206,Good,7.601,30481
207,Good,5.602,30483
208,Good,1.602,30486
209,Good,8.801,30488
210,Good,2.801,30491
211,Good,4.801,30493
212,Good,4.801,30496
213,Good,3.600,30498
