counter,status,resp_time,value_first
0,Good,10.000,20798
1,Good,6.402,20800
2,Good,3.601,20803
3,Good,2.402,20805
4,Good,9.606,20808
5,Good,2.401,20810
6,Good,8.402,20813
7,Good,8.801,20816
8,Good,2.801,20818
9,Good,8.801,20821
10,Good,6.802,20823
11,Good,8.801,20826
12,Good,1.601,20828
13,Good,3.602,20830
14,Good,8.801,20833
15,Good,1.601,20835
16,Good,10.801,20838
17,Good,6.801,20841
18,Good,2.001,20843
19,Good,8.802,20846
20,Good,12.802,20848
21,Good,2.001,20851
22,Good,8.001,20853
23,Good,4.001,20856
24,Good,8.001,20858
25,Good,6.802,20861
26,Good,6.001,20863
27,Good,2.001,20866
28,Good,4.001,20868
29,Good,7.201,20871
30,Good,5.201,20873
31,Good,4.001,20876
32,Good,10.002,20878
33,Good,7.201,20881
34,Good,7.201,20883
35,Good,12.400,20886
36,Good,3.201,20888
37,Good,8.401,20891
38,Good,5.201,20893
39,Good,1.202,20896
40,Good,4.401,20898
41,Good,1.202,20901
42,Good,4.401,20903
43,Good,3.201,20906
44,Good,5.202,20908
45,Good,5.601,20911
46,Good,1.601,20913
47,Good,3.601,20916
48,Good,4.401,20918
49,Good,1.601,20921
50,Good,9.606,20923
51,Good,7.601,20926
52,Good,12.401,20928
53,Good,11.601,20931
54,Good,1.601,20933
55,Good,10.801,20936
56,Good,4.801,20938
57,Good,6.802,20941
58,Good,2.801,20943
59,Good,3.602,20946
60,Good,1.601,20948
61,Good,7.602,20951
62,Good,4.801,20953
63,Good,9.607,20956
64,Good,4.802,20958
65,Good,4.802,20961
66,Good,6.000,20963
67,Good,2.001,20966
68,Good,12.802,20969
69,Good,6.001,20971
70,Good,6.001,20974
71,Good,10.001,20976
72,Good,9.200,20979
73,Good,6.001,20981
74,Good,6.002,20984
75,Good,6.001,20986
76,Good,2.002,20989
77,Good,1.201,20991
78,Good,5.201,20994
79,Good,1.201,20996
80,Good,9.201,20999
81,Good,2.000,21001
82,Good,7.201,21004
83,Good,8.401,21006
84,Good,3.202,21009
85,Good,11.202,21011
86,Good,1.202,21014
87,Good,7.201,21016
88,Good,2.401,21019
89,Good,3.201,21021
90,Good,10.401,21024
91,Good,5.601,21026
92,Good,2.401,21029
93,Good,9.606,21031
94,Good,7.601,21034
95,Good,2.401,21036
96,Good,2.401,21039
97,Good,1.601,21041
98,Good,4.402,21044
99,Good,5.601,21046
100,Good,4.402,21049
101,Good,7.602,21051
102,Good,4.801,21054
103,Good,3.602,21056
104,Good,3.602,21059
105,Good,2.801,21061
106,Good,4.801,21064
107,Good,2.801,21066
108,Good,7.602,21069
109,Good,4.801,21071
110,Good,2.801,21074
111,Good,8.001,21076
112,Good,6.802,21079
113,Good,10.802,21081
114,Good,6.001,21084
115,Good,2.000,21086
116,Good,4.001,21089
117,Good,2.801,21091
118,Good,11.201,21094
119,Good,7.200,21096
120,Good,2.002,21099
121,Good,7.201,21101
122,Good,7.201,21104
123,Good,6.002,21106
124,Good,2.002,21109
125,Good,5.201,21111
126,Good,3.201,21114
127,Good,5.201,21116
128,Good,5.202,21119
129,Good,1.202,21121
130,Good,1.202,21124
131,Good,4.401,21126
132,Good,1.202,21129
133,Good,4.401,21131
134,Good,5.202,21134
135,Good,1.202,21136
136,Good,1.202,21139
137,Good,4.401,21141
138,Good,8.401,21144
139,Good,3.601,21146
140,Good,9.606,21149
141,Good,8.401,21152
142,Good,10.402,21154
143,Good,3.601,21157
144,Good,6.402,21159
145,Good,9.606,21162
146,Good,2.402,21164
147,Good,1.602,21167
148,Good,7.601,21169
149,Good,8.800,21172
150,Good,1.602,21174
151,Good,12.801,21177
152,Good,6.802,21179
153,Good,7.602,21182
154,Good,2.801,21184
155,Good,4.801,21187
156,Good,4.000,21189
157,Good,6.001,21192
158,Good,6.803,21194
159,Good,6.001,21197
160,Good,12.001,21199
161,Good,6.802,21202
162,Good,2.801,21204
163,Good,12.001,21207
164,Good,6.803,21209
165,Good,6.001,21212
166,Good,3.201,21214
167,Good,6.001,21217
168,Good,10.002,21219
169,Good,4.001,21222
170,Good,9.201,21224
171,Good,7.201,21227
172,Good,10.002,21229
173,Good,3.201,21232
174,Good,2.001,21234
175,Good,12.002,21237
176,Good,4.401,21239
177,Good,2.401,21242
178,Good,2.401,21244
179,Good,7.201,21247
180,Good,4.401,21249
181,Good,4.401,21252
182,Good,5.202,21254
183,Good,4.401,21257
184,Good,10.401,21260
185,Good,8.401,21262
186,Good,3.601,21265
187,Good,4.401,21267
188,Good,3.601,21270
189,Good,9.606,21272
190,Good,4.402,21275
191,Good,6.403,21277
192,Good,2.401,21280
193,Good,5.601,21282
194,Good,3.602,21285
195,Good,7.602,21287
196,Good,3.602,21290
197,Good,3.602,21292
198,Good,2.802,21295
199,Good,5.601,21297
200,Good,10.801,21300
201,Good,1.602,21302
202,Good,5.602,21305
203,Good,3.601,21307
204,Good,4.000,21310
205,Good,8.802,21312
206,Good,12.001,21315
207,Good,2.001,21317
208,Good,4.001,21320
209,Good,4.801,21322
210,Good,2.001,21325
211,Good,4.001,21327
212,Good,2.001,21330
213,Good,2.002,21332
214,Good,3.201,21335
215,Good,2.002,21337
216,Good,5.201,21340
217,Good,8.001,21342
218,Good,7.201,21345
219,Good,10.002,21347
220,Good,2.001,21350
221,Good,3.201,21352
222,Good,5.201,21355
223,Good,4.401,21357
224,Good,8.401,21360
225,Good,3.202,21362
226,Good,3.202,21365
227,Good,2.400,21367
228,Good,3.202,21370
229,Good,8.401,21372
230,Good,4.401,21375
231,Good,2.401,21377
232,Good,2.401,21380
233,Good,6.401,21382
234,Good,10.402,21385
235,Good,6.402,21387
236,Good,8.402,21390
237,Good,7.601,21392
238,Good,8.402,21395
239,Good,3.601,21397
240,Good,3.602,21400
241,Good,2.801,21402
242,Good,5.601,21405
243,Good,7.601,21407
244,Good,5.601,21410
245,Good,5.601,21412
246,Good,11.602,21415
247,Good,11.601,21417
248,Good,3.602,21420
249,Good,4.801,21422
250,Good,6.001,21425
251,Good,2.802,21427
252,Good,2.802,21430
253,Good,6.803,21432
254,Good,6.802,21435
255,Good,2.001,21437
256,Good,4.001,21440
257,Good,8.001,21442
258,Good,9.201,21445
259,Good,4.001,21447
260,Good,2.000,21450
261,Good,7.201,21452
262,Good,7.201,21455
263,Good,2.001,21457
264,Good,4.002,21460
265,Good,3.201,21462
266,Good,7.201,21465
267,Good,5.201,21467
268,Good,5.201,21470
269,Good,12.401,21473
270,Good,6.402,21475
271,Good,4.401,21478
272,Good,1.202,21480
273,Good,3.201,21483
274,Good,3.201,21485
275,Good,12.401,21488
276,Good,2.401,21490
277,Good,3.600,21493
278,Good,4.401,21495
279,Good,5.601,21498
280,Good,5.601,21500
281,Good,6.402,21503
282,Good,2.402,21505
283,Good,3.601,21508
284,Good,6.401,21510
285,Good,5.601,21513
286,Good,4.801,21515
287,Good,3.601,21518
288,Good,11.601,21520
289,Good,3.602,21523
290,Good,4.801,21525
291,Good,2.801,21528
292,Good,1.601,21530
293,Good,6.802,21533
294,Good,5.601,21535
295,Good,9.606,21538
296,Good,4.801,21540
297,Good,2.001,21543
298,Good,12.802,21545
299,Good,6.001,21548
300,Good,2.802,21550
301,Good,6.001,21553
302,Good,2.802,21555
303,Good,6.001,21558
304,Good,4.802,21560
305,Good,8.801,21563
306,Good,6.001,21565
307,Good,10.002,21568
308,Good,4.002,21570
309,Good,4.002,21573
310,Good,3.201,21575
311,Good,5.201,21578
312,Good,6.001,21580
313,Good,7.201,21583
314,Good,7.201,21585
315,Good,7.201,21588
316,Good,3.202,21590
317,Good,4.401,21593
318,Good,2.400,21595
319,Good,2.401,21598
320,Good,2.401,21600
321,Good,2.401,21603
322,Good,4.401,21605
323,Good,2.401,21608
324,Good,2.401,21610
325,Good,3.601,21613
326,Good,5.600,21615
327,Good,2.402,21618
328,Good,3.601,21620
329,Good,6.402,21623
330,Good,2.401,21625
331,Good,3.601,21628
332,Good,3.601,21630
333,Good,3.601,21633
334,Good,4.801,21635
335,Good,6.801,21638
336,Good,6.801,21640
337,Good,4.801,21643
338,Good,5.602,21645
339,Good,3.601,21648
340,Good,2.801,21650
341,Good,3.601,21653
342,Good,5.601,21655
343,Good,2.000,21658
344,Good,4.802,21660
345,Good,2.001,21663
346,Good,2.801,21665
347,Good,2.801,21668
348,Good,8.001,21670
349,Good,10.001,21673
350,Good,4.801,21675
351,Good,3.200,21678
352,Good,3.200,21680
353,Good,12.001,21683
354,Good,4.002,21685
355,Good,3.201,21688
356,Good,9.201,21690
357,Good,6.002,21693
358,Good,1.201,21695
359,Good,2.002,21698
360,Good,6.002,21700
361,Good,6.402,21703
362,Good,1.201,21705
363,Good,3.201,21708
364,Good,2.401,21710
365,Good,4.401,21713
366,Good,7.201,21715
367,Good,5.202,21718
368,Good,1.202,21720
369,Good,2.401,21723
370,Good,2.401,21725
371,Good,2.401,21728
372,Good,11.601,21731
373,Good,2.402,21733
374,Good,4.401,21736
375,Good,6.400,21738
376,Good,10.402,21741
377,Good,5.601,21743
378,Good,7.601,21746
379,Good,1.601,21748
380,Good,3.601,21751
381,Good,3.601,21753
382,Good,3.602,21756
383,Good,4.801,21758
384,Good,3.602,21761
385,Good,7.602,21763
386,Good,8.801,21766
387,Good,2.801,21768
388,Good,1.601,21771
389,Good,2.001,21773
390,Good,6.802,21776
391,Good,8.001,21778
392,Good,4.801,21781
393,Good,2.802,21783
394,Good,8.801,21786
395,Good,8.001,21788
396,Good,2.802,21791
397,Good,4.001,21793
398,Good,2.802,21796
399,Good,10.002,21798
400,Good,6.001,21801
401,Good,2.001,21803
402,Good,9.201,21806
403,Good,4.001,21808
404,Good,5.202,21811
405,Good,3.201,21813
406,Good,8.001,21816
407,Good,9.201,21818
408,Good,4.400,21821
409,Good,9.201,21823
410,Good,4.401,21826
411,Good,5.202,21828
412,Good,7.201,21831
413,Good,5.202,21833
414,Good,5.202,21836
415,Good,2.401,21838
416,Good,4.402,21841
417,Good,2.401,21843
418,Good,1.601,21846
419,Good,1.601,21848
420,Good,3.601,21851
421,Good,3.601,21853
422,Good,1.601,21856
423,Good,5.601,21858
424,Good,7.601,21861
425,Good,5.601,21863
426,Good,9.606,21866
427,Good,7.601,21868
428,Good,12.801,21871
429,Good,3.602,21873
430,Good,11.602,21876
431,Good,2.801,21878
432,Good,9.606,21881
433,Good,4.801,21884
434,Good,4.801,21886
435,Good,4.801,21889
436,Good,4.001,21891
437,Good,4.801,21894
438,Good,10.802,21896
439,Good,6.800,21899
440,Good,12.002,21901
441,Good,2.802,21904
442,Good,10.802,21906
443,Good,4.001,21909
444,Good,6.801,21911
445,Good,3.201,21914
446,Good,8.001,21916
447,Good,3.201,21919
448,Good,4.002,21921
449,Good,2.001,21924
450,Good,7.201,21926
451,Good,12.001,21929
452,Good,1.202,21931
453,Good,5.201,21934
454,Good,5.201,21936
455,Good,5.201,21939
456,Good,3.201,21941
457,Good,3.201,21944
458,Good,3.201,21946
459,Good,8.401,21949
460,Good,2.401,21951
461,Good,7.201,21954
462,Good,1.202,21956
463,Good,4.401,21959
464,Good,12.402,21961
465,Good,9.606,21964
466,Good,5.601,21966
467,Good,3.601,21969
468,Good,7.601,21971
469,Good,7.601,21974
470,Good,3.601,21976
471,Good,10.401,21979
472,Good,2.402,21981
473,Good,5.601,21984
474,Good,7.601,21986
475,Good,2.801,21989
476,Good,11.601,21991
477,Good,8.801,21994
478,Good,9.606,21996
