counter,status,resp_time,value_first
0,Good,11.201,30875.200000
1,Good,11.601,30878.050000
2,Good,1.601,30879.950000
3,Good,1.601,30882.800000
4,Good,8.401,30884.700000
5,Good,9.606,30887.550000
6,Good,10.401,30889.450000
7,Good,1.601,30892.300000
8,Good,10.402,30894.200000
9,Good,4.801,30897.050000
10,Good,4.801,30898.950000
11,Good,11.602,30901.800000
12,Good,3.601,30904.650000
13,Good,7.601,30906.550000
14,Good,7.602,30909.400000
15,Good,11.601,30911.300000
16,Good,12.001,30914.150000
17,Good,8.801,30916.050000
18,Good,10.001,30918.900000
19,Good,8.001,30920.800000
20,Good,6.001,30923.650000
21,Good,4.001,30925.550000
22,Good,6.803,30928.400000
23,Good,4.001,30930.300000
24,Good,12.001,30933.150000
25,Good,8.802,30935.050000
26,Good,11.201,30937.900000
27,Good,10.001,30939.800000
28,Good,4.002,30942.650000
29,Good,3.201,30944.550000
30,Good,9.201,30947.400000
31,Good,6.002,30949.300000
32,Good,8.001,30952.150000
33,Good,5.201,30954.050000
34,Good,5.201,30956.900000
35,Good,4.001,30958.800000
36,Good,8.001,30961.650000
37,Good,2.401,30963.550000
38,Good,8.401,30966.400000
39,Good,2.401,30968.300000
40,Good,10.401,30971.150000
41,Good,8.401,30973.050000
42,Good,9.201,30975.900000
43,Good,5.202,30977.800000
44,Good,12.401,30980.650000
45,Good,2.401,30983.500000
46,Good,6.402,30985.400000
47,Good,4.401,30988.250000
48,Good,4.401,30990.150000
49,Good,11.601,30993.000000
50,Good,5.601,30994.900000
51,Good,1.601,30997.750000
52,Good,9.606,30999.650000
53,Good,8.401,31002.500000
54,Good,2.402,31004.400000
55,Good,1.601,31007.250000
56,Good,8.801,31009.150000
57,Good,2.801,31012.000000
58,Good,1.602,31013.900000
59,Good,2.801,31016.750000
60,Good,2.801,31018.650000
61,Good,7.601,31021.500000
62,Good,7.601,31023.400000
63,Good,7.601,31026.250000
64,Good,4.001,31028.150000
65,Good,8.801,31031.000000
66,Good,2.001,31032.900000
67,Good,10.001,31035.750000
68,Good,4.801,31037.650000
69,Good,8.801,31040.500000
70,Good,2.001,31042.400000
71,Good,2.001,31045.250000
72,Good,2.001,31047.150000
73,Good,10.001,31050.000000
74,Good,6.001,31051.900000
75,Good,4.002,31054.750000
76,Good,5.201,31056.650000
77,Good,7.201,31059.500000
78,Good,4.002,31061.400000
79,Good,3.201,31064.250000
80,Good,4.002,31066.150000
81,Good,8.002,31069.000000
82,Good,6.001,31070.900000
83,Good,12.005,31073.750000
84,Good,5.202,31075.650000
85,Good,5.202,31078.500000
86,Good,2.401,31080.400000
87,Good,4.401,31083.250000
88,Good,4.401,31085.150000
89,Good,1.202,31088.000000
90,Good,2.401,31089.900000
91,Good,5.202,31092.750000
92,Good,4.401,31094.650000
93,Good,6.402,31097.500000
94,Good,8.402,31099.400000
95,Good,11.601,31102.250000
96,Good,10.402,31104.150000
97,Good,7.601,31107.000000
98,Good,5.601,31108.900000
99,Good,6.403,31111.750000
100,Good,1.601,31113.650000
101,Good,11.601,31116.500000
102,Good,7.601,31118.400000
103,Good,10.801,31121.250000
104,Good,8.801,31124.100000
105,Good,2.801,31126.000000
106,Good,7.602,31128.850000
107,Good,7.602,31130.750000
108,Good,3.602,31133.600000
109,Good,1.601,31135.500000
110,Good,5.601,31138.350000
111,Good,2.801,31140.250000
112,Good,8.801,31143.100000
113,Good,6.001,31145.000000
114,Good,6.001,31147.850000
115,Good,2.001,31149.750000
116,Good,4.001,31152.600000
117,Good,6.001,31154.500000
118,Good,10.001,31157.350000
119,Good,6.001,31159.250000
120,Good,2.801,31162.100000
121,Good,2.001,31164.000000
122,Good,9.200,31166.850000
123,Good,2.002,31168.750000
124,Good,7.201,31171.600000
125,Good,2.002,31173.500000
126,Good,1.201,31176.350000
127,Good,5.201,31178.250000
128,Good,2.401,31181.100000
129,Good,3.201,31183.000000
130,Good,1.201,31185.850000
131,Good,3.201,31187.750000
132,Good,2.401,31190.600000
133,Good,3.201,31192.500000
134,Good,3.201,31195.350000
135,Good,7.201,31197.250000
136,Good,3.201,31200.100000
137,Good,8.401,31202.000000
138,Good,5.202,31204.850000
139,Good,4.401,31206.750000
140,Good,9.605,31209.600000
141,Good,4.401,31211.500000
142,Good,4.401,31214.350000
143,Good,8.401,31216.250000
144,Good,2.402,31219.100000
145,Good,2.402,31221.000000
146,Good,3.601,31223.850000
147,Good,10.402,31225.750000
148,Good,4.402,31228.600000
149,Good,2.801,31230.500000
150,Good,6.802,31233.350000
151,Good,6.802,31235.250000
152,Good,4.801,31238.100000
153,Good,2.801,31240.000000
154,Good,7.602,31242.850000
155,Good,6.802,31244.750000
156,Good,1.601,31247.600000
157,Good,4.801,31249.500000
158,Good,6.001,31252.350000
159,Good,4.801,31254.250000
160,Good,4.001,31257.100000
161,Good,4.801,31259.000000
162,Good,4.001,31261.850000
163,Good,6.001,31263.750000
164,Good,4.801,31266.600000
165,Good,2.001,31268.500000
166,Good,2.001,31271.350000
167,Good,3.200,31273.250000
168,Good,9.201,31276.100000
169,Good,3.201,31278.000000
170,Good,3.201,31280.850000
171,Good,10.001,31282.750000
172,Good,2.002,31285.600000
173,Good,7.201,31287.500000
174,Good,6.002,31290.350000
175,Good,5.201,31292.250000
176,Good,12.001,31295.100000
177,Good,11.202,31297.000000
178,Good,4.401,31299.850000
179,Good,3.201,31301.750000
180,Good,1.202,31304.600000
181,Good,7.201,31306.500000
182,Good,11.201,31309.350000
183,Good,6.401,31312.200000
184,Good,7.202,31314.100000
185,Good,5.601,31316.950000
186,Good,9.606,31318.850000
187,Good,5.601,31321.700000
188,Good,4.402,31323.600000
189,Good,7.601,31326.450000
190,Good,6.403,31328.350000
191,Good,3.601,31331.200000
