counter,status,resp_time,value_first
0,Good,67.601,tu5aRFVuvsSBPxuAHq7VTAPp4bszKZybtQv9XWdUEVv8mQhVsd4b8CtfQgxWej3zS9BumLnR8NQCn3W
1,Good,64.801,ptzn8cZtqBsXTvqGHPyXN78F9kthcyoKUW7xwhHCf6MY4Pxpu8d5av2fXszQ2hDM9ZtTVqUaZB3krdu
2,Good,59.201,8vkQerTVbycu6h3reqsMyNf2Xo7urHh8V62kFKV7dPqfp6NogFGEHhYCTgoURdZAq5FZfWPVCRKz9Ag
3,Good,60.000,mK2PCQRVt4w2f9MVyw2oxNaLzQZEVKnDyFP4XekmG56xuSP5Vahx6ZCLA29hQtfr37aRBMFfQCUowGQ
4,Good,66.401,BGgr6k5WRErYdZctR4JXH8GDqhUdLKGtCs3Mp67rscZ5RE2F5JCkx3JZoPBk34fpaqjfk8MqZdrHbXu
5,Good,62.801,UFS2WJDGu7VLe32sQ6ySnWwpco7agS2KXYZmWsGLxbPC8HLqse9rbxe3oKdcVyUZ64Qk2V5Z4YjKqdp
6,Good,66.401,72QmdbZuUngDVsc3jTUMaLmyo92KVF7x3B5caTzW5hwEFxk78YV5Dfpnwzcgk8fcsKTxAaRc73YfsyX
7,Good,67.201,Esk5UwhRcFp6AHPyBJRxVq4Yy7K5jWy2VUXQAN9P5zp9P2qHAuEUNsXyLFWnqGRwjpt9ywJC4dAJ7RC
8,Good,60.000,MHSgap4CcrxJDkd6a9bSkmHXPwLSu3zTsBc7TdX4Vshn4MJRSYfkKJL2stZCRNd3bcq85rQYyfKRFHA
9,Good,62.401,6C5aeSs2oHXjTWkBF35caT8gYp2GVzAJH4Mq2BFofxB9Xpocf6JYWds74DC9fwHaLbXUN2x5e6hDsBY
10,Good,64.800,LGznY7x6k54H2eZUTbhnXoGVcJTmxSMAmcP2tn5J4zTboxHPKz2tW7fAdKPnLHSsFGPCKcjxndw4xUL
11,Good,60.001,tdgvbJVHQU5aBkDnmP8QGy39wE6v24pFsM7d2VDUE8etbJoBdWs4bBgCTQHjtYg3RcG5JvYpCyjLmM2
12,Good,60.001,YK5vD6WoPKkfo7ztM8gj47dA9NpqBENGyRjJz8vYK3zJMuPFSYkKxQ7SD6H8MEWYypBr3NMJZBGUxN9
13,Good,59.200,LjtFwcud5gQJvmEYG4wATdR9NK2h74QfSBTZkKpEwgtmp27CZ3FA2bhS3w57oAmdjv8ftH57gWhS57f
14,Good,67.201,mPNwWZ3CgQZq2oeHp8V5xNgpcwZT3bajQ6bVvMjytRUaG98camBwAPr6Fmhpx9GmrDv3uEk6NWwbzuA
15,Good,58.401,kr2d3QochwpenoMpuF4ATYxaZgcGePXbFyBfQGJaY5wvoqWLUkMtGSCbrLWDhRfxKHe8Ccz4dBpv2G6
16,Good,66.001,3A2XvEnSbUWFV8NkpgZxGNg8P9xjGBntEC8YhMog2d5GTaXcDbYguwUYfExrUSsmAT9yCbjvQPsnaHp
17,Good,64.401,Cq8Qzc5Syv7t2yvjxKGkepUYu96np75vgsC5YwzURbj5hcfsBq8o5Ecj6br5WMGAx7ZJvzLBTwUCFYy
18,Good,62.001,4Rh7JzZQ4UvAPqM8cpDwPEY8k5C6UL7u2Je6ZwgSJXM4P9Lf5CuSaRpMKjWPwd6sXBJFKRhqGvoz3dt
19,Good,68.401,DtbcyqWJByXqzFRPt8N4ZwPk78BxATGoHKCWrxYQFUDRXvfw9NVXKToM2dgJsrtgqC56h8wFsNhMdBA
20,Good,59.607,coSL8hQ4L7bqn2M4UtApv4xCGoH4bye5X7S6BavePZYXj9rfstHquyQEU5H9tDmKsdPmXrj4Q3mrREH
21,Good,61.201,SxMWnDFahfedYqsR6AMSyN34adC9XzPkLvuoycPKeAWSYRbzAKgqcjUMCFDrS4Tm5DbcvByzjdKCuHX
