counter,status,resp_time,value_first
0,Good,4.400,14
1,Good,2.001,16
2,Good,9.201,19
3,Good,0.801,21
4,Good,0.801,24
5,Good,5.601,27
6,Good,2.401,29
7,Good,7.201,32
8,Good,3.201,34
9,Good,0.801,36
10,Good,0.801,39
11,Good,8.001,42
12,Good,3.201,44
13,Good,2.402,47
14,Good,4.801,49
15,Good,0.801,51
16,Good,4.801,54
17,Good,4.001,57
18,Good,2.401,59
19,Good,3.201,62
20,Good,9.606,64
21,Good,3.601,67
22,Good,4.401,69
23,Good,9.201,72
24,Good,3.201,74
25,Good,4.801,77
26,Good,1.601,79
27,Good,1.601,82
28,Good,8.001,84
29,Good,0.801,87
30,Good,3.201,89
31,Good,0.801,92
32,Good,4.001,94
33,Good,4.801,97
34,Good,5.601,99
35,Good,6.401,102
36,Good,6.401,104
37,Good,3.201,107
38,Good,3.201,109
39,Good,8.801,112
40,Good,11.202,114
41,Good,7.601,117
42,Good,6.801,119
43,Good,1.202,122
44,Good,2.001,124
45,Good,2.801,127
46,Good,2.801,129
47,Good,2.801,132
48,Good,4.401,134
49,Good,9.201,137
50,Good,5.601,139
51,Good,3.201,142
52,Good,10.401,144
53,Good,4.400,147
54,Good,10.801,149
55,Good,5.601,152
56,Good,1.601,154
57,Good,1.601,157
58,Good,10.401,159
59,Good,7.601,162
60,Good,1.201,164
61,Good,2.001,167
62,Good,9.200,169
63,Good,4.001,172
64,Good,9.606,174
65,Good,2.801,177
66,Good,3.601,179
67,Good,2.001,182
68,Good,8.401,184
69,Good,1.202,187
70,Good,6.801,189
71,Good,1.202,192
72,Good,2.801,194
73,Good,2.801,197
74,Good,1.202,199
75,Good,7.601,202
76,Good,7.601,204
77,Good,1.202,207
78,Good,5.201,209
79,Good,1.202,212
80,Good,10.001,214
81,Good,8.001,217
82,Good,0.801,219
83,Good,9.606,222
84,Good,3.601,225
85,Good,11.601,227
86,Good,8.001,230
87,Good,1.601,232
88,Good,5.601,235
89,Good,1.601,237
90,Good,6.401,240
91,Good,10.401,242
92,Good,5.201,245
93,Good,7.601,247
94,Good,3.601,250
95,Good,9.201,252
96,Good,3.201,255
97,Good,3.201,257
98,Good,7.201,260
99,Good,2.401,262
100,Good,6.401,265
101,Good,10.401,267
102,Good,6.000,270
103,Good,1.201,272
104,Good,9.201,275
105,Good,4.001,277
106,Good,1.601,280
107,Good,2.401,282
108,Good,7.201,285
109,Good,2.401,287
110,Good,0.801,290
111,Good,8.801,292
112,Good,7.201,295
113,Good,3.199,297
114,Good,11.202,300
115,Good,5.201,302
116,Good,1.201,305
117,Good,2.801,307
118,Good,1.202,310
119,Good,9.200,312
120,Good,1.601,315
121,Good,4.801,317
122,Good,3.201,320
123,Good,1.601,322
124,Good,6.401,325
125,Good,8.001,327
126,Good,8.001,330
127,Good,4.801,332
128,Good,2.401,335
129,Good,1.601,337
130,Good,8.001,340
131,Good,6.401,342
132,Good,6.401,345
133,Good,6.401,347
134,Good,3.201,350
135,Good,11.202,352
136,Good,1.202,355
137,Good,6.801,357
138,Good,10.801,360
139,Good,8.801,363
140,Good,2.401,365
141,Good,6.401,368
142,Good,0.801,370
143,Good,4.801,373
144,Good,0.801,375
145,Good,4.801,378
146,Good,0.801,380
147,Good,2.402,383
148,Good,3.201,385
149,Good,8.001,388
150,Good,10.401,390
151,Good,4.401,393
152,Good,7.600,395
153,Good,2.001,398
154,Good,2.001,400
155,Good,5.201,403
156,Good,4.401,405
157,Good,6.801,408
158,Good,2.001,410
159,Good,7.601,413
160,Good,2.801,415
161,Good,3.601,418
162,Good,5.201,420
163,Good,4.401,423
164,Good,1.202,425
165,Good,3.601,428
166,Good,1.202,430
167,Good,2.801,433
168,Good,1.202,435
169,Good,4.401,438
170,Good,2.001,440
171,Good,3.601,443
172,Good,2.801,445
173,Good,5.201,448
174,Good,6.001,450
175,Good,2.801,453
176,Good,2.801,455
177,Good,3.601,458
178,Good,6.001,460
179,Good,7.601,463
180,Good,2.801,465
181,Good,3.601,468
182,Good,1.202,470
183,Good,2.001,473
184,Good,3.601,475
185,Good,2.801,478
186,Good,3.601,480
187,Good,7.601,483
188,Good,11.601,485
189,Good,4.801,488
190,Good,2.401,490
191,Good,3.201,493
192,Good,2.401,495
193,Good,4.801,498
194,Good,1.601,500
195,Good,1.601,503
196,Good,4.001,505
197,Good,5.601,508
198,Good,4.001,510
199,Good,7.201,513
200,Good,1.601,515
201,Good,2.401,518
202,Good,2.401,520
203,Good,5.601,523
204,Good,0.801,525
205,Good,2.401,528
206,Good,0.801,530
207,Good,1.601,533
208,Good,2.401,535
209,Good,1.601,538
210,Good,6.401,540
211,Good,3.201,543
212,Good,6.401,545
213,Good,0.801,548
214,Good,2.401,550
215,Good,5.601,553
216,Good,0.801,555
217,Good,0.801,558
218,Good,4.801,560
219,Good,4.001,563
220,Good,3.201,565
221,Good,8.001,568
222,Good,5.601,570
223,Good,4.801,573
224,Good,4.801,575
225,Good,4.801,578
226,Good,1.601,580
227,Good,5.601,583
228,Good,4.001,585
229,Good,5.601,588
230,Good,4.001,590
231,Good,5.601,593
232,Good,7.201,595
233,Good,0.801,598
234,Good,1.601,600
235,Good,2.401,603
236,Good,5.601,605
237,Good,8.001,608
238,Good,4.801,610
239,Good,4.801,613
240,Good,1.601,615
241,Good,1.601,618
242,Good,4.001,620
243,Good,8.001,623
244,Good,9.606,625
245,Good,1.202,628
246,Good,3.601,630
247,Good,6.001,633
248,Good,2.001,635
249,Good,11.601,638
250,Good,3.201,640
251,Good,6.401,643
252,Good,2.401,645
