counter,status,resp_time,value_first
0,Good,4.395,2420.799971
1,Good,0.801,2422.699971
2,Good,8.001,2425.549971
3,Good,8.801,2427.449971
4,Good,7.201,2430.299971
5,Good,4.801,2432.199971
6,Good,7.201,2435.049971
7,Good,2.401,2436.949971
8,Good,0.801,2438.849971
9,Good,7.201,2441.699971
10,Good,2.402,2444.549971
11,Good,1.601,2446.449971
12,Good,8.001,2449.299971
13,Good,0.801,2451.199970
14,Good,4.001,2454.049970
15,Good,2.401,2455.949970
16,Good,8.001,2458.799970
17,Good,2.401,2460.699970
18,Good,3.201,2463.549970
19,Good,4.801,2465.449970
20,Good,0.801,2467.349970
21,Good,6.401,2470.199970
22,Good,5.601,2473.049970
23,Good,6.401,2474.949970
24,Good,10.401,2477.799970
25,Good,10.001,2479.699970
26,Good,1.601,2482.549970
27,Good,8.001,2484.449970
28,Good,4.801,2487.299970
29,Good,8.801,2489.199970
30,Good,1.601,2492.049970
31,Good,6.401,2493.949970
32,Good,4.801,2496.799970
33,Good,3.201,2498.699970
34,Good,6.401,2501.549970
35,Good,2.401,2503.449970
36,Good,9.606,2506.299970
37,Good,1.202,2508.199970
38,Good,2.001,2511.049970
39,Good,4.401,2512.949970
40,Good,3.601,2515.799970
41,Good,5.201,2517.699970
42,Good,2.801,2520.549970
43,Good,6.801,2522.449970
44,Good,3.601,2525.299970
45,Good,2.001,2527.199970
46,Good,7.601,2530.049969
47,Good,1.202,2531.949969
48,Good,4.401,2534.799969
49,Good,6.801,2536.699969
50,Good,2.001,2539.549969
51,Good,2.001,2541.449969
52,Good,4.401,2544.299969
53,Good,5.201,2546.199969
54,Good,2.001,2549.049969
55,Good,2.001,2550.949969
56,Good,7.601,2553.799969
57,Good,5.201,2555.699969
58,Good,2.001,2558.549969
59,Good,4.401,2560.449969
60,Good,6.801,2563.299969
61,Good,10.801,2565.199969
62,Good,0.801,2568.049969
63,Good,0.801,2569.949969
64,Good,2.401,2572.799969
65,Good,1.601,2574.699969
66,Good,9.606,2577.549969
67,Good,3.601,2579.449969
68,Good,2.801,2582.299969
69,Good,10.001,2584.199969
70,Good,6.401,2587.049969
71,Good,2.401,2588.949969
72,Good,1.601,2591.799969
73,Good,5.601,2593.699969
74,Good,3.201,2596.549969
75,Good,4.001,2598.449969
76,Good,3.201,2601.299969
77,Good,8.801,2603.199969
78,Good,6.401,2606.049969
79,Good,4.801,2607.949969
80,Good,7.201,2610.799968
81,Good,2.401,2612.699968
