counter,status,resp_time,value_first
0,Good,4.400,15780
1,Good,2.001,15784
2,Good,3.601,15790
3,Good,2.001,15794
4,Good,7.601,15800
5,Good,9.201,15804
6,Good,0.801,15810
7,Good,2.401,15814
8,Good,4.001,15820
9,Good,5.601,15824
10,Good,3.201,15830
11,Good,3.201,15834
12,Good,6.401,15840
13,Good,6.401,15844
14,Good,2.401,15850
15,Good,3.201,15854
16,Good,5.601,15860
17,Good,1.601,15864
18,Good,1.601,15870
19,Good,9.606,15874
20,Good,4.401,15880
21,Good,2.001,15884
22,Good,3.601,15890
23,Good,11.601,15894
24,Good,1.601,15900
25,Good,4.801,15904
26,Good,11.202,15910
27,Good,4.401,15914
28,Good,2.001,15920
29,Good,3.601,15924
30,Good,2.801,15930
31,Good,4.400,15934
32,Good,7.601,15940
33,Good,10.801,15944
34,Good,5.601,15950
35,Good,8.001,15954
36,Good,1.601,15960
37,Good,4.001,15964
38,Good,8.001,15970
39,Good,1.601,15974
40,Good,8.001,15980
41,Good,4.001,15984
42,Good,0.801,15990
43,Good,8.001,15994
44,Good,0.801,16000
45,Good,4.001,16004
46,Good,3.201,16010
47,Good,5.601,16014
48,Good,2.401,16020
49,Good,1.601,16024
50,Good,1.601,16030
51,Good,0.801,16034
52,Good,4.801,16040
53,Good,4.001,16044
54,Good,2.401,16050
55,Good,4.801,16054
56,Good,2.401,16060
57,Good,8.001,16064
58,Good,5.601,16070
59,Good,8.801,16074
60,Good,4.801,16080
61,Good,0.801,16084
62,Good,0.801,16090
63,Good,2.401,16094
64,Good,3.201,16100
65,Good,8.001,16104
66,Good,6.401,16110
67,Good,8.801,16114
68,Good,4.001,16120
69,Good,0.801,16124
70,Good,0.801,16130
71,Good,3.201,16134
72,Good,1.601,16140
73,Good,7.201,16144
74,Good,3.201,16150
75,Good,2.401,16154
76,Good,1.601,16160
77,Good,6.401,16164
78,Good,4.001,16170
79,Good,1.601,16174
80,Good,4.801,16180
81,Good,0.801,16184
82,Good,9.606,16190
83,Good,2.801,16194
84,Good,6.001,16200
85,Good,2.001,16204
86,Good,6.001,16210
87,Good,7.601,16214
88,Good,8.401,16220
89,Good,5.201,16224
90,Good,2.001,16230
91,Good,6.801,16234
92,Good,5.201,16240
93,Good,1.202,16244
94,Good,9.201,16250
95,Good,4.801,16256
96,Good,0.801,16260
97,Good,2.402,16266
98,Good,8.801,16270
99,Good,2.402,16276
100,Good,0.801,16280
101,Good,0.801,16284
102,Good,6.401,16290
103,Good,2.402,16296
104,Good,6.401,16300
105,Good,4.001,16306
106,Good,8.001,16310
107,Good,4.801,16316
108,Good,0.801,16320
109,Good,3.201,16326
110,Good,1.601,16330
111,Good,4.801,16336
112,Good,11.202,16340
113,Good,7.601,16346
114,Good,4.400,16350
115,Good,1.202,16356
116,Good,5.201,16360
117,Good,1.202,16366
118,Good,1.202,16370
119,Good,3.601,16376
120,Good,7.601,16380
121,Good,10.801,16386
122,Good,4.801,16390
123,Good,4.801,16396
124,Good,7.201,16400
125,Good,0.801,16406
126,Good,1.601,16410
127,Good,1.601,16416
128,Good,10.401,16420
129,Good,5.201,16426
130,Good,9.201,16430
131,Good,4.001,16436
132,Good,4.801,16440
133,Good,4.001,16446
134,Good,5.601,16450
135,Good,5.601,16456
136,Good,10.401,16460
137,Good,3.601,16466
138,Good,11.601,16470
139,Good,2.401,16476
140,Good,3.201,16480
