counter,status,resp_time,value_first
0,Good,8.388,-3023
1,Good,7.213,-3020
2,Good,10.401,-3018
3,Good,4.402,-3015
4,Good,9.215,-3013
5,Good,4.800,-3010
6,Good,2.400,-3008
7,Good,8.800,-3006
8,Good,10.400,-3003
9,Good,9.214,-3001
10,Good,4.001,-2998
11,Good,10.401,-2996
12,Good,2.001,-2993
13,Good,4.401,-2991
14,Good,7.601,-2988
15,Good,4.402,-2986
16,Good,10.001,-2984
17,Good,4.000,-2981
18,Good,4.801,-2979
19,Good,2.400,-2976
20,Good,2.401,-2974
21,Good,3.214,-2971
22,Good,8.000,-2969
23,Good,10.400,-2967
24,Good,2.001,-2964
25,Good,7.600,-2962
26,Good,8.401,-2959
27,Good,2.801,-2957
28,Good,5.214,-2954
29,Good,2.001,-2952
30,Good,9.214,-2949
31,Good,2.401,-2947
32,Good,3.215,-2945
33,Good,5.600,-2942
34,Good,1.601,-2940
35,Good,8.801,-2937
36,Good,2.400,-2935
37,Good,7.214,-2932
38,Good,11.214,-2930
39,Good,6.001,-2928
40,Good,2.801,-2925
41,Good,2.801,-2923
42,Good,2.001,-2920
43,Good,10.801,-2918
44,Good,1.601,-2915
45,Good,11.214,-2913
46,Good,5.214,-2910
47,Good,10.001,-2908
48,Good,7.214,-2906
49,Good,11.213,-2903
50,Good,1.215,-2901
51,Good,1.215,-2898
52,Good,5.214,-2896
53,Good,1.214,-2893
54,Good,6.001,-2891
55,Good,6.801,-2888
56,Good,4.403,-2886
57,Good,1.215,-2884
58,Good,10.001,-2881
59,Good,9.606,-2879
60,Good,6.801,-2876
61,Good,9.215,-2874
62,Good,8.800,-2871
63,Good,4.800,-2869
64,Good,7.215,-2866
65,Good,8.801,-2864
66,Good,10.401,-2862
67,Good,5.214,-2859
68,Good,2.001,-2857
69,Good,2.001,-2854
70,Good,9.214,-2852
71,Good,4.800,-2849
72,Good,4.000,-2847
73,Good,11.214,-2844
74,Good,7.601,-2842
75,Good,2.001,-2840
76,Good,8.401,-2837
77,Good,7.601,-2835
78,Good,1.214,-2832
79,Good,3.601,-2830
80,Good,2.801,-2827
81,Good,1.215,-2825
82,Good,3.601,-2823
83,Good,2.001,-2820
84,Good,6.001,-2818
85,Good,2.801,-2815
86,Good,6.001,-2813
87,Good,2.802,-2810
88,Good,1.214,-2808
89,Good,2.001,-2806
90,Good,8.401,-2803
91,Good,8.401,-2801
92,Good,6.001,-2798
93,Good,8.401,-2796
94,Good,1.214,-2793
95,Good,2.801,-2791
96,Good,6.801,-2789
97,Good,6.001,-2786
98,Good,5.214,-2784
99,Good,10.001,-2781
100,Good,5.601,-2779
101,Good,4.800,-2776
102,Good,3.214,-2774
103,Good,4.800,-2772
104,Good,8.000,-2769
105,Good,7.214,-2767
106,Good,1.601,-2764
107,Good,12.001,-2762
108,Good,4.402,-2759
109,Good,4.405,-2757
110,Good,5.601,-2754
111,Good,1.214,-2752
112,Good,1.215,-2750
113,Good,8.401,-2747
114,Good,8.401,-2745
115,Good,10.801,-2742
116,Good,5.598,-2740
117,Good,4.000,-2737
118,Good,4.800,-2735
119,Good,2.400,-2733
120,Good,6.400,-2730
121,Good,3.214,-2728
122,Good,1.600,-2725
123,Good,1.601,-2723
124,Good,2.401,-2720
125,Good,4.000,-2718
126,Good,7.214,-2716
127,Good,4.000,-2713
128,Good,6.400,-2711
129,Good,11.213,-2708
130,Good,5.214,-2706
131,Good,5.213,-2703
132,Good,1.214,-2701
133,Good,2.001,-2699
134,Good,6.801,-2696
135,Good,2.801,-2694
136,Good,2.801,-2691
137,Good,5.214,-2689
138,Good,2.801,-2686
139,Good,8.401,-2684
140,Good,2.001,-2682
141,Good,4.402,-2679
142,Good,5.214,-2677
143,Good,2.801,-2674
144,Good,2.801,-2672
145,Good,10.801,-2669
146,Good,11.214,-2667
147,Good,4.402,-2664
148,Good,5.214,-2662
149,Good,3.600,-2660
150,Good,4.402,-2657
151,Good,9.215,-2655
152,Good,6.400,-2652
153,Good,6.400,-2650
154,Good,4.800,-2647
155,Good,3.214,-2645
156,Good,8.402,-2642
157,Good,7.214,-2640
158,Good,4.001,-2638
159,Good,8.800,-2635
160,Good,5.600,-2633
161,Good,4.000,-2630
162,Good,7.214,-2628
163,Good,8.001,-2625
164,Good,3.215,-2623
165,Good,7.214,-2621
166,Good,4.801,-2618
167,Good,6.400,-2616
168,Good,10.400,-2613
169,Good,7.601,-2611
170,Good,6.801,-2608
171,Good,1.213,-2606
172,Good,4.402,-2604
173,Good,8.401,-2601
174,Good,2.801,-2599
175,Good,10.001,-2596
176,Good,1.600,-2594
177,Good,6.401,-2591
178,Good,3.215,-2589
179,Good,1.600,-2587
180,Good,3.214,-2584
181,Good,8.801,-2582
182,Good,7.214,-2579
183,Good,4.800,-2577
184,Good,3.215,-2574
185,Good,9.605,-2572
186,Good,5.214,-2569
187,Good,3.601,-2567
188,Good,7.600,-2565
189,Good,1.214,-2562
190,Good,4.402,-2560
191,Good,4.402,-2557
192,Good,8.401,-2555
193,Good,10.001,-2552
194,Good,6.401,-2550
195,Good,6.400,-2548
196,Good,11.215,-2545
197,Good,6.801,-2543
198,Good,1.215,-2540
199,Good,6.001,-2538
200,Good,3.601,-2535
201,Good,8.401,-2533
202,Good,2.801,-2531
203,Good,5.214,-2528
204,Good,1.214,-2526
205,Good,10.001,-2523
206,Good,1.601,-2521
207,Good,5.600,-2518
208,Good,4.000,-2516
209,Good,10.400,-2513
210,Good,11.601,-2511
211,Good,3.214,-2509
212,Good,2.401,-2506
213,Good,5.600,-2504
214,Good,4.801,-2501
215,Good,2.397,-2499
216,Good,6.400,-2496
217,Good,4.800,-2494
218,Good,4.001,-2492
219,Good,6.400,-2489
220,Good,10.401,-2487
221,Good,1.215,-2484
222,Good,2.001,-2482
223,Good,1.215,-2479
224,Good,6.801,-2477
225,Good,1.215,-2474
226,Good,1.214,-2472
227,Good,2.001,-2470
228,Good,4.403,-2467
229,Good,4.402,-2465
230,Good,10.801,-2462
231,Good,4.800,-2460
232,Good,1.600,-2457
233,Good,1.600,-2455
234,Good,8.803,-2453
235,Good,12.001,-2450
236,Good,3.601,-2448
237,Good,5.214,-2445
238,Good,4.403,-2443
239,Good,8.402,-2440
240,Good,9.215,-2438
241,Good,4.000,-2435
242,Good,1.600,-2433
243,Good,3.213,-2431
244,Good,4.001,-2428
245,Good,4.001,-2426
246,Good,4.801,-2423
247,Good,5.601,-2421
248,Good,1.597,-2418
249,Good,6.400,-2416
250,Good,2.401,-2414
251,Good,3.213,-2411
252,Good,3.213,-2409
253,Good,8.801,-2406
254,Good,11.214,-2404
255,Good,2.001,-2401
256,Good,3.602,-2399
257,Good,2.801,-2397
258,Good,6.001,-2394
259,Good,1.215,-2392
260,Good,4.402,-2389
261,Good,6.001,-2387
262,Good,2.001,-2384
263,Good,2.000,-2382
264,Good,2.001,-2380
265,Good,2.801,-2377
266,Good,2.001,-2375
267,Good,2.801,-2372
268,Good,6.801,-2370
269,Good,3.601,-2367
270,Good,10.801,-2365
271,Good,7.214,-2362
272,Good,10.400,-2360
273,Good,4.402,-2358
274,Good,2.801,-2355
275,Good,6.001,-2353
276,Good,1.215,-2350
277,Good,4.402,-2348
278,Good,2.001,-2345
279,Good,10.800,-2343
280,Good,2.401,-2341
281,Good,3.210,-2338
282,Good,4.000,-2336
283,Good,5.600,-2333
284,Good,2.401,-2331
285,Good,1.600,-2328
286,Good,8.000,-2326
287,Good,11.214,-2323
288,Good,1.214,-2321
289,Good,2.001,-2319
290,Good,2.801,-2316
291,Good,1.215,-2314
292,Good,4.403,-2311
293,Good,5.214,-2309
294,Good,4.403,-2306
295,Good,3.601,-2304
296,Good,2.001,-2302
297,Good,4.402,-2299
298,Good,11.601,-2297
299,Good,3.213,-2294
300,Good,4.801,-2292
301,Good,2.401,-2289
302,Good,2.400,-2287
303,Good,3.214,-2285
304,Good,1.601,-2282
305,Good,10.401,-2280
306,Good,1.214,-2277
307,Good,1.215,-2275
308,Good,2.001,-2272
309,Good,1.214,-2270
310,Good,8.801,-2267
311,Good,4.402,-2265
312,Good,4.403,-2263
313,Good,4.402,-2260
314,Good,2.001,-2258
315,Good,1.215,-2255
316,Good,2.801,-2253
317,Good,9.214,-2250
318,Good,4.001,-2248
319,Good,2.401,-2246
320,Good,2.400,-2243
321,Good,3.213,-2241
322,Good,3.214,-2238
323,Good,4.000,-2236
324,Good,5.600,-2233
325,Good,3.214,-2231
326,Good,4.801,-2229
327,Good,8.000,-2226
328,Good,1.601,-2224
329,Good,8.000,-2221
330,Good,7.213,-2219
331,Good,7.214,-2216
332,Good,2.400,-2214
333,Good,4.001,-2212
334,Good,11.214,-2209
335,Good,2.801,-2207
336,Good,3.602,-2204
337,Good,2.001,-2202
338,Good,1.213,-2199
339,Good,2.801,-2197
340,Good,7.601,-2195
341,Good,5.214,-2192
342,Good,5.214,-2190
343,Good,10.801,-2187
344,Good,4.801,-2185
345,Good,4.801,-2182
346,Good,5.601,-2180
347,Good,6.400,-2177
348,Good,7.214,-2175
349,Good,1.600,-2173
350,Good,1.601,-2170
351,Good,3.213,-2168
352,Good,8.800,-2165
353,Good,4.000,-2163
354,Good,3.602,-2160
355,Good,5.601,-2158
356,Good,1.601,-2156
357,Good,1.600,-2153
358,Good,3.214,-2151
359,Good,6.401,-2148
360,Good,1.601,-2146
361,Good,9.606,-2143
362,Good,2.001,-2141
363,Good,4.402,-2139
364,Good,2.800,-2136
365,Good,2.801,-2134
366,Good,2.801,-2131
367,Good,7.601,-2129
368,Good,2.801,-2126
369,Good,2.001,-2124
370,Good,6.802,-2122
371,Good,4.403,-2119
372,Good,5.214,-2117
373,Good,3.601,-2114
374,Good,3.600,-2112
375,Good,7.601,-2109
376,Good,2.801,-2107
377,Good,6.801,-2105
378,Good,2.801,-2102
379,Good,6.001,-2100
380,Good,4.402,-2097
381,Good,11.600,-2095
382,Good,4.801,-2092
383,Good,1.600,-2090
384,Good,10.001,-2087
385,Good,2.001,-2085
386,Good,2.801,-2083
387,Good,2.801,-2080
388,Good,2.005,-2078
389,Good,7.601,-2075
390,Good,2.801,-2073
391,Good,7.601,-2070
392,Good,1.214,-2068
393,Good,5.214,-2066
394,Good,2.800,-2063
395,Good,4.402,-2061
396,Good,7.601,-2058
397,Good,2.001,-2056
398,Good,2.001,-2053
399,Good,2.801,-2051
400,Good,4.402,-2049
401,Good,8.401,-2046
402,Good,2.000,-2044
403,Good,1.215,-2041
404,Good,4.401,-2039
405,Good,2.801,-2036
406,Good,3.602,-2034
407,Good,3.601,-2032
408,Good,5.214,-2029
409,Good,2.801,-2027
410,Good,6.801,-2024
411,Good,5.214,-2022
412,Good,4.403,-2019
413,Good,1.215,-2017
414,Good,5.214,-2015
415,Good,6.801,-2012
416,Good,6.801,-2010
417,Good,4.403,-2007
418,Good,1.214,-2005
419,Good,5.214,-2002
420,Good,3.601,-2000
421,Good,6.800,-1998
422,Good,8.401,-1995
423,Good,9.214,-1993
424,Good,8.001,-1990
425,Good,9.605,-1988
426,Good,4.403,-1985
427,Good,2.801,-1983
428,Good,8.001,-1980
429,Good,4.402,-1978
430,Good,3.600,-1976
431,Good,2.001,-1973
432,Good,4.402,-1971
433,Good,2.001,-1968
434,Good,9.215,-1966
435,Good,7.213,-1963
436,Good,10.400,-1961
437,Good,2.801,-1959
438,Good,1.214,-1956
439,Good,6.801,-1954
440,Good,10.001,-1951
441,Good,2.400,-1949
442,Good,8.000,-1946
443,Good,5.600,-1944
444,Good,8.800,-1941
445,Good,1.601,-1939
446,Good,4.001,-1937
447,Good,9.606,-1934
448,Good,1.214,-1932
449,Good,2.801,-1929
450,Good,10.001,-1927
451,Good,4.000,-1924
452,Good,2.400,-1922
453,Good,3.215,-1920
454,Good,4.000,-1917
455,Good,4.800,-1915
456,Good,2.398,-1912
457,Good,4.800,-1910
458,Good,7.214,-1907
459,Good,3.213,-1905
460,Good,1.601,-1903
461,Good,4.000,-1900
462,Good,8.000,-1898
463,Good,6.401,-1895
464,Good,8.800,-1893
465,Good,4.000,-1890
466,Good,4.000,-1888
467,Good,2.400,-1886
468,Good,4.000,-1883
469,Good,8.001,-1881
470,Good,11.214,-1878
471,Good,5.214,-1876
472,Good,10.801,-1873
473,Good,7.213,-1871
474,Good,1.600,-1868
475,Good,3.215,-1866
476,Good,4.000,-1864
477,Good,4.800,-1861
478,Good,5.600,-1859
479,Good,2.401,-1856
480,Good,8.800,-1854
481,Good,4.800,-1851
482,Good,4.800,-1849
483,Good,8.801,-1847
484,Good,7.213,-1844
485,Good,2.401,-1842
486,Good,2.401,-1839
487,Good,3.215,-1837
488,Good,10.400,-1834
489,Good,2.800,-1832
490,Good,2.001,-1830
491,Good,2.002,-1827
492,Good,2.001,-1825
493,Good,1.214,-1822
494,Good,10.800,-1820
495,Good,4.000,-1817
496,Good,4.801,-1815
497,Good,2.400,-1812
498,Good,5.600,-1810
499,Good,6.400,-1808
500,Good,1.600,-1805
501,Good,7.213,-1803
502,Good,8.001,-1800
503,Good,1.601,-1798
504,Good,5.600,-1795
505,Good,11.215,-1793
506,Good,2.001,-1791
507,Good,2.801,-1788
508,Good,3.602,-1786
509,Good,1.214,-1783
510,Good,3.601,-1781
511,Good,7.600,-1778
512,Good,2.801,-1776
513,Good,6.801,-1774
514,Good,2.001,-1771
515,Good,9.214,-1769
516,Good,3.213,-1766
517,Good,1.600,-1764
518,Good,1.600,-1761
519,Good,2.401,-1759
520,Good,7.214,-1756
521,Good,4.001,-1754
522,Good,6.400,-1752
523,Good,11.213,-1749
524,Good,2.001,-1747
525,Good,2.801,-1744
526,Good,4.401,-1742
527,Good,5.214,-1739
528,Good,2.001,-1737
529,Good,4.402,-1735
530,Good,6.001,-1732
531,Good,7.601,-1730
532,Good,2.801,-1727
533,Good,11.602,-1725
534,Good,1.600,-1722
535,Good,3.213,-1720
536,Good,4.001,-1718
537,Good,6.002,-1715
538,Good,6.400,-1713
539,Good,7.213,-1710
540,Good,3.213,-1708
541,Good,2.400,-1705
542,Good,4.800,-1703
543,Good,10.800,-1700
544,Good,1.214,-1698
545,Good,2.801,-1696
546,Good,3.601,-1693
547,Good,1.214,-1691
