counter,status,resp_time,value_first
0,Good,7.588,8386.800000
1,Good,3.649,8388.700000
2,Good,5.259,8391.550000
3,Good,1.243,8393.450000
4,Good,3.634,8396.300000
5,Good,8.438,8398.200000
6,Good,3.609,8401.050000
7,Good,2.016,8402.950000
8,Good,2.805,8404.850000
9,Good,9.214,8407.700000
10,Good,1.620,8409.600000
11,Good,4.809,8412.450000
12,Good,0.805,8414.350000
13,Good,7.258,8417.200000
14,Good,4.808,8419.100000
15,Good,2.801,8421.950000
16,Good,0.809,8423.850000
17,Good,2.801,8425.750000
18,Good,4.832,8428.600000
19,Good,0.824,8430.500000
20,Good,4.830,8433.350000
21,Good,2.001,8435.250000
22,Good,2.801,8438.100000
23,Good,8.840,8440.000000
24,Good,8.007,8441.900000
25,Good,11.220,8444.750000
26,Good,10.010,8446.650000
27,Good,1.625,8449.500000
28,Good,2.403,8451.400000
29,Good,4.813,8454.250000
30,Good,4.014,8456.150000
31,Good,8.001,8459.000000
32,Good,8.004,8460.900000
33,Good,1.625,8462.800000
34,Good,3.221,8465.650000
35,Good,7.227,8467.550000
36,Good,5.631,8470.400000
37,Good,2.448,8472.300000
38,Good,6.840,8475.150000
39,Good,2.403,8477.050000
40,Good,1.620,8478.950000
41,Good,3.222,8481.800000
42,Good,4.013,8483.700000
43,Good,4.020,8486.550000
44,Good,2.801,8488.450000
45,Good,6.401,8491.300000
46,Good,0.815,8493.200000
47,Good,4.002,8495.100000
48,Good,0.809,8497.950000
49,Good,4.017,8499.850000
50,Good,0.812,8502.700000
51,Good,2.444,8504.600000
52,Good,5.220,8507.450000
53,Good,7.226,8509.350000
54,Good,0.808,8511.250000
55,Good,6.412,8514.100000
56,Good,0.804,8516.000000
57,Good,0.804,8518.850000
58,Good,8.005,8520.750000
59,Good,9.641,8523.600000
60,Good,3.622,8525.500000
61,Good,2.013,8527.400000
62,Good,2.040,8530.250000
63,Good,4.406,8532.150000
64,Good,8.418,8535.000000
65,Good,9.215,8536.900000
66,Good,4.018,8539.750000
67,Good,4.001,8541.650000
68,Good,2.418,8543.550000
69,Good,6.448,8546.400000
70,Good,1.624,8548.300000
71,Good,4.848,8551.150000
72,Good,4.810,8553.050000
73,Good,0.815,8555.900000
74,Good,4.816,8557.800000
75,Good,3.262,8559.700000
76,Good,2.405,8562.550000
77,Good,0.848,8564.450000
78,Good,1.627,8567.300000
79,Good,5.616,8569.200000
80,Good,4.034,8572.050000
81,Good,5.615,8573.950000
82,Good,3.219,8575.850000
83,Good,1.617,8578.700000
84,Good,4.806,8580.600000
85,Good,4.806,8583.450000
86,Good,9.624,8585.350000
87,Good,1.222,8588.200000
88,Good,8.412,8590.100000
89,Good,10.820,8592.950000
90,Good,3.215,8594.850000
91,Good,10.409,8596.750000
92,Good,3.623,8599.600000
93,Good,10.847,8601.500000
94,Good,2.410,8604.350000
95,Good,2.408,8606.250000
96,Good,2.001,8609.100000
97,Good,4.002,8611.000000
98,Good,0.833,8613.850000
99,Good,8.807,8615.750000
100,Good,1.621,8617.650000
101,Good,1.619,8620.500000
102,Good,2.402,8622.400000
103,Good,0.820,8625.250000
104,Good,5.621,8627.150000
105,Good,4.025,8630.000000
106,Good,4.807,8631.900000
107,Good,8.046,8633.800000
108,Good,2.408,8636.650000
109,Good,3.261,8638.550000
110,Good,2.406,8641.400000
111,Good,4.802,8643.300000
112,Good,2.802,8646.150000
113,Good,0.814,8648.050000
114,Good,2.414,8649.950000
115,Good,2.406,8652.800000
116,Good,6.408,8654.700000
117,Good,4.802,8657.550000
118,Good,3.216,8659.450000
119,Good,1.647,8662.300000
120,Good,1.643,8664.200000
121,Good,5.620,8666.100000
122,Good,6.434,8668.950000
123,Good,3.256,8670.850000
124,Good,11.231,8673.700000
125,Good,3.213,8675.600000
126,Good,1.244,8678.450000
127,Good,6.842,8680.350000
128,Good,1.254,8682.250000
129,Good,4.402,8685.100000
130,Good,1.260,8687.000000
131,Good,4.427,8689.850000
132,Good,2.047,8691.750000
133,Good,8.800,8694.600000
134,Good,4.001,8696.500000
135,Good,10.400,8698.400000
136,Good,9.626,8701.250000
137,Good,6.047,8703.150000
138,Good,4.411,8706.000000
139,Good,4.435,8707.900000
140,Good,3.644,8710.750000
141,Good,1.218,8712.650000
