counter,status,resp_time,value_first
0,Good,6.000,6365
1,Good,2.801,6368
2,Good,4.849,6370
3,Good,7.601,6373
4,Good,5.620,6375
5,Good,4.023,6377
6,Good,2.801,6380
7,Good,7.256,6382
8,Good,4.005,6385
9,Good,1.607,6387
10,Good,8.813,6390
11,Good,10.441,6392
12,Good,10.024,6395
13,Good,2.001,6397
14,Good,4.007,6399
15,Good,10.439,6402
16,Good,5.216,6404
17,Good,12.001,6407
18,Good,5.622,6409
19,Good,9.653,6412
20,Good,4.801,6414
21,Good,10.401,6417
22,Good,4.046,6419
23,Good,2.416,6421
24,Good,10.430,6424
25,Good,1.256,6426
26,Good,1.236,6429
27,Good,6.842,6431
28,Good,6.400,6434
29,Good,5.231,6436
30,Good,6.000,6439
31,Good,11.643,6441
32,Good,10.801,6443
33,Good,6.815,6446
34,Good,2.028,6448
35,Good,4.800,6451
36,Good,5.231,6453
37,Good,2.015,6456
38,Good,6.827,6458
39,Good,2.813,6460
40,Good,7.622,6463
41,Good,1.222,6465
42,Good,2.824,6468
43,Good,2.846,6470
44,Good,6.845,6473
45,Good,8.443,6475
46,Good,2.020,6477
47,Good,2.003,6480
48,Good,3.638,6482
49,Good,6.810,6485
50,Good,4.801,6487
51,Good,4.001,6490
52,Good,2.038,6492
53,Good,11.215,6495
54,Good,7.232,6497
55,Good,4.003,6499
56,Good,9.214,6502
57,Good,4.001,6504
58,Good,6.817,6507
59,Good,3.215,6509
60,Good,1.248,6512
61,Good,4.801,6514
62,Good,2.843,6516
63,Good,4.000,6519
64,Good,9.235,6521
65,Good,4.818,6524
66,Good,4.021,6526
67,Good,9.214,6529
68,Good,3.214,6531
69,Good,4.000,6534
70,Good,6.819,6536
71,Good,1.600,6538
72,Good,4.000,6541
73,Good,3.214,6543
74,Good,2.401,6546
75,Good,8.001,6548
76,Good,11.214,6551
77,Good,8.028,6553
78,Good,8.012,6555
79,Good,0.808,6558
80,Good,10.801,6560
81,Good,7.214,6563
82,Good,2.016,6565
83,Good,8.801,6568
84,Good,9.229,6570
85,Good,10.801,6573
86,Good,1.230,6575
87,Good,2.401,6577
88,Good,11.213,6580
89,Good,1.214,6582
90,Good,4.403,6585
91,Good,2.001,6587
92,Good,11.238,6590
93,Good,7.213,6592
94,Good,1.245,6595
95,Good,5.217,6597
96,Good,6.400,6599
97,Good,4.801,6602
98,Good,4.802,6604
99,Good,2.033,6607
100,Good,8.801,6609
101,Good,7.640,6612
102,Good,8.800,6614
103,Good,11.617,6616
104,Good,0.810,6619
105,Good,1.633,6621
106,Good,2.802,6624
107,Good,2.801,6626
