counter,status,resp_time,value_first
0,Good,3.601,16975
1,Good,2.001,16978
2,Good,3.241,16980
3,Good,4.402,16982
4,Good,8.401,16985
5,Good,2.430,16987
6,Good,3.601,16990
7,Good,4.835,16992
8,Good,9.214,16995
9,Good,2.400,16997
10,Good,6.049,16999
11,Good,8.001,17002
12,Good,5.262,17004
13,Good,8.800,17007
14,Good,6.401,17009
15,Good,11.215,17012
16,Good,10.001,17014
17,Good,7.213,17017
18,Good,8.800,17019
19,Good,4.001,17021
20,Good,2.400,17024
21,Good,2.402,17026
22,Good,3.214,17029
23,Good,5.601,17031
24,Good,4.000,17034
25,Good,4.800,17036
26,Good,6.400,17038
27,Good,6.844,17041
28,Good,8.435,17043
29,Good,2.400,17046
30,Good,2.845,17048
31,Good,1.601,17051
32,Good,2.833,17053
33,Good,7.213,17055
34,Good,4.000,17058
35,Good,1.601,17060
36,Good,4.448,17063
37,Good,2.842,17065
38,Good,11.214,17068
39,Good,4.842,17070
40,Good,5.214,17072
41,Good,10.001,17075
42,Good,6.842,17077
43,Good,8.000,17080
44,Good,6.039,17082
45,Good,4.800,17085
46,Good,12.000,17087
47,Good,3.601,17090
48,Good,7.601,17092
49,Good,0.836,17094
50,Good,4.834,17097
51,Good,8.401,17099
52,Good,10.001,17102
53,Good,3.214,17104
54,Good,2.400,17107
55,Good,1.601,17109
56,Good,11.602,17112
57,Good,4.402,17114
58,Good,10.801,17116
59,Good,3.213,17119
60,Good,4.800,17121
61,Good,7.214,17124
62,Good,1.601,17126
63,Good,3.215,17129
64,Good,4.800,17131
65,Good,7.213,17133
66,Good,8.000,17136
67,Good,10.400,17138
68,Good,9.214,17141
69,Good,1.258,17143
70,Good,7.214,17146
71,Good,4.801,17148
72,Good,3.214,17151
73,Good,12.000,17153
74,Good,3.601,17155
75,Good,6.001,17158
76,Good,3.601,17160
77,Good,2.801,17163
78,Good,7.601,17165
79,Good,2.001,17168
80,Good,1.214,17170
81,Good,6.001,17172
82,Good,7.601,17175
83,Good,6.415,17177
84,Good,5.214,17180
85,Good,6.001,17182
86,Good,10.801,17185
87,Good,4.001,17187
88,Good,1.601,17189
89,Good,6.000,17192
90,Good,4.000,17194
91,Good,6.400,17197
92,Good,4.800,17199
93,Good,1.601,17202
94,Good,6.401,17204
95,Good,6.417,17207
96,Good,2.401,17209
97,Good,8.800,17211
98,Good,2.849,17214
99,Good,1.600,17216
100,Good,8.001,17219
101,Good,2.048,17221
102,Good,9.605,17224
103,Good,2.001,17226
104,Good,4.043,17228
105,Good,6.001,17231
106,Good,6.001,17233
107,Good,4.046,17236
108,Good,4.839,17238
109,Good,5.214,17241
110,Good,5.214,17243
111,Good,6.001,17245
112,Good,6.001,17248
113,Good,2.801,17250
114,Good,5.214,17253
115,Good,10.001,17255
116,Good,1.600,17258
117,Good,6.048,17260
118,Good,5.240,17262
119,Good,9.606,17265
120,Good,0.843,17267
121,Good,6.001,17270
122,Good,1.648,17272
123,Good,6.801,17275
124,Good,6.801,17277
125,Good,6.801,17280
126,Good,4.836,17282
127,Good,1.214,17284
128,Good,4.041,17287
129,Good,6.001,17289
130,Good,8.401,17292
131,Good,10.801,17294
132,Good,6.400,17297
133,Good,6.833,17299
134,Good,1.258,17301
135,Good,11.215,17304
136,Good,8.044,17306
137,Good,9.214,17309
138,Good,7.213,17311
139,Good,8.000,17314
140,Good,11.213,17316
141,Good,8.401,17319
142,Good,2.801,17321
143,Good,4.806,17323
144,Good,3.601,17326
145,Good,0.831,17328
146,Good,4.402,17331
147,Good,6.001,17333
148,Good,7.601,17336
149,Good,0.850,17338
150,Good,4.822,17340
151,Good,7.601,17343
152,Good,2.446,17345
153,Good,6.440,17348
154,Good,4.402,17350
155,Good,10.801,17353
156,Good,10.400,17355
157,Good,4.403,17358
158,Good,9.213,17360
159,Good,4.800,17362
160,Good,7.213,17365
161,Good,12.000,17367
162,Good,5.214,17370
163,Good,2.001,17372
164,Good,4.402,17375
165,Good,2.001,17377
166,Good,4.401,17379
167,Good,2.001,17382
168,Good,2.801,17384
169,Good,1.214,17387
170,Good,2.801,17389
171,Good,2.001,17392
172,Good,6.001,17394
173,Good,4.402,17396
174,Good,3.601,17399
175,Good,10.001,17401
176,Good,4.800,17404
177,Good,8.442,17406
178,Good,9.605,17409
179,Good,1.646,17411
180,Good,5.214,17414
181,Good,5.214,17416
182,Good,5.214,17418
183,Good,9.214,17421
184,Good,9.605,17423
185,Good,7.601,17426
186,Good,10.801,17428
187,Good,1.601,17431
188,Good,4.000,17433
189,Good,1.600,17436
190,Good,3.214,17438
191,Good,9.261,17440
192,Good,10.800,17443
193,Good,1.600,17445
194,Good,1.600,17448
195,Good,6.845,17450
196,Good,2.400,17453
197,Good,2.401,17455
198,Good,1.600,17458
199,Good,1.601,17460
200,Good,7.213,17462
201,Good,3.214,17465
202,Good,4.431,17467
203,Good,6.400,17470
204,Good,6.400,17472
205,Good,7.214,17475
206,Good,2.401,17477
207,Good,2.401,17479
208,Good,7.214,17482
209,Good,11.214,17484
210,Good,2.801,17487
211,Good,4.402,17489
212,Good,8.401,17492
213,Good,1.214,17494
214,Good,15.601,17497
215,Good,4.001,17499
216,Good,1.601,17501
217,Good,4.001,17504
218,Good,3.213,17506
219,Good,1.600,17509
220,Good,7.213,17511
221,Good,6.401,17514
222,Good,4.800,17516
223,Good,4.001,17518
224,Good,2.400,17521
225,Good,6.001,17523
226,Good,8.001,17526
227,Good,7.213,17528
228,Good,5.600,17531
229,Good,3.213,17533
230,Good,4.800,17535
231,Good,7.214,17538
232,Good,2.401,17540
233,Good,11.214,17543
234,Good,6.001,17545
235,Good,4.402,17548
236,Good,7.601,17550
237,Good,7.601,17552
238,Good,7.601,17555
239,Good,4.402,17557
240,Good,4.402,17560
241,Good,2.801,17562
242,Good,9.213,17565
243,Good,4.800,17567
244,Good,12.000,17570
245,Good,2.001,17572
246,Good,2.801,17574
247,Good,6.801,17577
248,Good,11.600,17579
249,Good,8.001,17582
250,Good,1.600,17584
251,Good,8.800,17587
252,Good,4.000,17589
253,Good,3.213,17591
254,Good,4.800,17594
255,Good,9.605,17596
256,Good,1.214,17599
257,Good,2.001,17601
258,Good,6.001,17604
259,Good,6.801,17606
260,Good,5.214,17608
261,Good,2.001,17611
262,Good,2.801,17613
263,Good,2.001,17616
264,Good,2.001,17618
265,Good,7.601,17621
266,Good,1.215,17623
267,Good,2.801,17625
268,Good,1.214,17628
269,Good,3.601,17630
270,Good,1.214,17633
271,Good,8.401,17635
272,Good,10.800,17638
273,Good,8.001,17640
274,Good,3.214,17643
275,Good,7.214,17645
276,Good,7.213,17647
277,Good,10.400,17650
278,Good,9.214,17652
279,Good,4.001,17655
280,Good,8.000,17657
281,Good,2.401,17660
282,Good,5.600,17662
283,Good,1.601,17664
284,Good,10.400,17667
285,Good,5.214,17669
286,Good,2.001,17672
287,Good,8.401,17674
288,Good,10.801,17677
289,Good,8.801,17679
290,Good,7.213,17682
291,Good,4.001,17684
292,Good,3.213,17686
293,Good,2.400,17689
294,Good,6.000,17691
295,Good,4.801,17694
296,Good,1.601,17696
297,Good,6.401,17699
298,Good,3.214,17701
299,Good,4.000,17703
300,Good,6.003,17706
301,Good,8.800,17708
302,Good,8.000,17711
303,Good,3.214,17713
304,Good,6.400,17716
305,Good,2.401,17718
306,Good,8.000,17720
307,Good,2.401,17723
308,Good,1.600,17725
309,Good,10.400,17728
310,Good,4.402,17730
311,Good,5.214,17733
312,Good,6.001,17735
313,Good,6.001,17738
314,Good,3.601,17740
315,Good,2.001,17742
316,Good,5.213,17745
317,Good,3.601,17747
318,Good,10.801,17750
319,Good,2.401,17752
320,Good,3.213,17755
321,Good,8.800,17757
322,Good,2.401,17759
323,Good,6.401,17762
324,Good,7.214,17764
325,Good,4.800,17767
326,Good,4.800,17769
327,Good,8.000,17772
328,Good,8.000,17774
329,Good,4.801,17776
330,Good,8.800,17779
331,Good,5.601,17781
332,Good,1.600,17784
333,Good,4.000,17786
334,Good,6.400,17789
335,Good,12.000,17791
336,Good,14.001,17794
337,Good,2.401,17796
338,Good,5.250,17798
339,Good,5.601,17801
340,Good,6.401,17803
341,Good,4.801,17806
342,Good,2.400,17808
343,Good,8.800,17811
344,Good,8.800,17813
345,Good,5.601,17815
346,Good,1.601,17818
347,Good,6.401,17820
348,Good,9.605,17823
349,Good,6.801,17825
350,Good,6.801,17828
