counter,status,resp_time,value_first
0,Good,6.800,27642
1,Good,4.001,27645
2,Good,2.400,27647
3,Good,4.801,27650
4,Good,9.606,27652
5,Good,2.801,27655
6,Good,2.801,27657
7,Good,2.801,27660
8,Good,1.201,27662
9,Good,2.001,27665
10,Good,7.601,27667
11,Good,3.601,27670
12,Good,5.201,27672
13,Good,1.201,27675
14,Good,5.201,27677
15,Good,5.201,27680
16,Good,10.001,27682
17,Good,8.800,27685
18,Good,2.401,27687
19,Good,6.400,27690
20,Good,11.201,27692
21,Good,4.401,27695
22,Good,3.601,27697
23,Good,2.801,27700
24,Good,1.201,27702
25,Good,3.603,27705
26,Good,6.801,27707
27,Good,10.001,27710
28,Good,1.601,27712
29,Good,4.001,27715
30,Good,4.801,27717
31,Good,9.605,27720
32,Good,2.801,27722
33,Good,2.001,27725
34,Good,2.801,27727
35,Good,2.801,27730
36,Good,2.801,27732
37,Good,1.201,27735
38,Good,7.601,27737
39,Good,6.001,27740
40,Good,6.801,27742
41,Good,8.401,27745
42,Good,4.401,27747
43,Good,4.401,27750
44,Good,4.401,27752
45,Good,4.401,27755
46,Good,2.801,27757
47,Good,1.201,27760
48,Good,5.201,27762
49,Good,10.801,27765
50,Good,6.401,27768
51,Good,6.401,27770
52,Good,8.801,27773
53,Good,4.001,27775
54,Good,1.601,27777
55,Good,6.401,27780
56,Good,3.202,27782
57,Good,1.601,27785
58,Good,8.801,27788
59,Good,10.401,27790
60,Good,6.801,27793
61,Good,2.802,27795
62,Good,6.801,27798
63,Good,2.001,27800
64,Good,4.401,27803
65,Good,1.201,27805
66,Good,11.601,27808
67,Good,3.202,27810
68,Good,4.001,27813
69,Good,4.001,27815
70,Good,8.801,27818
71,Good,2.401,27820
72,Good,3.202,27823
73,Good,4.001,27825
74,Good,9.606,27828
75,Good,8.401,27830
76,Good,8.401,27833
77,Good,10.001,27835
78,Good,9.606,27838
79,Good,4.401,27840
80,Good,2.001,27843
81,Good,1.201,27845
82,Good,6.001,27848
83,Good,5.201,27850
84,Good,3.601,27853
85,Good,2.001,27855
86,Good,3.601,27858
87,Good,1.201,27860
88,Good,6.801,27863
89,Good,6.001,27865
90,Good,1.201,27868
91,Good,3.601,27870
92,Good,8.401,27873
93,Good,6.801,27875
94,Good,5.201,27878
95,Good,5.201,27880
96,Good,3.601,27883
97,Good,7.601,27885
98,Good,3.601,27888
99,Good,1.201,27890
100,Good,3.601,27893
101,Good,10.001,27895
102,Good,4.001,27898
103,Good,2.401,27900
104,Good,1.601,27903
105,Good,12.401,27905
106,Good,11.601,27908
107,Good,8.001,27910
108,Good,7.200,27913
109,Good,7.200,27915
110,Good,11.200,27918
111,Good,2.801,27920
112,Good,8.401,27923
113,Good,2.801,27925
114,Good,2.001,27928
115,Good,10.801,27930
116,Good,4.001,27933
117,Good,4.001,27935
118,Good,10.401,27938
119,Good,6.001,27941
120,Good,2.001,27943
121,Good,2.001,27946
122,Good,1.201,27948
123,Good,7.601,27951
124,Good,6.801,27953
125,Good,2.802,27956
126,Good,10.001,27958
127,Good,8.001,27961
128,Good,6.401,27963
129,Good,8.001,27966
130,Good,6.401,27968
131,Good,8.001,27971
132,Good,3.201,27973
133,Good,1.601,27976
134,Good,2.401,27978
135,Good,7.201,27981
136,Good,5.601,27983
137,Good,11.201,27986
138,Good,8.401,27988
139,Good,4.401,27991
140,Good,4.401,27993
141,Good,2.001,27996
142,Good,2.801,27998
143,Good,4.401,28001
144,Good,2.801,28003
145,Good,4.401,28006
146,Good,1.201,28008
147,Good,1.201,28011
148,Good,2.801,28013
149,Good,6.001,28016
150,Good,7.601,28018
151,Good,8.401,28021
152,Good,3.601,28023
153,Good,8.401,28026
154,Good,2.801,28028
155,Good,7.601,28031
156,Good,7.601,28033
157,Good,1.201,28036
158,Good,6.801,28038
159,Good,4.401,28041
160,Good,7.601,28043
161,Good,6.001,28046
162,Good,6.001,28048
163,Good,3.601,28051
164,Good,6.801,28053
165,Good,6.001,28056
166,Good,10.801,28058
167,Good,9.606,28061
168,Good,5.201,28063
169,Good,4.401,28066
170,Good,2.001,28068
171,Good,6.001,28071
172,Good,1.201,28073
173,Good,3.601,28076
174,Good,2.001,28078
175,Good,2.001,28081
176,Good,4.401,28083
177,Good,6.801,28086
178,Good,5.201,28088
179,Good,1.201,28091
180,Good,8.401,28093
181,Good,1.201,28096
182,Good,1.998,28098
183,Good,8.401,28101
184,Good,5.201,28103
185,Good,8.401,28106
186,Good,6.001,28108
187,Good,2.801,28111
188,Good,2.001,28113
189,Good,3.601,28116
190,Good,5.201,28118
191,Good,11.601,28121
192,Good,8.001,28123
193,Good,3.202,28126
194,Good,5.601,28128
195,Good,4.001,28131
196,Good,4.800,28133
197,Good,8.801,28136
198,Good,3.202,28138
199,Good,7.201,28141
200,Good,1.601,28143
201,Good,12.000,28146
