counter,status,resp_time,value_first
0,Good,1.601,5502
1,Good,6.001,5506
2,Good,5.201,5512
3,Good,6.801,5516
4,Good,6.801,5522
5,Good,1.201,5526
6,Good,2.001,5532
7,Good,4.401,5536
8,Good,8.401,5542
9,Good,9.201,5546
10,Good,5.601,5552
11,Good,10.401,5556
12,Good,7.601,5562
13,Good,6.001,5566
14,Good,10.801,5572
15,Good,6.401,5576
16,Good,4.001,5582
17,Good,10.401,5586
18,Good,7.601,5592
19,Good,7.601,5596
20,Good,2.801,5602
21,Good,2.801,5606
22,Good,2.801,5612
23,Good,1.201,5616
24,Good,5.201,5622
25,Good,4.401,5626
26,Good,6.001,5632
27,Good,4.401,5636
28,Good,2.001,5642
29,Good,3.601,5646
30,Good,3.601,5652
31,Good,4.401,5656
32,Good,2.801,5662
33,Good,2.801,5666
34,Good,5.201,5672
35,Good,4.401,5676
36,Good,4.401,5682
37,Good,11.601,5686
38,Good,8.801,5692
39,Good,8.801,5696
40,Good,1.601,5702
41,Good,9.606,5706
42,Good,3.601,5712
43,Good,1.201,5716
44,Good,2.801,5722
45,Good,7.601,5726
46,Good,1.201,5732
47,Good,10.801,5736
48,Good,5.600,5742
49,Good,6.401,5746
50,Good,4.801,5752
51,Good,2.401,5756
52,Good,4.000,5762
53,Good,4.000,5766
54,Good,3.202,5772
55,Good,6.401,5776
56,Good,2.401,5782
57,Good,2.401,5786
58,Good,4.001,5792
59,Good,4.001,5796
60,Good,4.000,5802
61,Good,5.601,5806
62,Good,5.601,5812
63,Good,9.606,5816
64,Good,2.001,5822
65,Good,4.401,5828
66,Good,6.801,5832
67,Good,7.601,5838
68,Good,4.401,5842
69,Good,1.201,5846
70,Good,4.401,5852
71,Good,3.601,5858
72,Good,2.001,5862
73,Good,3.601,5868
74,Good,2.001,5872
75,Good,2.001,5878
76,Good,7.601,5882
77,Good,6.001,5888
78,Good,2.801,5892
79,Good,6.001,5898
80,Good,4.401,5902
81,Good,1.201,5906
82,Good,2.801,5912
83,Good,3.601,5918
84,Good,2.001,5922
