counter,status,resp_time,value_first
0,Good,3.207,28667.400000
1,Good,2.401,28669.300000
2,Good,5.601,28672.150000
3,Good,8.402,28674.050000
4,Good,10.401,28676.900000
5,Good,0.801,28678.800000
6,Good,0.801,28681.650000
7,Good,2.801,28683.550000
8,Good,2.401,28686.400000
9,Good,7.601,28688.300000
10,Good,8.005,28691.150000
11,Good,2.401,28693.050000
12,Good,2.001,28695.900000
13,Good,0.802,28697.800000
14,Good,8.401,28700.650000
15,Good,11.201,28702.550000
16,Good,2.401,28705.400000
17,Good,6.001,28707.300000
18,Good,7.602,28710.150000
19,Good,9.203,28712.050000
20,Good,8.001,28714.900000
21,Good,11.204,28717.750000
22,Good,4.401,28719.650000
23,Good,2.803,28722.500000
24,Good,3.201,28724.400000
25,Good,1.201,28727.250000
26,Good,3.604,28729.150000
27,Good,5.201,28732.000000
28,Good,5.601,28733.900000
29,Good,12.001,28736.750000
30,Good,2.401,28738.650000
31,Good,6.001,28741.500000
32,Good,4.401,28743.400000
33,Good,4.001,28746.250000
34,Good,2.801,28748.150000
35,Good,10.402,28751.000000
36,Good,5.601,28752.900000
37,Good,3.601,28755.750000
38,Good,5.601,28757.650000
39,Good,3.202,28760.500000
40,Good,5.201,28762.400000
41,Good,6.401,28765.250000
42,Good,10.801,28767.150000
43,Good,10.001,28770.000000
44,Good,2.401,28771.900000
45,Good,5.201,28774.750000
46,Good,7.201,28776.650000
47,Good,1.201,28779.500000
48,Good,4.001,28781.400000
49,Good,5.601,28784.250000
50,Good,4.801,28786.150000
51,Good,3.202,28789.000000
52,Good,2.803,28790.900000
53,Good,10.401,28793.750000
54,Good,4.801,28795.650000
55,Good,5.605,28798.500000
56,Good,2.001,28800.400000
57,Good,10.401,28803.250000
58,Good,4.001,28805.150000
59,Good,2.401,28808.000000
60,Good,9.201,28809.900000
61,Good,2.001,28812.750000
62,Good,1.605,28814.650000
63,Good,3.601,28817.500000
64,Good,1.605,28819.400000
65,Good,8.802,28822.250000
66,Good,0.801,28824.150000
67,Good,1.606,28827.000000
68,Good,5.605,28828.900000
69,Good,0.801,28831.750000
70,Good,11.201,28833.650000
71,Good,4.801,28836.500000
72,Good,9.201,28839.350000
73,Good,5.201,28841.250000
74,Good,10.401,28844.100000
75,Good,2.401,28846.000000
76,Good,5.601,28848.850000
77,Good,9.202,28850.750000
78,Good,0.805,28853.600000
79,Good,11.201,28855.500000
80,Good,9.606,28858.350000
81,Good,6.401,28860.250000
82,Good,8.801,28863.100000
83,Good,2.001,28865.000000
84,Good,10.405,28867.850000
85,Good,6.401,28869.750000
86,Good,4.801,28872.600000
87,Good,8.401,28874.500000
88,Good,3.202,28877.350000
89,Good,8.402,28879.250000
90,Good,3.202,28882.100000
91,Good,1.201,28884.000000
92,Good,6.801,28886.850000
93,Good,8.404,28888.750000
94,Good,2.802,28891.600000
95,Good,3.201,28893.500000
96,Good,1.601,28896.350000
97,Good,2.001,28898.250000
98,Good,2.802,28901.100000
99,Good,9.201,28903.000000
100,Good,7.205,28905.850000
101,Good,1.605,28907.750000
102,Good,6.001,28910.600000
103,Good,3.201,28912.500000
104,Good,0.801,28915.350000
105,Good,4.005,28917.250000
106,Good,1.601,28920.100000
107,Good,1.201,28922.000000
108,Good,0.801,28924.850000
109,Good,4.801,28926.750000
110,Good,6.001,28929.600000
111,Good,5.602,28931.500000
112,Good,4.401,28934.350000
113,Good,3.201,28936.250000
114,Good,2.401,28939.100000
115,Good,1.201,28941.000000
116,Good,1.601,28943.850000
117,Good,6.001,28945.750000
118,Good,4.801,28948.600000
119,Good,9.201,28950.500000
120,Good,9.606,28953.350000
121,Good,9.607,28955.250000
122,Good,1.601,28958.100000
123,Good,6.002,28960.000000
124,Good,5.201,28962.850000
125,Good,3.605,28964.750000
126,Good,7.601,28967.600000
127,Good,2.401,28969.500000
128,Good,2.001,28972.350000
129,Good,2.802,28974.250000
130,Good,8.001,28977.100000
131,Good,2.001,28979.000000
132,Good,9.606,28981.850000
133,Good,2.001,28984.700000
134,Good,1.201,28986.600000
135,Good,6.403,28989.450000
136,Good,3.201,28991.350000
137,Good,3.601,28994.200000
138,Good,7.201,28996.100000
139,Good,2.001,28998.950000
140,Good,8.001,29000.850000
141,Good,10.401,29003.700000
142,Good,3.202,29005.600000
143,Good,6.001,29008.450000
144,Good,2.001,29010.350000
145,Good,6.803,29013.200000
146,Good,6.001,29015.100000
147,Good,2.401,29017.950000
148,Good,2.001,29019.850000
149,Good,7.201,29022.700000
150,Good,2.001,29024.600000
151,Good,9.201,29027.450000
152,Good,2.001,29029.350000
153,Good,7.202,29032.200000
154,Good,9.201,29034.100000
155,Good,2.001,29036.950000
156,Good,10.002,29038.850000
157,Good,10.001,29041.700000
158,Good,3.601,29043.600000
159,Good,4.801,29046.450000
160,Good,7.601,29048.350000
161,Good,10.401,29051.200000
162,Good,2.801,29053.100000
163,Good,11.201,29055.950000
164,Good,3.202,29057.850000
165,Good,4.400,29060.700000
166,Good,6.401,29062.600000
167,Good,2.400,29065.450000
168,Good,3.601,29067.350000
169,Good,9.606,29070.200000
170,Good,7.601,29072.100000
171,Good,4.401,29074.950000
172,Good,8.003,29076.850000
173,Good,1.601,29079.700000
174,Good,1.201,29081.600000
175,Good,5.201,29084.450000
176,Good,2.001,29086.350000
177,Good,11.203,29089.200000
178,Good,4.401,29091.100000
179,Good,8.801,29093.950000
180,Good,2.004,29095.850000
181,Good,2.401,29098.700000
182,Good,6.802,29101.550000
183,Good,5.201,29103.450000
184,Good,2.004,29105.350000
185,Good,5.200,29108.200000
186,Good,3.202,29110.100000
187,Good,6.801,29112.950000
188,Good,8.405,29115.800000
189,Good,9.203,29117.700000
190,Good,1.606,29120.550000
191,Good,7.601,29122.450000
192,Good,3.201,29125.300000
193,Good,2.801,29127.200000
194,Good,4.401,29130.050000
195,Good,2.001,29131.950000
196,Good,5.201,29134.800000
197,Good,0.802,29136.700000
198,Good,6.801,29139.550000
199,Good,4.401,29141.450000
200,Good,8.001,29144.300000
201,Good,0.804,29146.200000
202,Good,4.001,29149.050000
203,Good,3.205,29150.950000
204,Good,5.601,29153.800000
205,Good,4.002,29155.700000
206,Good,5.201,29158.550000
207,Good,2.001,29160.450000
208,Good,2.001,29163.300000
209,Good,3.201,29165.200000
210,Good,2.401,29168.050000
211,Good,5.201,29169.950000
212,Good,5.601,29172.800000
213,Good,4.005,29174.700000
214,Good,6.801,29177.550000
215,Good,3.601,29179.450000
216,Good,11.601,29182.300000
217,Good,6.001,29184.200000
218,Good,7.201,29187.050000
219,Good,10.801,29188.950000
220,Good,5.601,29191.800000
221,Good,6.401,29193.700000
222,Good,9.606,29196.550000
223,Good,2.401,29198.450000
224,Good,7.600,29201.300000
225,Good,5.601,29203.200000
226,Good,3.601,29206.050000
227,Good,2.803,29207.950000
228,Good,3.202,29210.800000
229,Good,6.801,29212.700000
230,Good,7.201,29215.550000
231,Good,6.800,29217.450000
232,Good,2.001,29220.300000
233,Good,4.001,29222.200000
234,Good,1.204,29225.050000
235,Good,10.802,29226.950000
236,Good,4.801,29229.800000
237,Good,8.805,29231.700000
238,Good,2.801,29234.550000
239,Good,3.201,29236.450000
240,Good,2.001,29239.300000
