counter,status,resp_time,value_first
0,Good,4.000,-11916
1,Good,9.606,-11912
2,Good,6.802,-11906
3,Good,4.801,-11902
4,Good,11.601,-11896
5,Good,5.600,-11892
6,Good,7.201,-11886
7,Good,3.202,-11882
8,Good,8.001,-11876
9,Good,1.601,-11872
10,Good,4.801,-11866
11,Good,6.401,-11862
12,Good,4.002,-11856
13,Good,9.606,-11852
14,Good,3.602,-11846
15,Good,3.601,-11842
16,Good,1.201,-11836
17,Good,1.201,-11832
18,Good,4.401,-11826
19,Good,7.602,-11822
20,Good,1.201,-11816
21,Good,4.401,-11812
22,Good,9.201,-11806
23,Good,6.401,-11802
24,Good,8.001,-11796
25,Good,12.001,-11792
26,Good,2.001,-11786
27,Good,9.201,-11780
28,Good,6.400,-11776
29,Good,12.000,-11770
30,Good,4.401,-11766
31,Good,7.601,-11760
32,Good,4.401,-11756
33,Good,4.401,-11750
34,Good,4.401,-11746
35,Good,2.001,-11740
36,Good,3.601,-11736
37,Good,6.001,-11730
38,Good,4.401,-11726
39,Good,8.401,-11720
40,Good,2.801,-11716
41,Good,2.001,-11710
42,Good,1.201,-11706
43,Good,7.601,-11700
44,Good,8.401,-11696
45,Good,1.201,-11690
46,Good,1.201,-11686
47,Good,7.601,-11680
48,Good,2.001,-11676
49,Good,10.802,-11670
50,Good,5.601,-11666
51,Good,4.801,-11660
52,Good,8.001,-11656
53,Good,8.001,-11650
54,Good,12.001,-11646
55,Good,6.801,-11640
56,Good,6.801,-11636
57,Good,2.001,-11630
58,Good,1.201,-11626
59,Good,10.001,-11620
60,Good,5.601,-11616
61,Good,6.400,-11610
62,Good,8.801,-11606
63,Good,11.201,-11600
64,Good,6.001,-11596
65,Good,9.201,-11590
66,Good,8.801,-11586
67,Good,8.001,-11580
68,Good,3.203,-11576
69,Good,9.606,-11570
70,Good,5.201,-11566
71,Good,2.801,-11560
72,Good,8.401,-11556
73,Good,4.401,-11550
74,Good,2.001,-11546
75,Good,2.001,-11540
76,Good,10.801,-11536
77,Good,5.601,-11530
78,Good,7.202,-11526
79,Good,2.401,-11520
80,Good,7.201,-11516
81,Good,4.801,-11510
82,Good,4.001,-11506
83,Good,4.001,-11500
84,Good,4.001,-11496
85,Good,8.001,-11490
86,Good,4.001,-11486
87,Good,5.601,-11480
88,Good,6.401,-11476
89,Good,3.202,-11470
90,Good,10.401,-11466
91,Good,6.802,-11460
92,Good,4.401,-11456
93,Good,3.602,-11450
94,Good,1.201,-11446
95,Good,2.001,-11440
96,Good,2.001,-11436
97,Good,5.201,-11430
98,Good,2.801,-11426
99,Good,3.601,-11420
100,Good,1.201,-11416
101,Good,10.001,-11410
102,Good,8.000,-11404
103,Good,2.401,-11400
104,Good,5.600,-11394
105,Good,2.400,-11390
106,Good,8.000,-11384
107,Good,6.400,-11380
108,Good,4.000,-11374
109,Good,10.401,-11370
110,Good,8.402,-11364
111,Good,2.802,-11360
112,Good,5.202,-11354
113,Good,2.001,-11350
114,Good,4.401,-11344
115,Good,10.801,-11340
116,Good,1.601,-11334
117,Good,2.401,-11330
118,Good,1.601,-11324
119,Good,8.001,-11320
120,Good,3.202,-11314
121,Good,4.801,-11310
122,Good,3.202,-11304
123,Good,2.401,-11300
124,Good,4.002,-11294
125,Good,4.801,-11290
126,Good,2.401,-11284
127,Good,6.401,-11280
128,Good,12.000,-11274
129,Good,10.001,-11270
130,Good,3.202,-11264
131,Good,8.001,-11260
132,Good,8.802,-11254
133,Good,7.201,-11250
134,Good,7.202,-11244
135,Good,2.401,-11240
136,Good,3.202,-11234
137,Good,6.401,-11230
138,Good,7.201,-11224
139,Good,4.001,-11220
140,Good,8.001,-11214
141,Good,4.001,-11210
142,Good,6.401,-11204
143,Good,8.802,-11200
144,Good,2.401,-11194
145,Good,1.601,-11190
146,Good,10.401,-11184
147,Good,4.801,-11180
148,Good,10.001,-11174
149,Good,4.802,-11170
150,Good,8.001,-11164
151,Good,1.600,-11160
152,Good,8.002,-11154
153,Good,1.601,-11150
154,Good,8.001,-11144
155,Good,2.401,-11140
156,Good,7.201,-11134
157,Good,5.601,-11130
158,Good,4.001,-11124
159,Good,3.202,-11120
160,Good,5.601,-11114
161,Good,6.401,-11110
162,Good,5.601,-11104
163,Good,3.201,-11100
164,Good,4.801,-11094
165,Good,2.401,-11090
166,Good,4.001,-11084
167,Good,4.001,-11080
168,Good,2.401,-11074
169,Good,5.601,-11070
170,Good,5.601,-11064
171,Good,6.401,-11060
172,Good,2.401,-11054
173,Good,5.601,-11050
174,Good,12.001,-11044
175,Good,2.001,-11040
176,Good,1.201,-11034
177,Good,2.801,-11030
178,Good,3.601,-11024
179,Good,10.801,-11020
180,Good,9.606,-11014
181,Good,1.201,-11010
182,Good,3.601,-11004
183,Good,10.001,-10998
184,Good,2.401,-10994
185,Good,6.400,-10988
186,Good,1.601,-10984
187,Good,8.002,-10978
188,Good,4.001,-10974
189,Good,7.201,-10968
190,Good,11.201,-10964
191,Good,2.001,-10958
192,Good,1.201,-10954
193,Good,4.401,-10948
194,Good,3.601,-10944
195,Good,6.801,-10938
196,Good,2.801,-10934
197,Good,1.201,-10928
198,Good,4.401,-10924
199,Good,7.602,-10918
200,Good,2.001,-10914
201,Good,2.001,-10908
202,Good,3.601,-10904
203,Good,1.201,-10898
204,Good,6.001,-10894
205,Good,10.001,-10888
206,Good,4.001,-10884
207,Good,1.601,-10878
208,Good,4.800,-10874
209,Good,6.401,-10868
210,Good,4.000,-10864
211,Good,2.401,-10858
212,Good,6.402,-10854
213,Good,4.802,-10848
214,Good,7.201,-10844
215,Good,2.401,-10838
216,Good,4.001,-10834
217,Good,1.601,-10828
218,Good,5.601,-10824
219,Good,5.601,-10818
220,Good,3.202,-10814
221,Good,4.001,-10808
222,Good,1.601,-10804
223,Good,6.402,-10798
224,Good,1.601,-10794
225,Good,10.401,-10788
226,Good,9.201,-10784
227,Good,4.001,-10778
228,Good,5.601,-10774
229,Good,5.601,-10768
230,Good,1.602,-10764
231,Good,3.202,-10758
232,Good,6.401,-10754
233,Good,4.802,-10748
234,Good,4.001,-10744
235,Good,2.401,-10738
236,Good,12.001,-10734
237,Good,2.802,-10728
238,Good,1.201,-10724
239,Good,3.601,-10718
240,Good,7.602,-10714
241,Good,4.401,-10708
242,Good,6.801,-10704
243,Good,1.201,-10698
244,Good,4.800,-10694
245,Good,4.401,-10688
246,Good,2.001,-10684
247,Good,1.201,-10678
248,Good,2.802,-10674
249,Good,5.201,-10668
250,Good,5.201,-10664
251,Good,3.601,-10658
252,Good,8.401,-10654
253,Good,6.801,-10648
254,Good,6.001,-10644
255,Good,3.601,-10638
256,Good,6.001,-10634
257,Good,2.001,-10628
258,Good,11.601,-10624
259,Good,6.401,-10618
260,Good,7.201,-10614
261,Good,4.002,-10608
262,Good,4.001,-10604
263,Good,1.602,-10598
264,Good,4.001,-10594
265,Good,7.202,-10588
266,Good,4.000,-10584
267,Good,9.606,-10578
268,Good,4.401,-10574
269,Good,5.201,-10568
270,Good,6.802,-10564
271,Good,1.201,-10558
272,Good,2.001,-10554
273,Good,2.001,-10548
274,Good,1.201,-10544
275,Good,3.602,-10538
276,Good,2.001,-10534
277,Good,4.401,-10528
278,Good,2.801,-10524
279,Good,2.801,-10518
280,Good,3.601,-10514
281,Good,6.001,-10508
282,Good,9.201,-10504
283,Good,3.202,-10498
284,Good,6.401,-10494
285,Good,4.801,-10488
286,Good,2.402,-10484
287,Good,1.602,-10478
288,Good,4.001,-10474
289,Good,8.001,-10468
290,Good,2.402,-10464
291,Good,0.802,-10458
