counter,status,resp_time,value_first
0,Good,31.600,XqUkpu2XS54NzaQHq6rMtGNHx6LZy3DpTNQAYM793YJL93dfAv7qckb6tp8bCzr5nKP3RstMzE7yDr3
1,Good,29.606,WNhyLJ4ahpDmys6Xd4Hks87K4oQMeygk4evwsB8pH5wt79zCXQ3cLpbgvRGB3rYVqAPeywF4U6Mr9eo
2,Good,22.001,kEtg9AcSzJ8H5RnzBQXncpHkuPym7adXqwRrksaPJQofDVpPGTfxP6SJwtKzUZojbGA6PTxJdNBkgYj
3,Good,25.201,SDvMV5L7BRSQaXq2MtfGzs5rxFKvZcky26xUHjNGUEBnS9LXTRagpVmAdgz23wgx6Y3hKnS9eo3DG8Y
4,Good,26.801,7shukWLqNcspK5eSAEsUGWVKyYEFuWKmeHDh8n64AKjyWUcsqZYgykLZafwmkcFhCpwbsBavF7ew6WZ
5,Good,25.201,sLFEBDYHUjPVDbs56JLzaEDWt84dVmu4q5eWQPTkAgCTYv5hpLsA9trnGsUDJ4vsyVoH7qykz3Bu87C
6,Good,29.201,4ombuKoLUR7EcMfsZK6DGxoPW7ruzJQ6y4gpUDdcvsmTwX3Sy8keoG5SPnZaxfWqKtXGbjUFKnDJT3h
7,Good,24.801,VRsQ876GCKAk4ySpcMrYwhupzKW8Sk9fh4u8v7y3xu6Upjc3CPhMzvfDZwj8ybLdC9DU4fWyaztAevd
8,Good,24.800,RoFCpbfG83hQF4J8xTjC7A5SVkF2ncUERvSyV8XthjqeyQR9P7HVRswqEVpBZNKyG2JbVSDjQVsoFRk
9,Good,23.201,37jrFWGaqbRpv5MkDJA7BxotD6zTVgpCT8LHBa5cwp3ZoH265oWDzJ57CaQHnFt9kPY53sFdPHvUYw8
10,Good,28.801,75WaAvtPj9KgVEjaWC4HzFb2mEWo2NAZpRujPmJpYETjbnEFaw9ezbdVXqG3MVTp4JmcofqZCwvBm9S
11,Good,25.601,kmENDF4uovmPaoZeD6sXAQ3r6tf2AD3eVpZnTEVMNRZfn97aGNjvMmyVWKMuk3FPwL9keKtyVE7vFu3
12,Good,28.001,5dkThcdMLFPcRGFUYpjgRNAzMC7JUaqfebx6GkLszuvV2f3uswD5nQkcVafCzoSvtXREYyacPdVfEXk
13,Good,24.001,Jkt83dMnLDPavpgJqSpdQ4FfzHyBh69PY8EkQvLNVpqJ9NYXvDG6jfQeNHuoKDP9Bwj645GEQNYW24a
14,Good,30.401,JKXucwt6oH9NG6RSzcHLfBysTEWDbcgKxDGzdqoW3yGd9KSAqyHn7VCJsW2MKjxYDZKxvTr5UsHvWuo
15,Good,25.201,nXyKkfDUJraPG4uY5fpmK7A8Upj4nz3U2kKsj4qT2beS5fU67KcayMQhYBafzh4PSkpVm8SdgcBCHP9
16,Good,25.201,tnzC9NJWoQjH3BGtmFux6Y4TCgHQ673GKqEnv7QZ6r5csZy2MAvFwP6s9bE4arWc8L7doyV3NcZjnsQ
17,Good,30.001,rWkZNXg4JYQ3pJ79QPdTocENvPXZGLSCyHL4RSTv8RnpGLKbfXSYrGRMamTeHBM8zAvF96KfqLabGoC
18,Good,25.601,FCkYcBEan4xcohYSLG8xrpSnoL64FPzbGVdDZAuK5RrdtmgS92RUvsL7uzHQswjnMaDwHr7Dg3XkJ4j
19,Good,29.606,BHWEXFwdB63uHCfJWohL5FjVm9ecfQveA7BJDWfjqocE2b978vrfLb9M2BagWeKmBjFA9G8eRaGQugf
20,Good,29.201,LyQbPTnMDwh8HmjQfHm9S3xq7aerzENjAKL9oNyhk9QqnHVJBqGoZ46buS2GdMrVm7ZjkSTDXt4g9TJ
21,Good,24.000,5nLcwhTjCZqh9yxgZzqE3HCfBz6c7PJCXw6DspZbCKaphuFRHV7CeJvsWhbY6ptd58YbqAVjKXFWpxU
22,Good,24.001,S8daAmhcBJeNUbHqYvESpk6bJPNVaCegHsYxQ3yvjHwVZ9aBtNLZjqCBRuXNB8nLMts3J4PeFcHGsPv
23,Good,23.202,J765LEf2cWYN2k34QuM8RUK9xTDEG2ZPtG4epUSwuoYfwHCcGVLpmouLQvcwVe98GdXjZqpchmvA6Co
