counter,status,resp_time,value_first
0,Good,9.201,16238
1,Good,6.001,16242
2,Good,10.001,16248
3,Good,12.002,16252
4,Good,8.001,16258
5,Good,9.201,16262
6,Good,5.601,16268
7,Good,5.201,16272
8,Good,9.606,16278
9,Good,5.201,16282
10,Good,4.401,16288
11,Good,14.001,16292
12,Good,4.801,16298
13,Good,6.401,16302
14,Good,10.401,16308
15,Good,12.801,16312
16,Good,5.601,16318
17,Good,15.201,16322
18,Good,4.400,16328
19,Good,8.002,16334
20,Good,9.201,16338
21,Good,11.201,16344
22,Good,4.002,16348
23,Good,4.802,16354
24,Good,13.602,16358
25,Good,12.402,16364
26,Good,11.203,16368
27,Good,6.002,16374
28,Good,5.202,16378
29,Good,9.202,16384
30,Good,14.001,16388
31,Good,10.401,16394
32,Good,4.801,16398
33,Good,5.201,16404
34,Good,6.800,16408
35,Good,7.601,16414
36,Good,4.802,16418
37,Good,12.801,16424
38,Good,16.801,16430
39,Good,4.401,16434
40,Good,13.201,16440
41,Good,12.801,16444
42,Good,6.801,16450
43,Good,10.802,16454
44,Good,4.001,16460
45,Good,4.001,16464
46,Good,11.201,16470
47,Good,6.801,16474
48,Good,4.401,16480
49,Good,12.001,16484
50,Good,8.000,16490
51,Good,8.001,16494
52,Good,9.201,16500
53,Good,6.001,16504
54,Good,13.201,16510
55,Good,12.801,16514
56,Good,8.001,16520
57,Good,8.001,16524
58,Good,4.804,16530
59,Good,14.801,16534
60,Good,4.001,16540
61,Good,7.201,16544
62,Good,9.606,16550
63,Good,8.401,16556
64,Good,8.401,16560
65,Good,8.801,16566
66,Good,3.601,16570
67,Good,15.201,16576
68,Good,6.401,16580
69,Good,6.001,16586
70,Good,6.401,16590
71,Good,7.201,16596
72,Good,8.001,16600
73,Good,6.801,16606
74,Good,10.401,16610
75,Good,12.002,16616
76,Good,10.401,16620
77,Good,12.002,16626
78,Good,8.401,16630
79,Good,11.601,16636
80,Good,4.002,16640
81,Good,8.002,16646
82,Good,5.602,16650
83,Good,4.002,16656
84,Good,5.201,16660
85,Good,12.001,16666
86,Good,4.001,16670
87,Good,11.201,16676
88,Good,12.002,16680
89,Good,13.601,16686
90,Good,8.802,16692
91,Good,8.401,16696
92,Good,8.801,16702
93,Good,12.401,16706
94,Good,6.802,16712
95,Good,10.401,16716
96,Good,7.601,16722
97,Good,6.801,16726
98,Good,11.600,16732
99,Good,8.401,16736
100,Good,4.801,16742
101,Good,7.201,16746
102,Good,8.402,16752
103,Good,12.002,16756
104,Good,10.803,16762
105,Good,6.002,16766
106,Good,11.602,16772
107,Good,12.401,16776
108,Good,6.400,16782
109,Good,7.602,16786
110,Good,12.801,16792
111,Good,11.202,16796
112,Good,10.401,16802
113,Good,10.802,16808
114,Good,8.801,16812
115,Good,4.801,16818
116,Good,4.001,16822
117,Good,6.801,16828
118,Good,5.601,16832
119,Good,6.401,16838
120,Good,8.801,16842
121,Good,12.402,16848
122,Good,5.601,16852
123,Good,11.601,16858
124,Good,8.801,16862
125,Good,8.801,16868
126,Good,6.401,16872
127,Good,5.201,16878
128,Good,6.001,16882
129,Good,7.601,16888
130,Good,8.001,16892
131,Good,14.001,16898
132,Good,5.601,16902
133,Good,12.802,16908
134,Good,6.401,16912
135,Good,10.801,16918
136,Good,7.601,16922
137,Good,10.401,16928
138,Good,4.402,16932
139,Good,6.802,16938
140,Good,4.001,16942
141,Good,4.001,16948
142,Good,4.402,16952
143,Good,4.801,16958
144,Good,5.202,16962
145,Good,12.801,16968
146,Good,6.001,16972
147,Good,6.801,16978
148,Good,6.001,16982
149,Good,6.001,16988
150,Good,14.801,16992
151,Good,8.801,16998
152,Good,18.001,17004
153,Good,12.802,17008
154,Good,6.400,17014
155,Good,4.801,17018
156,Good,4.001,17024
157,Good,11.201,17028
158,Good,4.801,17034
159,Good,5.201,17038
160,Good,9.201,17044
161,Good,12.002,17048
162,Good,5.602,17054
163,Good,5.201,17058
164,Good,7.202,17064
165,Good,7.202,17068
166,Good,5.201,17074
167,Good,12.001,17078
168,Good,8.402,17084
169,Good,11.601,17088
170,Good,8.401,17094
171,Good,7.601,17098
172,Good,14.402,17104
173,Good,11.602,17108
174,Good,6.001,17114
175,Good,6.001,17118
176,Good,5.201,17124
177,Good,6.800,17128
178,Good,6.001,17134
179,Good,9.201,17138
180,Good,14.401,17144
181,Good,13.201,17150
182,Good,13.202,17154
183,Good,8.401,17160
184,Good,8.400,17164
185,Good,5.601,17170
186,Good,12.401,17174
187,Good,4.001,17180
188,Good,8.001,17184
189,Good,4.801,17190
190,Good,8.401,17194
191,Good,12.001,17200
192,Good,5.201,17204
193,Good,11.601,17210
194,Good,7.602,17214
195,Good,6.401,17220
196,Good,10.802,17224
197,Good,12.801,17230
198,Good,6.401,17234
199,Good,3.602,17240
200,Good,4.801,17244
201,Good,5.601,17250
202,Good,4.401,17254
203,Good,7.202,17260
204,Good,4.401,17264
205,Good,13.201,17270
206,Good,6.801,17274
207,Good,4.401,17280
208,Good,11.203,17284
209,Good,5.201,17290
210,Good,6.401,17294
211,Good,13.601,17300
212,Good,9.606,17306
213,Good,4.001,17310
214,Good,13.601,17316
215,Good,14.401,17320
216,Good,6.801,17326
217,Good,13.601,17330
218,Good,6.001,17336
219,Good,11.203,17340
220,Good,3.602,17346
221,Good,5.601,17350
222,Good,6.802,17356
223,Good,8.402,17360
224,Good,9.202,17366
225,Good,9.200,17370
226,Good,6.002,17376
227,Good,6.802,17380
228,Good,12.001,17386
229,Good,7.601,17390
230,Good,6.001,17396
231,Good,6.001,17400
232,Good,7.601,17406
233,Good,12.401,17410
234,Good,4.001,17416
235,Good,6.401,17420
236,Good,5.601,17426
237,Good,8.001,17430
238,Good,6.401,17436
239,Good,8.801,17440
240,Good,11.201,17446
241,Good,14.801,17452
242,Good,4.001,17456
243,Good,4.001,17462
244,Good,8.002,17466
245,Good,11.201,17472
246,Good,5.201,17476
247,Good,8.401,17482
248,Good,9.606,17486
249,Good,7.201,17492
250,Good,12.001,17496
251,Good,6.001,17502
252,Good,7.201,17506
253,Good,5.201,17512
254,Good,6.801,17516
255,Good,11.601,17522
256,Good,4.801,17526
257,Good,5.201,17532
258,Good,4.401,17536
259,Good,5.601,17542
260,Good,6.001,17546
261,Good,6.001,17552
262,Good,10.801,17556
263,Good,10.402,17562
264,Good,4.801,17566
265,Good,4.801,17572
266,Good,6.001,17576
267,Good,4.801,17582
268,Good,8.001,17586
269,Good,4.801,17592
270,Good,11.201,17596
271,Good,6.801,17602
272,Good,9.201,17606
273,Good,4.001,17612
274,Good,6.401,17616
275,Good,11.601,17622
276,Good,12.401,17628
277,Good,6.401,17632
278,Good,4.801,17638
279,Good,3.602,17642
280,Good,4.801,17648
281,Good,3.602,17652
282,Good,14.002,17658
283,Good,8.002,17662
284,Good,5.201,17668
285,Good,10.402,17672
286,Good,8.801,17678
287,Good,4.801,17682
288,Good,14.001,17688
289,Good,9.606,17692
290,Good,8.801,17698
291,Good,7.602,17702
292,Good,6.401,17708
293,Good,13.600,17712
294,Good,5.201,17718
295,Good,14.401,17722
296,Good,4.801,17728
297,Good,10.801,17732
298,Good,4.401,17738
299,Good,5.601,17742
300,Good,10.801,17748
301,Good,8.000,17752
302,Good,10.802,17758
303,Good,12.401,17764
304,Good,8.402,17768
305,Good,4.402,17774
306,Good,7.602,17778
307,Good,8.001,17784
308,Good,9.202,17788
309,Good,4.402,17794
310,Good,8.401,17798
311,Good,4.002,17804
312,Good,8.802,17808
313,Good,8.401,17814
314,Good,12.401,17818
315,Good,5.201,17824
316,Good,4.801,17828
317,Good,7.602,17834
318,Good,10.802,17838
319,Good,4.401,17844
320,Good,6.801,17848
321,Good,8.401,17854
322,Good,8.401,17858
323,Good,6.001,17864
324,Good,15.201,17868
325,Good,8.801,17874
326,Good,5.601,17878
327,Good,14.001,17884
328,Good,6.802,17888
329,Good,7.601,17894
330,Good,6.001,17898
331,Good,4.401,17904
332,Good,12.401,17908
333,Good,5.601,17914
334,Good,4.801,17918
335,Good,7.602,17924
336,Good,4.402,17928
337,Good,4.801,17934
338,Good,9.202,17938
339,Good,5.602,17944
340,Good,9.607,17948
341,Good,11.602,17954
342,Good,14.801,17960
343,Good,9.606,17964
344,Good,8.801,17970
345,Good,6.001,17974
346,Good,8.001,17980
347,Good,5.601,17984
