counter,status,resp_time,value_first
0,Good,11.602,2625.050000
1,Good,5.201,2627.900000
2,Good,4.801,2629.800000
3,Good,4.001,2632.650000
4,Good,8.401,2634.550000
5,Good,5.202,2637.400000
6,Good,6.002,2639.300000
7,Good,4.402,2642.150000
8,Good,7.602,2644.050000
9,Good,10.802,2646.900000
10,Good,8.401,2648.800000
11,Good,8.802,2651.650000
12,Good,11.601,2653.550000
13,Good,6.401,2656.400000
14,Good,10.802,2658.300000
15,Good,6.402,2661.150000
16,Good,8.801,2663.050000
17,Good,8.002,2665.900000
18,Good,14.400,2667.800000
19,Good,12.800,2670.650000
20,Good,6.001,2672.550000
21,Good,11.203,2675.400000
22,Good,8.000,2677.300000
23,Good,5.202,2680.150000
24,Good,6.002,2682.050000
25,Good,10.002,2684.900000
26,Good,11.203,2686.800000
27,Good,10.002,2689.650000
28,Good,7.601,2692.500000
29,Good,8.801,2694.400000
30,Good,10.001,2697.250000
31,Good,5.201,2699.150000
32,Good,4.402,2702.000000
33,Good,8.001,2703.900000
34,Good,7.200,2706.750000
35,Good,11.602,2708.650000
36,Good,15.202,2711.500000
37,Good,5.601,2713.400000
38,Good,5.601,2716.250000
39,Good,6.401,2718.150000
40,Good,6.001,2721.000000
41,Good,6.401,2722.900000
42,Good,11.201,2725.750000
43,Good,6.401,2727.650000
44,Good,5.601,2730.500000
45,Good,6.000,2732.400000
46,Good,9.606,2735.250000
47,Good,6.002,2737.150000
48,Good,4.401,2740.000000
49,Good,4.402,2741.900000
50,Good,8.801,2744.750000
51,Good,4.401,2746.650000
52,Good,12.801,2749.500000
53,Good,5.601,2751.400000
54,Good,6.401,2754.250000
55,Good,6.401,2756.150000
56,Good,9.606,2759.000000
57,Good,5.601,2760.900000
58,Good,7.601,2763.750000
59,Good,5.601,2765.650000
60,Good,6.801,2768.500000
61,Good,5.601,2770.400000
62,Good,8.801,2773.250000
63,Good,6.001,2775.150000
64,Good,6.802,2778.000000
65,Good,8.401,2779.900000
66,Good,6.401,2782.750000
67,Good,14.002,2784.650000
68,Good,6.801,2787.500000
69,Good,8.401,2789.400000
70,Good,8.805,2792.250000
71,Good,13.601,2794.150000
72,Good,8.402,2797.000000
73,Good,12.401,2799.850000
