counter,status,resp_time,value_first
0,Good,11.200,218
1,Good,6.002,220
2,Good,9.606,223
3,Good,9.201,225
4,Good,6.001,228
5,Good,12.002,230
6,Good,12.801,233
7,Good,8.801,235
8,Good,10.802,238
9,Good,4.802,240
10,Good,5.200,243
11,Good,4.002,245
12,Good,10.401,248
13,Good,4.801,250
14,Good,10.802,253
15,Good,5.601,255
16,Good,4.802,258
17,Good,4.001,260
18,Good,8.801,263
19,Good,4.801,265
20,Good,5.201,268
21,Good,16.001,271
22,Good,11.201,273
23,Good,5.200,276
24,Good,6.801,278
25,Good,10.803,281
26,Good,5.601,283
27,Good,12.801,286
28,Good,13.602,288
29,Good,3.601,291
30,Good,9.201,293
31,Good,10.401,296
32,Good,6.001,298
33,Good,10.801,301
34,Good,4.001,303
35,Good,9.606,306
36,Good,4.402,308
37,Good,4.801,311
38,Good,8.801,313
39,Good,9.606,316
40,Good,16.401,319
41,Good,8.001,321
42,Good,10.401,324
43,Good,10.802,326
44,Good,12.402,329
45,Good,7.202,331
46,Good,5.602,334
47,Good,10.001,336
48,Good,3.602,339
49,Good,4.001,341
50,Good,5.202,344
51,Good,5.202,346
52,Good,10.803,349
53,Good,13.201,351
54,Good,5.202,354
55,Good,12.001,356
56,Good,13.601,359
57,Good,5.201,361
58,Good,10.401,364
59,Good,16.401,367
60,Good,9.606,369
61,Good,10.402,372
62,Good,3.602,374
63,Good,3.602,377
64,Good,12.402,379
65,Good,5.201,382
66,Good,9.607,384
67,Good,8.402,387
68,Good,4.402,389
69,Good,10.802,392
70,Good,6.801,394
71,Good,10.401,397
72,Good,6.001,399
73,Good,3.602,402
74,Good,5.202,404
75,Good,4.402,407
76,Good,8.402,409
77,Good,10.401,412
78,Good,10.005,414
79,Good,6.802,417
80,Good,10.401,419
81,Good,5.201,422
82,Good,15.602,425
83,Good,10.801,427
84,Good,12.401,430
85,Good,6.002,432
86,Good,6.001,435
87,Good,7.201,437
88,Good,11.602,440
89,Good,4.401,442
90,Good,4.801,445
91,Good,5.601,447
92,Good,12.001,450
93,Good,4.401,452
94,Good,6.401,455
95,Good,9.606,457
96,Good,10.803,460
97,Good,4.001,462
98,Good,4.001,465
99,Good,7.201,467
100,Good,8.801,470
101,Good,4.001,472
102,Good,10.802,475
103,Good,5.601,477
104,Good,11.202,480
105,Good,6.802,482
106,Good,8.402,485
107,Good,7.602,487
108,Good,6.002,490
109,Good,9.202,492
110,Good,9.607,495
111,Good,8.801,498
112,Good,6.802,500
113,Good,6.401,503
114,Good,5.602,505
115,Good,6.401,508
116,Good,4.401,510
117,Good,14.001,513
118,Good,9.201,515
119,Good,10.802,518
120,Good,10.402,520
121,Good,13.201,523
122,Good,14.402,525
123,Good,9.606,528
124,Good,5.602,530
125,Good,4.802,533
126,Good,8.802,535
127,Good,8.001,538
128,Good,4.802,540
129,Good,4.802,543
130,Good,4.002,545
131,Good,4.002,548
132,Good,8.001,550
133,Good,4.802,553
134,Good,9.607,555
135,Good,8.801,558
136,Good,3.602,560
137,Good,4.402,563
138,Good,6.002,565
139,Good,6.401,568
140,Good,7.201,570
141,Good,4.001,573
142,Good,5.601,575
143,Good,7.201,578
144,Good,7.601,580
145,Good,3.601,583
146,Good,5.201,585
147,Good,6.002,588
148,Good,7.601,590
149,Good,6.401,593
150,Good,8.001,595
151,Good,10.801,598
152,Good,6.001,600
153,Good,8.001,603
154,Good,15.201,606
155,Good,12.001,608
156,Good,5.201,611
157,Good,10.001,613
158,Good,6.401,616
159,Good,9.205,618
160,Good,6.001,621
161,Good,14.001,623
162,Good,7.201,626
163,Good,6.401,628
164,Good,6.802,631
165,Good,4.001,633
166,Good,5.601,636
167,Good,4.801,638
168,Good,4.001,641
169,Good,7.602,643
170,Good,11.201,646
171,Good,4.802,648
172,Good,9.201,651
173,Good,8.801,653
174,Good,4.401,656
175,Good,11.201,658
176,Good,5.602,661
177,Good,8.401,663
178,Good,5.601,666
179,Good,11.202,668
180,Good,5.601,671
181,Good,4.801,673
182,Good,6.401,676
183,Good,11.201,678
184,Good,5.201,681
185,Good,17.200,684
186,Good,5.202,686
187,Good,10.802,689
188,Good,4.001,691
189,Good,13.201,694
190,Good,12.402,696
191,Good,14.401,699
192,Good,10.802,701
193,Good,7.600,704
194,Good,6.001,706
195,Good,6.801,709
196,Good,5.201,711
197,Good,10.001,714
198,Good,11.601,716
199,Good,13.602,719
200,Good,5.601,721
201,Good,12.801,724
202,Good,7.202,726
203,Good,10.402,729
204,Good,7.201,732
205,Good,6.001,734
206,Good,7.201,737
207,Good,9.606,739
208,Good,6.801,742
209,Good,12.401,744
210,Good,5.202,747
211,Good,4.402,749
212,Good,8.001,752
213,Good,11.602,754
214,Good,10.001,757
215,Good,15.201,759
216,Good,6.001,762
217,Good,6.801,764
218,Good,11.202,767
219,Good,3.602,769
220,Good,10.801,772
221,Good,7.201,774
222,Good,10.802,777
223,Good,4.801,779
224,Good,10.001,782
225,Good,4.401,784
226,Good,10.001,787
227,Good,7.201,790
228,Good,6.802,792
229,Good,7.201,795
230,Good,7.601,797
231,Good,7.201,800
232,Good,12.402,802
233,Good,6.402,805
234,Good,5.601,807
235,Good,6.401,810
236,Good,6.801,812
237,Good,6.801,815
238,Good,5.602,817
239,Good,13.201,820
240,Good,4.801,822
241,Good,8.001,825
242,Good,9.606,827
243,Good,4.401,830
244,Good,12.001,832
245,Good,7.201,835
246,Good,10.002,837
247,Good,14.402,840
248,Good,4.001,842
249,Good,13.601,845
250,Good,6.402,847
251,Good,6.402,850
252,Good,4.802,852
253,Good,10.803,855
254,Good,4.001,857
255,Good,5.202,860
256,Good,7.601,862
257,Good,10.801,865
258,Good,5.601,867
259,Good,4.001,870
260,Good,7.601,872
261,Good,6.402,875
262,Good,4.802,877
263,Good,4.001,880
264,Good,16.401,883
265,Good,5.202,885
266,Good,7.601,888
267,Good,6.002,890
268,Good,11.602,893
269,Good,13.200,895
270,Good,4.402,898
271,Good,4.402,900
272,Good,6.802,903
273,Good,12.404,905
274,Good,4.802,908
275,Good,12.401,910
276,Good,3.602,913
277,Good,4.001,915
278,Good,5.601,918
279,Good,6.401,920
280,Good,5.601,923
281,Good,10.001,925
282,Good,8.801,928
283,Good,5.201,930
284,Good,4.002,933
285,Good,5.201,935
286,Good,7.201,938
287,Good,12.802,940
288,Good,6.802,943
289,Good,4.402,945
290,Good,12.001,948
291,Good,5.601,950
292,Good,12.801,953
293,Good,6.006,955
294,Good,6.401,958
295,Good,11.601,960
296,Good,4.400,963
297,Good,5.201,965
298,Good,10.001,968
299,Good,8.001,971
300,Good,4.001,973
301,Good,8.001,976
302,Good,10.001,978
303,Good,11.601,981
304,Good,7.201,983
305,Good,4.801,986
306,Good,6.401,988
307,Good,4.001,991
308,Good,8.402,993
309,Good,10.401,996
310,Good,5.201,998
311,Good,5.201,1001
312,Good,4.801,1003
313,Good,12.002,1006
314,Good,8.801,1008
315,Good,5.202,1011
316,Good,7.602,1013
317,Good,4.801,1016
318,Good,5.201,1018
319,Good,10.001,1021
320,Good,8.001,1023
321,Good,11.202,1026
322,Good,12.801,1028
323,Good,12.802,1031
324,Good,12.801,1033
325,Good,5.602,1036
326,Good,16.801,1039
327,Good,4.001,1041
328,Good,10.802,1044
329,Good,4.002,1046
330,Good,6.402,1049
331,Good,13.201,1051
332,Good,6.002,1054
333,Good,4.801,1056
334,Good,14.002,1059
335,Good,12.002,1061
336,Good,5.202,1064
337,Good,12.001,1066
338,Good,4.802,1069
339,Good,10.001,1071
340,Good,7.201,1074
341,Good,6.802,1076
342,Good,5.202,1079
343,Good,12.401,1081
344,Good,8.801,1084
345,Good,12.002,1086
346,Good,6.801,1089
347,Good,5.202,1091
348,Good,12.001,1094
349,Good,5.601,1096
350,Good,6.801,1099
351,Good,8.002,1101
352,Good,7.601,1104
353,Good,5.201,1106
354,Good,5.201,1109
355,Good,8.002,1111
356,Good,10.001,1114
357,Good,8.401,1117
358,Good,4.000,1119
359,Good,8.801,1122
360,Good,10.002,1124
361,Good,6.001,1127
362,Good,5.201,1129
363,Good,14.001,1132
364,Good,10.401,1134
365,Good,8.401,1137
366,Good,10.401,1139
367,Good,4.801,1142
368,Good,12.002,1144
369,Good,7.201,1147
370,Good,5.601,1149
371,Good,12.801,1152
372,Good,7.601,1154
373,Good,10.798,1157
374,Good,10.402,1159
375,Good,7.601,1162
376,Good,7.201,1164
377,Good,6.400,1167
378,Good,8.401,1169
379,Good,10.802,1172
380,Good,7.601,1174
381,Good,8.002,1177
382,Good,18.401,1180
383,Good,8.801,1182
384,Good,11.201,1185
385,Good,13.602,1187
386,Good,10.802,1190
387,Good,6.801,1192
388,Good,8.401,1195
389,Good,10.402,1197
390,Good,8.801,1200
391,Good,13.601,1202
392,Good,8.802,1205
393,Good,6.402,1207
394,Good,6.001,1210
395,Good,12.001,1212
396,Good,8.800,1215
397,Good,4.401,1217
398,Good,10.401,1220
399,Good,5.602,1222
400,Good,4.002,1225
401,Good,4.801,1227
402,Good,6.402,1230
403,Good,12.401,1232
404,Good,7.601,1235
405,Good,3.602,1237
406,Good,6.801,1240
407,Good,8.402,1242
408,Good,8.801,1245
409,Good,7.602,1247
410,Good,14.002,1250
411,Good,6.000,1252
412,Good,8.401,1255
413,Good,16.401,1258
414,Good,4.801,1260
415,Good,14.401,1263
416,Good,10.802,1265
417,Good,7.602,1268
418,Good,8.801,1270
419,Good,4.001,1273
420,Good,4.402,1275
421,Good,9.606,1278
422,Good,10.402,1280
423,Good,4.001,1283
424,Good,4.001,1285
425,Good,5.601,1288
426,Good,12.002,1290
427,Good,5.601,1293
428,Good,10.803,1295
429,Good,9.201,1298
430,Good,4.001,1300
431,Good,8.801,1303
432,Good,8.001,1305
433,Good,9.199,1308
434,Good,12.401,1310
435,Good,10.001,1313
436,Good,8.801,1316
437,Good,11.602,1318
438,Good,6.801,1321
439,Good,8.001,1323
440,Good,4.401,1326
441,Good,4.401,1328
442,Good,10.802,1331
443,Good,6.801,1333
444,Good,11.201,1336
445,Good,6.402,1338
446,Good,11.601,1341
447,Good,9.606,1343
448,Good,9.201,1346
449,Good,5.601,1348
450,Good,5.601,1351
451,Good,7.201,1353
452,Good,5.601,1356
453,Good,7.201,1358
454,Good,9.201,1361
455,Good,6.401,1363
456,Good,12.401,1366
457,Good,7.602,1368
458,Good,6.001,1371
459,Good,4.801,1373
460,Good,6.002,1376
461,Good,8.002,1378
462,Good,6.801,1381
463,Good,5.202,1383
464,Good,4.801,1386
465,Good,7.201,1388
466,Good,7.602,1391
467,Good,4.001,1393
468,Good,6.401,1396
469,Good,5.601,1398
470,Good,6.802,1401
471,Good,4.802,1403
472,Good,9.606,1406
473,Good,4.802,1408
474,Good,6.801,1411
475,Good,4.400,1413
476,Good,11.601,1416
477,Good,9.201,1419
478,Good,7.202,1421
479,Good,6.001,1424
480,Good,5.602,1426
481,Good,11.202,1429
482,Good,4.800,1431
483,Good,6.801,1434
484,Good,4.401,1436
485,Good,5.201,1439
486,Good,3.602,1441
487,Good,6.801,1444
488,Good,13.201,1446
489,Good,6.001,1449
490,Good,7.601,1451
491,Good,11.601,1454
492,Good,8.401,1456
493,Good,5.600,1459
494,Good,9.606,1461
495,Good,6.001,1464
496,Good,5.201,1466
497,Good,6.001,1469
498,Good,5.201,1471
499,Good,7.202,1474
500,Good,6.001,1476
501,Good,13.201,1479
502,Good,7.599,1481
503,Good,8.401,1484
504,Good,3.601,1486
505,Good,9.606,1489
506,Good,6.401,1491
507,Good,8.802,1494
508,Good,11.202,1496
509,Good,9.202,1499
510,Good,6.402,1501
511,Good,7.601,1504
512,Good,7.201,1506
513,Good,4.801,1509
514,Good,4.001,1511
515,Good,6.001,1514
516,Good,6.401,1516
517,Good,4.001,1519
518,Good,16.001,1521
519,Good,3.601,1524
520,Good,8.801,1527
521,Good,8.402,1529
522,Good,9.201,1532
523,Good,9.201,1534
524,Good,12.001,1537
525,Good,7.201,1539
526,Good,6.801,1542
527,Good,8.401,1544
528,Good,8.802,1547
529,Good,6.402,1549
530,Good,4.002,1552
531,Good,14.801,1554
532,Good,5.202,1557
533,Good,6.802,1559
534,Good,5.202,1562
535,Good,7.602,1564
536,Good,5.601,1567
537,Good,9.202,1569
538,Good,7.601,1572
539,Good,5.201,1574
540,Good,13.601,1577
541,Good,6.801,1579
542,Good,4.402,1582
543,Good,13.601,1584
544,Good,4.802,1587
545,Good,9.201,1589
546,Good,8.402,1592
547,Good,9.202,1594
548,Good,5.201,1597
549,Good,16.800,1599
550,Good,13.202,1602
551,Good,11.602,1605
552,Good,7.602,1607
553,Good,4.801,1610
554,Good,6.802,1612
555,Good,7.201,1615
556,Good,8.402,1617
557,Good,11.201,1620
