counter,status,resp_time,value_first
0,Good,11.601,-1158
1,Good,6.002,-1152
2,Good,8.401,-1148
3,Good,9.606,-1142
4,Good,16.001,-1136
5,Good,5.201,-1132
6,Good,9.201,-1126
7,Good,13.201,-1122
8,Good,6.400,-1116
9,Good,7.602,-1112
10,Good,6.401,-1106
11,Good,8.402,-1102
12,Good,6.400,-1096
13,Good,12.001,-1092
14,Good,13.201,-1086
15,Good,14.801,-1082
16,Good,11.203,-1076
17,Good,8.801,-1072
18,Good,10.401,-1066
19,Good,7.201,-1062
20,Good,5.601,-1056
21,Good,8.401,-1052
22,Good,10.001,-1046
23,Good,7.601,-1042
24,Good,12.001,-1036
25,Good,11.202,-1032
26,Good,7.201,-1026
27,Good,7.602,-1020
28,Good,8.401,-1016
29,Good,13.601,-1010
30,Good,9.606,-1006
31,Good,8.801,-1000
32,Good,6.401,-996
33,Good,11.201,-990
34,Good,6.801,-986
35,Good,7.201,-980
36,Good,13.201,-976
37,Good,7.201,-970
38,Good,11.201,-966
39,Good,9.201,-960
40,Good,6.002,-956
41,Good,8.401,-950
42,Good,10.001,-946
43,Good,7.201,-940
44,Good,7.201,-936
45,Good,4.801,-930
46,Good,7.201,-926
47,Good,8.401,-920
48,Good,8.401,-916
49,Good,4.801,-910
50,Good,10.401,-906
51,Good,5.601,-900
52,Good,7.201,-896
53,Good,9.201,-890
54,Good,14.401,-884
55,Good,6.001,-880
56,Good,11.201,-874
57,Good,7.202,-870
58,Good,7.202,-864
59,Good,9.606,-860
60,Good,6.002,-854
61,Good,9.606,-850
62,Good,7.601,-844
63,Good,10.802,-840
64,Good,13.601,-834
65,Good,5.601,-830
66,Good,9.605,-824
67,Good,10.401,-820
68,Good,9.606,-814
69,Good,11.201,-810
70,Good,13.601,-804
71,Good,7.602,-798
72,Good,9.201,-794
73,Good,9.201,-788
74,Good,5.601,-784
75,Good,13.201,-778
76,Good,12.001,-774
77,Good,9.201,-768
78,Good,12.001,-764
79,Good,13.601,-758
80,Good,10.001,-754
81,Good,13.600,-748
82,Good,16.401,-742
83,Good,13.202,-738
84,Good,7.600,-732
85,Good,10.001,-728
86,Good,7.602,-722
87,Good,12.002,-718
88,Good,13.202,-712
89,Good,8.001,-708
90,Good,6.401,-702
91,Good,5.601,-698
92,Good,6.801,-692
93,Good,8.001,-688
94,Good,8.001,-682
95,Good,6.001,-678
96,Good,13.601,-672
97,Good,10.802,-668
98,Good,10.801,-662
99,Good,13.201,-658
100,Good,10.801,-652
101,Good,13.601,-648
102,Good,6.801,-642
103,Good,10.401,-636
104,Good,8.401,-632
105,Good,11.201,-626
106,Good,8.401,-622
107,Good,11.602,-616
108,Good,8.801,-612
109,Good,5.201,-606
110,Good,13.602,-602
111,Good,12.001,-596
112,Good,10.802,-592
113,Good,11.201,-586
114,Good,7.601,-582
115,Good,8.801,-576
116,Good,10.001,-572
117,Good,7.201,-566
118,Good,11.201,-562
119,Good,10.802,-556
120,Good,10.802,-550
121,Good,6.402,-546
122,Good,8.802,-540
123,Good,8.001,-536
124,Good,16.802,-530
125,Good,9.201,-526
126,Good,11.601,-520
127,Good,6.001,-516
128,Good,11.201,-510
129,Good,10.001,-506
130,Good,14.801,-500
131,Good,9.201,-496
132,Good,9.606,-490
133,Good,14.001,-484
134,Good,14.001,-480
135,Good,9.201,-474
136,Good,4.401,-470
137,Good,7.601,-464
138,Good,6.801,-460
139,Good,7.602,-454
140,Good,7.201,-450
141,Good,12.001,-444
142,Good,9.607,-440
143,Good,10.401,-434
144,Good,8.002,-430
145,Good,7.601,-424
146,Good,8.002,-420
147,Good,8.002,-414
148,Good,8.002,-410
149,Good,12.802,-404
150,Good,8.801,-400
151,Good,4.801,-394
152,Good,9.201,-390
153,Good,14.001,-384
154,Good,6.802,-380
155,Good,13.601,-374
156,Good,15.601,-368
157,Good,14.801,-364
158,Good,9.201,-358
159,Good,14.001,-354
160,Good,12.800,-348
161,Good,7.601,-344
162,Good,4.401,-338
163,Good,4.401,-334
164,Good,13.201,-328
165,Good,13.602,-324
166,Good,8.001,-318
167,Good,7.602,-314
168,Good,11.201,-308
169,Good,13.201,-304
170,Good,8.801,-298
171,Good,6.801,-294
172,Good,10.401,-288
173,Good,13.602,-282
174,Good,4.801,-278
175,Good,10.401,-272
176,Good,8.401,-268
177,Good,5.201,-262
178,Good,12.401,-258
179,Good,12.001,-252
180,Good,11.601,-248
181,Good,7.201,-242
182,Good,11.201,-238
183,Good,10.802,-232
184,Good,5.601,-228
185,Good,6.401,-222
186,Good,8.402,-218
187,Good,9.202,-212
188,Good,12.401,-208
189,Good,5.201,-202
190,Good,7.601,-198
191,Good,9.606,-192
192,Good,14.402,-186
193,Good,4.402,-182
194,Good,8.400,-176
195,Good,12.001,-172
196,Good,6.401,-166
197,Good,10.402,-162
198,Good,5.601,-156
199,Good,12.002,-152
200,Good,12.400,-146
201,Good,10.001,-142
202,Good,10.802,-136
203,Good,4.801,-132
204,Good,9.605,-126
205,Good,6.001,-122
206,Good,8.001,-116
207,Good,13.199,-112
208,Good,4.402,-106
209,Good,9.202,-102
210,Good,10.001,-96
211,Good,11.201,-90
212,Good,5.601,-86
213,Good,5.601,-80
214,Good,8.002,-76
215,Good,7.201,-70
216,Good,10.402,-66
217,Good,12.001,-60
218,Good,9.201,-56
219,Good,7.601,-50
220,Good,7.201,-46
221,Good,4.401,-40
222,Good,7.201,-36
223,Good,4.801,-30
224,Good,14.401,-26
225,Good,13.201,-20
226,Good,10.401,-16
227,Good,10.000,-10
228,Good,9.201,-6
229,Good,8.400,0
230,Good,16.401,6
231,Good,8.001,10
232,Good,11.201,16
233,Good,9.201,20
234,Good,8.402,26
235,Good,5.601,30
236,Good,7.201,36
237,Good,13.601,40
238,Good,11.601,46
239,Good,5.601,50
240,Good,12.402,56
241,Good,6.001,60
242,Good,9.201,66
243,Good,7.201,70
244,Good,5.201,76
245,Good,10.802,80
246,Good,10.802,86
247,Good,5.601,90
248,Good,10.401,96
249,Good,12.401,100
250,Good,6.801,106
251,Good,8.001,112
252,Good,4.402,116
253,Good,12.801,122
254,Good,9.201,126
255,Good,10.401,132
256,Good,9.607,136
257,Good,4.801,142
258,Good,8.001,146
259,Good,10.001,152
260,Good,7.202,156
261,Good,5.201,162
262,Good,9.607,166
263,Good,7.201,172
264,Good,8.001,176
265,Good,7.602,182
266,Good,10.001,186
267,Good,6.001,192
268,Good,13.201,196
269,Good,7.602,202
270,Good,8.801,206
271,Good,9.202,212
272,Good,4.801,216
273,Good,6.801,222
274,Good,6.800,226
275,Good,4.800,232
276,Good,13.601,236
277,Good,13.202,242
278,Good,9.606,248
279,Good,9.606,252
280,Good,10.401,258
281,Good,15.200,262
282,Good,5.601,268
283,Good,8.401,272
284,Good,6.000,278
285,Good,9.607,282
