counter,status,resp_time,value_first
0,Good,0.732,-30011
1,Good,0.781,-30009
2,Good,1.525,-30006
3,Good,0.779,-30004
4,Good,0.782,-30001
5,Good,0.820,-29999
6,Good,0.836,-29996
7,Good,0.781,-29994
8,Good,0.790,-29991
9,Good,0.823,-29989
10,Good,0.736,-29986
11,Good,0.845,-29984
12,Good,0.808,-29981
13,Good,0.822,-29979
14,Good,0.830,-29976
15,Good,0.830,-29974
16,Good,0.838,-29971
17,Good,0.834,-29969
18,Good,0.839,-29966
19,Good,0.826,-29964
20,Good,0.843,-29961
21,Good,0.819,-29959
22,Good,0.850,-29956
23,Good,0.850,-29954
24,Good,0.821,-29951
25,Good,0.808,-29949
26,Good,0.839,-29946
27,Good,0.842,-29944
28,Good,0.848,-29941
29,Good,0.836,-29938
30,Good,0.842,-29936
31,Good,0.898,-29933
32,Good,0.784,-29931
33,Good,0.816,-29928
34,Good,0.807,-29926
35,Good,0.844,-29923
36,Good,0.835,-29921
37,Good,0.829,-29918
38,Good,0.808,-29916
39,Good,0.811,-29913
40,Good,0.852,-29911
41,Good,0.806,-29908
42,Good,0.851,-29906
43,Good,0.808,-29903
44,Good,0.809,-29901
45,Good,0.791,-29898
46,Good,0.833,-29896
47,Good,0.832,-29893
48,Good,0.780,-29891
49,Good,0.802,-29888
50,Good,0.805,-29886
51,Good,0.795,-29883
52,Good,0.801,-29881
53,Good,0.806,-29878
54,Good,0.821,-29876
55,Good,0.795,-29873
56,Good,0.823,-29871
57,Good,0.839,-29868
58,Good,0.776,-29866
59,Good,0.808,-29863
60,Good,0.792,-29861
61,Good,0.807,-29858
62,Good,0.814,-29856
63,Good,0.823,-29853
64,Good,0.722,-29851
65,Good,0.797,-29848
66,Good,0.824,-29846
67,Good,0.824,-29843
68,Good,0.852,-29841
69,Good,0.793,-29838
70,Good,0.838,-29836
71,Good,0.815,-29833
72,Good,0.822,-29831
73,Good,0.824,-29828
74,Good,0.847,-29826
75,Good,0.802,-29823
76,Good,0.831,-29821
77,Good,0.827,-29818
78,Good,0.834,-29816
79,Good,0.798,-29813
80,Good,0.845,-29811
81,Good,0.811,-29808
82,Good,0.851,-29806
83,Good,0.820,-29803
84,Good,0.837,-29801
85,Good,0.827,-29798
86,Good,0.863,-29796
87,Good,0.830,-29793
88,Good,0.861,-29791
89,Good,0.819,-29788
90,Good,0.842,-29786
91,Good,0.841,-29783
92,Good,0.855,-29781
93,Good,0.818,-29778
94,Good,0.883,-29776
95,Good,0.810,-29773
96,Good,0.808,-29771
97,Good,0.838,-29768
98,Good,0.855,-29766
99,Good,0.854,-29763
100,Good,0.797,-29761
101,Good,0.822,-29758
102,Good,0.870,-29756
103,Good,0.835,-29753
104,Good,0.835,-29751
105,Good,0.827,-29748
106,Good,0.872,-29746
107,Good,0.816,-29743
108,Good,0.861,-29741
