counter,status,resp_time,value_first
0,Good,1.364,-31813
1,Good,2.739,-31810
2,Good,0.818,-31808
3,Good,0.808,-31805
4,Good,0.829,-31803
5,Good,0.806,-31800
6,Good,0.867,-31798
7,Good,0.804,-31795
8,Good,0.830,-31793
9,Good,0.813,-31790
10,Good,0.836,-31788
11,Good,0.850,-31785
12,Good,0.799,-31783
13,Good,0.838,-31780
14,Good,0.759,-31778
15,Good,0.828,-31775
16,Good,0.757,-31773
17,Good,0.836,-31770
18,Good,0.824,-31768
19,Good,0.819,-31765
20,Good,0.798,-31763
21,Good,0.830,-31760
22,Good,0.830,-31758
23,Good,0.825,-31755
24,Good,0.797,-31753
25,Good,0.824,-31750
26,Good,0.814,-31748
27,Good,0.841,-31745
28,Good,0.812,-31743
29,Good,0.814,-31740
30,Good,0.821,-31738
31,Good,0.805,-31735
32,Good,0.831,-31733
33,Good,0.822,-31730
34,Good,0.827,-31728
35,Good,0.833,-31725
36,Good,0.806,-31723
37,Good,0.817,-31720
38,Good,0.820,-31718
39,Good,0.850,-31715
40,Good,0.810,-31713
41,Good,0.833,-31710
42,Good,0.828,-31708
43,Good,0.835,-31705
44,Good,0.816,-31703
45,Good,0.836,-31700
46,Good,0.812,-31698
47,Good,0.804,-31695
48,Good,0.810,-31693
49,Good,0.827,-31690
50,Good,0.825,-31688
51,Good,0.833,-31685
52,Good,0.818,-31683
53,Good,0.821,-31680
54,Good,0.846,-31678
55,Good,0.830,-31675
56,Good,0.831,-31673
57,Good,0.872,-31670
58,Good,0.808,-31668
59,Good,0.823,-31665
60,Good,0.794,-31663
61,Good,0.913,-31660
62,Good,0.657,-31658
63,Good,0.766,-31655
64,Good,0.808,-31653
65,Good,0.813,-31650
66,Good,0.828,-31648
67,Good,0.846,-31645
68,Good,0.802,-31643
69,Good,0.835,-31640
70,Good,0.837,-31638
71,Good,0.818,-31635
72,Good,0.790,-31633
73,Good,0.852,-31630
74,Good,0.792,-31628
75,Good,0.853,-31625
76,Good,0.758,-31623
77,Good,0.835,-31620
78,Good,0.823,-31618
79,Good,0.873,-31615
80,Good,0.778,-31613
81,Good,0.849,-31610
82,Good,0.813,-31608
83,Good,0.819,-31605
84,Good,0.816,-31603
85,Good,0.845,-31600
86,Good,2.835,-31597
87,Good,0.808,-31595
88,Good,0.819,-31592
89,Good,0.834,-31590
90,Good,0.831,-31587
91,Good,0.830,-31585
92,Good,0.812,-31582
93,Good,0.829,-31580
94,Good,0.822,-31577
95,Good,0.823,-31575
96,Good,0.829,-31572
97,Good,0.824,-31570
98,Good,0.824,-31567
99,Good,0.842,-31565
100,Good,0.805,-31562
101,Good,0.830,-31560
102,Good,0.863,-31557
103,Good,0.791,-31555
104,Good,0.820,-31552
105,Good,0.851,-31550
106,Good,0.829,-31547
107,Good,0.841,-31545
108,Good,0.913,-31542
109,Good,0.762,-31540
110,Good,0.839,-31537
111,Good,0.851,-31535
112,Good,0.824,-31532
113,Good,0.823,-31530
114,Good,0.855,-31527
115,Good,0.836,-31525
116,Good,0.819,-31522
117,Good,0.850,-31520
118,Good,0.851,-31517
119,Good,0.838,-31515
120,Good,0.814,-31512
121,Good,0.862,-31510
122,Good,0.828,-31507
123,Good,0.851,-31505
124,Good,0.819,-31502
125,Good,0.844,-31500
126,Good,0.852,-31497
127,Good,0.824,-31495
128,Good,0.851,-31492
129,Good,0.847,-31490
130,Good,0.811,-31487
131,Good,0.859,-31485
132,Good,0.837,-31482
133,Good,0.835,-31480
134,Good,0.833,-31477
135,Good,0.852,-31475
136,Good,0.783,-31472
137,Good,0.858,-31470
138,Good,0.838,-31467
139,Good,0.891,-31465
140,Good,0.781,-31462
141,Good,0.867,-31460
142,Good,0.826,-31457
143,Good,0.867,-31455
144,Good,0.800,-31452
145,Good,0.857,-31450
146,Good,0.821,-31447
147,Good,0.865,-31445
148,Good,0.835,-31442
149,Good,0.809,-31440
150,Good,0.814,-31437
151,Good,0.849,-31435
152,Good,0.825,-31432
153,Good,0.903,-31430
154,Good,0.778,-31427
155,Good,0.845,-31425
156,Good,0.821,-31422
157,Good,0.837,-31420
158,Good,0.838,-31417
159,Good,1.498,-31415
160,Good,0.688,-31412
161,Good,0.668,-31410
162,Good,0.663,-31407
163,Good,1.512,-31405
164,Good,1.473,-31402
165,Good,1.086,-31400
166,Good,0.813,-31397
167,Good,0.796,-31395
168,Good,0.792,-31392
169,Good,4.569,-31389
170,Good,1.089,-31387
171,Good,0.759,-31384
172,Good,0.839,-31382
173,Good,0.821,-31379
174,Good,0.820,-31377
175,Good,0.821,-31374
176,Good,0.795,-31372
177,Good,0.857,-31369
