counter,status,resp_time,value_first
0,Good,1.104,24228.050000
1,Good,0.691,24230.900000
2,Good,1.357,24232.800000
3,Good,0.694,24235.650000
4,Good,0.823,24237.550000
5,Good,0.835,24240.400000
6,Good,0.771,24242.300000
7,Good,0.841,24245.150000
8,Good,0.805,24247.050000
9,Good,0.842,24249.900000
10,Good,0.811,24251.800000
11,Good,0.861,24254.650000
12,Good,0.777,24256.550000
13,Good,0.857,24259.400000
14,Good,0.796,24261.300000
15,Good,0.861,24264.150000
16,Good,0.799,24266.050000
17,Good,0.846,24268.900000
18,Good,0.817,24270.800000
19,Good,0.833,24273.650000
20,Good,0.795,24275.550000
21,Good,0.854,24278.400000
22,Good,0.765,24280.300000
23,Good,0.812,24283.150000
24,Good,0.812,24285.050000
25,Good,0.811,24287.900000
26,Good,0.780,24289.800000
27,Good,0.841,24292.650000
28,Good,0.825,24294.550000
29,Good,0.835,24297.400000
30,Good,0.805,24299.300000
31,Good,0.833,24302.150000
32,Good,0.824,24304.050000
33,Good,0.833,24306.900000
34,Good,0.832,24308.800000
35,Good,0.815,24311.650000
36,Good,0.825,24313.550000
37,Good,0.796,24316.400000
38,Good,0.833,24318.300000
39,Good,0.815,24321.150000
40,Good,0.797,24323.050000
41,Good,0.829,24325.900000
42,Good,0.798,24327.800000
43,Good,0.856,24330.650000
44,Good,0.786,24332.550000
45,Good,0.835,24335.400000
46,Good,0.805,24337.300000
47,Good,0.839,24340.150000
48,Good,0.782,24342.050000
49,Good,0.847,24344.900000
50,Good,0.814,24346.800000
51,Good,0.827,24349.650000
52,Good,0.780,24351.550000
53,Good,0.855,24354.400000
54,Good,0.784,24356.300000
55,Good,0.833,24359.150000
56,Good,0.808,24361.050000
57,Good,0.813,24363.900000
58,Good,0.803,24365.800000
59,Good,0.833,24368.650000
60,Good,0.800,24370.550000
61,Good,0.836,24373.400000
62,Good,0.797,24375.300000
63,Good,0.838,24378.150000
64,Good,4.768,24381.000000
65,Good,0.824,24382.900000
66,Good,0.857,24385.750000
67,Good,0.822,24387.650000
68,Good,0.797,24390.500000
69,Good,0.844,24392.400000
70,Good,0.829,24395.250000
71,Good,0.818,24397.150000
72,Good,0.844,24400.000000
73,Good,0.826,24401.900000
74,Good,0.823,24404.750000
75,Good,0.848,24406.650000
76,Good,0.799,24409.500000
77,Good,0.853,24411.400000
78,Good,0.832,24414.250000
79,Good,0.843,24416.150000
80,Good,0.826,24419.000000
81,Good,0.827,24420.900000
82,Good,0.850,24423.750000
83,Good,0.816,24425.650000
84,Good,0.820,24428.500000
85,Good,0.835,24430.400000
86,Good,0.833,24433.250000
87,Good,0.834,24435.150000
88,Good,0.831,24438.000000
89,Good,0.842,24439.900000
90,Good,0.821,24442.750000
91,Good,0.844,24444.650000
92,Good,0.842,24447.500000
93,Good,0.823,24449.400000
94,Good,0.838,24452.250000
95,Good,0.778,24454.150000
96,Good,0.822,24457.000000
97,Good,0.848,24458.900000
98,Good,0.859,24461.750000
99,Good,0.800,24463.650000
100,Good,0.813,24466.500000
101,Good,0.851,24468.400000
102,Good,0.825,24471.250000
103,Good,0.840,24473.150000
104,Good,0.821,24476.000000
105,Good,0.843,24477.900000
106,Good,0.843,24480.750000
107,Good,0.834,24482.650000
108,Good,0.811,24485.500000
109,Good,0.845,24487.400000
110,Good,0.827,24490.250000
111,Good,0.838,24492.150000
112,Good,0.821,24495.000000
113,Good,0.878,24496.900000
114,Good,0.815,24499.750000
115,Good,0.816,24501.650000
116,Good,0.811,24504.500000
117,Good,0.852,24506.400000
118,Good,0.837,24509.250000
119,Good,0.827,24511.150000
120,Good,0.807,24514.000000
