counter,status,resp_time
0,Good,35.376
1,Good,34.252
2,Good,34.284
3,Good,34.522
4,Good,33.768
5,Good,33.837
6,Good,33.522
7,Good,34.65
8,Good,34.058
9,Good,36.128
10,Good,34.543
11,Good,34.351
12,Good,36.713
13,Good,34.383
14,Good,35.069
15,Good,38.899
16,Good,33.641
17,Good,34.212
18,Good,33.74
19,Good,34.879
20,Good,33.765
21,Good,34.491
22,Good,34.398
23,Good,33.477
24,Good,34.678
25,Good,33.711
26,Good,34.189
27,Good,35.342
28,Good,33.819
29,Good,33.739
30,Good,33.768
31,Good,34.176
32,Good,33.2
33,Good,34.207
34,Good,34.733
35,Good,33.766
36,Good,33.923
37,Good,33.714
38,Good,35.917
39,Good,34.19
40,Good,33.829
41,Good,33.553
42,Good,34.234
43,Good,33.838
44,Good,33.682
45,Good,34.004
46,Good,33.848
47,Good,34.868
48,Good,34.213
49,Good,35.622
50,Good,34.032
51,Good,34.401
52,Good,37.68
53,Good,33.287
54,Good,36.349
55,Good,37.136
56,Good,33.5
57,Good,33.658
58,Good,34.902
59,Good,34.676
60,Good,33.583
61,Good,34.184
62,Good,33.517
63,Good,34.84
64,Good,34.078
65,Good,33.663
66,Good,34.518
67,Good,33.865
68,Good,33.894
69,Good,33.674
70,Good,34.398
71,Good,34.062
72,Good,33.845
73,Good,33.699
74,Good,34.285
75,Good,34.507
76,Good,33.55
77,Good,33.9
78,Good,33.684
79,Good,37.079
80,Good,36.792
81,Good,33.816
82,Good,34.031
83,Good,33.922
84,Good,33.472
85,Good,34.845
86,Good,33.089
87,Good,34.953
88,Good,33.829
89,Good,34.011
90,Good,33.63
91,Good,34.468
92,Good,36.636
93,Good,36.438
94,Good,33.537
95,Good,38.595
96,Good,34.548
97,Good,34.17
98,Good,35.665
99,Good,34.367
100,Good,33.759
101,Good,34.679
102,Good,33.96
103,Good,33.809
104,Good,33.361
105,Good,33.902
106,Good,34.528
107,Good,34.199
108,Good,33.396
109,Good,33.614
110,Good,34.033
111,Good,33.798
112,Good,33.686
113,Good,34.279
114,Good,34.31
115,Good,34.197
116,Good,35.541
117,Good,33.495
118,Good,33.457
119,Good,33.801
120,Good,34.112
