counter,status,resp_time,value_first
0,Good,0.646,-19197
1,Good,0.807,-19194
2,Good,0.795,-19192
3,Good,0.818,-19189
4,Good,0.853,-19187
5,Good,0.784,-19184
6,Good,0.771,-19182
7,Good,0.797,-19179
8,Good,0.777,-19177
9,Good,0.782,-19174
10,Good,0.795,-19172
11,Good,0.782,-19169
12,Good,0.812,-19167
13,Good,0.791,-19164
14,Good,0.816,-19162
15,Good,0.800,-19159
16,Good,0.775,-19157
17,Good,0.804,-19154
18,Good,0.794,-19152
19,Good,0.807,-19149
20,Good,0.789,-19147
21,Good,0.777,-19144
22,Good,0.788,-19142
23,Good,0.787,-19139
24,Good,0.785,-19137
25,Good,0.807,-19134
26,Good,0.755,-19132
27,Good,0.784,-19129
28,Good,0.772,-19127
29,Good,0.774,-19124
30,Good,0.800,-19122
31,Good,0.791,-19119
32,Good,0.828,-19117
33,Good,0.785,-19114
34,Good,0.873,-19112
35,Good,0.803,-19109
36,Good,0.796,-19107
37,Good,0.780,-19104
38,Good,0.774,-19102
39,Good,0.799,-19099
40,Good,0.794,-19097
41,Good,0.826,-19094
42,Good,0.774,-19092
43,Good,0.781,-19089
44,Good,0.793,-19087
45,Good,0.788,-19084
46,Good,0.783,-19082
47,Good,0.791,-19079
48,Good,0.789,-19077
49,Good,0.794,-19074
50,Good,0.782,-19072
51,Good,0.787,-19069
52,Good,0.776,-19067
53,Good,0.782,-19064
54,Good,0.795,-19062
55,Good,0.793,-19059
56,Good,0.800,-19057
57,Good,0.781,-19054
58,Good,0.785,-19052
59,Good,0.792,-19049
60,Good,0.787,-19046
61,Good,0.778,-19044
62,Good,0.770,-19041
63,Good,0.773,-19039
64,Good,0.833,-19036
65,Good,0.786,-19034
66,Good,0.773,-19031
67,Good,0.783,-19029
68,Good,0.772,-19026
69,Good,0.801,-19024
70,Good,0.767,-19021
71,Good,0.789,-19019
72,Good,0.825,-19016
73,Good,0.766,-19014
74,Good,0.814,-19011
75,Good,0.760,-19009
76,Good,0.810,-19006
77,Good,0.782,-19004
78,Good,0.775,-19001
79,Good,0.795,-18999
80,Good,0.781,-18996
81,Good,0.790,-18994
82,Good,0.790,-18991
83,Good,0.792,-18989
84,Good,0.800,-18986
85,Good,0.790,-18984
86,Good,0.806,-18981
87,Good,0.779,-18979
88,Good,0.799,-18976
89,Good,0.807,-18974
90,Good,0.797,-18971
91,Good,0.779,-18969
92,Good,0.838,-18966
93,Good,0.790,-18964
94,Good,0.851,-18961
95,Good,0.837,-18959
96,Good,0.769,-18956
97,Good,0.767,-18954
98,Good,0.774,-18951
99,Good,0.793,-18949
100,Good,0.768,-18946
101,Good,0.789,-18944
102,Good,0.790,-18941
103,Good,0.943,-18939
104,Good,0.796,-18936
105,Good,0.789,-18934
106,Good,0.796,-18931
107,Good,0.771,-18929
108,Good,0.771,-18926
109,Good,0.773,-18924
110,Good,0.768,-18921
111,Good,0.825,-18919
112,Good,0.792,-18916
113,Good,0.798,-18914
114,Good,0.777,-18911
115,Good,0.805,-18909
116,Good,0.784,-18906
117,Good,0.779,-18904
