counter,status,resp_time,value_first
0,Good,140.211,GcCeY5cC7QNb84mzdtfSQr5YVKNmJwqELpNMHnCjT4APDF9S3yMVkoCtQZwcgXvNoVReTEMHkdV6JeK
1,Good,139.910,gJ9LVASBLY8SGpe6LPNuYyWXH4YCWQLZAE6groYqCGQ9hUa64dMYKTUmwMG38xHw2FkhYdyEWgrGXj8
2,Good,139.854,uwRoAMmfzEjRxspJfYE3mDbRXu9ZSwR3Wm5DwoMtJLavQWVmZRJsoLyzfawv98bFt2Jc3KszkemD5L2
3,Good,139.738,eukRqjUL5TNQcECUwdkqKPc7grLHwRyjGJCFotKH9z7b4M3Z6Wa4DBMnJm9we7ZV596qDTcSBFodTr2
4,Good,140.676,KT25hva63H2p6oraAwqgzWUuAfLDFNYUX7kTFxawN9ekujKxhUcvdkw5uyBogVTuFG49QtZJUQYuk3S
5,Good,140.404,4JMmrzXTmxDwQ5TeK7UP6MqCKGAuWgFQUZ4jn2u8dWGDaNSAp3YXKVJexSm3JWMPzFDukhPzTDChg2W
6,Good,140.013,ouLhZnzpsY2WPQb3wc5MJgj8zXpoAZcmNt4sfnbv4dYzEFX5umNsjawb9DY4jnPH3tXjqJnEjM9TQEo
7,Good,140.152,EmbqugfjhaKE57dNq3PJw5QgLdcR8C2gtB5EoWfv7oq8SRDkXMRrJhDCSvfjnU3CZhTWcLHNRj4eMk5
8,Good,140.391,nYdACx3MYLWycobMYxLNSE7BxPkjYhBcxWgF4yQMgsk5rpCy8KYhbLwNSxyK3AFGWSjg8ptVWGRf45q
9,Good,140.503,3fox48f6GpxFRgGCpqLxT3j7pWEoU8rKWDmdXaFb76UBTQNnEjruN6TJRBUVybhWu8dEqZ2samAVJYG
10,Good,140.931,Xut5NvPSZR9FWD4jZtWAbECjLRUGungoCFVdDYw3vsfuh8aS3wtRyKMg7T9NbyaYzdEP3fkoMQ2pfvH
11,Good,140.264,Wgdu5PfWJQYdbMoAVDs3a5ezyuoEUb6WdfBTuoG9zJaj2nPxo4vg6m95Ecqs6ZeyKcUu8NTaEVYQ4MZ
12,Good,141.758,qMhSfJszBVWgQ7BVoMbXWc2PVFBay43qDyAfQo842Qn7GDmRr2KUtqCLrdjfcoh4LVG6wYyhA8sH4Sx
13,Good,141.854,3nzrHmQL6eo4vfwUPyCtpf9wERndvWKLZsny3tHKDRB7FAYvxkHJ8TsUnK4z2HZmUGErY7TkdcruB9R
14,Good,140.215,kKJZn7qmzc8RXCHUhjF6dfGE8n3vUeG4hBYUnke9SnQLzvqJAcNSEopmcUTwyRUWErVnx7EFo2R6PLs
15,Good,140.132,a3QJPGzFVhoarH8whGCTbFqnfZxwu7eZDr4v7tchmNkTKn7BoQNG8wherasCTkmJAnaEBmXhW4cCNew
16,Good,139.607,F7PeEFntUjCv35yUqtzCEZvsyUXwaAUWZzrtGfLPCJFhd5McND3yt9Wx5ALPV3kcW9teV3KoCjtQzbk
17,Good,139.849,cWv7bkRWAsPxqDACyvXbGQSB46LoBvUrzJCph52HA4jacNfTGFQwVGoaqULEDNCWJ3wGyf8PMsjapmg
18,Good,140.268,6XVS38w2Ds94XW56LpwQPbLAW4f9F8w2RrXNQnys9GqMVhGgfse4DcMU68bxuE5Gnp9rqgY8fQUdxAV
19,Good,140.758,oXyN3rfqe8upqoLdZJkQYr3emE8CNSrM6Eb3YNvePMVACEKT2JwjaevX94mf6gX9aPZ8SuXc3pJrj9x
20,Good,140.577,edFvY4dNxgrYvu6hZGQowBgvaprERNvdco3VDhp6MSUmEMp9S3Erq6TUsMZgfU65TGCqE82ymdGD29S
21,Good,140.070,C7PrA8BstGuB3qwrTkN8aZj7zQp29u6hqQAEhHyVqt2zej56RWrkgBGLbEPuR6GDgqNBEHFscGbRYt6
22,Good,139.821,7yYFxrKRYvpmM4DeczRxFD2wEjpNxSCqDxFwNnaeYBZvUj2dGzAg72vSANB7bGt8gXxRyZuYDnEbesK
23,Good,140.259,qjePfHWkdenwahL3RdMcCJvHRxuCFoRhgrkDwUEFM563DYzbj9ehMgWsFQTkzaXVN3zjxdKGWyNzQMZ
24,Good,140.147,VNqxpPUosZqdKBhrbgJx2oZhfNu7GoXRNVTruCKmvp7EF3PobmzfVBYFs3vTBF3RqQAd96CMdbZVfTo
25,Good,140.478,mejQCUL84bCKdz3EyF5wrDnRSNDBXhf8kenfyKA9mLScC46nJzxwenuC852Kpm7MQWhLRtwsab9yBAH
26,Good,141.447,Xy9b4VZ5cMT2NCMUZwernCyqdrMm6pAT5SbvGcweFrM6qfNVQad8yV9T7MHx9LA6jaCSTsMf6HdgApY
27,Good,140.973,Ndh4mfR9BQGR2KcFHBhyx5mVa7hNoM9mr5eSaYHU4d3zewgFbXqnSMLhsowk5r3gvLnzkJUSwa6EryZ
28,Good,139.866,yGXjYCG6MZFbtYXB82hWmqH4CR76afy38A2bWZUnh8ECXbWyMadVuJA865fYAF9LW6jdEM4Wp9jqmbJ
29,Good,140.520,neXaUcCZz5Ye6ZmL7RJjrHgBN6VqR8KLEuPBXDmSxKoqjtwgEVzRsd7xYFgrtj7NU2oXKhMgS384adH
30,Good,140.020,r4YeF92RXD68mbAn72JGLuMTPW7u6cAW79Dkfm8BbvZwG4FxYJvgfLTwuenGc6kp7CZQLFs8wZLVbz6
31,Good,140.693,eobATdGJNVDuAtjoyBpwFu4jEtKbaxpzd2D5VZTXwu6QEmDaqN5EKt36jUosYpMQHqoSckVZSA8T9HF
32,Good,139.952,DbGcfoa6WCtEU3yNm8uV3ChEFmePpyLYgpKSbM7q4bKncmw45h6LZXA5HMRf2UpsfvZBTp8jF5bHCn2
33,Good,142.348,MhJnGSqrJZKYj9UdorRCyDF7fGLg2jPCRkf58NjnBV4Lxa2uLHoJbMqjKeSy5VTXwhWsCbMBuC6VTtp
34,Good,140.340,aPhdV43uoYBywpW84jmHJz2S4tG2wyepQqEdLpQ93xR49je2pgfSXrRkmvA7y4VhFk2vy4WHQ7CBAuT
35,Good,140.516,gFucowhRnz8haPW29qeZAXyD5eFQrcVM6QcpPSzDuC3p8K2LyZHEWok3sugjQFEBakeLzHh7nwLP2y6
36,Good,141.347,GeUsv8N6paLVbqEBXmvx53cnPwfg8yt6RZF8puxT8aAD5k2X3MtW49RNBrc9bq8zrPDCjGVmxcy3Zsn
37,Good,139.860,5q3LDHAZdQj63wRdK3NY8RDfj2owYqknLYP7SWCeftrGV9dfM4hqEnVkfQWmEj8SqXBg3fK4agycL2J
38,Good,140.597,pbtWLBqy69YNqoKVsvpduBoqVUp3vxYZPajGTpF6xajfhDuwZvMorTcnwDB2WwCHk9QDCBqspUbGHSh
