counter,status,resp_time,value_first
0,Good,0.726,25472
1,Good,0.912,25476
2,Good,0.911,25482
3,Good,0.886,25486
4,Good,0.922,25492
5,Good,0.905,25496
6,Good,0.901,25502
7,Good,0.878,25506
8,Good,0.891,25512
9,Good,0.861,25516
10,Good,0.922,25522
11,Good,0.931,25526
12,Good,0.906,25532
13,Good,0.892,25536
14,Good,0.866,25542
15,Good,0.929,25546
16,Good,0.888,25552
17,Good,0.924,25556
18,Good,0.911,25562
19,Good,0.936,25566
20,Good,0.916,25572
21,Good,0.890,25576
22,Good,0.906,25582
23,Good,0.915,25586
24,Good,0.900,25592
25,Good,0.912,25596
26,Good,0.875,25602
27,Good,0.929,25606
28,Good,0.874,25612
29,Good,0.941,25618
30,Good,0.887,25622
31,Good,0.980,25628
32,Good,0.901,25632
33,Good,0.896,25638
34,Good,0.916,25642
35,Good,0.929,25648
36,Good,0.875,25652
37,Good,0.887,25658
38,Good,0.891,25662
39,Good,0.974,25668
40,Good,0.969,25672
41,Good,0.886,25678
42,Good,0.892,25682
43,Good,0.831,25688
44,Good,0.932,25692
45,Good,0.914,25698
46,Good,0.899,25702
47,Good,0.923,25708
48,Good,0.947,25712
49,Good,0.941,25718
50,Good,0.867,25722
51,Good,0.829,25728
52,Good,0.917,25732
53,Good,0.870,25738
54,Good,0.879,25742
55,Good,0.876,25748
56,Good,0.900,25752
57,Good,0.954,25758
58,Good,0.895,25762
59,Good,0.912,25768
60,Good,0.915,25772
61,Good,0.907,25778
62,Good,0.935,25782
63,Good,0.831,25788
64,Good,0.940,25792
65,Good,0.880,25798
66,Good,0.877,25802
67,Good,0.847,25808
68,Good,0.948,25812
69,Good,0.959,25818
70,Good,0.973,25822
71,Good,0.863,25828
72,Good,0.926,25832
73,Good,0.876,25838
74,Good,0.909,25842
75,Good,0.872,25848
76,Good,0.949,25852
77,Good,0.895,25858
78,Good,0.892,25862
79,Good,0.926,25868
80,Good,0.907,25872
81,Good,0.906,25878
82,Good,0.922,25882
83,Good,0.876,25888
84,Good,0.949,25892
85,Good,0.875,25898
86,Good,0.914,25902
87,Good,0.833,25908
88,Good,0.897,25912
89,Good,0.946,25918
90,Good,0.934,25922
91,Good,0.898,25928
92,Good,0.904,25932
93,Good,0.899,25938
94,Good,0.891,25942
95,Good,0.831,25948
96,Good,0.925,25952
97,Good,1.004,25958
98,Good,0.884,25962
99,Good,0.926,25968
100,Good,0.943,25972
101,Good,0.998,25978
102,Good,0.885,25982
103,Good,0.896,25988
104,Good,0.881,25992
105,Good,0.923,25998
106,Good,0.914,26002
107,Good,0.922,26008
108,Good,0.927,26012
109,Good,0.919,26018
110,Good,0.900,26022
111,Good,0.860,26028
112,Good,0.922,26032
113,Good,0.976,26038
114,Good,0.919,26044
115,Good,0.830,26048
116,Good,0.899,26054
117,Good,0.917,26058
118,Good,0.902,26064
119,Good,0.930,26068
120,Good,0.882,26074
121,Good,0.951,26078
122,Good,0.889,26084
123,Good,0.954,26088
124,Good,0.902,26094
125,Good,0.915,26098
126,Good,0.898,26104
127,Good,0.865,26108
128,Good,0.958,26114
129,Good,0.939,26118
130,Good,0.907,26124
131,Good,0.892,26128
132,Good,0.897,26134
133,Good,0.940,26138
134,Good,0.888,26144
135,Good,0.958,26148
136,Good,0.917,26154
137,Good,0.923,26158
138,Good,0.941,26164
139,Good,0.925,26168
140,Good,0.888,26174
141,Good,0.917,26178
142,Good,0.883,26184
143,Good,0.847,26188
144,Good,0.894,26194
145,Good,0.937,26198
146,Good,0.956,26204
147,Good,0.870,26208
148,Good,0.884,26214
149,Good,0.938,26218
150,Good,0.920,26224
151,Good,0.899,26228
152,Good,0.907,26234
153,Good,1.040,26238
154,Good,0.888,26244
155,Good,0.852,26248
156,Good,0.905,26254
157,Good,0.930,26258
158,Good,0.890,26264
159,Good,0.892,26268
160,Good,0.901,26274
161,Good,0.906,26278
162,Good,0.915,26284
163,Good,0.882,26288
164,Good,0.884,26294
165,Good,0.984,26298
166,Good,0.901,26304
167,Good,0.909,26308
168,Good,0.952,26314
169,Good,0.864,26318
170,Good,0.973,26324
171,Good,0.832,26328
172,Good,0.905,26334
173,Good,0.865,26338
174,Good,0.894,26344
175,Good,0.922,26348
176,Good,0.958,26354
177,Good,0.927,26358
178,Good,0.922,26364
179,Good,0.912,26368
180,Good,0.965,26374
181,Good,0.891,26378
182,Good,0.936,26384
183,Good,0.881,26388
184,Good,0.876,26394
185,Good,0.885,26398
186,Good,0.926,26404
187,Good,0.885,26408
188,Good,0.889,26414
189,Good,0.876,26418
190,Good,0.942,26424
191,Good,0.863,26428
192,Good,0.913,26434
193,Good,0.885,26438
194,Good,0.947,26444
195,Good,0.886,26448
196,Good,0.884,26454
197,Good,0.916,26458
198,Good,0.895,26464
199,Good,0.960,26468
200,Good,0.893,26474
201,Good,0.944,26480
202,Good,0.988,26484
203,Good,0.861,26490
204,Good,0.886,26494
205,Good,0.893,26500
206,Good,0.924,26504
207,Good,0.879,26510
208,Good,0.943,26514
209,Good,0.906,26520
210,Good,0.907,26524
211,Good,0.871,26530
212,Good,0.914,26534
213,Good,0.890,26540
214,Good,0.932,26544
215,Good,0.932,26550
216,Good,0.882,26554
217,Good,1.033,26560
218,Good,0.909,26564
219,Good,0.901,26570
220,Good,0.914,26574
221,Good,0.924,26580
222,Good,0.949,26584
223,Good,0.883,26590
224,Good,0.900,26594
225,Good,0.895,26600
226,Good,0.943,26604
227,Good,0.868,26610
228,Good,0.913,26614
229,Good,0.968,26620
230,Good,0.924,26624
231,Good,0.904,26630
232,Good,0.874,26634
233,Good,0.912,26640
234,Good,0.919,26644
235,Good,0.898,26650
236,Good,0.894,26654
237,Good,0.913,26660
238,Good,0.878,26664
239,Good,0.948,26670
240,Good,0.874,26674
241,Good,0.918,26680
242,Good,0.879,26684
243,Good,0.981,26690
244,Good,0.887,26694
245,Good,0.895,26700
246,Good,0.922,26704
247,Good,0.913,26710
248,Good,0.888,26714
249,Good,0.888,26720
250,Good,0.937,26724
251,Good,0.903,26730
252,Good,0.871,26734
253,Good,0.891,26740
254,Good,0.894,26744
255,Good,0.923,26750
256,Good,0.914,26754
257,Good,0.888,26760
258,Good,0.879,26764
259,Good,0.914,26770
260,Good,0.873,26774
261,Good,0.882,26780
262,Good,0.876,26784
263,Good,0.904,26790
264,Good,0.870,26794
265,Good,0.903,26800
266,Good,0.918,26804
267,Good,0.927,26810
268,Good,0.896,26814
269,Good,0.885,26820
270,Good,0.878,26824
271,Good,0.954,26830
272,Good,0.931,26834
273,Good,0.883,26840
274,Good,0.888,26844
275,Good,0.915,26850
276,Good,0.908,26854
277,Good,0.870,26860
278,Good,0.912,26864
279,Good,0.913,26870
280,Good,0.903,26874
281,Good,0.884,26880
282,Good,0.971,26884
283,Good,0.960,26890
284,Good,0.900,26894
285,Good,0.895,26900
286,Good,0.937,26904
287,Good,0.905,26910
288,Good,0.918,26916
289,Good,0.924,26920
290,Good,0.906,26926
291,Good,0.893,26930
292,Good,0.871,26936
293,Good,0.906,26940
294,Good,0.899,26946
295,Good,0.930,26950
296,Good,0.885,26956
297,Good,0.865,26960
298,Good,0.880,26966
299,Good,0.884,26970
300,Good,0.998,26976
301,Good,0.913,26980
302,Good,0.867,26986
303,Good,0.952,26990
304,Good,0.938,26996
305,Good,0.898,27000
306,Good,0.878,27006
307,Good,0.853,27010
308,Good,0.932,27016
309,Good,0.866,27020
310,Good,0.894,27026
311,Good,0.874,27030
312,Good,0.937,27036
313,Good,0.864,27040
314,Good,0.886,27046
315,Good,0.874,27050
316,Good,0.910,27056
317,Good,0.894,27060
318,Good,0.878,27066
319,Good,0.874,27070
320,Good,0.954,27076
321,Good,0.859,27080
322,Good,0.905,27086
323,Good,0.882,27090
324,Good,0.911,27096
325,Good,0.887,27100
326,Good,0.908,27106
327,Good,0.895,27110
328,Good,0.905,27116
329,Good,0.862,27120
330,Good,0.897,27126
331,Good,0.890,27130
332,Good,0.956,27136
333,Good,0.862,27140
334,Good,0.876,27146
335,Good,0.900,27150
336,Good,0.937,27156
337,Good,1.020,27160
338,Good,0.907,27166
339,Good,0.916,27170
340,Good,0.915,27176
341,Good,0.861,27180
342,Good,0.895,27186
343,Good,0.879,27190
344,Good,0.908,27196
345,Good,0.871,27200
346,Good,0.876,27206
347,Good,0.924,27210
348,Good,0.905,27216
349,Good,0.901,27220
350,Good,0.899,27226
351,Good,0.879,27230
352,Good,0.933,27236
353,Good,0.885,27240
354,Good,0.903,27246
355,Good,0.871,27250
356,Good,0.995,27256
357,Good,0.887,27260
358,Good,0.870,27266
359,Good,0.873,27270
360,Good,0.893,27276
361,Good,0.884,27280
362,Good,0.905,27286
363,Good,0.881,27290
364,Good,0.896,27296
365,Good,0.905,27300
366,Good,0.865,27306
367,Good,0.875,27310
368,Good,0.876,27316
369,Good,0.941,27320
370,Good,0.913,27326
371,Good,0.850,27330
372,Good,0.903,27336
373,Good,0.892,27340
374,Good,0.882,27346
375,Good,0.877,27350
376,Good,0.868,27356
377,Good,0.889,27362
378,Good,0.868,27366
379,Good,0.914,27372
380,Good,0.862,27376
381,Good,0.947,27382
382,Good,0.885,27386
383,Good,0.884,27392
384,Good,0.936,27396
385,Good,0.927,27402
386,Good,0.892,27406
387,Good,0.869,27412
388,Good,0.925,27416
389,Good,0.924,27422
390,Good,0.897,27426
391,Good,0.907,27432
392,Good,0.900,27436
393,Good,0.939,27442
394,Good,0.908,27446
395,Good,0.961,27452
396,Good,0.919,27456
397,Good,0.945,27462
398,Good,0.906,27466
399,Good,0.890,27472
400,Good,0.895,27476
401,Good,0.956,27482
402,Good,0.928,27486
403,Good,0.890,27492
404,Good,0.910,27496
405,Good,0.960,27502
406,Good,0.895,27506
407,Good,0.879,27512
408,Good,0.916,27516
409,Good,0.922,27522
410,Good,0.879,27526
411,Good,0.904,27532
412,Good,0.885,27536
413,Good,0.963,27542
414,Good,0.897,27546
415,Good,0.894,27552
416,Good,0.931,27556
417,Good,0.924,27562
418,Good,0.913,27566
419,Good,0.921,27572
420,Good,0.870,27576
421,Good,0.952,27582
422,Good,0.921,27586
423,Good,0.903,27592
424,Good,0.892,27596
425,Good,0.917,27602
426,Good,0.924,27606
427,Good,0.898,27612
428,Good,0.910,27616
429,Good,0.874,27622
430,Good,0.968,27626
431,Good,0.901,27632
432,Good,0.888,27636
433,Good,0.926,27642
434,Good,0.981,27646
435,Good,0.888,27652
436,Good,0.901,27656
437,Good,0.868,27662
438,Good,0.906,27666
439,Good,0.910,27672
440,Good,0.915,27676
441,Good,0.891,27682
442,Good,0.913,27686
443,Good,0.914,27692
444,Good,0.901,27696
445,Good,0.892,27702
446,Good,0.908,27706
447,Good,0.876,27712
448,Good,0.943,27716
449,Good,0.893,27722
450,Good,0.939,27726
451,Good,0.878,27732
452,Good,0.879,27736
453,Good,0.921,27742
454,Good,0.928,27746
455,Good,0.898,27752
456,Good,1.007,27756
457,Good,0.927,27762
458,Good,0.927,27766
459,Good,0.889,27772
460,Good,0.907,27776
461,Good,0.887,27782
462,Good,0.912,27788
463,Good,0.916,27792
464,Good,0.915,27798
465,Good,0.893,27802
466,Good,0.903,27808
467,Good,0.862,27812
468,Good,0.931,27818
469,Good,0.880,27822
470,Good,0.924,27828
471,Good,0.899,27832
472,Good,0.922,27838
473,Good,0.887,27842
474,Good,0.854,27848
475,Good,0.942,27852
476,Good,0.908,27858
477,Good,0.902,27862
478,Good,1.027,27868
479,Good,0.879,27872
480,Good,0.895,27878
481,Good,0.901,27882
482,Good,0.878,27888
483,Good,0.890,27892
484,Good,0.884,27898
485,Good,0.932,27902
486,Good,0.846,27908
487,Good,0.900,27912
488,Good,0.883,27918
489,Good,0.858,27922
490,Good,0.842,27928
491,Good,0.901,27932
492,Good,0.915,27938
493,Good,0.894,27942
494,Good,0.823,27948
495,Good,0.919,27952
