counter,status,resp_time,value_first
0,Good,0.572,46428.600000
1,Good,0.826,46431.450000
2,Good,0.747,46433.350000
3,Good,0.767,46436.200000
4,Good,0.754,46438.100000
5,Good,0.740,46440.950000
6,Good,0.766,46442.850000
7,Good,0.768,46445.700000
8,Good,0.720,46447.600000
9,Good,0.734,46450.450000
10,Good,0.722,46452.350000
11,Good,0.746,46455.200000
12,Good,0.729,46457.100000
13,Good,0.775,46459.950000
14,Good,0.747,46461.850000
15,Good,0.729,46464.700000
16,Good,0.791,46466.600000
17,Good,0.727,46469.450000
18,Good,0.711,46471.350000
19,Good,0.742,46474.200000
20,Good,0.737,46476.100000
21,Good,0.736,46478.950000
22,Good,0.723,46480.850000
23,Good,0.705,46483.700000
24,Good,0.728,46485.600000
25,Good,0.738,46488.450000
26,Good,0.729,46490.350000
27,Good,0.800,46493.200000
28,Good,0.728,46496.050000
29,Good,0.735,46497.950000
30,Good,0.736,46500.800000
31,Good,0.785,46502.700000
32,Good,0.710,46505.550000
33,Good,0.738,46507.450000
34,Good,0.732,46510.300000
35,Good,0.773,46512.200000
36,Good,0.730,46515.050000
37,Good,0.724,46516.950000
38,Good,0.734,46519.800000
39,Good,0.774,46521.700000
40,Good,0.730,46524.550000
41,Good,0.731,46526.450000
42,Good,0.767,46529.300000
43,Good,0.799,46531.200000
44,Good,0.735,46534.050000
45,Good,0.712,46535.950000
46,Good,0.765,46538.800000
47,Good,0.723,46540.700000
48,Good,0.740,46543.550000
49,Good,0.716,46545.450000
50,Good,0.718,46548.300000
51,Good,0.763,46550.200000
52,Good,0.704,46553.050000
53,Good,0.755,46554.950000
54,Good,0.749,46557.800000
55,Good,0.757,46559.700000
56,Good,0.741,46562.550000
57,Good,0.717,46564.450000
58,Good,0.724,46567.300000
59,Good,0.756,46569.200000
60,Good,0.706,46572.050000
61,Good,0.876,46573.950000
62,Good,0.723,46576.800000
63,Good,0.744,46578.700000
64,Good,0.744,46581.550000
65,Good,0.714,46583.450000
66,Good,0.723,46586.300000
67,Good,0.767,46588.200000
