counter,status,resp_time,value_first
0,Good,16.316,C3YpyWmSp5j2JHuvWpageXLuys2MdHgyf23ZadnYM8qhmrB6pZydXBcakZb7CEtkBm46P5FKNrLjHq5
1,Good,16.865,LySsNEF9YbXvsBNyegbNx9D6TNbHorNVYqBvfVmgPw37teB3bvXzPw42Kf6tNKEdpxJvqbWerfV8smn
2,Good,16.499,YMjLxz5f8nJpARWU3thEJe6PnzEUCXpemScGPfFytwUDXp4st6TCQDhAqbojv9dpE2jnUhDuH4hbKmT
3,Good,16.473,Mfu9XqtJ9ANUPYvcekTJUFDpXhvJ46Nag5AKtJS2N5Jhc2Pt5xfCMo5rSLXyFSxcdubV2aARFK5EAY4
4,Good,17.035,LToeQKfSBVnFwMed2FtQTH8Kc56kxwX9BrVwCKGdTRvbUtnvmKgB6AfgEqmVatxyrKJEx6mvA2LsJTy
5,Good,17.065,SkGCQ3p9hW5y7knNtGj6odyJKu64CaPHDsjwP4p2tmoSPDyxZNTW6nNFs5DoTcjyfdJez3qQwtMd2e3
6,Good,17.051,x6shzLKA3wReNa3goLvxqs2LpKeo4bqEwgdVxQRwhBoq5afPHhGEsFg4qoV9jZ4xCTXf3Jzg9PDZv3j
7,Good,16.080,YAhZE4JmLzgXnxWdTpvYZUCpnNgZac2yLvP3oCr6Q5CZt4DxrqYkE84vzWsL8EgakrEwGWsXwukxfWo
8,Good,17.109,9wKgErFKJGVvE6fACWspfrevGaYEf7dKvPG495cqCWYvqCHfn2Xg8SZoBnMmKAynG4CmJVF9u7UmwNQ
9,Good,16.162,uqJAyFkCDz8Ah5WkGN5pxChTbk4MCtwg7xnRrQwJcvPdraW6JBdfyrHzgPMYATDaBGtUZ7HeVRTxtJg
10,Good,17.059,pAzfo4DMeoWPGnj8PYqFdMRXEQCKY5tjKGkvyfH3G62uAsDjoXVthfnQRxzCFsmo6f9xJsRKNXYnDg9
11,Good,16.561,7vTrFu56nFT4hEdanqB3o9rAHQE3VMLHSpR8wMH3uhtHsovmzMnPb7ETjzeDRtFsZvyJp3tuPJQ9fkS
12,Good,16.404,6awEWtkoxGw7dLJoWNn3jH6ExpXeEFG2zLc4Cwq5PZnehSqYyCMN7aow9kszXDSveB3tTFfp3aSFExp
13,Good,16.614,n3Z8oBvZc9EsHTqvfoGurp3ARaNm7pQYt4m98dYeEv2oA563KtFA3Be9LucCSBomCrvsLcXqPYvQWrB
14,Good,16.605,QRogN6kruzHG8ezuKDNeHArceCQaBepCu8HbVe6wKykBw528UuJoChtZSRsVbEM92wCk9LMV23dPbeK
15,Good,16.889,mH7ePxMDQpbs9oxLtVfqwvUkM9PCpELd7rcGQE9SYUcgEZ3xpG6ULnkNyHaWgeC6VDdParX9Ho5xJ2h
16,Good,16.441,bKeSZmpr9GsPbTgSH7AgkCQT5pXLgPskRQc6VgPxQDFrtvGXUNduxjYE7tfaArLSDV7oZvtV8MN5kEK
17,Good,16.395,F3eG5WN2uCqSa4XBYPev782PzdM5K3PsY5qezgFNxjLrQTzp3bkCHARQq2A7jHxXL8FstoNzuCpfP4D
18,Good,16.605,qtHbhjePwG7WJXcQTbgvGcqw94obQg7yXEf32pCVhnkGm6K7yZBrJmpvukmjUzYTAtZYvda83jKDsrn
19,Good,16.431,6nvQoeMbUk45TtpCH9FP7g958sSnNDaGBfy6qJKXEdPCeVRQcrpykNfmM8q23mneTDZEwhcdqeXBtWu
20,Good,16.436,rQfkgcDT4Az6vDEdLvNyh4ZxjRNP7CEmbrNXLk4ouYXsokxBaQzxCGv7MyE6sw2JmWRwkCPpbAZ2ejn
21,Good,16.438,wT6Goq8Qw3mK7Pwak4AZGMtJTs4QPC6SwV8jRzaNXR7A2yfj4bQqBpGM8V7D9gzq2K3xXUChMs5wJb4
22,Good,17.089,V3hb5S2qfJVeycbHMm5svgcBo84hbgoMA4ud3JqDbFjEMLfV3rcYThVFaRU8HDmq6cgXstuepTb36av
23,Good,16.873,G3BfczSQGVnqsCQka7VXA3DpKVztPwv4WxyZzr9YcJZLSqmQBKynNWG9hAQ2vVaPmgdqBcjftJhDnjv
24,Good,16.444,kgzJLBFxTYaLNs6yghPEyBWxTzuBqUySYT5H4jnsuURAWbBpvedDXsw7hWZd4oHJPU6KYnUcB8zYj9B
25,Good,16.450,GLJSMjTnBXVbRLFcDwdtGPpy7GaBs3EukqQmVMh5HQ7WDrCL5WECguPML9ochrpdy2rj6x8gSTvkYc9
26,Good,16.390,U8mDpf2JgGSZqdQTop7XuGsoY4nBzPLHG68ARjdUnHqQSczFb7A263bQ4ESDNgWUoYpX4nG9BXoJLkH
27,Good,16.450,s4EyhtA7fnyPUfs7M5UWZMSk8Q4pVw7dgbHzoxUq8FAQrauKdMU3RxWhqtzcbWSz9QxoDqhEeTGkrgc
28,Good,16.455,T8PUQatCx2V5pE6FjrgaLeAKg6SNFTf3dzgHWht9VSkg8LdHCtLA3vbPJrdbxsgecZxgtA7hE35bLWt
29,Good,16.406,Zgu8VCargBS8HWhbSpeJ9f2suABfU4SwcY4aeq6F3L8UgbsXaSNyRVaB3QjC65XotdesbH6msZQwgLT
30,Good,16.642,xnPW6djBo46TWYJVeqsYHf3pEvAWDC8EMrLzP3nSGxaVuN2MWHZhMqGVr2JdM7m62QJr8dRwEFAsbTU
31,Good,16.815,WHrLkcyRL9AoUJjHZ5fn9u8WkAHmnSueXgYhGHt4raJFgn5dQUzH7gmy2HhWjoLkBVYPQ25gMebdrHW
32,Good,16.308,QzNJ4UTM83RYaontZEezYGPxeg4TQpYANfbYALmsJR3PXypCUL7JHmYnWZ96Sd2XLaFRBDTPNXEfnSd
33,Good,17.246,zTtJDkR64AyeofFMLT5N9QC2ASNhQa2ujWtqoePEjqJNArg2h4a7mTcFMkRoqbhDJVfgxpHYh3o8StW
34,Good,16.469,n4k3LMcuJop9FcjGuNcVe9pFLwW9A5bpPAYJH3cE5ftJaXu5NzQG47eqYzduPM9EZ82uXZ9D56tYkEv
35,Good,16.419,nw3TybFBnZ7DRanK7xb2H9zUkCFzR2MfWKpMVuy3SqHMov4cnL5u3bezwALWhtf9DbduEDm9zTsG7QU
36,Good,16.474,Zgzveaf69Am75LuPM23pTn6aBUA69FbeKRhnC5W3vTE7ZfXgK529FpNdUGe9A4Kau5MkK6fBaFUzcmw
37,Good,16.447,JWRrtYpak4KU7coe4bTN8gvBoepb6ytmcoPQWMTukhnVY5A8nmkPCM39oEZscyAQnFEjsShr467CFg4
38,Good,16.423,asf3UEyqD7xUCRNGQan5VPvKZMjufHWtxbrKcH4TGwqBy7PSULFVdur42TEK5kDfjhnGgTwVEJYXnfN
39,Good,17.764,M7jxAnG4qypAQzawxRLYWgaG2B5yuU8QSLaY7Ms93YJQz6AoSW2xkCW3vFD6dru8oxCykhLe7YKkL9y
40,Good,16.439,X34PWhGVmTFpKm5MdG2fKde24Nw3VjzRuWxhMDEFbdBwanq4cSWY4XCEcVUbRsSx42gX54wbDCAyHGv
41,Good,17.099,dD8yC7mdeJHRSby379vjgpLEMGd4BxAGoMFDXemyW9Rxw5pnjhrcaJSd2YWAPGcJLxnvy3mR8sSMQRY
42,Good,17.138,hxYF6jRPf467aGVR5EpKhaXxkCK4v8h6YTPqWLDrVmRXn5HN9XARUgGMmH7YcKpSdtesBc8vZR2Uat6
43,Good,16.929,o8SMV729jveN3AmgNXhkyHLh9mvVjzHBFebrmjqZE7dFuH2afsxeXFoWUpNLF24GEeuFAHsBGmeandJ
44,Good,17.093,TryRVmgBWv8GahgKJWPwrSzDU74dN5hfk4UHVnjorWGLvw7gS8tdaEBzu7YrDxbzZjypNBwtpHA6t3g
45,Good,16.847,tDdQuEtyAYJZgqCJo3qfLC9sPgtqu5C9snFV7ycKbV6UtvYuCZf2aMuvztSQrYdmnCZAwVrqs3knv4Q
46,Good,17.082,kFS5b9nBTpHcJBjvAQ6BEfRmdXKLqvrYS5gfGMR7rbmqZWNYVsP4DfhBT8fxbUg7tLNdCox8Tn5o6DB
47,Good,16.900,koMVUQncTMYQ7hbYNxQgj9nxKewHduCPomYvR5Ex9BZaEFfN9khHgApjfFHqLsoVBS6Dm73Ktk8MXsD
48,Good,16.813,VsBjYADNWwmzqrE4SHkDrnKF2XBbdk3KgA2zZPBXs8mfeY87yztoU7P4MqLTA8MSpzNdCrjq8ohjV9C
49,Good,16.144,YhqCr96vcYQHEkXCh73fxGDsegpPTrwWCS3A9UjghPCFZvSPpxsfdp6Se8fKUrcum3EvrXCPU8hE7Ss
50,Good,16.885,ZE4vN9yQRAZt6pbcwW7RUNCke4Ab5qFY72aMQU4j2Q8pobDjrPNnJtqmc5NwUk5BwENQMbcXB8D5zb6
51,Good,16.254,CYX4T8CEZmPhT8cKrTp2JCVsuPSfekC8vas6N3yPEuf9GEy2Tbc59CoHEqehyjn7UMCavEwC48kMuHf
52,Good,17.017,SAHokKndWBFPpsthgcZjH5dzCPeMYBQb5cuk2mMo6WHPcoRhgfNWr3MJtUjV8JmE9MwRJpzN5LgWmXY
53,Good,17.077,ScmEVHe8saZP8dmw9YQcH6bv5HDcRFgfNsbXjPgS4kLewaKFvnBrNSUqnhNX5QKUqbR4fYKsFft78dq
54,Good,17.377,Cg7YshQGEA3o67kzvWMSKZg6jkhbYA63vfdBzxvf7UHyzG43pYeuWf2w9phm2sCLDa8ufgZvMEYFsdp
55,Good,16.625,BtxMypwYP6rjCzygtmqfSNerhFkRbf5w3XArWp4Le5YUVg6BvUNe8TSL7dTwKbxzdV6AmGrkSPuD7ed
56,Good,17.156,UusGxFHSjuNzoXTs892RCPTLq47bvVLXNHg6bdBW8MEYtswaGerDsdxnZNVGTYCcaXPuvfdz4DBNv7L
57,Good,16.821,AxMhsTSCqZ2A59ncXsCnLqtdVRBcu5vbA7reLts7euzj9bC2Qp8KB29xWB6eFgJ9pBqcgS4NK8ouRha
58,Good,16.157,qLZvcnqhweV8rBCu7vmCj5DhT2xYfA76pBKPRN4TmgJypEs6Rduokes4TyuY8VAvT3fus2Tx8W5tovF
59,Good,16.997,qS8BcWUYE5arzHvSLju2ChMNQncpbBDUdgqt2rdDWK2m4sykJEx7QYFHvkQ9qvwSKmbrDXwqYUmWcso
60,Good,16.811,cyrsQUXVYmnWxbLFP5mUR25PoXU4mcwRUsvx6YeSL2t6hUwAv9eUM7wcx2FCawJzEdsZSTeFBE9Zdsy
61,Good,17.021,2qdbX2s5HJ6B3F2LBobtqMBkbHjCkgopq9GwoY7hUNbgDeJX2Nxp6BZvYjUFAcPaMdCfoFRQKHw5ED3
62,Good,16.996,tpRMaXF7GzegUcYuWaFGz4HNgF8hyV6PRjL4ory3CFKm5Qu9JogaTSJhzHSpLhFybcvXS72CD5cT9LR
63,Good,16.894,3pZFG4WDxXebQWETMNQXxjDHAWPKcatg7xUjR9ouFAPGLVaSzubJDFkREuoLj6u5Thts6NmjyBADsLX
64,Good,17.095,rvJawsGBo3pEVxcM8G5fywWpaTjMZxsdNPoTe4yGrjxVEBdAart5YdEVZgyPbzWku7TwZm9qphvn7eK
65,Good,16.945,qJKaLDd834eqTLGCkeUBndR4Nw6Wj7EvKkXGaWgUkhpG56rYTbDp4g7wrq6g5sNZ6bHNjL6SpmWAoKn
66,Good,16.977,qam3ZpdU8f5GvpAUjEVxAtNvy2Mfp6XmBfbj8EoYpZf56E7orLUahY7MzDhb7pCJTEPMZWea7JkMTyt
67,Good,16.800,c87CUxhJsZGP8jw6GbSxe4qY3ac2hPDWsJSH9M56qEvXFkAGKJHfaKR7nXYLfaNxosSm3hMeV2caD5N
68,Good,16.991,e8uGbnJFWvaknMXwdAg7xevNCVJ3gsptufLP8BvErxUys3wzFxXrM3ALfDGdQgoGqz2Lgf9v2FqaXTb
69,Good,17.160,M5xNHgG27QbwXa4Eys2YQ7L5hqQYspyDLxSc8bKAcPfCz7sqLawp2CNVzLmhPktLnDwVuZPcsqCnETp
70,Good,16.821,coPqmAXtd2Lghq6xJtuYhM4no586GMjrBPK5pFoQj84XQHrod38eRtkCramSRd7gav3NEptb7Uptgrw
71,Good,16.946,WEemSF98gkCEFRaLpo62CAurxVEwjM3LNCrDwUgBusKWM2wR7oJygeWTwx7AMXVsz2ChXkUYyRjVkcS
72,Good,17.077,7zoCrSGgMAm3UCDyTUpwFSEX4y9YP8DZ3EJHSVd7H9nRVzc4A6zgjoxcGH7N6M9Q85qZCTSJKEumcH5
73,Good,16.649,EJ6rfk5bYSKtUuXCbU2n6NujDkfg4zhJxsfRNh96TwgDyB3jLqZ39zXVn5DXhtA5mPGx3Vjqm58C9ue
74,Good,16.977,gyuWqXsRUqSrMdUs9eYny76xdSw9yQ43wXxcpouxLaybFYVf8jw9nr2xgLF5SeDvcxZGfPUzoyneFWY
