counter,status,resp_time,value_first
0,Good,1.973,3940
1,Good,1.577,3943
2,Good,1.612,3945
3,Good,1.649,3948
4,Good,1.664,3950
5,Good,1.732,3953
6,Good,1.787,3955
7,Good,1.781,3958
8,Good,1.817,3960
9,Good,1.900,3963
10,Good,1.911,3965
11,Good,1.924,3968
12,Good,1.977,3970
13,Good,2.020,3973
14,Good,2.071,3975
15,Good,1.092,3978
16,Good,1.144,3980
17,Good,1.163,3983
18,Good,1.215,3985
19,Good,1.256,3988
20,Good,1.321,3990
21,Good,1.325,3993
22,Good,1.368,3995
23,Good,1.409,3998
24,Good,1.436,4000
25,Good,1.469,4003
26,Good,1.522,4005
27,Good,1.543,4008
28,Good,1.617,4010
29,Good,1.627,4013
30,Good,1.673,4015
31,Good,1.699,4018
32,Good,1.752,4020
33,Good,1.772,4023
34,Good,1.792,4025
35,Good,1.848,4028
36,Good,1.900,4030
37,Good,0.905,4033
38,Good,1.980,4035
39,Good,1.024,4038
40,Good,2.056,4040
41,Good,1.084,4043
42,Good,2.143,4046
43,Good,1.185,4048
44,Good,1.237,4051
45,Good,1.216,4053
46,Good,1.308,4056
47,Good,1.324,4058
48,Good,1.361,4061
49,Good,1.409,4063
50,Good,1.456,4066
51,Good,1.479,4068
52,Good,1.513,4071
53,Good,1.539,4073
54,Good,1.657,4076
55,Good,1.604,4078
56,Good,1.668,4081
57,Good,1.696,4083
58,Good,1.756,4086
59,Good,1.791,4088
60,Good,1.820,4091
61,Good,1.876,4093
62,Good,1.888,4096
63,Good,1.921,4098
64,Good,1.989,4101
65,Good,2.000,4103
66,Good,1.055,4106
67,Good,2.115,4108
68,Good,1.121,4111
69,Good,1.153,4113
70,Good,1.209,4116
71,Good,1.219,4118
72,Good,1.288,4121
73,Good,1.336,4123
74,Good,1.344,4126
75,Good,1.413,4128
76,Good,1.435,4131
77,Good,1.467,4133
78,Good,1.493,4136
79,Good,1.552,4138
80,Good,1.588,4141
81,Good,1.663,4143
82,Good,1.672,4146
83,Good,1.708,4148
84,Good,1.744,4151
85,Good,1.776,4153
86,Good,1.840,4156
87,Good,1.856,4158
88,Good,1.901,4161
89,Good,1.940,4163
90,Good,2.216,4166
91,Good,2.020,4168
92,Good,2.037,4171
93,Good,2.108,4173
94,Good,1.120,4176
95,Good,1.208,4178
96,Good,1.207,4181
97,Good,1.252,4183
98,Good,1.265,4186
99,Good,1.334,4188
100,Good,1.372,4191
101,Good,1.411,4193
102,Good,1.433,4196
103,Good,1.465,4198
104,Good,1.565,4201
105,Good,1.553,4203
106,Good,1.579,4206
107,Good,1.623,4208
108,Good,1.666,4211
109,Good,1.713,4213
110,Good,1.783,4216
111,Good,1.799,4218
112,Good,1.792,4221
113,Good,1.863,4223
114,Good,1.885,4226
115,Good,1.925,4228
116,Good,2.000,4231
117,Good,2.000,4233
118,Good,2.056,4236
119,Good,1.074,4238
120,Good,1.108,4241
121,Good,1.205,4243
122,Good,1.231,4246
123,Good,1.226,4249
124,Good,1.276,4251
125,Good,1.350,4254
126,Good,1.356,4256
127,Good,1.404,4259
128,Good,1.416,4261
129,Good,1.486,4264
130,Good,1.495,4266
131,Good,1.546,4269
132,Good,1.580,4271
133,Good,1.627,4274
134,Good,1.687,4276
135,Good,1.696,4279
136,Good,1.732,4281
137,Good,1.789,4284
138,Good,1.814,4286
139,Good,1.865,4289
140,Good,1.881,4291
141,Good,1.932,4294
142,Good,1.949,4296
143,Good,2.011,4299
144,Good,2.125,4301
145,Good,1.088,4304
146,Good,1.120,4306
147,Good,1.220,4309
148,Good,1.233,4311
149,Good,1.245,4314
150,Good,1.280,4316
151,Good,1.332,4319
152,Good,1.344,4321
153,Good,1.407,4324
154,Good,1.419,4326
155,Good,1.499,4329
156,Good,1.500,4331
157,Good,1.544,4334
158,Good,1.576,4336
159,Good,1.648,4339
160,Good,1.661,4341
161,Good,1.709,4344
162,Good,1.768,4346
163,Good,1.813,4349
164,Good,1.824,4351
165,Good,1.892,4354
166,Good,1.876,4356
167,Good,1.936,4359
168,Good,1.985,4361
169,Good,2.012,4364
170,Good,2.029,4366
171,Good,1.115,4369
172,Good,1.124,4371
173,Good,1.171,4374
174,Good,1.208,4376
175,Good,1.240,4379
176,Good,1.285,4381
177,Good,2.152,4384
178,Good,1.375,4386
179,Good,1.368,4389
180,Good,1.483,4391
181,Good,1.464,4394
182,Good,1.504,4396
183,Good,1.547,4399
184,Good,1.583,4401
185,Good,1.660,4404
186,Good,1.657,4406
187,Good,1.737,4409
188,Good,1.740,4411
189,Good,1.773,4414
190,Good,1.828,4416
191,Good,2.875,4419
192,Good,2.892,4421
193,Good,1.916,4424
194,Good,1.983,4426
195,Good,2.004,4429
196,Good,2.039,4431
197,Good,2.087,4434
198,Good,1.120,4436
199,Good,1.171,4439
200,Good,1.204,4441
201,Good,1.251,4444
202,Good,1.267,4446
203,Good,1.325,4449
204,Good,1.372,4452
205,Good,1.396,4454
206,Good,1.452,4457
207,Good,1.471,4459
208,Good,1.495,4462
209,Good,1.539,4464
210,Good,1.589,4467
211,Good,1.637,4469
212,Good,1.641,4472
213,Good,1.700,4474
214,Good,1.736,4477
215,Good,1.792,4479
216,Good,1.828,4482
217,Good,1.847,4484
218,Good,1.899,4487
219,Good,1.956,4489
220,Good,1.952,4492
221,Good,2.016,4494
222,Good,2.072,4497
223,Good,2.085,4499
224,Good,1.147,4502
225,Good,1.189,4504
226,Good,1.229,4507
227,Good,1.278,4509
228,Good,1.283,4512
229,Good,1.324,4514
230,Good,1.357,4517
231,Good,1.410,4519
232,Good,1.440,4522
233,Good,1.469,4524
234,Good,1.504,4527
235,Good,1.571,4529
236,Good,1.581,4532
237,Good,1.631,4534
238,Good,1.656,4537
239,Good,1.712,4539
240,Good,1.736,4542
241,Good,1.804,4544
242,Good,1.840,4547
243,Good,1.855,4549
244,Good,1.883,4552
245,Good,1.923,4554
246,Good,1.978,4557
247,Good,1.000,4559
248,Good,2.047,4562
249,Good,2.060,4564
250,Good,1.113,4567
251,Good,1.147,4569
252,Good,1.205,4572
253,Good,1.221,4574
254,Good,1.273,4577
255,Good,1.313,4579
256,Good,1.361,4582
257,Good,1.417,4584
258,Good,1.456,4587
259,Good,1.440,4589
260,Good,1.501,4592
261,Good,1.535,4594
262,Good,1.604,4597
263,Good,1.632,4599
264,Good,1.664,4602
265,Good,1.733,4604
266,Good,1.735,4607
267,Good,1.773,4609
268,Good,1.796,4612
269,Good,1.852,4614
270,Good,1.877,4617
271,Good,1.926,4619
272,Good,1.961,4622
273,Good,2.017,4624
274,Good,1.053,4627
275,Good,1.080,4629
276,Good,1.104,4632
277,Good,1.149,4634
278,Good,1.217,4637
279,Good,2.032,4639
280,Good,1.277,4642
281,Good,1.332,4644
