counter,status,resp_time,value_first
0,Good,2.535,14689
1,Good,1.304,14692
2,Good,1.361,14694
3,Good,1.386,14697
4,Good,1.448,14699
5,Good,1.473,14702
6,Good,1.508,14704
7,Good,1.536,14707
8,Good,1.601,14709
9,Good,1.624,14712
10,Good,1.690,14714
11,Good,1.689,14717
12,Good,1.741,14719
13,Good,1.780,14722
14,Good,1.844,14724
15,Good,1.872,14727
16,Good,1.890,14729
17,Good,1.941,14732
18,Good,1.967,14734
19,Good,1.985,14737
20,Good,2.096,14740
21,Good,1.083,14742
22,Good,1.123,14745
23,Good,1.152,14747
24,Good,1.248,14750
25,Good,1.248,14752
26,Good,1.272,14755
27,Good,1.306,14757
28,Good,1.344,14760
29,Good,1.376,14762
30,Good,1.412,14765
31,Good,1.456,14767
32,Good,1.509,14770
33,Good,1.532,14772
34,Good,1.577,14775
35,Good,1.655,14777
36,Good,1.648,14780
37,Good,1.686,14782
38,Good,2.164,14785
39,Good,1.776,14787
40,Good,1.813,14790
41,Good,1.841,14792
42,Good,1.916,14795
43,Good,2.353,14797
44,Good,1.965,14800
45,Good,2.029,14802
46,Good,2.028,14805
47,Good,2.073,14807
48,Good,2.115,14810
49,Good,1.140,14812
50,Good,1.193,14815
51,Good,1.225,14817
52,Good,1.288,14820
53,Good,1.301,14822
54,Good,1.335,14825
55,Good,1.388,14827
56,Good,1.441,14830
57,Good,1.428,14832
58,Good,1.517,14835
59,Good,1.584,14837
60,Good,1.589,14840
61,Good,1.656,14842
62,Good,1.645,14845
63,Good,1.692,14847
64,Good,1.761,14850
65,Good,1.756,14852
66,Good,1.837,14855
67,Good,1.828,14857
68,Good,1.897,14860
69,Good,1.921,14862
70,Good,1.949,14865
71,Good,1.996,14867
72,Good,2.041,14870
73,Good,2.098,14872
74,Good,1.117,14875
75,Good,1.164,14877
76,Good,1.220,14880
77,Good,1.229,14882
78,Good,1.277,14885
79,Good,1.301,14887
80,Good,1.348,14890
81,Good,1.377,14892
82,Good,1.416,14895
83,Good,1.471,14897
84,Good,1.496,14900
85,Good,1.545,14902
86,Good,1.569,14905
87,Good,1.609,14907
88,Good,1.662,14910
89,Good,1.685,14912
90,Good,1.705,14915
91,Good,1.803,14917
92,Good,1.801,14920
93,Good,1.841,14922
94,Good,1.889,14925
95,Good,1.896,14927
96,Good,1.961,14930
97,Good,1.991,14932
98,Good,2.047,14935
99,Good,3.095,14938
100,Good,1.099,14940
101,Good,1.184,14943
102,Good,1.208,14945
103,Good,1.263,14948
104,Good,1.260,14950
105,Good,1.304,14953
106,Good,1.336,14955
107,Good,1.397,14958
108,Good,1.446,14960
109,Good,1.453,14963
110,Good,1.475,14965
111,Good,1.527,14968
112,Good,1.580,14970
113,Good,1.622,14973
114,Good,1.653,14975
115,Good,1.693,14978
116,Good,1.718,14980
117,Good,1.743,14983
118,Good,1.808,14985
119,Good,1.863,14988
120,Good,1.880,14990
121,Good,1.919,14993
122,Good,1.987,14995
123,Good,2.005,14998
124,Good,1.036,15000
125,Good,1.100,15003
126,Good,1.125,15005
127,Good,1.145,15008
128,Good,1.219,15010
129,Good,1.227,15013
130,Good,1.309,15015
