counter,status,resp_time,value_first
0,Good,2.175,6148.600000
1,Good,1.948,6150.500000
2,Good,1.943,6153.350000
3,Good,1.985,6155.250000
4,Good,2.000,6158.100000
5,Good,1.073,6160.000000
6,Good,1.067,6162.850000
7,Good,1.160,6164.750000
8,Good,1.156,6167.600000
9,Good,1.208,6169.500000
10,Good,1.245,6172.350000
11,Good,1.296,6174.250000
12,Good,1.344,6177.100000
13,Good,1.352,6179.000000
14,Good,1.389,6181.850000
15,Good,1.436,6183.750000
16,Good,1.473,6186.600000
17,Good,1.526,6188.500000
18,Good,1.548,6191.350000
19,Good,1.619,6193.250000
20,Good,1.633,6196.100000
21,Good,1.669,6198.000000
22,Good,1.709,6200.850000
23,Good,1.753,6202.750000
24,Good,1.776,6205.600000
25,Good,1.816,6207.500000
26,Good,1.897,6210.350000
27,Good,1.917,6212.250000
28,Good,1.924,6215.100000
29,Good,1.969,6217.000000
30,Good,1.020,6219.850000
31,Good,3.051,6222.700000
32,Good,1.095,6224.600000
33,Good,1.129,6227.450000
34,Good,1.167,6229.350000
35,Good,1.212,6232.200000
36,Good,1.237,6234.100000
37,Good,1.313,6236.950000
38,Good,1.293,6238.850000
39,Good,1.373,6241.700000
40,Good,1.382,6243.600000
41,Good,1.436,6246.450000
42,Good,1.517,6248.350000
43,Good,1.504,6251.200000
44,Good,1.576,6253.100000
45,Good,1.593,6255.950000
46,Good,1.660,6257.850000
47,Good,1.691,6260.700000
48,Good,1.712,6262.600000
49,Good,1.756,6265.450000
50,Good,1.760,6267.350000
51,Good,1.813,6270.200000
52,Good,1.848,6272.100000
53,Good,1.904,6274.950000
54,Good,1.935,6276.850000
55,Good,1.967,6279.700000
56,Good,2.009,6281.600000
57,Good,2.061,6284.450000
58,Good,1.085,6286.350000
59,Good,1.144,6289.200000
60,Good,1.172,6291.100000
61,Good,1.216,6293.950000
62,Good,1.312,6295.850000
63,Good,1.276,6298.700000
64,Good,1.324,6300.600000
65,Good,1.344,6303.450000
66,Good,1.421,6305.350000
67,Good,1.415,6308.200000
68,Good,1.488,6310.100000
69,Good,1.497,6312.950000
70,Good,1.544,6314.850000
71,Good,1.597,6317.700000
72,Good,1.632,6319.600000
73,Good,1.652,6322.450000
74,Good,1.733,6324.350000
75,Good,1.729,6327.200000
76,Good,1.793,6329.100000
77,Good,1.795,6331.950000
78,Good,1.864,6333.850000
79,Good,1.880,6336.700000
80,Good,1.908,6338.600000
81,Good,1.984,6341.450000
82,Good,2.019,6343.350000
83,Good,2.071,6346.200000
84,Good,1.093,6348.100000
85,Good,1.112,6350.950000
86,Good,1.184,6352.850000
87,Good,1.229,6355.700000
88,Good,1.261,6357.600000
89,Good,1.269,6360.450000
90,Good,1.315,6362.350000
91,Good,1.360,6365.200000
92,Good,1.395,6367.100000
93,Good,1.433,6369.950000
94,Good,1.464,6371.850000
95,Good,1.493,6374.700000
96,Good,1.556,6376.600000
97,Good,1.553,6379.450000
98,Good,1.680,6381.350000
99,Good,1.648,6384.200000
100,Good,1.716,6386.100000
101,Good,1.757,6388.950000
102,Good,1.789,6390.850000
103,Good,1.815,6393.700000
104,Good,1.872,6395.600000
105,Good,1.880,6398.450000
106,Good,1.963,6400.350000
107,Good,1.943,6403.200000
108,Good,1.996,6405.100000
109,Good,2.080,6407.950000
110,Good,5.093,6410.800000
111,Good,1.100,6412.700000
112,Good,1.184,6415.550000
113,Good,1.210,6417.450000
114,Good,1.288,6420.300000
115,Good,1.284,6422.200000
116,Good,1.337,6425.050000
117,Good,1.341,6426.950000
118,Good,1.389,6429.800000
119,Good,1.437,6431.700000
120,Good,1.477,6434.550000
121,Good,1.484,6436.450000
122,Good,1.559,6439.300000
123,Good,1.601,6441.200000
124,Good,1.620,6444.050000
125,Good,1.663,6445.950000
126,Good,1.698,6448.800000
127,Good,1.732,6450.700000
128,Good,1.773,6453.550000
129,Good,1.817,6455.450000
130,Good,1.877,6458.300000
131,Good,1.864,6460.200000
132,Good,1.921,6463.050000
133,Good,2.004,6464.950000
134,Good,1.997,6467.800000
135,Good,1.028,6469.700000
136,Good,1.052,6472.550000
137,Good,1.137,6474.450000
138,Good,1.180,6477.300000
139,Good,1.208,6479.200000
140,Good,1.269,6482.050000
141,Good,1.285,6483.950000
142,Good,1.308,6486.800000
143,Good,1.385,6488.700000
144,Good,1.396,6491.550000
145,Good,1.484,6493.450000
146,Good,1.448,6496.300000
147,Good,1.509,6498.200000
148,Good,1.528,6501.050000
149,Good,1.640,6502.950000
150,Good,1.635,6505.800000
151,Good,1.668,6507.700000
152,Good,1.692,6510.550000
153,Good,1.732,6512.450000
154,Good,1.753,6515.300000
155,Good,1.812,6517.200000
