counter,status,resp_time,value_first
0,Good,3.096,-5239
1,Good,2.028,-5236
2,Good,2.075,-5234
3,Good,2.118,-5231
4,Good,2.128,-5229
5,Good,2.161,-5226
6,Good,2.203,-5224
7,Good,2.252,-5221
8,Good,2.301,-5219
9,Good,2.315,-5216
10,Good,2.408,-5214
11,Good,2.428,-5211
12,Good,2.433,-5209
13,Good,1.458,-5206
14,Good,1.516,-5204
15,Good,1.524,-5201
16,Good,1.593,-5199
17,Good,1.605,-5196
18,Good,1.666,-5194
19,Good,1.699,-5191
20,Good,1.736,-5189
21,Good,1.781,-5186
22,Good,1.841,-5184
23,Good,1.855,-5181
24,Good,1.898,-5179
25,Good,1.953,-5176
26,Good,1.972,-5174
27,Good,2.004,-5171
28,Good,2.021,-5169
29,Good,2.072,-5166
30,Good,5.127,-5163
31,Good,2.159,-5161
32,Good,2.237,-5158
33,Good,2.277,-5156
34,Good,2.292,-5153
35,Good,2.311,-5151
36,Good,2.356,-5148
37,Good,2.405,-5146
38,Good,1.492,-5143
39,Good,1.492,-5141
40,Good,1.516,-5138
41,Good,1.577,-5136
42,Good,1.599,-5133
43,Good,1.614,-5131
44,Good,1.693,-5128
45,Good,1.700,-5126
46,Good,1.740,-5123
47,Good,1.777,-5121
48,Good,1.812,-5118
49,Good,1.860,-5116
50,Good,1.892,-5113
51,Good,1.932,-5111
52,Good,1.973,-5108
53,Good,2.008,-5106
54,Good,2.095,-5103
55,Good,2.128,-5101
56,Good,2.132,-5098
57,Good,2.172,-5096
58,Good,2.203,-5093
59,Good,2.241,-5091
60,Good,2.272,-5088
61,Good,2.360,-5086
62,Good,2.357,-5083
63,Good,2.376,-5081
64,Good,2.469,-5078
65,Good,1.472,-5076
66,Good,1.523,-5073
67,Good,1.547,-5071
68,Good,1.569,-5068
69,Good,1.636,-5066
70,Good,1.661,-5063
71,Good,1.683,-5061
72,Good,1.735,-5058
73,Good,1.768,-5056
74,Good,1.833,-5053
75,Good,1.853,-5051
76,Good,1.932,-5048
77,Good,1.922,-5046
78,Good,1.947,-5043
79,Good,2.008,-5041
80,Good,2.041,-5038
81,Good,2.115,-5036
82,Good,2.135,-5033
83,Good,2.139,-5031
84,Good,2.206,-5028
85,Good,2.229,-5026
86,Good,2.281,-5023
87,Good,2.311,-5021
88,Good,2.356,-5018
89,Good,5.379,-5015
90,Good,2.420,-5013
91,Good,1.503,-5010
92,Good,1.503,-5008
93,Good,1.544,-5005
94,Good,1.609,-5003
95,Good,1.642,-5000
96,Good,1.648,-4998
97,Good,1.708,-4995
98,Good,1.780,-4993
99,Good,1.748,-4990
100,Good,1.836,-4988
101,Good,1.879,-4985
102,Good,1.917,-4983
103,Good,1.935,-4980
104,Good,1.982,-4978
105,Good,2.024,-4975
106,Good,2.068,-4973
107,Good,2.085,-4970
108,Good,2.147,-4968
109,Good,2.161,-4965
110,Good,2.211,-4963
111,Good,2.272,-4960
112,Good,2.295,-4958
113,Good,2.352,-4955
114,Good,2.364,-4953
115,Good,2.381,-4950
116,Good,1.422,-4948
117,Good,1.516,-4945
118,Good,1.541,-4943
119,Good,1.550,-4940
120,Good,1.599,-4938
121,Good,1.648,-4935
122,Good,1.652,-4933
123,Good,1.699,-4930
124,Good,1.739,-4928
125,Good,1.779,-4925
126,Good,1.800,-4923
127,Good,1.856,-4920
128,Good,1.928,-4918
129,Good,1.939,-4915
130,Good,1.955,-4913
131,Good,1.988,-4910
132,Good,2.070,-4908
133,Good,2.085,-4905
134,Good,2.099,-4903
135,Good,2.168,-4900
136,Good,2.225,-4898
137,Good,2.256,-4895
138,Good,2.268,-4893
139,Good,2.321,-4890
140,Good,2.351,-4888
141,Good,2.401,-4885
142,Good,1.480,-4883
143,Good,1.476,-4880
144,Good,1.519,-4878
145,Good,1.573,-4875
146,Good,1.588,-4873
147,Good,1.612,-4870
148,Good,1.663,-4868
149,Good,1.708,-4865
150,Good,1.739,-4863
151,Good,1.767,-4860
152,Good,1.840,-4858
153,Good,1.860,-4855
154,Good,4.897,-4852
155,Good,1.945,-4850
156,Good,1.940,-4847
157,Good,1.989,-4845
158,Good,2.056,-4842
159,Good,2.079,-4840
160,Good,2.136,-4837
161,Good,2.145,-4835
162,Good,2.255,-4832
163,Good,2.408,-4830
164,Good,2.313,-4827
165,Good,2.353,-4825
166,Good,2.372,-4822
167,Good,2.428,-4820
168,Good,2.449,-4817
169,Good,1.521,-4815
170,Good,1.504,-4812
171,Good,1.536,-4810
172,Good,1.605,-4807
173,Good,1.593,-4805
