counter,status,resp_time,value_first
0,Good,0.475,26378
1,Good,0.533,26380
2,Good,0.473,26383
3,Good,0.517,26385
4,Good,0.500,26388
5,Good,0.533,26390
6,Good,0.501,26393
7,Good,0.507,26395
8,Good,0.505,26398
9,Good,0.489,26400
10,Good,0.524,26403
11,Good,0.521,26405
12,Good,0.496,26408
13,Good,0.508,26410
14,Good,0.521,26413
15,Good,0.533,26415
16,Good,0.501,26418
17,Good,0.516,26420
18,Good,0.491,26423
19,Good,0.527,26425
20,Good,0.513,26428
21,Good,0.515,26430
22,Good,0.496,26433
23,Good,0.512,26435
24,Good,0.508,26438
25,Good,0.539,26440
26,Good,0.535,26443
27,Good,0.495,26445
28,Good,0.524,26448
29,Good,0.505,26450
30,Good,0.516,26453
31,Good,0.483,26455
32,Good,0.492,26458
33,Good,0.516,26460
34,Good,0.525,26463
35,Good,0.511,26465
36,Good,0.500,26468
37,Good,0.496,26470
38,Good,0.509,26473
39,Good,0.496,26475
40,Good,0.524,26478
41,Good,0.503,26480
42,Good,0.489,26483
43,Good,0.557,26485
44,Good,0.533,26488
45,Good,0.503,26490
46,Good,0.496,26493
47,Good,0.501,26495
48,Good,0.529,26498
49,Good,0.504,26500
50,Good,0.505,26503
51,Good,0.492,26505
52,Good,0.505,26508
53,Good,0.537,26510
54,Good,0.476,26513
55,Good,0.512,26515
56,Good,0.504,26518
57,Good,0.497,26520
58,Good,0.508,26523
59,Good,0.477,26525
60,Good,0.507,26528
61,Good,0.509,26530
62,Good,0.503,26533
63,Good,0.508,26535
64,Good,0.497,26538
65,Good,0.516,26540
66,Good,0.501,26543
67,Good,0.520,26545
68,Good,0.501,26548
69,Good,0.492,26550
70,Good,0.515,26553
71,Good,0.485,26555
72,Good,0.513,26558
73,Good,0.487,26560
74,Good,0.481,26563
75,Good,0.511,26565
76,Good,0.497,26568
77,Good,0.508,26570
78,Good,0.502,26573
79,Good,0.512,26575
80,Good,0.502,26578
81,Good,0.496,26580
82,Good,0.514,26583
83,Good,0.507,26585
84,Good,0.532,26588
85,Good,0.525,26590
86,Good,0.497,26593
87,Good,0.507,26595
88,Good,0.506,26598
89,Good,0.499,26600
90,Good,0.492,26603
91,Good,0.495,26605
