counter,status,resp_time,value_first
0,Good,0.882,-14498
1,Good,0.909,-14492
2,Good,0.896,-14488
3,Good,0.983,-14482
4,Good,0.905,-14478
5,Good,0.889,-14472
6,Good,0.895,-14468
7,Good,0.904,-14462
8,Good,0.914,-14458
9,Good,0.904,-14452
10,Good,0.877,-14448
11,Good,0.883,-14442
12,Good,0.906,-14438
13,Good,0.877,-14432
14,Good,0.893,-14428
15,Good,0.892,-14422
16,Good,0.890,-14418
17,Good,0.932,-14412
18,Good,0.874,-14408
19,Good,0.900,-14402
20,Good,0.889,-14398
21,Good,0.907,-14392
22,Good,0.901,-14388
23,Good,0.887,-14382
24,Good,0.933,-14378
25,Good,0.888,-14372
26,Good,0.884,-14368
27,Good,0.881,-14362
28,Good,0.892,-14358
29,Good,0.900,-14352
30,Good,0.896,-14348
31,Good,0.903,-14342
32,Good,0.900,-14338
33,Good,0.893,-14332
34,Good,0.912,-14328
35,Good,0.873,-14322
36,Good,0.922,-14318
37,Good,0.896,-14312
38,Good,0.895,-14308
39,Good,0.884,-14302
40,Good,0.893,-14298
41,Good,0.888,-14292
42,Good,0.893,-14288
43,Good,0.895,-14282
44,Good,0.892,-14278
45,Good,0.915,-14272
46,Good,0.905,-14268
47,Good,0.888,-14262
48,Good,0.893,-14258
49,Good,0.884,-14252
50,Good,0.928,-14248
51,Good,0.909,-14242
52,Good,0.899,-14238
53,Good,0.885,-14232
54,Good,0.932,-14228
55,Good,0.868,-14222
56,Good,0.920,-14218
57,Good,0.903,-14212
58,Good,0.879,-14208
59,Good,0.917,-14202
60,Good,0.909,-14198
61,Good,0.925,-14192
62,Good,0.892,-14188
63,Good,0.900,-14182
64,Good,0.896,-14178
65,Good,0.890,-14172
66,Good,0.901,-14168
67,Good,0.889,-14162
68,Good,0.884,-14158
69,Good,0.889,-14152
70,Good,0.884,-14148
71,Good,0.884,-14142
72,Good,0.908,-14138
73,Good,0.897,-14132
74,Good,0.900,-14128
75,Good,0.896,-14122
76,Good,0.909,-14118
77,Good,0.887,-14112
78,Good,0.914,-14108
79,Good,0.877,-14102
80,Good,0.917,-14098
81,Good,0.947,-14092
82,Good,0.870,-14088
83,Good,0.880,-14082
84,Good,0.893,-14078
85,Good,0.869,-14072
86,Good,0.904,-14068
87,Good,0.888,-14062
88,Good,0.887,-14058
89,Good,0.892,-14052
90,Good,0.888,-14048
91,Good,0.904,-14042
92,Good,0.924,-14038
93,Good,0.889,-14032
94,Good,0.884,-14028
95,Good,0.880,-14022
96,Good,0.892,-14018
97,Good,0.879,-14012
98,Good,0.908,-14008
99,Good,0.884,-14002
100,Good,0.892,-13998
101,Good,0.892,-13992
102,Good,0.873,-13988
103,Good,0.912,-13982
104,Good,0.892,-13978
105,Good,0.901,-13972
106,Good,0.893,-13968
107,Good,0.888,-13962
108,Good,0.905,-13958
109,Good,0.884,-13952
110,Good,0.920,-13948
111,Good,0.876,-13942
112,Good,0.889,-13938
113,Good,0.888,-13932
114,Good,0.896,-13928
115,Good,0.904,-13922
116,Good,0.888,-13918
