counter,status,resp_time,value_first
0,Good,0.372,27458.049657
1,Good,0.472,27460.899657
2,Good,0.452,27462.799657
3,Good,0.425,27465.649657
4,Good,0.433,27467.549657
5,Good,0.456,27470.399657
6,Good,0.432,27472.299657
7,Good,0.473,27475.149656
8,Good,0.441,27477.049656
9,Good,0.445,27479.899656
10,Good,0.433,27481.799656
11,Good,0.436,27484.649656
12,Good,0.461,27486.549656
13,Good,0.428,27489.399656
14,Good,0.469,27491.299656
15,Good,0.477,27494.149656
16,Good,0.433,27496.049656
17,Good,0.456,27498.899656
18,Good,0.437,27500.799656
19,Good,0.464,27503.649656
20,Good,0.437,27505.549656
21,Good,0.431,27508.399656
22,Good,0.453,27510.299656
23,Good,0.445,27513.149656
24,Good,0.452,27515.049656
25,Good,0.443,27517.899656
26,Good,0.483,27519.799656
27,Good,0.471,27522.649656
28,Good,0.437,27524.549656
29,Good,0.444,27527.399656
30,Good,0.436,27529.299656
31,Good,0.428,27532.149656
32,Good,0.472,27534.049656
33,Good,0.437,27536.899656
34,Good,0.449,27538.799656
35,Good,0.440,27541.649656
36,Good,0.456,27543.549656
37,Good,0.491,27546.399656
38,Good,0.433,27548.299656
39,Good,0.491,27551.149656
40,Good,0.437,27553.049655
41,Good,0.441,27555.899655
42,Good,0.457,27557.799655
43,Good,0.424,27560.649655
44,Good,0.461,27562.549655
45,Good,0.440,27565.399655
46,Good,0.441,27567.299655
47,Good,0.452,27570.149655
48,Good,0.433,27572.049655
49,Good,0.451,27574.899655
50,Good,0.436,27576.799655
51,Good,0.457,27579.649655
52,Good,0.456,27581.549655
53,Good,0.472,27584.399655
54,Good,0.448,27586.299655
55,Good,0.418,27589.149655
56,Good,0.452,27591.049655
57,Good,0.433,27593.899655
58,Good,0.437,27595.799655
59,Good,0.479,27598.649655
60,Good,0.428,27600.549655
61,Good,0.447,27603.399655
62,Good,0.432,27605.299655
63,Good,0.433,27608.149655
64,Good,0.452,27610.049655
65,Good,0.436,27612.899655
66,Good,0.452,27614.799655
67,Good,0.433,27617.649655
68,Good,0.429,27619.549655
69,Good,0.453,27622.399655
70,Good,0.427,27624.299655
71,Good,0.449,27627.149655
72,Good,0.472,27629.049655
73,Good,0.433,27631.899655
74,Good,0.460,27633.799654
75,Good,0.436,27636.649654
76,Good,0.445,27638.549654
77,Good,0.437,27641.399654
78,Good,0.434,27643.299654
79,Good,0.441,27646.149654
80,Good,0.435,27648.049654
81,Good,0.538,27650.899654
82,Good,0.441,27652.799654
83,Good,0.447,27655.649654
84,Good,0.482,27657.549654
85,Good,0.437,27660.399654
86,Good,0.468,27662.299654
87,Good,0.448,27665.149654
88,Good,0.451,27667.049654
89,Good,0.433,27669.899654
90,Good,0.430,27671.799654
91,Good,0.452,27674.649654
92,Good,0.456,27676.549654
93,Good,0.452,27679.399654
94,Good,0.424,27681.299654
95,Good,0.436,27684.149654
96,Good,0.491,27686.049654
97,Good,0.436,27688.899654
98,Good,0.440,27690.799654
99,Good,0.440,27693.649654
100,Good,0.433,27695.549654
101,Good,0.448,27698.399654
102,Good,0.441,27700.299654
103,Good,0.464,27703.149654
104,Good,0.456,27705.049654
105,Good,0.433,27707.899654
106,Good,0.469,27709.799654
107,Good,0.436,27712.649653
108,Good,0.445,27714.549653
109,Good,0.471,27717.399653
110,Good,0.437,27719.299653
111,Good,0.453,27722.149653
112,Good,0.432,27724.049653
113,Good,0.448,27726.899653
114,Good,0.429,27728.799653
115,Good,0.438,27731.649653
116,Good,0.451,27733.549653
117,Good,0.428,27736.399653
118,Good,0.449,27738.299653
119,Good,0.448,27741.149653
120,Good,0.468,27743.049653
121,Good,0.435,27745.899653
122,Good,0.431,27747.799653
123,Good,0.449,27750.649653
124,Good,0.433,27752.549653
125,Good,0.464,27755.399653
126,Good,0.441,27757.299653
127,Good,0.465,27760.149653
128,Good,0.449,27762.049653
129,Good,0.436,27764.899653
130,Good,0.445,27766.799653
131,Good,0.437,27769.649653
132,Good,0.433,27771.549653
133,Good,0.448,27774.399653
134,Good,0.413,27776.299653
135,Good,0.449,27779.149653
136,Good,0.433,27781.049653
137,Good,0.433,27783.899653
138,Good,0.449,27785.799653
139,Good,0.476,27788.649653
140,Good,0.453,27790.549653
141,Good,0.436,27793.399652
142,Good,0.432,27795.299652
143,Good,0.437,27798.149652
144,Good,0.436,27800.049652
145,Good,0.445,27802.899652
146,Good,0.435,27804.799652
147,Good,0.432,27807.649652
148,Good,0.464,27809.549652
149,Good,0.433,27812.399652
150,Good,0.451,27814.299652
151,Good,0.441,27817.149652
152,Good,0.433,27819.049652
153,Good,0.448,27821.899652
154,Good,0.433,27823.799652
155,Good,0.447,27826.649652
156,Good,0.440,27828.549652
157,Good,0.447,27831.399652
158,Good,0.440,27833.299652
159,Good,0.429,27836.149652
160,Good,0.447,27838.049652
161,Good,0.436,27840.899652
162,Good,0.451,27842.799652
163,Good,0.426,27845.649652
164,Good,0.435,27847.549652
165,Good,0.444,27850.399652
166,Good,0.437,27852.299652
167,Good,0.460,27855.149652
168,Good,0.457,27857.049652
169,Good,0.435,27859.899652
170,Good,0.483,27861.799652
171,Good,0.440,27864.649652
172,Good,0.449,27866.549652
173,Good,0.440,27869.399652
174,Good,0.432,27871.299652
175,Good,0.468,27874.149651
176,Good,0.479,27876.049651
177,Good,0.448,27878.899651
178,Good,0.464,27880.799651
179,Good,0.437,27883.649651
180,Good,0.468,27885.549651
181,Good,0.438,27888.399651
182,Good,0.444,27890.299651
183,Good,0.436,27893.149651
184,Good,0.441,27895.049651
185,Good,0.464,27897.899651
186,Good,0.460,27899.799651
187,Good,0.445,27902.649651
188,Good,0.425,27904.549651
189,Good,0.433,27907.399651
190,Good,0.452,27909.299651
191,Good,0.433,27912.149651
192,Good,0.456,27914.049651
193,Good,0.432,27916.899651
194,Good,0.460,27918.799651
195,Good,0.429,27921.649651
196,Good,0.428,27923.549651
197,Good,0.468,27926.399651
198,Good,0.444,27928.299651
199,Good,0.447,27931.149651
200,Good,0.420,27933.049651
201,Good,0.518,27935.899651
202,Good,0.453,27937.799651
203,Good,0.440,27940.649651
204,Good,0.484,27942.549651
205,Good,0.432,27945.399651
206,Good,0.420,27947.299651
207,Good,0.448,27950.149651
208,Good,0.429,27952.049650
209,Good,0.448,27954.899650
210,Good,0.433,27956.799650
211,Good,0.448,27959.649650
212,Good,0.445,27961.549650
213,Good,0.453,27964.399650
214,Good,0.453,27966.299650
215,Good,0.453,27969.149650
216,Good,0.437,27971.049650
217,Good,0.452,27973.899650
218,Good,0.443,27975.799650
219,Good,0.473,27978.649650
220,Good,0.436,27980.549650
221,Good,0.431,27983.399650
222,Good,0.453,27985.299650
223,Good,0.477,27988.149650
224,Good,0.485,27990.049650
225,Good,0.439,27992.899650
226,Good,0.435,27994.799650
227,Good,0.469,27997.649650
228,Good,0.442,27999.549650
229,Good,0.461,28002.399650
230,Good,0.438,28004.299650
231,Good,0.444,28007.149650
232,Good,0.457,28009.049650
233,Good,0.432,28011.899650
234,Good,0.468,28013.799650
235,Good,0.452,28016.649650
236,Good,0.453,28018.549650
237,Good,0.435,28021.399650
238,Good,0.438,28023.299650
239,Good,0.455,28026.149650
240,Good,0.434,28028.049650
241,Good,0.452,28030.899650
242,Good,0.443,28032.799649
243,Good,0.432,28035.649649
244,Good,0.456,28037.549649
245,Good,0.432,28040.399649
246,Good,0.447,28042.299649
247,Good,0.440,28045.149649
248,Good,0.428,28047.049649
249,Good,0.452,28049.899649
250,Good,0.464,28051.799649
251,Good,0.468,28054.649649
252,Good,0.436,28056.549649
253,Good,0.428,28059.399649
254,Good,0.452,28061.299649
255,Good,0.440,28064.149649
256,Good,0.455,28066.049649
257,Good,0.442,28068.899649
258,Good,0.436,28070.799649
259,Good,0.452,28073.649649
260,Good,0.460,28075.549649
261,Good,0.449,28078.399649
262,Good,0.433,28080.299649
263,Good,0.444,28083.149649
264,Good,0.457,28085.049649
265,Good,0.424,28087.899649
266,Good,0.441,28089.799649
267,Good,0.448,28092.649649
268,Good,0.452,28094.549649
269,Good,0.441,28097.399649
270,Good,0.440,28099.299649
271,Good,0.468,28102.149649
272,Good,0.433,28104.049649
273,Good,0.489,28106.899649
274,Good,0.445,28108.799649
275,Good,0.413,28111.649648
276,Good,0.448,28113.549648
277,Good,0.456,28116.399648
278,Good,0.441,28118.299648
279,Good,0.433,28121.149648
280,Good,0.433,28123.049648
281,Good,0.446,28125.899648
282,Good,0.439,28127.799648
283,Good,0.448,28130.649648
284,Good,0.439,28132.549648
285,Good,0.439,28135.399648
286,Good,0.444,28137.299648
287,Good,0.429,28140.149648
288,Good,0.452,28142.049648
289,Good,0.448,28144.899648
290,Good,0.456,28146.799648
291,Good,0.444,28149.649648
292,Good,0.421,28151.549648
293,Good,0.464,28154.399648
294,Good,0.433,28156.299648
295,Good,0.441,28159.149648
296,Good,0.447,28161.049648
297,Good,0.432,28163.899648
298,Good,0.473,28165.799648
299,Good,0.436,28168.649648
300,Good,0.437,28170.549648
301,Good,0.448,28173.399648
302,Good,0.432,28175.299648
303,Good,0.472,28178.149648
304,Good,0.436,28180.049648
305,Good,0.444,28182.899648
306,Good,0.448,28184.799648
307,Good,0.471,28187.649648
308,Good,0.448,28189.549648
309,Good,0.441,28192.399647
310,Good,0.464,28194.299647
311,Good,0.432,28197.149647
312,Good,0.445,28199.049647
313,Good,0.445,28201.899647
314,Good,0.432,28203.799647
315,Good,0.450,28206.649647
316,Good,0.440,28208.549647
317,Good,0.432,28211.399647
318,Good,0.488,28213.299647
319,Good,0.468,28216.149647
320,Good,0.454,28218.049647
321,Good,0.540,28220.899647
322,Good,0.437,28222.799647
323,Good,0.448,28225.649647
324,Good,0.431,28227.549647
325,Good,0.489,28230.399647
326,Good,0.445,28232.299647
327,Good,0.429,28235.149647
328,Good,0.453,28237.049647
329,Good,0.432,28239.899647
330,Good,0.446,28241.799647
331,Good,0.433,28244.649647
332,Good,0.437,28246.549647
333,Good,0.445,28249.399647
334,Good,0.439,28251.299647
335,Good,0.460,28254.149647
336,Good,0.429,28256.049647
337,Good,0.445,28258.899647
338,Good,0.436,28260.799647
339,Good,0.443,28263.649647
340,Good,0.457,28265.549647
341,Good,0.429,28268.399647
342,Good,0.474,28270.299646
343,Good,0.444,28273.149646
344,Good,0.436,28275.049646
345,Good,0.468,28277.899646
346,Good,0.428,28279.799646
347,Good,0.465,28282.649646
348,Good,0.462,28284.549646
349,Good,0.430,28287.399646
350,Good,0.459,28289.299646
351,Good,0.433,28292.149646
352,Good,0.447,28294.049646
353,Good,0.444,28296.899646
354,Good,0.436,28298.799646
355,Good,0.449,28301.649646
356,Good,0.433,28303.549646
357,Good,0.464,28306.399646
358,Good,0.445,28308.299646
359,Good,0.456,28311.149646
360,Good,0.441,28313.049646
361,Good,0.436,28315.899646
362,Good,0.461,28317.799646
363,Good,0.437,28320.649646
364,Good,0.442,28322.549646
365,Good,0.448,28325.399646
366,Good,0.436,28327.299646
367,Good,0.467,28330.149646
368,Good,0.440,28332.049646
369,Good,0.435,28334.899646
370,Good,0.456,28336.799646
371,Good,0.433,28339.649646
372,Good,0.453,28341.549646
373,Good,0.436,28344.399646
374,Good,0.465,28346.299646
375,Good,0.444,28349.149646
376,Good,0.436,28351.049645
377,Good,0.456,28353.899645
378,Good,0.436,28355.799645
379,Good,0.440,28358.649645
380,Good,0.444,28360.549645
381,Good,0.436,28363.399645
382,Good,0.455,28365.299645
383,Good,0.436,28368.149645
384,Good,0.445,28370.049645
385,Good,0.433,28372.899645
386,Good,0.456,28374.799645
387,Good,0.445,28377.649645
388,Good,0.433,28379.549645
389,Good,0.480,28382.399645
390,Good,0.465,28384.299645
391,Good,0.441,28387.149645
392,Good,0.451,28389.049645
393,Good,0.432,28391.899645
394,Good,0.476,28393.799645
395,Good,0.429,28396.649645
396,Good,0.463,28398.549645
397,Good,0.455,28401.399645
398,Good,0.437,28403.299645
399,Good,0.456,28406.149645
400,Good,0.439,28408.049645
401,Good,0.432,28410.899645
402,Good,0.450,28412.799645
403,Good,0.449,28415.649645
404,Good,0.459,28417.549645
405,Good,0.440,28420.399645
406,Good,0.436,28422.299645
407,Good,0.456,28425.149645
408,Good,0.461,28427.049645
409,Good,0.448,28429.899644
410,Good,0.427,28431.799644
411,Good,0.444,28434.649644
412,Good,0.436,28436.549644
413,Good,0.436,28439.399644
414,Good,0.468,28441.299644
415,Good,0.436,28444.149644
416,Good,0.464,28446.049644
417,Good,0.429,28448.899644
418,Good,0.455,28450.799644
419,Good,0.465,28453.649644
420,Good,0.444,28455.549644
421,Good,0.447,28458.399644
422,Good,0.460,28460.299644
423,Good,0.472,28463.149644
424,Good,0.453,28465.049644
425,Good,0.432,28467.899644
426,Good,0.469,28469.799644
427,Good,0.436,28472.649644
428,Good,0.431,28474.549644
429,Good,0.451,28477.399644
430,Good,0.432,28479.299644
431,Good,0.442,28482.149644
432,Good,0.459,28484.049644
433,Good,0.439,28486.899644
434,Good,0.452,28488.799644
435,Good,0.440,28491.649644
436,Good,0.460,28493.549644
437,Good,0.444,28496.399644
438,Good,0.437,28498.299644
439,Good,0.451,28501.149644
440,Good,0.439,28503.049644
441,Good,0.539,28505.899644
442,Good,0.477,28507.799644
443,Good,0.439,28510.649643
444,Good,0.456,28512.549643
445,Good,0.459,28515.399643
446,Good,0.452,28517.299643
447,Good,0.435,28520.149643
448,Good,0.448,28522.049643
449,Good,0.443,28524.899643
450,Good,0.435,28526.799643
451,Good,0.456,28529.649643
452,Good,0.440,28531.549643
453,Good,0.471,28534.399643
454,Good,0.444,28536.299643
455,Good,0.441,28539.149643
456,Good,0.448,28541.049643
457,Good,0.436,28543.899643
458,Good,0.441,28545.799643
459,Good,0.433,28548.649643
460,Good,0.439,28550.549643
461,Good,0.452,28553.399643
462,Good,0.432,28555.299643
463,Good,0.461,28558.149643
464,Good,0.436,28560.049643
465,Good,0.436,28562.899643
466,Good,0.491,28564.799643
467,Good,0.430,28567.649643
468,Good,0.448,28569.549643
469,Good,0.433,28572.399643
470,Good,0.436,28574.299643
471,Good,0.455,28577.149643
472,Good,0.435,28579.049643
473,Good,0.469,28581.899643
474,Good,0.433,28583.799643
475,Good,0.441,28586.649643
476,Good,0.440,28588.549643
477,Good,0.432,28591.399642
478,Good,0.467,28593.299642
479,Good,0.436,28596.149642
480,Good,0.431,28598.049642
481,Good,0.452,28600.899642
482,Good,0.432,28602.799642
483,Good,0.472,28605.649642
484,Good,0.440,28607.549642
485,Good,0.484,28610.399642
486,Good,0.445,28612.299642
487,Good,0.432,28615.149642
488,Good,0.448,28617.049642
489,Good,0.424,28619.899642
490,Good,0.472,28621.799642
491,Good,0.436,28624.649642
492,Good,0.431,28626.549642
493,Good,0.489,28629.399642
494,Good,0.436,28631.299642
495,Good,0.451,28634.149642
496,Good,0.441,28636.049642
497,Good,0.465,28638.899642
498,Good,0.455,28640.799642
499,Good,0.436,28643.649642
500,Good,0.492,28645.549642
501,Good,0.428,28648.399642
502,Good,0.437,28650.299642
503,Good,0.452,28653.149642
504,Good,0.431,28655.049642
505,Good,0.444,28657.899642
506,Good,0.443,28659.799642
507,Good,0.492,28662.649642
508,Good,0.456,28664.549642
509,Good,0.429,28667.399642
510,Good,0.468,28669.299641
511,Good,0.433,28672.149641
512,Good,0.453,28674.049641
513,Good,0.459,28676.899641
514,Good,0.434,28678.799641
515,Good,0.455,28681.649641
516,Good,0.437,28683.549641
517,Good,0.435,28686.399641
518,Good,0.452,28688.299641
519,Good,0.433,28691.149641
520,Good,0.454,28693.049641
521,Good,0.437,28695.899641
522,Good,0.443,28697.799641
523,Good,0.432,28700.649641
524,Good,0.416,28702.549641
525,Good,0.457,28705.399641
526,Good,0.432,28707.299641
527,Good,0.492,28710.149641
528,Good,0.439,28712.049641
529,Good,0.425,28714.899641
530,Good,0.456,28716.799641
531,Good,0.456,28719.649641
532,Good,0.492,28721.549641
533,Good,0.455,28724.399641
534,Good,0.464,28726.299641
535,Good,0.453,28729.149641
536,Good,0.443,28731.049641
537,Good,0.440,28733.899641
538,Good,0.437,28735.799641
539,Good,0.437,28738.649641
540,Good,0.455,28740.549641
541,Good,0.443,28743.399641
542,Good,0.465,28745.299641
543,Good,0.436,28748.149641
544,Good,0.439,28750.049640
545,Good,0.456,28752.899640
546,Good,0.440,28754.799640
547,Good,0.448,28757.649640
548,Good,0.437,28759.549640
549,Good,0.437,28762.399640
550,Good,0.472,28764.299640
551,Good,0.436,28767.149640
552,Good,0.425,28769.049640
553,Good,0.433,28771.899640
554,Good,0.435,28773.799640
555,Good,0.456,28776.649640
556,Good,0.456,28778.549640
557,Good,0.472,28781.399640
558,Good,0.433,28783.299640
559,Good,0.480,28786.149640
560,Good,0.449,28788.049640
561,Good,0.532,28790.899640
562,Good,0.452,28792.799640
563,Good,0.439,28795.649640
564,Good,0.472,28797.549640
565,Good,0.436,28800.399640
566,Good,0.429,28802.299640
567,Good,0.448,28805.149640
568,Good,0.431,28807.049640
569,Good,0.444,28809.899640
570,Good,0.433,28811.799640
571,Good,0.432,28814.649640
572,Good,0.468,28816.549640
573,Good,0.436,28819.399640
574,Good,0.449,28821.299640
575,Good,0.432,28824.149640
576,Good,0.436,28826.049640
577,Good,0.477,28828.899639
578,Good,0.436,28830.799639
579,Good,0.448,28833.649639
580,Good,0.453,28835.549639
581,Good,0.432,28838.399639
582,Good,0.450,28840.299639
583,Good,0.436,28843.149639
584,Good,0.452,28845.049639
585,Good,0.472,28847.899639
586,Good,0.431,28849.799639
587,Good,0.453,28852.649639
588,Good,0.432,28854.549639
589,Good,0.472,28857.399639
590,Good,0.443,28859.299639
591,Good,0.475,28862.149639
592,Good,0.456,28864.049639
593,Good,0.452,28866.899639
594,Good,0.447,28868.799639
595,Good,0.442,28871.649639
596,Good,0.484,28873.549639
597,Good,0.439,28876.399639
598,Good,0.432,28878.299639
599,Good,0.481,28881.149639
600,Good,0.456,28883.049639
601,Good,0.467,28885.899639
602,Good,0.433,28887.799639
603,Good,0.432,28890.649639
604,Good,0.444,28892.549639
605,Good,0.435,28895.399639
606,Good,0.472,28897.299639
607,Good,0.431,28900.149639
608,Good,0.439,28902.049639
609,Good,0.448,28904.899639
610,Good,0.436,28906.799639
611,Good,0.452,28909.649638
612,Good,0.460,28911.549638
613,Good,0.435,28914.399638
614,Good,0.449,28916.299638
615,Good,0.436,28919.149638
616,Good,0.444,28921.049638
617,Good,0.432,28923.899638
618,Good,0.473,28925.799638
619,Good,0.445,28928.649638
620,Good,0.440,28930.549638
621,Good,0.447,28933.399638
622,Good,0.455,28935.299638
623,Good,0.433,28938.149638
624,Good,0.444,28940.049638
625,Good,0.440,28942.899638
626,Good,0.445,28944.799638
627,Good,0.425,28947.649638
628,Good,0.441,28949.549638
629,Good,0.444,28952.399638
630,Good,0.441,28954.299638
631,Good,0.468,28957.149638
632,Good,0.436,28959.049638
633,Good,0.461,28961.899638
634,Good,0.445,28963.799638
635,Good,0.438,28966.649638
636,Good,0.474,28968.549638
637,Good,0.432,28971.399638
638,Good,0.438,28973.299638
639,Good,0.436,28976.149638
640,Good,0.434,28978.049638
641,Good,0.445,28980.899638
642,Good,0.437,28982.799638
643,Good,0.485,28985.649638
