counter,status,resp_time,value_first
0,Good,150.489,QTGaXtLgdHqEoCBqSM8DpbvUd9S8kFMYNmkRpqcFYbGq6AxQE5ZjzUG4bM6Y5RzCbtnkrWM2TV8wzGd
1,Good,150.238,gquf8yeHPnDz92yBEre7vzamoZ85RCbnwFkxjW8r3eB7xdhXuVkvyT5ZgN8jmkXMuPNdmJ8D6kqmdZr
2,Good,149.833,pwvLxc5BzAG5sZ7PLh4bPXzxoTjCufPbBGTaQm8wZ9uenCmGTYkvUfw7pQeaxPkEqRYz5u97pxYFSBQ
3,Good,149.384,hrSBHhdqQPsJM9DqSzxkv65uKEcNVKF4e3amdZJjNqFhsGDq4Q3PVNwTmAVhDJSdKPqV3pAgPyMmVKo
4,Good,148.924,d8P5AJdhpyr2uTcvHyhDf5tgQC35Y8UawBPgks7G46AYEzL7YraTLc3aCStJ2WZ8SNPgFkYAyQnwYtb
5,Good,148.452,ryj8LsFtVYMUx5pFdhDqtsp6MZxgUFpA7ycWrmCVqcwj3nLAtZoH4PbCKg5ko2NH4sRMGz3AUQ6FChP
6,Good,150.126,5g6tKQ7jeJHtVnNWvAnDdYFJgwQN3p2akFZ6dp2XwSTcY9WTjR3HcaVDGYw9Rc24g8G6yf85qrFvHw4
7,Good,149.676,gpMZB9VTgZYDkaoNGXEwhq29ATjfqZYmLHFo7tyAXGoN5WCXMqbukc2wMYsZxnHBv2cU9RWgDYyjMuE
8,Good,150.296,d35gNdfoeyjdTxPXGYT7NfqR5KHXL2uovwntK6U3kXrcFoy37nHxQWPRT8VeGorsBbtX6c8DnHwyZfT
9,Good,149.853,dmhK6NetAjGKgkcC3GRJctnKr7TnquvWTeE6S5Hh6UZMuHr8F3tU6ANQMGUywNFq87xUPKmsqyRtgMC
10,Good,149.364,GLAmqDBVFp6WusHMSz4wfV2HU3BmFUTW4FZb9PG3dowMLk47bvXUpougtHbDajkXxBvztm4BrE5HS8E
11,Good,149.892,Y4QmFsNQBrcfngdTKhSnqxK7sqZCf38rgZXRqpBDdh9X5g6tCeqUksT4ZSLsHtu9pHGCc3QhLtm8Vuz
12,Good,149.403,jTYbtoPEF4ha5E3M8aWPDGe54McFZRdNCzjq7fKLST4zqLx6A9bDJqBbxdgfLJoxZUXDdLQaK6uNpsY
13,Good,150.048,GaKmSJdy6aouT8f9JXcNpTDVgzS4k7mtMoWQ93qTvcg8xCWwtBnmCbHGQtSLP8x5gomR9QqJaLuFged
14,Good,148.592,EH5LoB2sKwhEq9XgVtsfMLZk5ABWY2hJwuRGHUkVL8BA36Xh8g5s9Pa6sJVYqegGxjvEmMzAaj39JaA
15,Good,149.177,rvpSmqxtWvfSEZBCKv54sRXqAB9fpYcPfNK7QXAeyUKWGbRt4Ws6ZaDWVEfAmvp7wfQEeg3rvWzojgP
16,Good,149.823,gdMpURcr7ZwJyaWLQNmfphqZfPrpowtaH4zD62RfonVK8cv7A2fbu7casGeLnmuHUfgjsw7CBvKEgN4
17,Good,149.331,6MZx5ouFeS9dtUcLvRysnQzu6n42SuVyKwc2qXLFBGRPcs7Ao9MjK8rHMnANmXeSYHfNscrJK5RG2Vm
18,Good,148.960,Kj9YEcRCVxce2rp86qUzwJ3x7GnANHs9byQKoBPa5f8THVrx4XcvhJAqKb8zQyNFcXY3ZwSoEY3m5ey
19,Good,149.543,7ktqz2RJGtLKBFHWhKn3a2zBDVSJPjdGbTzM8NqrSmL4Zn26aTEt4ovf9A2KqCjvRKk6oLtjPoHKXeo
20,Good,149.044,ENXHGJ5RTCtYwdkR3g4vn63yxw4QsL5o7cgWqFpdWjw9BMpKLdWcMCbeQzDjhN3ynxU7ezxGHhTBxvq
21,Good,148.677,mejQCUL84bCKdz3EyF5wrDnRSNDBXhf8kenfyKA9mLScC46nJzxwenuC852Kpm7MQWhLRtwsab9yBAH
22,Good,148.260,AWsbyEjW4t9FUE5BRFUhdPQ4Ao75zLcU4QXkYVHQ3bNRpYoTJAjMueGbgxamb83xm9KonqmtMSvCmVP
23,Good,148.779,ado2qM5sVUcFwDT8gNV7dTDZzv6KwJSdzbs94BaUEfJsFQhy38EYgK7LkbzERt5MC8PVTEfwB37KUjM
24,Good,150.373,xADcJkXz62tGgohYwvV2ay4pfr9M2ubUX7axHPoCG4JLja9CwUAWKxdbkL8KYZtkNHDz8MnwvuWeY2s
25,Good,148.911,neXaUcCZz5Ye6ZmL7RJjrHgBN6VqR8KLEuPBXDmSxKoqjtwgEVzRsd7xYFgrtj7NU2oXKhMgS384adH
26,Good,149.548,r4YeF92RXD68mbAn72JGLuMTPW7u6cAW79Dkfm8BbvZwG4FxYJvgfLTwuenGc6kp7CZQLFs8wZLVbz6
27,Good,150.077,bWM7pjJkmZLuW4NqzFGng26dbyaJQZSE2chw7tHKvmBDKTQzV4pcj5dRcGHTJbKvcSCuM34V8cuQ5ZW
28,Good,148.585,yXPRhdcXfkbzgK2euLXrWbTtZ2v5kf6XPZnRceWo32rLaVuwTKb6fJnrHc5DeQJ5a2csD9xZ2rqVEsz
29,Good,148.120,MhJnGSqrJZKYj9UdorRCyDF7fGLg2jPCRkf58NjnBV4Lxa2uLHoJbMqjKeSy5VTXwhWsCbMBuC6VTtp
30,Good,148.744,aPhdV43uoYBywpW84jmHJz2S4tG2wyepQqEdLpQ93xR49je2pgfSXrRkmvA7y4VhFk2vy4WHQ7CBAuT
31,Good,150.331,gFucowhRnz8haPW29qeZAXyD5eFQrcVM6QcpPSzDuC3p8K2LyZHEWok3sugjQFEBakeLzHh7nwLP2y6
