counter,status,resp_time,value_first
0,Good,0.540,131
1,Good,0.820,134
2,Good,0.796,136
3,Good,0.789,139
4,Good,0.759,141
5,Good,0.792,143
6,Good,0.805,146
7,Good,0.765,148
8,Good,0.768,151
9,Good,0.763,153
10,Good,0.781,156
11,Good,0.772,158
12,Good,0.705,160
13,Good,0.780,163
14,Good,0.748,165
15,Good,0.768,168
16,Good,0.759,170
17,Good,0.773,173
18,Good,0.733,175
19,Good,0.758,177
20,Good,0.777,180
21,Good,0.740,182
22,Good,0.752,185
23,Good,0.765,187
24,Good,0.760,190
25,Good,0.764,192
26,Good,0.775,194
27,Good,0.740,197
28,Good,0.752,199
29,Good,0.776,202
30,Good,0.769,204
31,Good,0.772,207
32,Good,0.780,209
33,Good,0.773,211
34,Good,0.756,214
35,Good,0.764,216
36,Good,0.788,219
37,Good,0.760,221
38,Good,0.792,224
39,Good,0.755,226
40,Good,0.756,228
41,Good,0.749,231
42,Good,0.748,233
43,Good,0.796,236
44,Good,0.753,238
45,Good,0.783,241
46,Good,0.760,243
47,Good,0.740,245
48,Good,0.773,248
49,Good,0.728,250
50,Good,0.820,253
51,Good,0.761,255
52,Good,0.836,258
53,Good,0.769,260
54,Good,0.765,262
55,Good,0.771,265
56,Good,0.740,267
57,Good,0.765,270
58,Good,0.780,272
59,Good,0.767,275
60,Good,0.776,277
61,Good,0.726,279
62,Good,0.835,282
63,Good,0.771,284
64,Good,0.809,287
65,Good,0.804,289
66,Good,0.767,292
67,Good,0.787,294
68,Good,0.792,296
69,Good,0.753,299
70,Good,0.799,301
71,Good,0.747,304
72,Good,0.744,306
73,Good,0.769,309
74,Good,0.780,311
75,Good,0.763,313
76,Good,0.780,316
77,Good,0.744,318
78,Good,0.789,321
79,Good,0.748,323
80,Good,0.828,326
81,Good,0.736,328
82,Good,0.791,330
83,Good,0.764,333
84,Good,0.745,335
85,Good,0.760,338
86,Good,0.797,340
87,Good,0.792,343
88,Good,0.761,345
89,Good,0.772,347
90,Good,0.825,350
91,Good,0.757,352
92,Good,0.764,355
93,Good,0.768,357
94,Good,0.768,360
95,Good,0.784,362
96,Good,0.708,364
97,Good,0.764,367
98,Good,0.708,369
99,Good,0.761,372
100,Good,0.720,374
101,Good,0.773,377
102,Good,0.772,379
103,Good,0.744,381
104,Good,0.704,384
105,Good,0.759,386
106,Good,0.757,389
107,Good,0.776,391
108,Good,0.777,394
109,Good,0.769,396
110,Good,0.755,398
111,Good,0.785,401
112,Good,0.753,403
113,Good,0.761,406
114,Good,0.756,408
115,Good,0.788,411
116,Good,0.752,413
117,Good,0.777,415
118,Good,0.733,418
119,Good,0.767,420
120,Good,0.792,423
121,Good,0.785,425
122,Good,0.788,428
123,Good,0.737,430
124,Good,0.764,432
125,Good,0.801,435
126,Good,0.777,437
127,Good,0.780,440
128,Good,0.737,442
129,Good,0.808,445
130,Good,0.772,447
131,Good,0.766,449
132,Good,0.768,452
133,Good,0.761,454
134,Good,0.784,457
135,Good,0.756,459
136,Good,0.759,462
137,Good,0.752,464
138,Good,0.744,466
139,Good,0.766,469
140,Good,0.748,471
141,Good,0.812,474
142,Good,0.735,476
143,Good,0.760,479
144,Good,0.768,481
145,Good,0.720,483
146,Good,0.787,486
147,Good,0.707,488
148,Good,0.740,491
149,Good,0.793,493
150,Good,0.760,496
151,Good,0.776,498
152,Good,0.785,500
153,Good,0.756,503
154,Good,0.764,505
155,Good,0.728,508
156,Good,0.820,510
157,Good,0.785,513
158,Good,0.760,515
159,Good,0.775,517
160,Good,0.756,520
161,Good,0.783,522
162,Good,0.748,525
163,Good,0.761,527
164,Good,0.807,530
165,Good,0.752,532
166,Good,0.793,534
167,Good,0.760,537
168,Good,0.749,539
169,Good,0.800,542
170,Good,0.762,544
171,Good,0.795,547
172,Good,0.781,549
173,Good,0.780,551
174,Good,0.745,554
175,Good,0.740,556
176,Good,0.824,559
177,Good,0.763,561
178,Good,0.825,564
179,Good,0.772,566
180,Good,0.793,568
181,Good,0.797,571
182,Good,0.761,573
183,Good,0.784,576
184,Good,0.700,578
185,Good,0.753,581
186,Good,0.769,583
187,Good,0.761,585
188,Good,0.752,588
189,Good,0.768,590
190,Good,0.727,593
191,Good,0.772,595
192,Good,0.781,598
193,Good,0.760,600
194,Good,0.777,602
195,Good,0.761,605
196,Good,0.753,607
197,Good,0.759,610
198,Good,0.801,612
199,Good,0.780,615
200,Good,0.796,617
201,Good,0.767,619
202,Good,0.793,622
203,Good,0.764,624
204,Good,0.779,627
205,Good,0.761,629
206,Good,0.772,632
207,Good,0.756,634
208,Good,0.784,636
209,Good,0.761,639
210,Good,0.744,641
211,Good,0.757,644
212,Good,0.787,646
213,Good,0.819,649
214,Good,0.780,651
215,Good,0.739,653
216,Good,0.747,656
217,Good,0.761,658
218,Good,0.796,661
219,Good,0.779,663
220,Good,0.765,666
221,Good,0.748,668
222,Good,0.779,670
223,Good,0.795,673
224,Good,0.732,675
225,Good,0.807,678
226,Good,0.766,680
227,Good,0.760,683
228,Good,0.780,685
229,Good,0.732,687
230,Good,0.769,690
231,Good,0.724,692
232,Good,0.784,695
233,Good,0.744,697
234,Good,0.748,700
235,Good,0.752,702
236,Good,0.748,704
237,Good,0.753,707
238,Good,0.760,709
239,Good,0.775,712
240,Good,0.769,714
241,Good,0.765,717
242,Good,0.745,719
243,Good,0.761,721
244,Good,0.733,724
245,Good,0.771,726
246,Good,0.759,729
247,Good,0.784,731
248,Good,0.757,734
249,Good,0.753,736
250,Good,0.765,738
251,Good,0.749,741
252,Good,0.740,743
253,Good,0.793,746
254,Good,0.741,748
255,Good,0.771,751
256,Good,0.735,753
257,Good,0.744,755
258,Good,0.733,758
259,Good,0.777,760
260,Good,0.783,763
261,Good,0.729,765
262,Good,0.748,768
263,Good,0.756,770
264,Good,0.741,772
265,Good,0.775,775
266,Good,0.760,777
267,Good,0.765,780
268,Good,0.741,782
269,Good,0.773,785
270,Good,0.728,787
271,Good,5.939,790
272,Good,0.748,792
273,Good,0.771,794
274,Good,0.791,797
275,Good,0.755,799
276,Good,0.713,802
277,Good,0.776,804
278,Good,0.813,807
279,Good,0.803,809
280,Good,0.751,811
281,Good,0.749,814
282,Good,0.793,816
283,Good,0.769,819
284,Good,0.784,821
285,Good,0.775,824
286,Good,0.773,826
287,Good,0.767,828
288,Good,0.779,831
289,Good,0.788,833
290,Good,0.768,836
291,Good,0.777,838
292,Good,0.813,841
293,Good,0.761,843
294,Good,0.780,845
295,Good,0.776,848
296,Good,0.760,850
297,Good,0.783,853
298,Good,0.776,855
299,Good,0.784,858
300,Good,0.764,860
301,Good,0.753,862
302,Good,0.821,865
303,Good,0.740,867
304,Good,0.799,870
305,Good,0.748,872
306,Good,0.807,875
307,Good,0.792,877
308,Good,0.741,879
309,Good,0.772,882
310,Good,0.780,884
311,Good,0.788,887
312,Good,0.740,889
313,Good,0.767,892
314,Good,0.771,894
315,Good,0.728,896
316,Good,0.781,899
317,Good,0.727,901
318,Good,0.748,904
319,Good,0.788,906
320,Good,0.780,909
321,Good,0.768,911
322,Good,0.751,913
323,Good,0.777,916
324,Good,0.763,918
325,Good,0.757,921
326,Good,0.755,923
327,Good,0.776,926
328,Good,0.780,928
329,Good,0.773,930
330,Good,0.812,933
331,Good,0.801,935
332,Good,0.761,938
333,Good,0.849,940
334,Good,0.801,943
335,Good,0.756,945
336,Good,0.819,947
337,Good,0.775,950
338,Good,0.752,952
339,Good,0.879,955
340,Good,0.803,957
341,Good,0.804,960
342,Good,0.764,962
343,Good,0.733,964
344,Good,0.789,967
345,Good,0.845,969
346,Good,0.768,972
347,Good,0.760,974
348,Good,0.867,977
349,Good,0.756,979
350,Good,0.752,981
351,Good,0.816,984
352,Good,0.717,986
353,Good,0.781,989
354,Good,0.728,991
355,Good,0.784,994
356,Good,0.741,996
357,Good,0.752,998
358,Good,0.785,1001
359,Good,0.780,1003
360,Good,0.787,1006
361,Good,0.800,1008
362,Good,0.776,1011
363,Good,0.916,1013
364,Good,0.752,1015
365,Good,0.775,1018
366,Good,0.953,1020
367,Good,0.769,1023
368,Good,0.770,1025
369,Good,0.772,1028
370,Good,0.795,1030
371,Good,0.775,1032
372,Good,0.752,1035
373,Good,0.772,1037
374,Good,0.773,1040
375,Good,0.781,1042
376,Good,0.823,1045
377,Good,0.773,1047
378,Good,0.780,1049
379,Good,0.776,1052
380,Good,0.756,1054
381,Good,0.805,1057
382,Good,0.755,1059
383,Good,0.811,1062
384,Good,0.764,1064
385,Good,0.780,1066
386,Good,0.793,1069
387,Good,0.757,1071
388,Good,0.788,1074
389,Good,0.777,1076
390,Good,0.796,1079
391,Good,0.779,1081
392,Good,0.753,1083
393,Good,0.832,1086
394,Good,0.804,1088
395,Good,0.804,1091
396,Good,0.793,1093
397,Good,0.789,1096
398,Good,0.782,1098
399,Good,0.740,1100
400,Good,0.777,1103
401,Good,0.732,1105
402,Good,0.789,1108
403,Good,0.748,1110
404,Good,0.780,1113
405,Good,0.781,1115
406,Good,0.755,1117
407,Good,0.776,1120
408,Good,0.760,1122
409,Good,0.792,1125
410,Good,0.775,1127
411,Good,0.779,1130
412,Good,0.775,1132
413,Good,0.792,1134
414,Good,0.789,1137
415,Good,0.764,1139
416,Good,0.776,1142
417,Good,0.753,1144
418,Good,0.995,1147
419,Good,0.764,1149
420,Good,0.912,1151
421,Good,0.745,1154
422,Good,0.772,1156
423,Good,0.783,1159
424,Good,0.733,1161
425,Good,0.808,1164
426,Good,0.765,1166
427,Good,0.767,1168
428,Good,0.796,1171
429,Good,0.767,1173
430,Good,0.779,1176
431,Good,0.781,1178
432,Good,0.800,1181
433,Good,0.760,1183
434,Good,0.711,1185
435,Good,0.773,1188
436,Good,0.720,1190
437,Good,0.760,1193
438,Good,0.739,1195
439,Good,0.805,1198
440,Good,0.775,1200
441,Good,0.753,1202
442,Good,0.731,1205
443,Good,0.748,1207
444,Good,0.768,1210
445,Good,0.780,1212
446,Good,0.784,1215
447,Good,0.773,1217
448,Good,0.737,1219
449,Good,0.801,1222
450,Good,0.780,1224
451,Good,0.791,1227
452,Good,0.813,1229
453,Good,0.783,1232
454,Good,0.781,1234
455,Good,0.824,1236
456,Good,0.760,1239
457,Good,0.756,1241
458,Good,0.757,1244
459,Good,0.786,1246
460,Good,0.768,1249
461,Good,0.771,1251
462,Good,0.788,1253
463,Good,0.820,1256
464,Good,0.788,1258
465,Good,0.771,1261
466,Good,0.736,1263
467,Good,0.811,1266
468,Good,0.740,1268
469,Good,0.768,1270
470,Good,0.741,1273
471,Good,0.811,1275
472,Good,0.788,1278
473,Good,0.740,1280
474,Good,0.756,1283
475,Good,0.718,1285
476,Good,0.736,1287
477,Good,0.740,1290
478,Good,0.724,1292
479,Good,0.732,1295
480,Good,0.713,1297
481,Good,0.751,1300
482,Good,0.712,1302
483,Good,0.703,1304
484,Good,0.756,1307
485,Good,0.664,1309
486,Good,0.752,1312
487,Good,0.744,1314
488,Good,0.696,1317
489,Good,0.697,1319
490,Good,0.707,1321
491,Good,0.700,1324
492,Good,0.695,1326
493,Good,0.712,1329
494,Good,0.743,1331
495,Good,0.725,1334
496,Good,0.721,1336
497,Good,0.707,1338
498,Good,0.720,1341
499,Good,0.737,1343
500,Good,0.739,1346
501,Good,0.729,1348
502,Good,0.732,1351
503,Good,0.720,1353
504,Good,0.717,1355
505,Good,0.720,1358
506,Good,0.716,1360
507,Good,0.704,1363
508,Good,0.680,1365
509,Good,0.720,1368
510,Good,0.725,1370
511,Good,0.717,1372
512,Good,0.700,1375
513,Good,0.717,1377
514,Good,0.737,1380
515,Good,0.697,1382
516,Good,0.721,1385
517,Good,0.697,1387
518,Good,0.681,1389
519,Good,0.733,1392
520,Good,0.676,1394
521,Good,0.732,1397
522,Good,0.685,1399
523,Good,0.732,1402
524,Good,0.697,1404
525,Good,0.703,1406
526,Good,0.741,1409
527,Good,0.705,1411
528,Good,0.709,1414
529,Good,0.731,1416
530,Good,0.701,1419
531,Good,0.728,1421
532,Good,0.681,1423
533,Good,0.730,1426
534,Good,0.770,1428
535,Good,0.706,1431
536,Good,0.709,1433
537,Good,0.733,1436
538,Good,0.736,1438
539,Good,0.723,1440
540,Good,0.712,1443
541,Good,0.739,1445
542,Good,0.716,1448
543,Good,0.763,1450
544,Good,0.705,1453
545,Good,0.716,1455
546,Good,0.733,1457
547,Good,0.721,1460
548,Good,0.711,1462
549,Good,0.745,1465
550,Good,0.720,1467
551,Good,0.743,1470
552,Good,0.696,1472
553,Good,0.733,1474
554,Good,0.722,1477
555,Good,0.681,1479
556,Good,0.724,1482
557,Good,0.717,1484
558,Good,0.756,1487
559,Good,0.717,1489
560,Good,0.715,1491
561,Good,0.725,1494
562,Good,0.696,1496
563,Good,0.737,1499
564,Good,0.697,1501
565,Good,0.705,1504
566,Good,0.720,1506
567,Good,0.697,1508
568,Good,0.713,1511
569,Good,0.684,1513
570,Good,0.788,1516
571,Good,0.679,1518
572,Good,0.707,1521
573,Good,0.713,1523
574,Good,0.715,1525
575,Good,0.728,1528
576,Good,0.684,1530
577,Good,0.714,1533
578,Good,0.721,1535
579,Good,0.701,1538
580,Good,0.708,1540
581,Good,0.725,1542
582,Good,0.697,1545
583,Good,0.755,1547
584,Good,0.717,1550
585,Good,0.728,1552
586,Good,0.721,1555
587,Good,0.739,1557
588,Good,0.713,1559
589,Good,0.713,1562
590,Good,0.713,1564
591,Good,0.712,1567
