counter,status,resp_time,value_first
0,Good,0.609,10726
1,Good,0.815,10728
2,Good,0.781,10731
3,Good,0.784,10733
4,Good,0.767,10736
5,Good,0.796,10738
6,Good,0.768,10740
7,Good,0.805,10743
8,Good,0.796,10745
9,Good,0.804,10748
10,Good,0.757,10750
11,Good,0.819,10753
12,Good,0.782,10755
13,Good,0.804,10757
14,Good,0.765,10760
15,Good,0.828,10762
16,Good,0.752,10765
17,Good,0.767,10767
18,Good,0.801,10770
19,Good,0.760,10772
20,Good,0.781,10774
21,Good,0.771,10777
22,Good,0.760,10779
23,Good,0.792,10782
24,Good,0.785,10784
25,Good,0.801,10787
26,Good,0.760,10789
27,Good,0.780,10791
28,Good,0.796,10794
29,Good,0.769,10796
30,Good,0.785,10799
31,Good,0.772,10801
32,Good,0.789,10804
33,Good,0.784,10806
34,Good,0.764,10808
35,Good,0.820,10811
36,Good,0.795,10813
37,Good,0.775,10816
38,Good,0.772,10818
39,Good,0.779,10821
40,Good,0.792,10823
41,Good,0.762,10825
42,Good,0.808,10828
43,Good,0.752,10830
44,Good,0.797,10833
45,Good,0.795,10835
46,Good,0.803,10838
47,Good,0.780,10840
48,Good,0.772,10842
49,Good,0.760,10845
50,Good,0.932,10847
51,Good,0.768,10850
52,Good,0.809,10852
53,Good,0.788,10855
54,Good,0.795,10857
55,Good,0.781,10859
56,Good,0.811,10862
57,Good,0.810,10864
58,Good,0.760,10867
59,Good,0.772,10869
60,Good,0.828,10872
61,Good,0.765,10874
62,Good,0.797,10876
63,Good,0.760,10879
64,Good,0.750,10881
65,Good,0.803,10884
66,Good,0.745,10886
67,Good,0.832,10889
68,Good,0.745,10891
69,Good,0.769,10893
70,Good,0.773,10896
71,Good,0.763,10898
72,Good,0.784,10901
73,Good,0.756,10903
74,Good,0.764,10906
75,Good,0.752,10908
76,Good,0.741,10910
77,Good,0.795,10913
78,Good,0.748,10915
79,Good,0.756,10918
80,Good,0.749,10920
81,Good,0.792,10923
82,Good,0.756,10925
83,Good,0.761,10927
84,Good,0.753,10930
85,Good,0.768,10932
86,Good,0.752,10935
87,Good,0.836,10937
88,Good,0.769,10940
89,Good,0.785,10942
90,Good,0.745,10944
91,Good,0.768,10947
