counter,status,resp_time,value_first
0,Good,0.585,2456.900000
1,Good,0.839,2458.800000
2,Good,0.792,2461.650000
3,Good,0.797,2463.550000
4,Good,0.757,2465.450000
5,Good,0.744,2468.300000
6,Good,0.788,2470.200000
7,Good,0.763,2473.050000
8,Good,0.777,2474.950000
9,Good,0.813,2477.800000
10,Good,0.785,2479.700000
11,Good,0.745,2481.600000
12,Good,0.775,2484.450000
13,Good,0.776,2486.350000
14,Good,0.756,2489.200000
15,Good,0.768,2491.100000
16,Good,0.796,2493.950000
17,Good,0.745,2495.850000
18,Good,0.781,2497.750000
19,Good,0.809,2500.600000
20,Good,0.716,2502.500000
21,Good,0.725,2505.350000
22,Good,0.724,2507.250000
23,Good,0.753,2510.100000
24,Good,0.721,2512.000000
25,Good,0.732,2513.900000
26,Good,0.721,2516.750000
27,Good,0.684,2518.650000
28,Good,0.732,2521.500000
29,Good,0.725,2523.400000
30,Good,0.739,2526.250000
31,Good,0.715,2528.150000
32,Good,0.713,2530.050000
33,Good,0.740,2532.900000
34,Good,0.722,2534.800000
35,Good,0.712,2537.650000
36,Good,0.712,2539.550000
37,Good,0.721,2542.400000
38,Good,0.756,2544.300000
39,Good,0.668,2546.200000
40,Good,0.769,2549.050000
41,Good,0.692,2550.950000
42,Good,0.884,2553.800000
43,Good,0.686,2555.700000
44,Good,0.756,2558.550000
45,Good,0.681,2560.450000
46,Good,0.712,2562.350000
47,Good,0.732,2565.200000
48,Good,0.747,2567.100000
49,Good,0.696,2569.950000
50,Good,0.712,2571.850000
51,Good,0.743,2574.700000
52,Good,0.732,2576.600000
53,Good,0.717,2578.500000
54,Good,0.705,2581.350000
55,Good,0.724,2583.250000
56,Good,0.741,2586.100000
57,Good,0.720,2588.000000
58,Good,0.732,2590.850000
59,Good,0.708,2592.750000
60,Good,0.736,2594.650000
61,Good,0.700,2597.500000
62,Good,0.720,2599.400000
63,Good,0.729,2602.250000
64,Good,0.715,2604.150000
65,Good,0.756,2607.000000
66,Good,0.696,2608.900000
67,Good,0.712,2610.800000
68,Good,0.728,2613.650000
69,Good,0.700,2615.550000
70,Good,0.780,2618.400000
71,Good,0.705,2620.300000
72,Good,0.755,2623.150000
73,Good,0.701,2625.050000
74,Good,0.681,2626.950000
75,Good,0.737,2629.800000
76,Good,0.668,2631.700000
77,Good,0.715,2634.550000
78,Good,0.700,2636.450000
79,Good,0.772,2639.300000
80,Good,0.706,2641.200000
81,Good,0.696,2643.100000
82,Good,0.765,2645.950000
83,Good,0.712,2647.850000
84,Good,0.720,2650.700000
85,Good,0.685,2652.600000
86,Good,0.716,2655.450000
87,Good,0.732,2657.350000
88,Good,0.672,2659.250000
89,Good,0.731,2662.100000
90,Good,0.727,2664.000000
91,Good,0.716,2666.850000
92,Good,0.753,2668.750000
93,Good,0.716,2671.600000
94,Good,0.728,2673.500000
95,Good,0.737,2675.400000
96,Good,0.700,2678.250000
97,Good,0.717,2680.150000
98,Good,0.724,2683.000000
99,Good,0.714,2684.900000
100,Good,0.764,2687.750000
101,Good,0.712,2689.650000
102,Good,0.781,2691.550000
103,Good,0.713,2694.400000
104,Good,0.757,2696.300000
105,Good,0.693,2699.150000
106,Good,0.705,2701.050000
107,Good,0.753,2703.900000
108,Good,0.736,2705.800000
109,Good,0.713,2707.700000
110,Good,0.728,2710.550000
111,Good,0.696,2712.450000
112,Good,0.721,2715.300000
113,Good,0.697,2717.200000
114,Good,0.733,2720.050000
115,Good,0.704,2721.950000
116,Good,0.708,2723.850000
117,Good,0.729,2726.700000
118,Good,0.701,2728.600000
119,Good,0.710,2731.450000
120,Good,0.720,2733.350000
121,Good,0.731,2736.200000
122,Good,0.721,2738.100000
123,Good,0.672,2740.000000
124,Good,0.712,2742.850000
125,Good,0.696,2744.750000
126,Good,0.779,2747.600000
127,Good,0.740,2749.500000
128,Good,0.760,2752.350000
129,Good,0.701,2754.250000
130,Good,0.705,2756.150000
131,Good,0.702,2759.000000
132,Good,0.721,2760.900000
133,Good,0.709,2763.750000
134,Good,0.720,2765.650000
135,Good,0.700,2768.500000
136,Good,0.717,2770.400000
137,Good,0.704,2772.300000
138,Good,0.719,2775.150000
139,Good,0.724,2777.050000
140,Good,0.729,2779.900000
141,Good,0.731,2781.800000
142,Good,0.775,2784.650000
143,Good,0.721,2786.550000
144,Good,0.733,2788.450000
145,Good,0.748,2791.300000
146,Good,0.728,2793.200000
147,Good,0.713,2796.050000
148,Good,0.720,2797.950000
149,Good,0.768,2800.800000
150,Good,0.727,2802.700000
151,Good,0.753,2804.600000
152,Good,0.703,2807.450000
153,Good,0.729,2809.350000
154,Good,0.725,2812.200000
155,Good,0.703,2814.100000
156,Good,0.738,2816.950000
157,Good,0.720,2818.850000
158,Good,0.720,2820.750000
159,Good,0.737,2823.600000
160,Good,0.735,2825.500000
161,Good,0.735,2828.350000
162,Good,0.734,2830.250000
163,Good,0.792,2833.100000
164,Good,0.729,2835.000000
165,Good,0.729,2836.900000
166,Good,0.730,2839.750000
167,Good,0.709,2841.650000
168,Good,0.780,2844.500000
169,Good,0.721,2846.400000
170,Good,0.741,2849.250000
171,Good,0.719,2851.150000
172,Good,0.685,2853.050000
173,Good,0.733,2855.900000
174,Good,0.668,2857.800000
175,Good,0.699,2860.650000
176,Good,0.744,2862.550000
177,Good,0.728,2865.400000
178,Good,0.719,2867.300000
179,Good,0.715,2869.200000
180,Good,0.723,2872.050000
181,Good,0.760,2873.950000
182,Good,0.727,2876.800000
183,Good,0.733,2878.700000
184,Good,0.719,2881.550000
185,Good,0.700,2883.450000
186,Good,0.737,2885.350000
187,Good,0.705,2888.200000
188,Good,0.737,2890.100000
189,Good,0.704,2892.950000
190,Good,0.720,2894.850000
191,Good,0.745,2897.700000
192,Good,0.717,2899.600000
193,Good,0.732,2901.500000
194,Good,0.747,2904.350000
195,Good,0.724,2906.250000
196,Good,0.728,2909.100000
197,Good,0.684,2911.000000
198,Good,0.753,2913.850000
199,Good,0.756,2915.750000
200,Good,0.733,2917.650000
201,Good,0.708,2920.500000
202,Good,0.739,2922.400000
203,Good,0.720,2925.250000
204,Good,0.707,2927.150000
205,Good,0.765,2930.000000
206,Good,0.728,2931.900000
207,Good,0.684,2933.800000
208,Good,0.757,2936.650000
209,Good,0.688,2938.550000
210,Good,0.736,2941.400000
211,Good,0.673,2943.300000
212,Good,0.752,2946.150000
213,Good,0.700,2948.050000
214,Good,0.709,2949.950000
215,Good,0.700,2952.800000
216,Good,0.713,2954.700000
217,Good,0.699,2957.550000
218,Good,0.717,2959.450000
219,Good,0.728,2962.300000
