counter,status,resp_time,value_first
0,Good,154.997,Ezbu8tF45qAJRTFUXe6B7oaC5YcSxThzngrLtXguUDtoE2dPLG4gCxT6qZm3kqbY7jA8Kr3Yzf9DnLp
1,Good,151.148,rGR5EwKDrauNmvfeKTNjRF9t4u8Qt9DEMNamsdcYCbeLpUdkrzx5DRU7c98qmsbS7GvagmukqbNhTau
2,Good,151.804,DgPn8pbaMKScGgmpxtANbkQLry6u3M7GAY8uvf5DV867FRTKDm78bQymsZRNjVopZvQcpDVGWz3ucjB
3,Good,151.419,BJ9LPQShVHPgbQpdJFtLwgvzSdEhq4kDZcuhN5Lnph5QbKm7pGHwcXJ3uKs2afKG9dQP4GfneYHjckA
4,Good,151.115,2gh8Yn3QgyfTRt7m9Us5Xp6Q9PzT3BJYVcean7o9QenZzyGN7gLTbX4BqfhodAHjhRe5McWaA69cmZb
5,Good,151.695,CapF8T7tSP3DmgFPZEhtPRrSwCphnXkFypJSMrVAPzpCsTkvB3Q7zwJ8xKRAXG5nvP6YxBshdPZBQEs
6,Good,151.344,ZULMneTrVo4cZdKvmzMXDTEmZoeqFQYcP5kjoLnH5jgxkXoQ6E7VAFkMzxBPXew7QPKCMBuQJqeDmCG
7,Good,151.017,Pmkpe9ZwkLtpTsKxNtbPxeXS8raqcKEAqTPEGFucoLrxTQSPuAX8aFNWgS9GAoj9cEqH98vJ2LjYKNZ
8,Good,151.601,JqsygPBJM4GvyQqtbEJX7obQAuGtpZXrqwvprRgU4mWaEdtzAPbLTuE8AYGbVdtDHCcABKfxdVSBLfA
9,Good,150.220,mBxLfv9Cy3qFb8ETHeDq6oCHbWgKT6AWs4Tw68gt7CfmHXTYGRaT5FJHXTmdrWJamYvfLg78mefU9NC
10,Good,151.928,wJPexNSBrZ3GBvtg8P6yXM9BDNUcCAHsqCwNxBay2n9o86zPQhKdqkMaj4DgpYuXVs7UKMeAfh9WESV
11,Good,151.497,3RK7xcMLbhuKC48ruGdEB5kPHEZbTBqJnXdF4sjrEnpS6NAKjQgrzWhsqXwJgDSfpY3xBfvAYPST5DQ
12,Good,152.223,EjY5PZzrdoQvuGFgAJ2nkHthresNGrATcfuv9zjUDT6YQZ7VNTASd7RoVf4GdW7QbSkUvATGCRhxKbF
13,Good,151.857,X6Zh8LcE6fpaFw9JHYFoNLdYtZB5Lsk87w42F3ZVBoSQxAUNDpKxuqJ5KNubJtwDbJ9ESDP8tmj4PtF
14,Good,151.485,z4smqAfDjaTm6vJKLXoxasbGUQBWZwF9QpEAwyUojQR9fUtSNEnpS4P3MwhEJQfe6dEKjxzJ2bKHw6R
15,Good,152.178,MSp2Qsz8bHfRgZATCP3SEr2wpmQUfV5LuFPf2TSp3y5szeygbxTBdZ3LocfbGMVfLTuwK5jmL36DxFZ
16,Good,151.789,QqxbvEUxRApneJEtCjMGw9JuxjUBwSR74kFjpxaTwJsKem5GqQUH4xTBQ2AwdsYpmh8ob5YpcMABnEs
17,Good,151.368,X9aZsvchS83WfQJSTEs9ZpDHKUFnwSzBVcJGykUtcEHWaj8p9BrVkmJU67EpNSe7y5mKxVUfqP7R4Dy
18,Good,152.044,VWa8fBFNwK4mGVogT5EuyLV5NPZ2oSmVPaz5dsfvTShFdRKwcQmvLF23htBTe9YNbAkBTZCnoPtHr2y
19,Good,150.600,mXxyB6fgCYkEPGtSRs4gk2JArG2c5EG3osXBUYef43BMYkRSewoaAsfpyTojdf8WbA4QXdBE98GxTek
20,Good,151.247,UQYgs5E3MrNKhF4gk7CeN56B3hyWE2tHZ3X5Pby8HLYhFBNfj4XCcTwY3LTWUJy8cpMCwDGPBg652fm
21,Good,151.816,2awem4E5nsDLJNSoUtZNLrXx26bhnovLy9ftVjDq5cEKnoFYaNmxZwfN8KJafW3XSHj5XyJkBbVSrAy
22,Good,151.475,5DpTqRLdu89zca3EhNKXszgRuTGYDcFhyB4uxrQFS2p8ePg7pbkyt5sb2kvK8wAXLRnjfcuPY2wzGvx
23,Good,153.417,xhwZmYSBrCuJm8Cq2AjFEHqoZyEX7KzVUGsprQBKR7gtVfsJDjEYap2HAvU4DfLZyePW8Htg6wKJ5DT
24,Good,149.676,cCSWpzXeWpCMFmuZa9sJrTLkaZXtSjTnLwqVYxdXTjFVeU5ADecJutGPZ9uEWb4cZPECLvYsEP5ctNw
25,Good,151.304,aVdp4ZBk8wdeCfVYdD3vFw4VBJcYqQbm5JeUwsmWuVkT5vUwfVgjX29DARbeXFPCWHzEqVhKtBusNWH
26,Good,150.848,JYMaydm52Fx9Gg7TJuRY2ELG4Ydn9okwA5RUcT8z2mbuGsDT3AVWo6ZeXcyVft6X2zV6xEhFUQRtoW5
27,Good,154.529,d475aThSmFNjgGzEAc8jJWTum8FKxu3y67zPwYcUCnYaZ9F53tXhGg6UnM5ZyoXR4HJPLKqTWLUgFE3
28,Good,151.121,QBNznc7X2nFVHDpzfVwXDLVZoxGcpa7ZvSaBdMq2c48M7TSGxLz2Z9pz4L7oXshuPZdzkrMq27ty4fr
29,Good,151.775,u4ZkjTuc4B92eUvYdwDq43ov5YumrN9deYx7Mnq6pG7H4wAxWp98Mer5gzhdrYMu3ByXjgkZFtNuqnB
30,Good,151.404,zuyD4XE5gGQWV4wXTt9jkHLKDjwkrX9v4r7mabXtxTQFEnaMxNQKr2tzxSUyT3Wj9EYarTfMzU34dr7
31,Good,150.927,WGBtsXdmtr4RwgmUquRfwUdqn25QJMazhXvqdzW7ondmW6MRjJBnrCFfj6dgqz69PhARZKzdyqMBd9D
32,Good,150.577,zQB73nZsMjkvQD3pf9MQhS2kpc4sMtfPgxBk6TWhUKXQa6HxV42KDS8JVMf9AyDfsQzEkqJn5X4kKtU
33,Good,151.271,DHfVRdJhrvHGyfATUS7HJtWZQRfdkyPJUarfPBvcfYEtKhAUG9LgtMaZQneAS2vGwC5WznVSpMqRL5C
34,Good,151.975,wBVLyQajTpDBFmEpkvPJ2u5CZKRf46uZBpoQ86ZBFUqGZwmLAhq6RZJEzQSvHqkYaZnyHbokWn9XoV4
35,Good,151.552,EQSLAe5qKXxPwFCgcx3FowHnV7EbChmpU6SnGAX3zrspaoSG8MJocDWJ7msVQHvFPzqBLdNw6aQnRwu
36,Good,151.164,e3DWSmENjDUmnc6jehd4ScRLHyejKXD56nKmMpYTrbjpNGdW6f3HNYwKJjoYpRrzvo4VEjFuxmckYEx
37,Good,151.805,h4qAQY9c5RmBZKFbSTdMtRAwmX5VKQZsHSpqXkAnDq6VCtaZnWDEJLtPkXEdhFWkrCwmvrchqxUpt27
38,Good,151.432,wdKMtsUk6J2yjcnA3VpTLoY2Bu6Ucz2ftBNZ6VjsxQbzvhqurcSfx6r7YXHESTzbZkJUtbSjk4JE5Gv
39,Good,152.095,ja8hPEa7qsHLj2TkxqXSUyhQMqEKkhVngyzMExvUAM7fEBdbYGQmHA83uRkhfnPuB7cSgeyVSpmokHJ
40,Good,151.732,gaCRDh4rJav4CzrDYWVNQpkP4DEArm6LJne8mqLtvWx3Uu8Sf6GUKXqCJexqLfdjuYVEFwqJdcSvVjt
41,Good,151.375,tPL5drgD62Bj7RxYyXNxRGkDeodRhgW6So8q9kNWQCtzaFfZvGNk6AaZNgScsQCUgsPHZNj4zgTREwX
42,Good,152.023,nDcpZhkeXfY9G8sUTEHsk5ymPxsDABh3GMrZSNJAFhmR98T2mqdzsBHnCkTvUfWZP2emSAz9seWNUzR
43,Good,150.572,zVhwBTrkHh49atCWQ9ge8bfkgK2AwNaXusQh4t2waxbY5ZzqfdUWGRaBLqw4HfNsBvwWQ8oLArJHPaK
44,Good,151.217,rthJdRVTErBpgGmPjvrqc5dZVQfcy6JGhtSKwuVT6fMR8US7YKfQM9AxDsJByzPu3g9WUDvBVWgJsMb
45,Good,151.875,hco7LeJnxmAMfFoREm6KkjFRKsk8hNxE2JzTEyxYuS4q5upDxM83C25VZjoPXMHo7x8AwGvyuTLjP86
46,Good,151.448,8nPDtJHcjptVQFgPsLWfewzvboGyDgU3zZNUEK6XTuBqkUuFMLvbhSdAotkMBry28BbUzqYLnaNeTbh
47,Good,152.059,uabd2EcMoFhWJdc4NJWgFs7UYcRNh4TQrXug2rW9S3vN58FnTcVpDsf93WASD3wFHqRpLGDzcePLja7
48,Good,151.655,ZaJ7geUSktQBayZPCN3ZmqDNY53bBnTjoZK56PgWwn9BqPeXfqxwtEHjazF6bwYyDHT9UDyMu4NfQw3
49,Good,152.296,EVpgYXRocPumYtMu96ScurZGwkMRhVgXEs4B5fenTbWADoqUPufoZkvEX2qZUzWGBEsu8GXvgkQTBDa
50,Good,151.960,GA6Qo7r5AhPV4g5JGvnw3Kq7aUgcAePZ82DbeVMn3e5rswCm7PzSNnJaAD56pzrQRUhPSLE5ZyuRrLx
51,Good,151.455,s7rF8DYuAJRBhj4uy2aCFyseL4KHeaVXGosgDcwhWJ7kGcdeJUmbp2W3dzBvrqKc4LNvXndsqu5DaZo
52,Good,152.183,fvzHWkm59DWrSbQMa2gFHZyT864ZwhbAuUjy2QCqjFEaxPeBUaNYZSDvn9rjQxSacGRrNSEtPNugGp4
53,Good,151.839,fpV6b5d7QTJGv2rpaDmSVTUvPuZz7Byek2uNBCyuFvCMNr5tqyuw5X9nGHQMzcLE7WG4nXP2MhRGfyp
54,Good,151.347,qCM4JQh8PHqufCzW9PFcvJHTqLK72HCPYBgwdUmMywz8ou3UZbkjuB728w5KxmFRoxwyMtuzjTUbsfZ
55,Good,151.039,FQ4bMD93UHzPJk9KLov9MNkcy4BwvkyhELeHNCqA2Wy8enVAUjv2oanSBMGsTSJ8ZdmCh6eNtF96eKZ
56,Good,151.679,VEy5FP4nCsty3HpcvUhKncBR9XT6MVLSthbLTsUNX4uAMSfqWVDxskwoG2jrzSgbETqdAcmP7TEHe9K
57,Good,151.234,5FRqYekUmzvTuYRAbVGDPpuH8UTuewsk4AD3p6jRfLxUaZbqwVprQUmARfBzV8kKdQ6jqLc7Jh2Ur3m
58,Good,150.856,ENjz6rK7F6xYLRKqHeLhvHsXjBvJmpCUuBchKYq9cCtWYk38KBX72SFcWqYwdQuDnJ7qH8FdjSE9AKZ
59,Good,151.389,VTryhfHgKDbvfqPbovDnzTUfVKZYAmJbx78khw3VfGJUYR2D6eARbXdBLWrHKbBnD2ScNRtsTfNXAuH
60,Good,150.060,4VYkmgA24ZaUTkwRGpyMHKXwvHNuEeo9wpYUBTLhyGQ4P2vqhYcfXnDHSNjVhEpwcebRLyoQUg23W8Y
61,Good,150.708,SwgXorqBt4nD5rLe4EqHUV2AKjyEJSWBZRP9EjRAtGuDTE9d2GE8apBofFMptUr4Ma6exYHkPGj7zct
62,Good,151.328,4CMNRYmUbf52oQCnLDTHr2gBYLZxACubY6KhDy6wBz7hWPVKJ7MLpEQAawBr4dFL2orBdPTuDeRzJKc
