counter,status,resp_time,value_first
0,Good,5.020,29008
1,Good,3.608,29014
2,Good,3.844,29018
3,Good,4.312,29024
4,Good,3.598,29028
5,Good,3.799,29034
6,Good,4.251,29038
7,Good,3.615,29044
8,Good,3.480,29048
9,Good,4.265,29054
10,Good,6.312,29060
11,Good,4.028,29064
12,Good,3.400,29070
13,Good,3.273,29074
14,Good,4.113,29080
15,Good,3.359,29084
16,Good,3.404,29090
17,Good,3.907,29094
18,Good,3.497,29100
19,Good,3.212,29104
20,Good,3.767,29110
21,Good,3.940,29114
22,Good,3.857,29120
23,Good,3.681,29124
24,Good,4.288,29130
25,Good,3.717,29134
26,Good,3.717,29140
27,Good,4.335,29144
28,Good,4.239,29150
29,Good,3.572,29154
30,Good,4.129,29160
31,Good,3.640,29164
32,Good,3.895,29170
33,Good,4.271,29174
34,Good,3.929,29180
35,Good,4.048,29184
36,Good,4.157,29190
37,Good,3.588,29194
38,Good,3.253,29200
39,Good,9.676,29206
40,Good,4.840,29210
41,Good,4.739,29216
42,Good,5.101,29220
43,Good,3.748,29226
44,Good,3.285,29230
45,Good,4.088,29236
46,Good,3.440,29240
47,Good,3.377,29246
48,Good,4.203,29250
49,Good,3.523,29256
50,Good,3.728,29260
51,Good,4.321,29266
52,Good,3.564,29270
53,Good,3.468,29276
54,Good,4.520,29280
55,Good,4.216,29286
56,Good,3.731,29290
57,Good,4.336,29296
58,Good,3.525,29300
59,Good,3.687,29306
60,Good,4.363,29310
61,Good,3.551,29316
62,Good,3.556,29320
63,Good,4.429,29326
64,Good,3.621,29330
65,Good,3.556,29336
66,Good,9.619,29342
67,Good,3.556,29346
68,Good,3.740,29352
69,Good,3.271,29356
70,Good,3.176,29362
71,Good,3.916,29366
72,Good,3.547,29372
73,Good,3.315,29376
74,Good,3.992,29382
75,Good,3.497,29386
76,Good,4.036,29392
77,Good,4.263,29396
78,Good,3.767,29402
79,Good,3.895,29406
80,Good,4.208,29412
81,Good,3.548,29416
82,Good,3.660,29422
83,Good,4.273,29426
84,Good,3.665,29432
85,Good,3.749,29436
86,Good,4.337,29442
87,Good,3.541,29446
88,Good,3.805,29452
89,Good,4.488,29456
90,Good,4.097,29462
91,Good,4.528,29466
92,Good,3.748,29472
93,Good,3.488,29476
94,Good,3.521,29482
95,Good,7.933,29488
96,Good,3.408,29492
97,Good,4.169,29498
98,Good,3.273,29502
99,Good,4.289,29508
100,Good,3.504,29512
101,Good,3.421,29518
102,Good,3.657,29522
103,Good,4.464,29528
104,Good,3.365,29532
105,Good,3.287,29538
106,Good,3.825,29542
107,Good,3.505,29548
108,Good,3.173,29552
109,Good,4.181,29558
110,Good,3.609,29562
111,Good,3.700,29568
112,Good,4.384,29572
113,Good,3.800,29578
114,Good,3.965,29582
115,Good,4.072,29588
116,Good,3.817,29592
117,Good,3.616,29598
118,Good,4.188,29602
119,Good,3.424,29608
120,Good,3.552,29612
121,Good,4.223,29618
122,Good,3.564,29622
123,Good,3.699,29628
124,Good,8.809,29634
125,Good,3.236,29638
126,Good,3.975,29644
127,Good,3.389,29648
128,Good,3.984,29654
129,Good,3.660,29658
130,Good,3.317,29664
131,Good,3.368,29668
132,Good,3.975,29674
133,Good,3.524,29678
134,Good,3.444,29684
135,Good,4.255,29688
136,Good,3.640,29694
137,Good,4.056,29698
138,Good,3.559,29704
139,Good,3.667,29708
140,Good,4.162,29714
141,Good,3.537,29718
142,Good,3.700,29724
143,Good,4.040,29728
144,Good,3.863,29734
145,Good,3.641,29738
146,Good,3.611,29744
147,Good,4.604,29748
148,Good,3.533,29754
149,Good,3.552,29758
150,Good,3.944,29764
151,Good,3.805,29768
152,Good,3.448,29774
153,Good,9.316,29780
154,Good,3.941,29784
155,Good,3.720,29790
156,Good,3.255,29794
157,Good,3.316,29800
158,Good,4.033,29804
159,Good,3.372,29810
160,Good,3.677,29814
161,Good,4.000,29820
162,Good,3.353,29824
163,Good,3.505,29830
164,Good,3.892,29834
165,Good,3.542,29840
166,Good,3.320,29844
167,Good,4.136,29850
168,Good,3.636,29854
169,Good,3.461,29860
170,Good,4.084,29864
171,Good,3.474,29870
172,Good,3.491,29874
173,Good,4.033,29880
174,Good,3.349,29884
175,Good,3.386,29890
176,Good,4.077,29894
177,Good,3.352,29900
178,Good,3.260,29904
179,Good,4.160,29910
180,Good,4.084,29914
181,Good,3.436,29920
182,Good,8.390,29926
183,Good,4.080,29930
184,Good,3.387,29936
185,Good,3.445,29940
186,Good,4.048,29946
187,Good,3.376,29950
188,Good,3.520,29956
189,Good,3.878,29960
190,Good,3.615,29966
191,Good,3.532,29970
192,Good,3.584,29976
193,Good,4.013,29980
194,Good,3.605,29986
195,Good,3.699,29990
196,Good,3.984,29996
197,Good,3.485,30000
198,Good,3.760,30006
199,Good,4.121,30010
200,Good,3.716,30016
201,Good,3.767,30020
202,Good,4.596,30026
203,Good,3.737,30030
204,Good,3.589,30036
205,Good,4.108,30040
206,Good,3.449,30046
207,Good,3.524,30050
208,Good,4.168,30056
209,Good,3.373,30060
210,Good,3.305,30066
211,Good,8.783,30072
212,Good,3.248,30076
213,Good,3.857,30082
214,Good,3.414,30086
215,Good,3.345,30092
216,Good,3.968,30096
217,Good,3.346,30102
218,Good,3.336,30106
219,Good,4.157,30112
220,Good,3.551,30116
221,Good,3.632,30122
222,Good,4.248,30126
223,Good,3.755,30132
224,Good,3.612,30136
225,Good,4.272,30142
226,Good,3.505,30146
227,Good,3.634,30152
228,Good,4.245,30156
229,Good,3.583,30162
230,Good,3.469,30166
231,Good,4.268,30172
232,Good,3.548,30176
233,Good,3.820,30182
234,Good,4.400,30186
235,Good,4.108,30192
236,Good,3.808,30196
237,Good,4.989,30202
238,Good,3.793,30206
239,Good,4.192,30212
240,Good,6.460,30218
241,Good,3.932,30222
242,Good,3.793,30228
243,Good,3.319,30232
244,Good,3.416,30238
245,Good,3.809,30242
246,Good,3.388,30248
247,Good,3.692,30252
248,Good,4.359,30258
249,Good,3.516,30262
250,Good,3.761,30268
251,Good,4.055,30272
252,Good,3.873,30278
253,Good,3.852,30282
254,Good,4.408,30288
255,Good,3.597,30292
256,Good,3.564,30298
257,Good,4.199,30302
258,Good,3.672,30308
259,Good,3.673,30312
260,Good,4.489,30318
261,Good,4.056,30322
262,Good,3.975,30328
263,Good,4.016,30332
264,Good,3.513,30338
265,Good,4.109,30342
266,Good,3.837,30348
267,Good,3.252,30352
268,Good,4.140,30358
269,Good,6.941,30364
270,Good,3.352,30368
271,Good,4.205,30374
272,Good,3.360,30378
273,Good,3.348,30384
274,Good,3.973,30388
275,Good,3.761,30394
276,Good,3.640,30398
277,Good,4.107,30404
278,Good,3.664,30408
279,Good,3.701,30414
280,Good,3.987,30418
281,Good,3.620,30424
282,Good,3.590,30428
283,Good,4.192,30434
284,Good,3.500,30438
285,Good,4.204,30444
286,Good,3.773,30448
287,Good,3.652,30454
288,Good,3.752,30458
289,Good,4.342,30464
290,Good,3.675,30468
291,Good,3.782,30474
292,Good,4.446,30478
293,Good,3.721,30484
294,Good,3.241,30488
295,Good,4.144,30494
296,Good,3.428,30498
297,Good,4.200,30504
298,Good,8.879,30510
299,Good,4.945,30514
300,Good,4.064,30520
301,Good,3.317,30524
302,Good,3.997,30530
303,Good,3.338,30534
304,Good,3.507,30540
305,Good,4.089,30544
306,Good,3.980,30550
307,Good,4.084,30554
308,Good,4.101,30560
309,Good,3.753,30564
310,Good,4.376,30570
311,Good,3.565,30574
312,Good,3.827,30580
313,Good,4.252,30584
314,Good,3.600,30590
315,Good,3.441,30594
316,Good,4.440,30600
317,Good,3.699,30604
318,Good,3.801,30610
319,Good,4.521,30614
320,Good,3.721,30620
321,Good,3.900,30624
322,Good,4.425,30630
323,Good,3.423,30634
324,Good,3.368,30640
325,Good,9.163,30646
326,Good,3.286,30650
327,Good,3.992,30656
328,Good,3.227,30660
329,Good,3.672,30666
330,Good,3.939,30670
331,Good,3.392,30676
332,Good,3.689,30680
333,Good,4.231,30686
334,Good,3.632,30690
335,Good,3.633,30696
336,Good,4.384,30700
337,Good,3.867,30706
338,Good,3.701,30710
339,Good,4.472,30716
340,Good,3.756,30720
341,Good,4.245,30726
342,Good,4.811,30730
343,Good,4.008,30736
344,Good,4.391,30740
345,Good,3.637,30746
346,Good,3.549,30750
347,Good,3.893,30756
348,Good,4.143,30760
349,Good,3.534,30766
350,Good,3.996,30770
351,Good,3.380,30776
352,Good,3.229,30780
353,Good,3.313,30786
354,Good,8.048,30792
355,Good,3.921,30796
356,Good,3.552,30802
357,Good,3.563,30806
358,Good,4.761,30812
359,Good,6.643,30816
360,Good,4.051,30822
361,Good,3.677,30826
362,Good,3.740,30832
363,Good,3.505,30836
364,Good,3.908,30842
365,Good,3.560,30846
366,Good,3.721,30852
367,Good,4.197,30856
368,Good,3.629,30862
369,Good,3.468,30866
370,Good,4.105,30872
371,Good,3.642,30876
372,Good,3.833,30882
373,Good,4.645,30886
374,Good,3.907,30892
375,Good,3.949,30896
376,Good,4.053,30902
377,Good,3.847,30906
378,Good,3.591,30912
379,Good,5.696,30916
380,Good,3.249,30922
381,Good,9.749,30928
382,Good,3.257,30932
383,Good,4.161,30938
384,Good,3.445,30942
385,Good,3.813,30948
386,Good,3.967,30952
387,Good,3.403,30958
388,Good,3.384,30962
389,Good,4.135,30968
390,Good,3.553,30972
391,Good,3.553,30978
392,Good,4.356,30982
393,Good,3.617,30988
394,Good,3.464,30992
395,Good,4.228,30998
396,Good,3.704,31002
397,Good,3.700,31008
398,Good,4.493,31012
399,Good,3.842,31018
400,Good,3.937,31022
401,Good,4.513,31028
402,Good,3.516,31032
403,Good,3.585,31038
404,Good,4.273,31042
405,Good,3.516,31048
406,Good,3.651,31052
407,Good,4.132,31058
408,Good,3.461,31062
409,Good,3.367,31068
410,Good,9.397,31074
411,Good,3.860,31078
412,Good,3.652,31084
413,Good,3.187,31088
414,Good,3.299,31094
415,Good,3.871,31098
416,Good,4.300,31104
417,Good,3.592,31108
418,Good,4.069,31114
419,Good,3.952,31118
420,Good,3.633,31124
421,Good,4.101,31128
422,Good,3.456,31134
423,Good,3.486,31138
424,Good,4.244,31144
425,Good,3.527,31148
426,Good,4.547,31154
427,Good,3.539,31158
428,Good,4.016,31164
429,Good,4.183,31168
430,Good,3.619,31174
431,Good,3.487,31178
432,Good,4.260,31184
433,Good,3.656,31188
434,Good,3.712,31194
435,Good,4.357,31198
436,Good,4.100,31204
437,Good,10.180,31210
438,Good,3.547,31214
439,Good,4.264,31220
440,Good,3.364,31224
441,Good,3.521,31230
442,Good,3.828,31234
443,Good,3.376,31240
444,Good,3.364,31244
445,Good,4.028,31250
446,Good,3.628,31254
447,Good,3.507,31260
448,Good,4.433,31264
449,Good,3.631,31270
450,Good,4.272,31274
451,Good,4.424,31280
452,Good,3.736,31284
453,Good,3.672,31290
454,Good,4.321,31294
455,Good,3.544,31300
456,Good,3.552,31304
457,Good,4.008,31310
458,Good,3.491,31314
459,Good,3.765,31320
460,Good,4.481,31324
461,Good,3.788,31330
462,Good,3.781,31334
463,Good,4.136,31340
464,Good,3.668,31344
465,Good,3.238,31350
466,Good,8.508,31356
467,Good,3.687,31360
468,Good,3.884,31366
469,Good,3.420,31370
470,Good,3.356,31376
471,Good,3.928,31380
472,Good,3.375,31386
473,Good,3.244,31390
474,Good,4.252,31396
475,Good,3.493,31400
476,Good,3.888,31406
477,Good,4.256,31410
478,Good,3.557,31416
479,Good,3.621,31420
480,Good,4.336,31426
481,Good,3.523,31430
482,Good,3.664,31436
483,Good,4.154,31440
484,Good,3.679,31446
485,Good,4.045,31450
486,Good,4.322,31456
487,Good,3.727,31460
488,Good,4.199,31466
489,Good,3.472,31470
490,Good,3.346,31476
491,Good,3.257,31480
492,Good,3.752,31486
493,Good,3.860,31490
494,Good,3.440,31496
495,Good,10.899,31502
496,Good,5.416,31506
497,Good,3.831,31512
498,Good,3.672,31516
499,Good,4.037,31522
500,Good,3.216,31526
501,Good,3.712,31532
502,Good,3.927,31536
