counter,status,resp_time,value_first
0,Good,3.398,8695.550000
1,Good,3.285,8697.450000
2,Good,4.129,8700.300000
3,Good,3.353,8702.200000
4,Good,3.279,8705.050000
5,Good,9.533,8707.900000
6,Good,3.356,8709.800000
7,Good,4.272,8712.650000
8,Good,3.263,8714.550000
9,Good,3.294,8717.400000
10,Good,3.753,8719.300000
11,Good,3.495,8722.150000
12,Good,3.509,8724.050000
13,Good,3.604,8726.900000
14,Good,3.219,8728.800000
15,Good,3.052,8731.650000
16,Good,3.712,8733.550000
17,Good,3.288,8736.400000
18,Good,3.088,8738.300000
19,Good,3.300,8741.150000
20,Good,4.912,8743.050000
21,Good,3.508,8745.900000
22,Good,3.252,8747.800000
23,Good,3.921,8750.650000
24,Good,3.380,8752.550000
25,Good,3.304,8755.400000
26,Good,4.196,8757.300000
27,Good,3.313,8760.150000
28,Good,3.358,8762.050000
29,Good,3.875,8764.900000
30,Good,3.433,8766.800000
31,Good,3.432,8769.650000
32,Good,4.432,8771.550000
33,Good,3.344,8774.400000
34,Good,3.269,8776.300000
35,Good,3.772,8779.150000
36,Good,7.688,8782.000000
37,Good,3.575,8783.900000
38,Good,3.964,8786.750000
39,Good,3.356,8788.650000
40,Good,3.860,8791.500000
41,Good,4.673,8793.400000
42,Good,3.056,8796.250000
43,Good,3.189,8798.150000
44,Good,3.837,8801.000000
45,Good,3.567,8802.900000
46,Good,3.063,8805.750000
47,Good,3.609,8807.650000
48,Good,3.088,8810.500000
49,Good,3.076,8812.400000
50,Good,3.593,8815.250000
51,Good,3.505,8817.150000
52,Good,3.268,8820.000000
53,Good,3.267,8821.900000
54,Good,3.772,8824.750000
55,Good,3.336,8826.650000
56,Good,3.536,8829.500000
57,Good,4.192,8831.400000
58,Good,3.169,8834.250000
59,Good,3.445,8836.150000
60,Good,3.980,8839.000000
61,Good,3.580,8840.900000
62,Good,3.368,8843.750000
63,Good,3.979,8845.650000
64,Good,3.349,8848.500000
65,Good,3.220,8850.400000
66,Good,4.032,8853.250000
67,Good,5.405,8856.100000
68,Good,4.224,8858.000000
69,Good,3.543,8860.850000
70,Good,3.111,8862.750000
71,Good,3.480,8865.600000
72,Good,3.168,8867.500000
73,Good,3.392,8870.350000
74,Good,3.049,8872.250000
75,Good,3.726,8875.100000
76,Good,3.149,8877.000000
77,Good,3.275,8879.850000
78,Good,4.271,8881.750000
79,Good,3.202,8884.600000
80,Good,3.309,8886.500000
81,Good,4.108,8889.350000
82,Good,3.589,8891.250000
83,Good,3.428,8894.100000
84,Good,4.148,8896.000000
85,Good,3.288,8898.850000
86,Good,3.521,8900.750000
87,Good,4.116,8903.600000
88,Good,3.336,8905.500000
89,Good,3.372,8908.350000
90,Good,3.933,8910.250000
91,Good,3.408,8913.100000
92,Good,3.340,8915.000000
93,Good,3.911,8917.850000
94,Good,3.342,8919.750000
95,Good,3.215,8922.600000
96,Good,9.692,8925.450000
97,Good,3.500,8927.350000
98,Good,3.975,8930.200000
99,Good,3.148,8932.100000
100,Good,3.225,8934.950000
101,Good,3.824,8936.850000
102,Good,3.272,8939.700000
103,Good,3.080,8941.600000
104,Good,3.776,8944.450000
105,Good,3.093,8946.350000
106,Good,3.177,8949.200000
107,Good,3.182,8951.100000
108,Good,3.755,8953.950000
109,Good,3.373,8955.850000
110,Good,3.257,8958.700000
111,Good,4.084,8960.600000
112,Good,3.504,8963.450000
113,Good,3.356,8965.350000
114,Good,4.156,8968.200000
115,Good,3.572,8970.100000
116,Good,3.277,8972.950000
117,Good,4.169,8974.850000
118,Good,3.264,8977.700000
119,Good,3.381,8979.600000
120,Good,4.225,8982.450000
121,Good,3.548,8984.350000
122,Good,3.496,8987.200000
123,Good,3.945,8989.100000
124,Good,3.553,8991.950000
125,Good,3.313,8993.850000
126,Good,3.965,8996.700000
127,Good,5.413,8999.550000
128,Good,3.100,9001.450000
129,Good,3.820,9004.300000
130,Good,3.128,9006.200000
131,Good,3.037,9009.050000
132,Good,3.733,9010.950000
133,Good,3.139,9013.800000
134,Good,3.603,9015.700000
135,Good,4.015,9018.550000
136,Good,3.114,9020.450000
137,Good,3.505,9023.300000
138,Good,3.944,9025.200000
139,Good,3.360,9028.050000
140,Good,3.290,9029.950000
141,Good,3.354,9032.800000
142,Good,3.677,9034.700000
143,Good,3.339,9037.550000
144,Good,3.281,9039.450000
145,Good,3.960,9042.300000
146,Good,3.570,9044.200000
147,Good,3.514,9047.050000
148,Good,4.121,9048.950000
149,Good,3.321,9051.800000
150,Good,3.977,9053.700000
151,Good,3.720,9056.550000
152,Good,3.404,9058.450000
153,Good,3.271,9061.300000
154,Good,3.796,9063.200000
155,Good,4.236,9066.050000
156,Good,8.992,9067.950000
157,Good,3.192,9070.800000
158,Good,4.134,9073.650000
159,Good,3.065,9075.550000
160,Good,3.217,9078.400000
161,Good,3.976,9080.300000
162,Good,3.244,9083.150000
163,Good,3.253,9085.050000
164,Good,4.275,9087.900000
165,Good,3.505,9089.800000
166,Good,3.388,9092.650000
167,Good,4.050,9094.550000
168,Good,3.275,9097.400000
169,Good,3.441,9099.300000
170,Good,4.039,9102.150000
171,Good,3.348,9104.050000
172,Good,3.500,9106.900000
173,Good,4.067,9108.800000
174,Good,3.321,9111.650000
175,Good,3.236,9113.550000
176,Good,3.932,9116.400000
177,Good,3.193,9118.300000
178,Good,3.349,9121.150000
179,Good,3.412,9123.050000
180,Good,3.781,9125.900000
181,Good,3.329,9127.800000
182,Good,3.524,9130.650000
183,Good,4.121,9132.550000
184,Good,3.425,9135.400000
185,Good,2.976,9137.300000
186,Good,3.524,9140.150000
187,Good,5.956,9143.000000
188,Good,3.680,9144.900000
189,Good,3.249,9147.750000
190,Good,3.012,9149.650000
191,Good,3.083,9152.500000
192,Good,3.532,9154.400000
193,Good,3.533,9157.250000
194,Good,3.406,9159.150000
195,Good,3.949,9162.000000
196,Good,3.264,9163.900000
197,Good,3.392,9166.750000
198,Good,3.861,9168.650000
199,Good,3.477,9171.500000
200,Good,3.225,9173.400000
201,Good,3.368,9176.250000
202,Good,3.977,9178.150000
203,Good,3.248,9181.000000
204,Good,3.170,9182.900000
205,Good,4.097,9185.750000
206,Good,3.257,9187.650000
207,Good,3.593,9190.500000
208,Good,4.121,9192.400000
209,Good,3.701,9195.250000
210,Good,3.660,9197.150000
211,Good,3.840,9200.000000
212,Good,4.415,9201.900000
213,Good,3.363,9204.750000
214,Good,4.196,9206.650000
215,Good,3.548,9209.500000
216,Good,9.028,9211.400000
217,Good,3.120,9214.250000
218,Good,4.067,9217.100000
219,Good,3.134,9219.000000
220,Good,3.180,9221.850000
221,Good,3.593,9223.750000
222,Good,3.192,9226.600000
223,Good,3.103,9228.500000
224,Good,3.348,9231.350000
225,Good,4.077,9233.250000
226,Good,3.524,9236.100000
227,Good,3.291,9238.000000
228,Good,3.876,9240.850000
229,Good,3.381,9242.750000
230,Good,3.361,9245.600000
231,Good,3.935,9247.500000
232,Good,3.360,9250.350000
233,Good,3.299,9252.250000
234,Good,3.865,9255.100000
235,Good,3.448,9257.000000
236,Good,3.160,9259.850000
237,Good,3.356,9261.750000
238,Good,3.764,9264.600000
239,Good,3.375,9266.500000
240,Good,3.212,9269.350000
241,Good,3.688,9271.250000
242,Good,3.197,9274.100000
243,Good,3.016,9276.000000
244,Good,3.305,9278.850000
245,Good,3.305,9280.750000
246,Good,3.124,9283.600000
247,Good,8.960,9285.500000
248,Good,3.046,9288.350000
249,Good,3.844,9291.200000
250,Good,3.448,9293.100000
251,Good,3.477,9295.950000
252,Good,3.741,9297.850000
253,Good,3.796,9300.700000
254,Good,3.364,9302.600000
255,Good,3.549,9305.450000
256,Good,3.920,9307.350000
257,Good,3.733,9310.200000
258,Good,3.496,9312.100000
259,Good,3.996,9314.950000
260,Good,3.340,9316.850000
261,Good,3.483,9319.700000
262,Good,4.131,9321.600000
263,Good,3.440,9324.450000
264,Good,3.540,9326.350000
265,Good,3.948,9329.200000
266,Good,3.357,9331.100000
267,Good,3.244,9333.950000
268,Good,3.297,9335.850000
269,Good,3.596,9338.700000
270,Good,3.255,9340.600000
271,Good,3.151,9343.450000
272,Good,4.349,9345.350000
273,Good,3.372,9348.200000
274,Good,3.452,9350.100000
275,Good,4.816,9352.950000
276,Good,3.068,9354.850000
277,Good,3.368,9357.700000
278,Good,8.248,9360.550000
279,Good,3.924,9362.450000
280,Good,3.564,9365.300000
281,Good,3.317,9367.200000
282,Good,3.328,9370.050000
283,Good,3.801,9371.950000
284,Good,3.561,9374.800000
285,Good,3.293,9376.700000
286,Good,3.868,9379.550000
287,Good,3.469,9381.450000
288,Good,3.488,9384.300000
289,Good,4.391,9386.200000
290,Good,3.672,9389.050000
291,Good,3.892,9390.950000
292,Good,4.097,9393.800000
293,Good,3.281,9395.700000
294,Good,3.484,9398.550000
295,Good,3.705,9400.450000
296,Good,3.300,9403.300000
297,Good,3.305,9405.200000
298,Good,3.180,9408.050000
299,Good,3.617,9409.950000
300,Good,3.199,9412.800000
301,Good,3.064,9414.700000
302,Good,3.812,9417.550000
303,Good,3.265,9419.450000
304,Good,3.043,9422.300000
305,Good,3.111,9424.200000
306,Good,3.445,9427.050000
307,Good,3.360,9428.950000
