counter,status,resp_time,value_first
0,Good,0.000,
1,Good,0.000,
2,Good,0.000,
3,Good,0.000,
4,Good,0.000,
5,Good,0.000,
6,Good,0.000,
7,Good,0.000,
8,Good,0.000,
9,Good,0.000,
10,Good,0.000,
11,Good,0.000,
12,Good,0.000,
13,Good,0.000,
14,Good,0.000,
15,Good,0.000,
16,Good,0.000,
17,Good,0.000,
18,Good,0.000,
19,Good,0.000,
20,Good,0.000,
21,Good,0.000,
22,Good,0.000,
23,Good,0.000,
24,Good,0.000,
25,Good,0.000,
26,Good,0.000,
27,Good,0.000,
28,Good,0.000,
29,Good,0.000,
30,Good,0.000,
31,Good,0.000,
32,Good,0.000,
33,Good,0.000,
34,Good,0.000,
35,Good,0.000,
36,Good,0.000,
37,Good,0.000,
38,Good,0.000,
39,Good,0.000,
40,Good,0.000,
41,Good,0.000,
42,Good,0.000,
43,Good,0.000,
44,Good,0.000,
45,Good,0.000,
46,Good,0.000,
47,Good,0.000,
48,Good,0.000,
49,Good,0.000,
50,Good,0.000,
51,Good,0.000,
52,Good,0.000,
53,Good,0.000,
54,Good,0.000,
55,Good,0.000,
56,Good,0.000,
57,Good,0.000,
58,Good,0.000,
59,Good,0.000,
60,Good,0.000,
61,Good,0.000,
62,Good,0.000,
63,Good,0.000,
64,Good,0.000,
65,Good,0.000,
66,Good,0.000,
67,Good,0.000,
68,Good,0.000,
69,Good,0.000,
70,Good,0.000,
71,Good,0.000,
72,Good,0.000,
73,Good,0.000,
74,Good,0.000,
75,Good,0.000,
76,Good,0.000,
77,Good,0.000,
78,Good,0.000,
79,Good,0.000,
80,Good,0.000,
81,Good,0.000,
82,Good,0.000,
83,Good,0.000,
84,Good,0.000,
85,Good,0.000,
86,Good,0.000,
87,Good,0.000,
88,Good,0.000,
89,Good,0.000,
90,Good,0.000,
91,Good,0.000,
92,Good,0.000,
93,Good,0.000,
94,Good,0.000,
95,Good,0.000,
96,Good,0.000,
97,Good,0.000,
98,Good,0.000,
99,Good,0.000,
100,Good,0.000,
101,Good,0.000,
102,Good,0.000,
103,Good,0.000,
104,Good,0.000,
105,Good,0.000,
106,Good,0.000,
107,Good,0.000,
108,Good,0.000,
109,Good,0.000,
110,Good,0.000,
111,Good,0.000,
112,Good,0.000,
113,Good,0.000,
114,Good,0.000,
115,Good,0.000,
116,Good,0.000,
117,Good,0.000,
118,Good,0.000,
119,Good,0.000,
120,Good,0.000,
121,Good,0.000,
122,Good,0.000,
123,Good,0.000,
124,Good,0.000,
125,Good,0.000,
126,Good,0.000,
127,Good,0.000,
128,Good,0.000,
129,Good,0.000,
130,Good,0.000,
131,Good,0.000,
132,Good,0.000,
133,Good,0.000,
134,Good,0.000,
135,Good,0.000,
136,Good,0.000,
137,Good,0.000,
138,Good,0.000,
139,Good,0.000,
140,Good,0.000,
141,Good,0.000,
142,Good,0.000,
143,Good,0.000,
144,Good,0.000,
145,Good,0.000,
146,Good,0.000,
147,Good,0.000,
148,Good,0.000,
149,Good,0.000,
150,Good,0.000,
151,Good,0.000,
152,Good,0.000,
153,Good,0.000,
154,Good,0.000,
155,Good,0.000,
156,Good,0.000,
157,Good,0.000,
158,Good,0.000,
159,Good,0.000,
160,Good,0.000,
161,Good,0.000,
162,Good,0.000,
163,Good,0.000,
164,Good,0.000,
165,Good,0.000,
166,Good,0.000,
167,Good,0.000,
168,Good,0.000,
169,Good,0.000,
170,Good,0.000,
171,Good,0.000,
172,Good,0.000,
173,Good,0.000,
174,Good,0.000,
175,Good,0.000,
176,Good,0.000,
177,Good,0.000,
178,Good,0.000,
179,Good,0.000,
180,Good,0.000,
181,Good,0.000,
182,Good,0.000,
183,Good,0.000,
184,Good,0.000,
185,Good,0.000,
186,Good,0.000,
187,Good,0.000,
188,Good,0.000,
189,Good,0.000,
190,Good,0.000,
191,Good,0.000,
192,Good,0.000,
193,Good,0.000,
194,Good,0.000,
195,Good,0.000,
196,Good,0.000,
197,Good,0.000,
198,Good,0.000,
199,Good,0.000,
200,Good,0.000,
201,Good,0.000,
202,Good,0.000,
203,Good,0.000,
204,Good,0.000,
205,Good,0.000,
206,Good,0.000,
207,Good,0.000,
208,Good,0.000,
209,Good,0.000,
210,Good,0.000,
211,Good,0.000,
212,Good,0.000,
213,Good,0.000,
214,Good,0.000,
215,Good,0.000,
216,Good,0.000,
217,Good,0.000,
218,Good,0.000,
219,Good,0.000,
220,Good,0.000,
221,Good,0.000,
222,Good,0.000,
223,Good,0.000,
224,Good,0.000,
225,Good,0.000,
226,Good,0.000,
227,Good,0.000,
228,Good,0.000,
229,Good,0.000,
230,Good,0.000,
