counter,status,resp_time,value_first
0,Good,2.944,6610
1,Good,4.045,6613
2,Good,3.393,6615
3,Good,3.577,6618
4,Good,4.111,6620
5,Good,3.460,6623
6,Good,3.375,6625
7,Good,4.113,6628
8,Good,5.941,6631
9,Good,3.446,6633
10,Good,4.129,6636
11,Good,3.293,6638
12,Good,3.220,6641
13,Good,3.823,6643
14,Good,3.880,6646
15,Good,3.515,6648
16,Good,4.437,6651
17,Good,3.132,6653
18,Good,3.297,6656
19,Good,3.660,6658
20,Good,3.421,6661
21,Good,3.001,6663
22,Good,3.956,6666
23,Good,3.152,6668
24,Good,3.127,6671
25,Good,3.501,6673
26,Good,3.520,6676
27,Good,3.201,6678
28,Good,3.428,6681
29,Good,4.024,6683
30,Good,3.593,6686
31,Good,3.423,6688
32,Good,4.058,6691
33,Good,3.419,6693
34,Good,3.460,6696
35,Good,3.852,6698
36,Good,3.714,6701
37,Good,3.411,6703
38,Good,4.097,6706
39,Good,5.645,6709
40,Good,3.865,6711
41,Good,4.176,6714
42,Good,3.463,6716
43,Good,3.917,6719
44,Good,3.713,6721
45,Good,3.223,6724
46,Good,3.154,6726
47,Good,3.708,6729
48,Good,3.113,6731
49,Good,3.241,6734
50,Good,4.096,6736
51,Good,3.193,6739
52,Good,3.113,6741
53,Good,3.773,6744
54,Good,3.412,6746
55,Good,3.256,6749
56,Good,3.449,6751
57,Good,3.812,6754
58,Good,3.405,6756
59,Good,3.688,6759
60,Good,4.124,6761
61,Good,3.633,6764
62,Good,3.716,6766
63,Good,4.052,6769
64,Good,3.369,6771
65,Good,3.180,6774
66,Good,4.004,6776
67,Good,3.485,6779
68,Good,3.220,6781
69,Good,3.840,6784
70,Good,6.364,6787
71,Good,4.381,6789
72,Good,3.335,6792
73,Good,3.124,6794
74,Good,4.144,6797
75,Good,4.585,6799
76,Good,3.284,6802
77,Good,4.065,6804
78,Good,3.220,6807
79,Good,3.153,6809
80,Good,4.045,6812
81,Good,3.275,6814
82,Good,3.080,6817
83,Good,4.208,6819
84,Good,3.314,6822
85,Good,3.489,6824
86,Good,4.169,6827
87,Good,3.400,6829
88,Good,3.616,6832
89,Good,4.209,6834
90,Good,3.187,6837
91,Good,3.292,6839
92,Good,3.967,6842
93,Good,3.531,6844
94,Good,3.404,6847
95,Good,4.485,6849
96,Good,3.284,6852
97,Good,3.373,6854
98,Good,4.232,6857
99,Good,6.208,6860
100,Good,3.972,6862
101,Good,3.402,6865
102,Good,3.061,6867
103,Good,3.763,6870
104,Good,3.268,6872
105,Good,3.036,6875
106,Good,3.192,6877
107,Good,3.507,6880
108,Good,3.181,6882
109,Good,3.038,6885
110,Good,3.713,6887
111,Good,3.317,6890
112,Good,3.336,6892
113,Good,4.145,6895
114,Good,3.584,6897
115,Good,3.572,6900
116,Good,3.593,6902
117,Good,3.608,6905
118,Good,3.301,6907
119,Good,3.605,6910
120,Good,4.117,6912
121,Good,3.416,6915
122,Good,3.508,6917
123,Good,3.839,6920
124,Good,3.323,6922
125,Good,3.625,6925
126,Good,4.149,6927
127,Good,3.679,6930
128,Good,3.232,6932
129,Good,4.268,6935
130,Good,5.736,6938
131,Good,3.201,6940
132,Good,3.971,6943
133,Good,3.157,6945
134,Good,3.189,6948
135,Good,4.812,6950
136,Good,4.218,6953
137,Good,4.068,6955
138,Good,3.183,6958
139,Good,3.209,6960
140,Good,3.971,6963
141,Good,3.473,6965
142,Good,3.383,6968
143,Good,4.416,6970
