counter,status,resp_time,value_first
0,Good,4.127,11608
1,Good,4.828,11612
2,Good,4.461,11618
3,Good,5.328,11622
4,Good,4.574,11628
5,Good,4.564,11632
6,Good,4.744,11638
7,Good,4.032,11642
8,Good,4.923,11648
9,Good,4.679,11652
10,Good,4.091,11658
11,Good,5.196,11662
12,Good,4.382,11668
13,Good,11.041,11674
14,Good,5.389,11678
15,Good,4.538,11684
16,Good,5.145,11688
17,Good,4.268,11694
18,Good,5.447,11698
19,Good,4.865,11704
20,Good,4.716,11708
21,Good,4.529,11714
22,Good,4.477,11718
23,Good,5.035,11724
24,Good,4.240,11728
25,Good,5.165,11734
26,Good,4.371,11738
27,Good,4.312,11744
28,Good,4.580,11748
29,Good,4.325,11754
30,Good,5.193,11758
31,Good,4.477,11764
32,Good,5.213,11768
33,Good,4.504,11774
34,Good,11.603,11780
35,Good,5.085,11784
36,Good,4.715,11790
37,Good,4.396,11794
38,Good,4.595,11800
39,Good,4.176,11804
40,Good,5.301,11810
41,Good,4.260,11814
42,Good,4.933,11820
43,Good,4.111,11824
44,Good,4.820,11830
45,Good,5.104,11834
46,Good,4.611,11840
47,Good,5.100,11844
48,Good,4.483,11850
49,Good,5.264,11854
50,Good,4.745,11860
51,Good,4.500,11864
52,Good,4.959,11870
53,Good,4.327,11874
54,Good,5.065,11880
55,Good,4.433,11884
56,Good,5.325,11890
57,Good,6.216,11896
58,Good,4.886,11900
59,Good,4.686,11906
60,Good,5.235,11910
61,Good,4.751,11916
62,Good,4.603,11920
63,Good,4.748,11926
64,Good,3.997,11930
65,Good,5.465,11936
66,Good,4.172,11940
67,Good,4.148,11946
68,Good,4.173,11950
69,Good,4.168,11956
70,Good,4.724,11960
71,Good,4.332,11966
72,Good,5.052,11970
73,Good,4.388,11976
74,Good,4.544,11980
75,Good,5.059,11986
76,Good,4.324,11990
77,Good,5.136,11996
78,Good,4.524,12000
79,Good,5.275,12006
80,Good,6.768,12012
81,Good,5.228,12016
82,Good,4.603,12022
83,Good,5.540,12026
84,Good,4.641,12032
85,Good,4.641,12036
86,Good,5.007,12042
87,Good,4.676,12046
88,Good,5.100,12052
89,Good,4.707,12056
90,Good,5.144,12062
91,Good,5.268,12066
92,Good,4.999,12072
93,Good,4.572,12076
94,Good,5.688,12082
95,Good,5.108,12086
96,Good,5.205,12092
97,Good,4.320,12096
98,Good,4.123,12102
99,Good,5.029,12106
100,Good,4.267,12112
101,Good,10.248,12118
102,Good,5.076,12122
103,Good,4.568,12128
104,Good,5.144,12132
105,Good,4.884,12138
106,Good,4.736,12142
107,Good,4.439,12148
108,Good,4.244,12152
109,Good,5.004,12158
110,Good,4.423,12162
111,Good,5.217,12168
112,Good,4.584,12172
113,Good,4.273,12178
114,Good,4.676,12182
115,Good,4.639,12188
116,Good,5.136,12192
117,Good,4.481,12198
118,Good,5.049,12202
119,Good,4.737,12208
120,Good,4.254,12212
121,Good,4.732,12218
122,Good,4.145,12222
123,Good,5.263,12228
124,Good,6.644,12234
125,Good,4.660,12238
126,Good,4.297,12244
127,Good,4.704,12248
128,Good,4.484,12254
129,Good,4.696,12258
130,Good,5.237,12264
131,Good,4.593,12268
132,Good,5.052,12274
133,Good,4.756,12278
134,Good,5.587,12284
135,Good,4.559,12288
136,Good,4.629,12294
137,Good,4.918,12298
138,Good,4.512,12304
139,Good,5.176,12308
140,Good,4.676,12314
141,Good,5.092,12318
142,Good,4.425,12324
143,Good,4.468,12328
144,Good,4.880,12334
145,Good,4.224,12338
146,Good,5.384,12344
147,Good,6.500,12350
148,Good,4.788,12354
149,Good,4.166,12360
150,Good,4.109,12364
151,Good,4.164,12370
152,Good,4.140,12374
153,Good,4.849,12380
154,Good,4.235,12384
155,Good,5.743,12390
156,Good,4.768,12394
157,Good,4.409,12400
158,Good,5.120,12404
159,Good,4.580,12410
160,Good,5.155,12414
161,Good,4.601,12420
162,Good,5.204,12424
163,Good,4.332,12430
164,Good,4.344,12434
165,Good,4.767,12440
166,Good,4.732,12444
167,Good,5.216,12450
168,Good,4.572,12454
169,Good,5.241,12460
170,Good,7.023,12466
171,Good,4.989,12470
172,Good,4.728,12476
173,Good,5.047,12480
174,Good,4.697,12486
175,Good,5.479,12490
176,Good,4.724,12496
177,Good,4.264,12500
178,Good,4.836,12506
179,Good,4.308,12510
180,Good,5.109,12516
181,Good,4.158,12520
182,Good,4.516,12526
183,Good,4.277,12530
184,Good,4.272,12536
185,Good,5.052,12540
186,Good,4.616,12546
187,Good,5.068,12550
188,Good,4.260,12556
189,Good,4.645,12560
190,Good,4.351,12566
191,Good,4.563,12570
192,Good,5.271,12576
193,Good,5.384,12582
194,Good,5.184,12586
195,Good,4.369,12592
196,Good,5.264,12596
197,Good,4.873,12602
198,Good,4.877,12606
199,Good,4.599,12612
200,Good,4.633,12616
201,Good,4.981,12622
202,Good,4.598,12626
203,Good,4.961,12632
204,Good,4.450,12636
205,Good,4.829,12642
206,Good,4.216,12646
207,Good,4.180,12652
208,Good,4.689,12656
209,Good,4.189,12662
210,Good,4.666,12666
211,Good,4.336,12672
212,Good,4.020,12676
213,Good,4.720,12682
214,Good,4.454,12686
215,Good,5.284,12692
216,Good,6.909,12698
217,Good,5.073,12702
218,Good,4.756,12708
219,Good,5.311,12712
220,Good,4.724,12718
221,Good,4.564,12722
222,Good,5.072,12728
223,Good,4.632,12732
224,Good,4.981,12738
225,Good,4.669,12742
226,Good,5.372,12748
227,Good,4.331,12752
228,Good,5.209,12758
229,Good,4.376,12762
230,Good,4.733,12768
231,Good,5.293,12772
232,Good,4.499,12778
233,Good,4.868,12782
234,Good,4.351,12788
235,Good,4.692,12792
236,Good,5.217,12798
237,Good,11.163,12802
238,Good,5.656,12808
239,Good,4.533,12814
240,Good,4.235,12818
241,Good,4.866,12824
242,Good,4.509,12828
243,Good,5.185,12834
244,Good,4.576,12838
